symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"LRCX","2015-01-02T00:00:00-05:00","2015-01-02","76.96976","77.16221","75.86317","76.45014","869115",""
"LRCX","2015-01-05T00:00:00-05:00","2015-01-05","76.27694","76.39241","75.26659","75.51678","1497336",""
"LRCX","2015-01-06T00:00:00-05:00","2015-01-06","75.59375","75.75733","73.51531","74.25623","2442628",""
"LRCX","2015-01-07T00:00:00-05:00","2015-01-07","74.3717","75.46866","74.14077","74.64113","1567588",""
"LRCX","2015-01-08T00:00:00-05:00","2015-01-08","75.32433","76.67146","75.05489","76.57524","1952211",""
"LRCX","2015-01-09T00:00:00-05:00","2015-01-09","76.42128","77.29692","76.20958","76.71957","1519056",""
"LRCX","2015-01-12T00:00:00-05:00","2015-01-12","76.49826","76.49826","74.1985","74.39095","2238833",""
"LRCX","2015-01-13T00:00:00-05:00","2015-01-13","75.14149","75.90166","72.82249","73.66927","1717966",""
"LRCX","2015-01-14T00:00:00-05:00","2015-01-14","72.86098","73.75587","72.63966","73.17853","1403700",""
"LRCX","2015-01-15T00:00:00-05:00","2015-01-15","73.79436","74.87207","73.50568","73.78474","2231974",""
"LRCX","2015-01-16T00:00:00-05:00","2015-01-16","73.59229","74.97791","73.38059","74.65076","2404280",""
"LRCX","2015-01-20T00:00:00-05:00","2015-01-20","74.97791","75.86317","74.14077","75.53602","1591075",""
"LRCX","2015-01-21T00:00:00-05:00","2015-01-21","75.613","77.6722","74.92981","77.01787","2009785",""
"LRCX","2015-01-22T00:00:00-05:00","2015-01-22","77.2873","77.86464","75.6611","77.80691","1666108",""
"LRCX","2015-01-23T00:00:00-05:00","2015-01-23","76.59448","77.55672","75.76695","77.38352","2184896",""
"LRCX","2015-01-26T00:00:00-05:00","2015-01-26","77.5471","78.19181","76.68108","78.11482","1705495",""
"LRCX","2015-01-27T00:00:00-05:00","2015-01-27","77.59521","77.88389","76.72919","77.12372","1514483",""
"LRCX","2015-01-28T00:00:00-05:00","2015-01-28","77.98011","78.79802","76.59448","76.70995","2473909",""
"LRCX","2015-01-29T00:00:00-05:00","2015-01-29","76.97938","79.05782","74.63151","76.85429","3392804",""
