symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"LUK","2015-01-02T00:00:00-05:00","2015-01-02","21.77203","21.91692","21.57884","21.85896","1344199",""
"LUK","2015-01-05T00:00:00-05:00","2015-01-05","21.74305","21.74305","21.08622","21.14417","1852000",""
"LUK","2015-01-06T00:00:00-05:00","2015-01-06","21.21179","21.22145","20.55496","20.92201","2426059",""
"LUK","2015-01-07T00:00:00-05:00","2015-01-07","21.12486","21.25042","21.05724","21.16349","2266213",""
"LUK","2015-01-08T00:00:00-05:00","2015-01-08","21.38565","22.04249","21.30838","22.02317","1922606",""
"LUK","2015-01-09T00:00:00-05:00","2015-01-09","22.03283","22.10044","21.60782","21.72373","1821149",""
"LUK","2015-01-12T00:00:00-05:00","2015-01-12","21.67543","21.71407","21.19247","21.35668","1600325",""
"LUK","2015-01-13T00:00:00-05:00","2015-01-13","21.5402","21.82032","21.17315","21.34702","1908630",""
"LUK","2015-01-14T00:00:00-05:00","2015-01-14","21.00894","21.14417","20.65155","21.12486","2005531",""
"LUK","2015-01-15T00:00:00-05:00","2015-01-15","21.22145","21.34702","20.77712","20.90269","2645330",""
"LUK","2015-01-16T00:00:00-05:00","2015-01-16","20.82541","21.10554","20.76746","21.09588","1317385",""
"LUK","2015-01-20T00:00:00-05:00","2015-01-20","20.79644","21.47259","20.69019","21.39531","2223663",""
"LUK","2015-01-21T00:00:00-05:00","2015-01-21","21.26008","21.71407","21.17315","21.64645","1521852",""
"LUK","2015-01-22T00:00:00-05:00","2015-01-22","21.76237","22.39022","21.66577","22.38056","2689019",""
"LUK","2015-01-23T00:00:00-05:00","2015-01-23","22.29363","22.48681","22.02317","22.25499","1424225",""
"LUK","2015-01-26T00:00:00-05:00","2015-01-26","22.25499","22.7283","22.18737","22.71864","1115507",""
"LUK","2015-01-27T00:00:00-05:00","2015-01-27","22.44818","23.02773","22.40954","22.84421","1939791",""
"LUK","2015-01-28T00:00:00-05:00","2015-01-28","22.9408","22.9408","21.97487","21.97487","1483029",""
"LUK","2015-01-29T00:00:00-05:00","2015-01-29","21.93623","22.13908","21.68509","22.10044","1218309",""
"LUK","2015-01-30T00:00:00-05:00","2015-01-30","21.83964","22.23567","21.75271","21.8976","1445759",""
"LUK","2015-02-02T00:00:00-05:00","2015-02-02","21.88794","22.0618","21.6368","22.02317","1430126",""
"LUK","2015-02-03T00:00:00-05:00","2015-02-03","22.13908","22.51579","22.13908","22.50613","1348133",""
"LUK","2015-02-04T00:00:00-05:00","2015-02-04","22.32261","22.65102","22.31295","22.47715","1394409",""
"LUK","2015-02-05T00:00:00-05:00","2015-02-05","22.51579","22.75727","22.50613","22.61238","1221726",""
"LUK","2015-02-06T00:00:00-05:00","2015-02-06","22.73796","22.93114","22.50613","22.59306","1261998",""
