symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"LVLT","2015-01-02T00:00:00-05:00","2015-01-02","49.46","49.99","48.93","49.35","1383400",""
"LVLT","2015-01-05T00:00:00-05:00","2015-01-05","49.25","49.42","48.4","48.57","1903600",""
"LVLT","2015-01-06T00:00:00-05:00","2015-01-06","48.2","48.35","46.64","47.02","4322800",""
"LVLT","2015-01-07T00:00:00-05:00","2015-01-07","47.47","47.47","46.67","47.02","1610100",""
"LVLT","2015-01-08T00:00:00-05:00","2015-01-08","47.51","47.7","47.15","47.24","3211500",""
"LVLT","2015-01-09T00:00:00-05:00","2015-01-09","47.32","47.48","46.9","47.21","1413200",""
"LVLT","2015-01-12T00:00:00-05:00","2015-01-12","47.42","47.72","46.93","47.18","3010700",""
"LVLT","2015-01-13T00:00:00-05:00","2015-01-13","47.57","48.3","46.96","47.44","2393000",""
"LVLT","2015-01-14T00:00:00-05:00","2015-01-14","47.28","47.93","47.17","47.88","2206900",""
"LVLT","2015-01-15T00:00:00-05:00","2015-01-15","48.18","48.3","47.27","47.3","1732800",""
"LVLT","2015-01-16T00:00:00-05:00","2015-01-16","47.23","47.85","47.13","47.8","1991500",""
"LVLT","2015-01-20T00:00:00-05:00","2015-01-20","48.09","48.56","47.95","48.33","2945100",""
"LVLT","2015-01-21T00:00:00-05:00","2015-01-21","49","49.82","48.53","49.52","2950300",""
"LVLT","2015-01-22T00:00:00-05:00","2015-01-22","49.74","50.11","49.24","50.09","2236000",""
"LVLT","2015-01-23T00:00:00-05:00","2015-01-23","50.29","50.4","49.85","49.94","1867700",""
"LVLT","2015-01-26T00:00:00-05:00","2015-01-26","49.93","50.48","49.9","50.04","2263900",""
"LVLT","2015-01-27T00:00:00-05:00","2015-01-27","49.59","50.33","49.36","50.18","2716500",""
"LVLT","2015-01-28T00:00:00-05:00","2015-01-28","50.41","50.47","49.59","49.77","2873600",""
"LVLT","2015-01-29T00:00:00-05:00","2015-01-29","49.78","50.12","48.9","50.05","2685600",""
"LVLT","2015-01-30T00:00:00-05:00","2015-01-30","49.6","50.22","49.5","49.74","3932400",""
"LVLT","2015-02-02T00:00:00-05:00","2015-02-02","49.8","50.27","49.32","50.19","3222200",""
"LVLT","2015-02-03T00:00:00-05:00","2015-02-03","50.35","51.43","50.21","51.39","4537700",""
"LVLT","2015-02-04T00:00:00-05:00","2015-02-04","49.53","54.36","49.53","52.5","7592100",""
"LVLT","2015-02-05T00:00:00-05:00","2015-02-05","52.89","53.74","52.67","53.38","3693800",""
"LVLT","2015-02-06T00:00:00-05:00","2015-02-06","53.38","53.67","52.27","52.42","2289800",""
"LVLT","2015-02-09T00:00:00-05:00","2015-02-09","52.28","53.21","52.28","52.83","2580800",""
"LVLT","2015-02-10T00:00:00-05:00","2015-02-10","53","53.63","52.81","53.55","1445800",""
"LVLT","2015-02-11T00:00:00-05:00","2015-02-11","53.55","53.71","53.04","53.69","1433500",""
"LVLT","2015-02-12T00:00:00-05:00","2015-02-12","53.99","54.15","53.76","54.01","1667800",""
"LVLT","2015-02-13T00:00:00-05:00","2015-02-13","53.87","54.04","53.22","53.49","2019600",""
