symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"MAT","2015-01-02T00:00:00-05:00","2015-01-02","26.81763","26.88646","26.0347","26.21537","2867149",""
"MAT","2015-01-05T00:00:00-05:00","2015-01-05","26.14655","26.31862","25.90564","26.20677","3784084",""
"MAT","2015-01-06T00:00:00-05:00","2015-01-06","26.2842","26.40466","25.63893","25.64753","4577234",""
"MAT","2015-01-07T00:00:00-05:00","2015-01-07","25.84542","25.87983","25.35501","25.73357","4054782",""
"MAT","2015-01-08T00:00:00-05:00","2015-01-08","25.94866","25.94866","25.63893","25.79379","3610669",""
"MAT","2015-01-09T00:00:00-05:00","2015-01-09","25.75938","25.811","24.8646","25.03667","6489093",""
"MAT","2015-01-12T00:00:00-05:00","2015-01-12","25.1055","25.11411","24.68392","24.8732","5106427",""
"MAT","2015-01-13T00:00:00-05:00","2015-01-13","24.99365","25.14852","24.13329","24.32257","5737088",""
"MAT","2015-01-14T00:00:00-05:00","2015-01-14","24.1505","24.21932","23.80635","24.04725","6875905",""
"MAT","2015-01-15T00:00:00-05:00","2015-01-15","24.02144","24.1677","23.4622","23.57405","8426406",""
"MAT","2015-01-16T00:00:00-05:00","2015-01-16","23.59986","23.95261","23.47081","23.9354","3868001",""
"MAT","2015-01-20T00:00:00-05:00","2015-01-20","23.9354","24.00423","23.52243","23.87518","4934291",""
"MAT","2015-01-21T00:00:00-05:00","2015-01-21","23.59126","24.20212","23.31594","24.12469","8536011",""
"MAT","2015-01-22T00:00:00-05:00","2015-01-22","24.20212","24.50324","24.10748","24.44302","3882181",""
"MAT","2015-01-23T00:00:00-05:00","2015-01-23","24.20212","24.26234","23.79774","24.12469","5585990",""
"MAT","2015-01-26T00:00:00-05:00","2015-01-26","21.60381","24.20212","21.40592","22.92017","28501218",""
"MAT","2015-01-27T00:00:00-05:00","2015-01-27","22.7653","23.10085","22.55021","22.80832","13429040",""
"MAT","2015-01-28T00:00:00-05:00","2015-01-28","22.91157","23.66009","22.79111","23.2213","11840416",""
"MAT","2015-01-29T00:00:00-05:00","2015-01-29","23.14387","23.41918","22.989","23.14387","11338537",""
"MAT","2015-01-30T00:00:00-05:00","2015-01-30","22.54161","23.88378","22.54161","23.14387","17675370",""
"MAT","2015-02-02T00:00:00-05:00","2015-02-02","23.28152","24.07306","23.10945","24.01284","8816356",""
"MAT","2015-02-03T00:00:00-05:00","2015-02-03","23.9268","24.21932","23.84937","24.1505","7900584",""
"MAT","2015-02-04T00:00:00-05:00","2015-02-04","24.12469","24.44302","23.97842","24.02144","4416953",""
"MAT","2015-02-05T00:00:00-05:00","2015-02-05","24.14189","24.28815","23.94401","24.08167","4777962",""
"MAT","2015-02-06T00:00:00-05:00","2015-02-06","24.14189","24.38279","24.02144","24.27955","3951570",""
"MAT","2015-02-09T00:00:00-05:00","2015-02-09","24.10748","24.47743","23.99563","24.01284","4438804",""
"MAT","2015-02-10T00:00:00-05:00","2015-02-10","24.14189","24.18491","23.54824","23.60847","4091162",""
"MAT","2015-02-11T00:00:00-05:00","2015-02-11","23.63427","23.65148","22.92877","23.16968","5274727",""
"MAT","2015-02-12T00:00:00-05:00","2015-02-12","23.10945","23.65148","23.06643","23.60847","3823602",""
"MAT","2015-02-13T00:00:00-05:00","2015-02-13","23.71171","23.87518","23.57405","23.75473","3865444",""
"MAT","2015-02-17T00:00:00-05:00","2015-02-17","23.7809","23.94665","23.40578","23.57153","3780491",""
"MAT","2015-02-18T00:00:00-05:00","2015-02-18","23.5977","23.65877","23.24875","23.29237","4274890",""
"MAT","2015-02-19T00:00:00-05:00","2015-02-19","23.24002","23.25747","22.42","22.51595","9708687",""
"MAT","2015-02-20T00:00:00-05:00","2015-02-20","22.55085","22.62937","22.03615","22.48106","7378607",""
"MAT","2015-02-23T00:00:00-05:00","2015-02-23","22.51595","22.55085","22.08849","22.14956","4945245",""
"MAT","2015-02-24T00:00:00-05:00","2015-02-24","22.14956","22.26297","21.94891","22.08849","7508368",""
"MAT","2015-02-25T00:00:00-05:00","2015-02-25","22.18445","22.62064","22.11466","22.61192","9112383",""
"MAT","2015-02-26T00:00:00-05:00","2015-02-26","22.59447","22.94342","22.36765","22.80384","4574303",""
"MAT","2015-02-27T00:00:00-05:00","2015-02-27","22.87363","23.09172","22.7166","22.96087","4247722",""
"MAT","2015-03-02T00:00:00-05:00","2015-03-02","23.12662","23.47557","23.10917","23.17023","4460934",""
"MAT","2015-03-03T00:00:00-05:00","2015-03-03","23.18768","23.66749","23.13534","23.46684","5132550",""
"MAT","2015-03-04T00:00:00-05:00","2015-03-04","23.44939","23.5628","22.84746","23.02193","3691768",""
"MAT","2015-03-05T00:00:00-05:00","2015-03-05","23.02193","23.10917","22.68171","22.7515","3911628",""
"MAT","2015-03-06T00:00:00-05:00","2015-03-06","22.70788","22.73405","22.28042","22.35893","3582869",""
