symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"MCD","2015-01-02T00:00:00-05:00","2015-01-02","86.59584","87.36835","85.575","85.76814","6545413",""
"MCD","2015-01-05T00:00:00-05:00","2015-01-05","85.80492","86.1544","84.81168","84.82088","6754402",""
"MCD","2015-01-06T00:00:00-05:00","2015-01-06","85.22552","86.27395","84.49899","84.97722","7050379",""
"MCD","2015-01-07T00:00:00-05:00","2015-01-07","85.76814","86.49467","85.40027","86.45789","6959367",""
"MCD","2015-01-08T00:00:00-05:00","2015-01-08","86.66022","87.34996","86.49467","86.77977","5955091",""
"MCD","2015-01-09T00:00:00-05:00","2015-01-09","86.4211","86.4211","85.32669","85.72215","4657338",""
"MCD","2015-01-12T00:00:00-05:00","2015-01-12","86.01644","86.27395","85.16116","85.53822","4337983",""
"MCD","2015-01-13T00:00:00-05:00","2015-01-13","86.4027","86.85334","84.99561","85.37268","6492785",""
"MCD","2015-01-14T00:00:00-05:00","2015-01-14","84.24149","84.65534","83.80005","84.18631","8422071",""
"MCD","2015-01-15T00:00:00-05:00","2015-01-15","84.58176","84.93124","83.6529","84.03915","6238563",""
"MCD","2015-01-16T00:00:00-05:00","2015-01-16","83.73567","84.32426","83.45057","84.14032","7531966",""
"MCD","2015-01-20T00:00:00-05:00","2015-01-20","84.27827","84.49899","82.98154","83.50575","7575786",""
"MCD","2015-01-21T00:00:00-05:00","2015-01-21","82.91717","83.19307","82.34698","83.0827","9440592",""
"MCD","2015-01-22T00:00:00-05:00","2015-01-22","83.34022","83.66209","82.62287","83.58852","8194706",""
"MCD","2015-01-23T00:00:00-05:00","2015-01-23","83.61611","84.27827","82.24581","82.36536","12500070",""
"MCD","2015-01-26T00:00:00-05:00","2015-01-26","82.20902","83.41378","82.11706","83.38619","8430444",""
"MCD","2015-01-27T00:00:00-05:00","2015-01-27","82.73323","83.05511","82.36536","82.37457","7220875",""
"MCD","2015-01-28T00:00:00-05:00","2015-01-28","82.53091","82.60448","81.63882","81.64803","7525877",""
"MCD","2015-01-29T00:00:00-05:00","2015-01-29","84.14952","85.98885","83.9288","85.77733","20819278",""
"MCD","2015-01-30T00:00:00-05:00","2015-01-30","85.10597","85.80492","84.89445","85.01401","13467159",""
"MCD","2015-02-02T00:00:00-05:00","2015-02-02","84.65534","85.21634","84.08514","85.07838","7341136",""
"MCD","2015-02-03T00:00:00-05:00","2015-02-03","85.18874","86.4303","85.0232","86.37511","8017033",""
"MCD","2015-02-04T00:00:00-05:00","2015-02-04","86.07162","86.84415","85.98885","86.49467","7029393",""
"MCD","2015-02-05T00:00:00-05:00","2015-02-05","86.54065","87.21201","86.44868","86.76137","6050125",""
"MCD","2015-02-06T00:00:00-05:00","2015-02-06","86.53146","86.89013","86.12681","86.43949","5069988",""
"MCD","2015-02-09T00:00:00-05:00","2015-02-09","85.80492","85.94287","85.10597","85.27151","8919534",""
"MCD","2015-02-10T00:00:00-05:00","2015-02-10","85.83251","86.66022","85.50143","86.46708","5107936",""
"MCD","2015-02-11T00:00:00-05:00","2015-02-11","86.59584","86.75218","85.80492","86.64182","5604094",""
"MCD","2015-02-12T00:00:00-05:00","2015-02-12","86.49467","87.92015","86.23716","87.45112","8601049",""
"MCD","2015-02-13T00:00:00-05:00","2015-02-13","87.73622","88.15007","87.30398","87.96614","7352771",""
"MCD","2015-02-17T00:00:00-05:00","2015-02-17","87.47871","87.72702","86.53146","86.77057","6493547",""
"MCD","2015-02-18T00:00:00-05:00","2015-02-18","86.66022","87.17522","86.44868","86.98209","6108190",""
"MCD","2015-02-19T00:00:00-05:00","2015-02-19","86.90852","86.95451","86.20957","86.62343","6863463",""
"MCD","2015-02-20T00:00:00-05:00","2015-02-20","86.59584","86.89932","86.04403","86.62343","8867232",""
"MCD","2015-02-23T00:00:00-05:00","2015-02-23","86.55905","86.82575","86.4027","86.73378","6178215",""
"MCD","2015-02-24T00:00:00-05:00","2015-02-24","86.52226","87.67184","86.16359","87.34996","6136461",""
"MCD","2015-02-25T00:00:00-05:00","2015-02-25","87.28559","91.33212","87.2396","90.73434","18214748",""
"MCD","2015-02-26T00:00:00-05:00","2015-02-26","90.41893","92.65459","89.98293","92.31136","17354112",""
"MCD","2015-02-27T00:00:00-05:00","2015-02-27","91.99595","92.11655","91.36514","91.74548","8141353",""
"MCD","2015-03-02T00:00:00-05:00","2015-03-02","91.48574","93.77705","91.19817","92.76591","13327417",""
"MCD","2015-03-03T00:00:00-05:00","2015-03-03","92.73808","93.17408","92.34846","92.52472","8785232",""
"MCD","2015-03-04T00:00:00-05:00","2015-03-04","92.58965","93.21119","92.00523","92.99783","9895122",""
"MCD","2015-03-05T00:00:00-05:00","2015-03-05","91.92174","92.6917","91.33731","91.94029","10174751",""
"MCD","2015-03-06T00:00:00-05:00","2015-03-06","91.16106","91.82897","89.94582","90.10352","10432496",""
"MCD","2015-03-09T00:00:00-04:00","2015-03-09","89.80667","91.14251","89.80667","90.64157","9120053",""
"MCD","2015-03-10T00:00:00-04:00","2015-03-10","89.89944","90.09425","89.14804","89.3243","8450195",""
"MCD","2015-03-11T00:00:00-04:00","2015-03-11","89.33357","89.76957","88.07196","88.09051","10123331",""
"MCD","2015-03-12T00:00:00-04:00","2015-03-12","88.51723","89.46345","88.38736","89.28719","9448514",""
"MCD","2015-03-13T00:00:00-04:00","2015-03-13","89.27791","90.02932","88.82336","89.37995","5554519",""
"MCD","2015-03-16T00:00:00-04:00","2015-03-16","89.918","90.41893","89.74174","90.12209","5144346",""
"MCD","2015-03-17T00:00:00-04:00","2015-03-17","89.89017","90.12209","89.046","89.21297","4884014",""
"MCD","2015-03-18T00:00:00-04:00","2015-03-18","89.06455","90.20557","88.43375","89.98293","6285606",""
"MCD","2015-03-19T00:00:00-04:00","2015-03-19","89.85306","89.99221","89.03672","89.03672","3897229",""
"MCD","2015-03-20T00:00:00-04:00","2015-03-20","89.35213","90.65085","89.1666","90.02932","10794914",""
"MCD","2015-03-23T00:00:00-04:00","2015-03-23","89.85306","91.94957","89.7974","91.48574","9951932",""
"MCD","2015-03-24T00:00:00-04:00","2015-03-24","91.33731","92.61748","90.97552","92.17221","8138658",""
"MCD","2015-03-25T00:00:00-04:00","2015-03-25","91.86608","92.40412","91.01263","91.04047","6500771",""
"MCD","2015-03-26T00:00:00-04:00","2015-03-26","90.53953","90.88276","89.23153","90.57663","11260279",""
"MCD","2015-03-27T00:00:00-04:00","2015-03-27","90.31689","90.77144","89.76957","89.94582","5004317",""
"MCD","2015-03-30T00:00:00-04:00","2015-03-30","90.40965","91.20744","90.32617","90.79927","4392238",""
"MCD","2015-03-31T00:00:00-04:00","2015-03-31","90.74361","91.30949","90.39111","90.39111","6054918",""
"MCD","2015-04-01T00:00:00-04:00","2015-04-01","89.80667","90.00148","89.05527","89.3243","8068373",""
"MCD","2015-04-02T00:00:00-04:00","2015-04-02","89.01817","89.27791","87.85859","88.89758","7129990",""
"MCD","2015-04-06T00:00:00-04:00","2015-04-06","88.82336","89.81596","88.54506","89.31502","4852213",""
"MCD","2015-04-07T00:00:00-04:00","2015-04-07","89.27791","89.78812","89.13876","89.37995","4790121",""
"MCD","2015-04-08T00:00:00-04:00","2015-04-08","89.73247","90.44676","89.03672","89.84378","4791846",""
"MCD","2015-04-09T00:00:00-04:00","2015-04-09","89.84378","90.38183","89.25008","89.56549","5163535",""
"MCD","2015-04-10T00:00:00-04:00","2015-04-10","89.918","90.8642","89.57476","90.72506","6400843",""
"MCD","2015-04-13T00:00:00-04:00","2015-04-13","90.36327","90.67867","90.04787","90.39111","5603136",""
"MCD","2015-04-14T00:00:00-04:00","2015-04-14","90.17774","90.6694","89.9551","90.52097","5347977",""
"MCD","2015-04-15T00:00:00-04:00","2015-04-15","89.90871","90.49315","89.31502","89.46345","7119425",""
"MCD","2015-04-16T00:00:00-04:00","2015-04-16","89.39851","90.39111","88.60072","88.71204","5467094",""
"MCD","2015-04-17T00:00:00-04:00","2015-04-17","88.24821","88.45229","87.62668","88.01629","7474189",""
"MCD","2015-04-20T00:00:00-04:00","2015-04-20","88.12762","89.29646","88.12762","89.22225","4724149",""
"MCD","2015-04-21T00:00:00-04:00","2015-04-21","89.23153","89.56549","87.70089","88.00702","6448058",""
"MCD","2015-04-22T00:00:00-04:00","2015-04-22","89.98293","92.16293","89.27791","90.76216","20755686",""
"MCD","2015-04-23T00:00:00-04:00","2015-04-23","90.39111","90.46531","89.57476","89.98293","6830526",""
"MCD","2015-04-24T00:00:00-04:00","2015-04-24","89.97366","91.91247","89.8345","91.59705","8344983",""
"MCD","2015-04-27T00:00:00-04:00","2015-04-27","91.59705","91.78259","89.29646","89.46345","7850513",""
"MCD","2015-04-28T00:00:00-04:00","2015-04-28","89.30574","89.88089","88.85119","89.82523","4697199",""
"MCD","2015-04-29T00:00:00-04:00","2015-04-29","89.59332","90.60446","89.12021","90.00148","6141480",""
"MCD","2015-04-30T00:00:00-04:00","2015-04-30","89.65826","90.32617","89.43562","89.56549","8947468",""
"MCD","2015-05-01T00:00:00-04:00","2015-05-01","89.73247","90.88276","89.73247","90.72506","6769944",""
"MCD","2015-05-04T00:00:00-04:00","2015-05-04","89.58404","91.49501","89.10166","89.17587","9083294",""
"MCD","2015-05-05T00:00:00-04:00","2015-05-05","89.41706","89.49127","88.65638","89.17587","8232550",""
"MCD","2015-05-06T00:00:00-04:00","2015-05-06","89.27791","89.66753","88.94395","89.41706","7130205",""
"MCD","2015-05-07T00:00:00-04:00","2015-05-07","89.30574","90.28906","89.1666","89.77885","5410608",""
"MCD","2015-05-08T00:00:00-04:00","2015-05-08","91.08685","91.9774","90.71578","91.12395","8131220",""
"MCD","2015-05-11T00:00:00-04:00","2015-05-11","91.00336","91.27238","90.12209","90.45604","4445275",""
"MCD","2015-05-12T00:00:00-04:00","2015-05-12","90.34472","91.23527","89.90871","90.8642","5226058",""
"MCD","2015-05-13T00:00:00-04:00","2015-05-13","90.97552","91.36514","90.24268","90.30761","7035774",""
"MCD","2015-05-14T00:00:00-04:00","2015-05-14","90.59519","90.79","90.24268","90.64157","5113840",""
"MCD","2015-05-15T00:00:00-04:00","2015-05-15","90.6694","91.87536","90.48387","90.9477","8200426",""
"MCD","2015-05-18T00:00:00-04:00","2015-05-18","90.88276","91.14251","90.55808","90.92914","4420589",""
"MCD","2015-05-19T00:00:00-04:00","2015-05-19","90.99408","93.76778","90.58591","93.39672","11652017",""
"MCD","2015-05-20T00:00:00-04:00","2015-05-20","93.58224","93.67502","92.22787","92.86795","6667320",""
"MCD","2015-05-21T00:00:00-04:00","2015-05-21","92.66386","92.72881","91.89391","92.09799","5099287",""
"MCD","2015-05-22T00:00:00-04:00","2015-05-22","91.9774","92.28353","91.68982","91.82897","4914952",""
"MCD","2015-05-26T00:00:00-04:00","2015-05-26","91.6991","92.02378","90.9477","91.33731","7678575",""
"MCD","2015-05-27T00:00:00-04:00","2015-05-27","91.81042","92.04234","91.09612","91.52285","8763456",""
"MCD","2015-05-28T00:00:00-04:00","2015-05-28","91.70063","91.89713","90.01633","90.27834","10904963",""
"MCD","2015-05-29T00:00:00-04:00","2015-05-29","91.02691","91.48541","89.67947","89.76369","6881433",""
"MCD","2015-06-01T00:00:00-04:00","2015-06-01","89.67947","90.6807","89.67947","90.03505","5257017",""
"MCD","2015-06-02T00:00:00-04:00","2015-06-02","90.10991","90.73684","89.65141","90.10055","4734532",""
"MCD","2015-06-03T00:00:00-04:00","2015-06-03","90.18476","90.83041","89.80112","90.31577","4451862",""
"MCD","2015-06-04T00:00:00-04:00","2015-06-04","90.10991","90.73684","89.83855","90.11926","5025858",""
"MCD","2015-06-05T00:00:00-04:00","2015-06-05","89.77305","89.91341","89.33326","89.39876","4231284",""
"MCD","2015-06-08T00:00:00-04:00","2015-06-08","89.82919","89.86662","89.1274","89.1929","4910225",""
"MCD","2015-06-09T00:00:00-04:00","2015-06-09","89.21161","89.41747","88.41625","88.64083","8304614",""
"MCD","2015-06-10T00:00:00-04:00","2015-06-10","88.91218","89.48297","88.71568","89.17419","5160193",""
"MCD","2015-06-11T00:00:00-04:00","2015-06-11","89.36133","90.13798","89.36133","89.44554","4492579",""
"MCD","2015-06-12T00:00:00-04:00","2015-06-12","89.28647","89.40812","88.89347","88.94961","3951072",""
"MCD","2015-06-15T00:00:00-04:00","2015-06-15","88.65018","88.89347","87.97646","88.23847","6264369",""
"MCD","2015-06-16T00:00:00-04:00","2015-06-16","88.19168","88.58468","88.05132","88.54725","3307290",""
"MCD","2015-06-17T00:00:00-04:00","2015-06-17","88.46304","89.38004","88.46304","89.09933","4211620",""
"MCD","2015-06-18T00:00:00-04:00","2015-06-18","89.53912","90.41869","89.15547","89.98826","5451306",""
"MCD","2015-06-19T00:00:00-04:00","2015-06-19","90.19412","90.89591","89.81048","89.90405","8848046",""
"MCD","2015-06-22T00:00:00-04:00","2015-06-22","90.11926","90.79298","89.96019","90.64327","4160643",""
"MCD","2015-06-23T00:00:00-04:00","2015-06-23","91.31699","91.6632","90.8772","90.93334","4853585",""
"MCD","2015-06-24T00:00:00-04:00","2015-06-24","90.53098","91.18598","90.42805","90.42805","4196872",""
"MCD","2015-06-25T00:00:00-04:00","2015-06-25","90.48419","90.6807","89.62333","89.63269","4619220",""
"MCD","2015-06-26T00:00:00-04:00","2015-06-26","89.95083","91.09241","89.76369","91.03627","6454383",""
