symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"MET","2015-01-02T00:00:00-05:00","2015-01-02","49.95939","50.21616","49.17992","49.43669","4265544",""
"MET","2015-01-05T00:00:00-05:00","2015-01-05","48.98735","49.17992","47.57513","47.78605","7110184",""
"MET","2015-01-06T00:00:00-05:00","2015-01-06","47.84107","47.91443","46.10789","46.33715","13166415",""
"MET","2015-01-07T00:00:00-05:00","2015-01-07","46.88737","47.25417","46.48388","46.95156","8535340",""
"MET","2015-01-08T00:00:00-05:00","2015-01-08","47.18998","47.9236","47.12579","47.66683","8809598",""
"MET","2015-01-09T00:00:00-05:00","2015-01-09","47.64849","47.79522","46.63977","46.78649","8428909",""
"MET","2015-01-12T00:00:00-05:00","2015-01-12","46.88737","46.95156","45.86947","46.24545","8038406",""
"MET","2015-01-13T00:00:00-05:00","2015-01-13","46.61226","46.97906","45.15419","45.6769","14624067",""
"MET","2015-01-14T00:00:00-05:00","2015-01-14","44.85157","45.3376","44.09045","44.87909","12185087",""
"MET","2015-01-15T00:00:00-05:00","2015-01-15","45.09917","45.32843","43.72364","43.99874","11327311",""
"MET","2015-01-16T00:00:00-05:00","2015-01-16","43.98957","44.94328","43.8887","44.92494","7683017",""
"MET","2015-01-20T00:00:00-05:00","2015-01-20","45.12668","45.23672","44.21883","44.69568","7518680",""
"MET","2015-01-21T00:00:00-05:00","2015-01-21","44.34721","45.20921","43.95289","45.1817","10948694",""
"MET","2015-01-22T00:00:00-05:00","2015-01-22","45.57602","46.08955","44.98913","46.0437","9826366",""
"MET","2015-01-23T00:00:00-05:00","2015-01-23","45.94283","46.20877","44.68651","44.72319","10628092",""
"MET","2015-01-26T00:00:00-05:00","2015-01-26","44.85157","44.92494","44.57647","44.74153","9931271",""
"MET","2015-01-27T00:00:00-05:00","2015-01-27","44.1363","44.49393","43.81534","44.1363","11473545",""
"MET","2015-01-28T00:00:00-05:00","2015-01-28","44.50311","44.58564","42.935","42.95334","11889565",""
"MET","2015-01-29T00:00:00-05:00","2015-01-29","43.0267","43.44853","42.46732","42.98085","16264812",""
"MET","2015-01-30T00:00:00-05:00","2015-01-30","42.54985","43.46687","42.27474","42.64155","14239889",""
"MET","2015-02-02T00:00:00-05:00","2015-02-02","42.83413","43.98957","42.71491","43.8887","9398133",""
"MET","2015-02-03T00:00:00-05:00","2015-02-03","44.23717","45.13585","44.12712","45.03498","14127024",""
"MET","2015-02-04T00:00:00-05:00","2015-02-04","44.96109","45.48755","44.84102","45.04422","11727091",""
"MET","2015-02-05T00:00:00-05:00","2015-02-05","44.66554","45.49678","44.32381","45.23817","10029071",""
"MET","2015-02-06T00:00:00-05:00","2015-02-06","46.06018","46.40192","45.79234","45.81081","13602568",""
"MET","2015-02-09T00:00:00-05:00","2015-02-09","45.39519","45.99553","45.2197","45.76463","8414203",""
"MET","2015-02-10T00:00:00-05:00","2015-02-10","46.30032","46.49428","45.75539","46.20796","10632359",""
"MET","2015-02-11T00:00:00-05:00","2015-02-11","46.18025","46.679","45.93088","46.55893","8135837",""
"MET","2015-02-12T00:00:00-05:00","2015-02-12","46.77136","47.16851","45.87546","46.48504","7437703",""
"MET","2015-02-13T00:00:00-05:00","2015-02-13","46.50351","47.06691","46.36497","46.97455","8556038",""
"MET","2015-02-17T00:00:00-05:00","2015-02-17","46.94685","47.77809","46.91914","47.74114","7590041",""
"MET","2015-02-18T00:00:00-05:00","2015-02-18","47.4733","47.61184","46.72518","46.81754","6801717",""
"MET","2015-02-19T00:00:00-05:00","2015-02-19","46.66053","47.27011","46.56816","47.19622","4942156",""
"MET","2015-02-20T00:00:00-05:00","2015-02-20","46.92837","47.67649","46.41115","47.64878","6319259",""
"MET","2015-02-23T00:00:00-05:00","2015-02-23","47.52871","47.6026","46.7806","46.97455","4596337",""
"MET","2015-02-24T00:00:00-05:00","2015-02-24","47.00226","47.65802","46.89143","47.46406","5863545",""
"MET","2015-02-25T00:00:00-05:00","2015-02-25","47.23316","47.51024","46.91914","47.25163","3730057",""
"MET","2015-02-26T00:00:00-05:00","2015-02-26","47.28858","47.49177","46.9099","47.13157","4587675",""
"MET","2015-02-27T00:00:00-05:00","2015-02-27","46.97455","47.40865","46.94685","46.94685","7076726",""
"MET","2015-03-02T00:00:00-05:00","2015-03-02","46.78983","47.87045","46.74365","47.86121","6624368",""
"MET","2015-03-03T00:00:00-05:00","2015-03-03","47.50101","47.95357","47.28858","47.89816","5963913",""
"MET","2015-03-04T00:00:00-05:00","2015-03-04","47.51024","47.69496","47.21469","47.48253","7256348",""
"MET","2015-03-05T00:00:00-05:00","2015-03-05","47.67649","47.99052","47.39941","47.78733","6305292",""
"MET","2015-03-06T00:00:00-05:00","2015-03-06","48.09211","49.26509","47.99052","48.61857","12518879",""
"MET","2015-03-09T00:00:00-04:00","2015-03-09","48.43385","48.71093","48.17524","48.33225","5846763",""
"MET","2015-03-10T00:00:00-04:00","2015-03-10","47.52871","47.66726","46.679","46.679","8940402",""
"MET","2015-03-11T00:00:00-04:00","2015-03-11","46.73441","47.31628","46.66976","46.96531","5728314",""
"MET","2015-03-12T00:00:00-04:00","2015-03-12","47.20545","47.89816","47.06691","47.87968","5576951",""
"MET","2015-03-13T00:00:00-04:00","2015-03-13","47.73191","47.99976","46.99302","47.42712","8174057",""
"MET","2015-03-16T00:00:00-04:00","2015-03-16","47.75962","48.02746","47.45483","47.95357","6398081",""
"MET","2015-03-17T00:00:00-04:00","2015-03-17","47.64878","47.9351","47.39941","47.65802","5032129",""
"MET","2015-03-18T00:00:00-04:00","2015-03-18","47.38094","48.23066","47.19622","47.71344","9259586",""
"MET","2015-03-19T00:00:00-04:00","2015-03-19","47.55642","47.72267","46.48504","46.74365","7275621",""
"MET","2015-03-20T00:00:00-04:00","2015-03-20","46.99302","47.67649","46.68823","47.67649","11075622",""
"MET","2015-03-23T00:00:00-04:00","2015-03-23","47.54719","48.166","47.4733","47.48253","4978102",""
"MET","2015-03-24T00:00:00-04:00","2015-03-24","47.3717","47.44559","46.97455","47.00226","8678060",""
"MET","2015-03-25T00:00:00-04:00","2015-03-25","47.02073","47.15928","46.4481","46.46657","4849692",""
"MET","2015-03-26T00:00:00-04:00","2015-03-26","46.22643","47.02073","46.16178","46.71594","6761440",""
"MET","2015-03-27T00:00:00-04:00","2015-03-27","46.54045","46.71594","46.27261","46.42963","5051077",""
"MET","2015-03-30T00:00:00-04:00","2015-03-30","46.86372","47.36246","46.75288","47.0392","5039167",""
"MET","2015-03-31T00:00:00-04:00","2015-03-31","46.70671","46.82677","46.4758","46.68823","5835719",""
"MET","2015-04-01T00:00:00-04:00","2015-04-01","46.41115","46.69747","46.22643","46.42963","4549347",""
"MET","2015-04-02T00:00:00-04:00","2015-04-02","46.4758","47.28858","46.2449","47.19622","5401659",""
"MET","2015-04-06T00:00:00-04:00","2015-04-06","46.62358","47.33476","46.37421","47.26087","7607797",""
"MET","2015-04-07T00:00:00-04:00","2015-04-07","47.45483","47.45483","46.90066","46.91914","3450934",""
"MET","2015-04-08T00:00:00-04:00","2015-04-08","47.12233","47.41788","46.90066","47.19622","5673312",""
"MET","2015-04-09T00:00:00-04:00","2015-04-09","47.04844","47.67649","46.92837","47.51948","5051293",""
"MET","2015-04-10T00:00:00-04:00","2015-04-10","47.39017","47.51024","46.9099","46.93761","5003654",""
"MET","2015-04-13T00:00:00-04:00","2015-04-13","47.05768","47.49177","46.78983","47.35323","5711857",""
"MET","2015-04-14T00:00:00-04:00","2015-04-14","46.63282","46.95608","46.27261","46.59587","7850542",""
"MET","2015-04-15T00:00:00-04:00","2015-04-15","46.71594","47.2424","46.71594","46.96531","6587881",""
"MET","2015-04-16T00:00:00-04:00","2015-04-16","46.95608","47.34399","46.66053","47.10386","5238386",""
"MET","2015-04-17T00:00:00-04:00","2015-04-17","46.70671","46.9099","46.38345","46.64206","6246718",""
"MET","2015-04-20T00:00:00-04:00","2015-04-20","46.92837","47.27011","46.78983","46.83601","4750840",""
"MET","2015-04-21T00:00:00-04:00","2015-04-21","47.0115","47.27011","46.28185","46.54045","6988268",""
"MET","2015-04-22T00:00:00-04:00","2015-04-22","46.52198","47.20545","46.10636","47.15004","7265984",""
