symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"MHK","2015-01-02T00:00:00-05:00","2015-01-02","156.66","156.95","151.22","154.57","988200",""
"MHK","2015-01-05T00:00:00-05:00","2015-01-05","153.5","154.68","152.42","154.11","709900",""
"MHK","2015-01-06T00:00:00-05:00","2015-01-06","154.58","155.31","151.15","152.74","605700",""
"MHK","2015-01-07T00:00:00-05:00","2015-01-07","154.22","155.33","153.52","154.05","478700",""
"MHK","2015-01-08T00:00:00-05:00","2015-01-08","155.4","156.67","155.24","155.99","839800",""
"MHK","2015-01-09T00:00:00-05:00","2015-01-09","156.5","159.95","155.73","158.35","1146800",""
"MHK","2015-01-12T00:00:00-05:00","2015-01-12","158.7","158.97","155.81","157.76","445500",""
"MHK","2015-01-13T00:00:00-05:00","2015-01-13","159.82","164.11","156.06","160.11","1824400",""
"MHK","2015-01-14T00:00:00-05:00","2015-01-14","163.26","167.64","162.09","167.05","2991700",""
"MHK","2015-01-15T00:00:00-05:00","2015-01-15","167.75","170.06","161.48","162.66","1946300",""
"MHK","2015-01-16T00:00:00-05:00","2015-01-16","162.18","168.56","161.16","168.45","981500",""
"MHK","2015-01-20T00:00:00-05:00","2015-01-20","169.85","169.85","166.22","168.83","1272300",""
"MHK","2015-01-21T00:00:00-05:00","2015-01-21","168.54","169.74","166.23","167.3","629900",""
"MHK","2015-01-22T00:00:00-05:00","2015-01-22","167.81","169.73","165.77","168.1","707600",""
"MHK","2015-01-23T00:00:00-05:00","2015-01-23","168.15","168.88","166.32","167.09","368400",""
"MHK","2015-01-26T00:00:00-05:00","2015-01-26","168.5","169.37","167.11","167.6","653500",""
"MHK","2015-01-27T00:00:00-05:00","2015-01-27","165.6","167.26","165.01","165.63","632700",""
"MHK","2015-01-28T00:00:00-05:00","2015-01-28","167.14","167.99","164.35","164.76","469000",""
"MHK","2015-01-29T00:00:00-05:00","2015-01-29","164.55","169.36","164.01","169.03","615100",""
"MHK","2015-01-30T00:00:00-05:00","2015-01-30","167.51","167.84","164.78","165.04","587300",""
"MHK","2015-02-02T00:00:00-05:00","2015-02-02","166.96","167.84","163.39","166.71","534100",""
"MHK","2015-02-03T00:00:00-05:00","2015-02-03","166.78","169.38","165.83","169.06","585100",""
"MHK","2015-02-04T00:00:00-05:00","2015-02-04","169.04","170.96","168","168.34","553500",""
"MHK","2015-02-05T00:00:00-05:00","2015-02-05","168.89","169.58","165.72","166.48","585500",""
"MHK","2015-02-06T00:00:00-05:00","2015-02-06","166.32","166.65","164.57","165.53","593200",""
"MHK","2015-02-09T00:00:00-05:00","2015-02-09","165.4","166.66","162.41","165.87","899000",""
"MHK","2015-02-10T00:00:00-05:00","2015-02-10","167.98","170","165.66","168.25","840400",""
"MHK","2015-02-11T00:00:00-05:00","2015-02-11","168.31","169.99","166.26","168.35","551300",""
"MHK","2015-02-12T00:00:00-05:00","2015-02-12","168.7","172.17","168.7","171.92","563700",""
"MHK","2015-02-13T00:00:00-05:00","2015-02-13","172.08","173.44","170.51","173","479800",""
"MHK","2015-02-17T00:00:00-05:00","2015-02-17","172.74","172.79","169.64","171.44","937300",""
"MHK","2015-02-18T00:00:00-05:00","2015-02-18","170.67","172.11","169.6","171.67","716500",""
"MHK","2015-02-19T00:00:00-05:00","2015-02-19","171.52","174.8","171.5","172.67","867000",""
"MHK","2015-02-20T00:00:00-05:00","2015-02-20","182.4","187.24","179.14","184.26","1938300",""
"MHK","2015-02-23T00:00:00-05:00","2015-02-23","184.26","185.53","182.14","183.24","1426500",""
"MHK","2015-02-24T00:00:00-05:00","2015-02-24","183.24","184.33","181.49","183.51","734800",""
"MHK","2015-02-25T00:00:00-05:00","2015-02-25","183.54","186.56","183.48","185.89","657400",""
"MHK","2015-02-26T00:00:00-05:00","2015-02-26","186.22","187.25","184.13","186.15","760700",""
"MHK","2015-02-27T00:00:00-05:00","2015-02-27","186.8","187.45","184.24","184.35","1091200",""
"MHK","2015-03-02T00:00:00-05:00","2015-03-02","185.16","188.26","184.94","186.17","729700",""
"MHK","2015-03-03T00:00:00-05:00","2015-03-03","186.27","186.47","184.35","185.59","566700",""
"MHK","2015-03-04T00:00:00-05:00","2015-03-04","184.53","185.59","181.5","185.03","796200",""
"MHK","2015-03-05T00:00:00-05:00","2015-03-05","185.75","186.6","184.5","185.18","501000",""
"MHK","2015-03-06T00:00:00-05:00","2015-03-06","184.46","186.42","179.91","180.25","735800",""
"MHK","2015-03-09T00:00:00-04:00","2015-03-09","181.01","183.97","180.35","183.64","701300",""
"MHK","2015-03-10T00:00:00-04:00","2015-03-10","181.74","182.3","180.03","180.55","373000",""
"MHK","2015-03-11T00:00:00-04:00","2015-03-11","180.55","181.17","178.2","178.57","614000",""
"MHK","2015-03-12T00:00:00-04:00","2015-03-12","178.55","181.77","178.55","180.16","776600",""
"MHK","2015-03-13T00:00:00-04:00","2015-03-13","179.4","180.73","176.75","178.6","515400",""
"MHK","2015-03-16T00:00:00-04:00","2015-03-16","179.8","180.96","178.24","180.15","571400",""
"MHK","2015-03-17T00:00:00-04:00","2015-03-17","179.69","179.78","177.26","178","434200",""
"MHK","2015-03-18T00:00:00-04:00","2015-03-18","177.13","181.65","175.68","180.73","1179900",""
"MHK","2015-03-19T00:00:00-04:00","2015-03-19","180.31","181.74","177.83","179.87","822600",""
"MHK","2015-03-20T00:00:00-04:00","2015-03-20","180.61","182.94","180.57","181.03","799000",""
"MHK","2015-03-23T00:00:00-04:00","2015-03-23","181.19","183.21","180.85","181.09","375900",""
"MHK","2015-03-24T00:00:00-04:00","2015-03-24","180.79","184.68","180.43","181.48","631200",""
"MHK","2015-03-25T00:00:00-04:00","2015-03-25","181.4","183.02","180.49","180.95","720600",""
"MHK","2015-03-26T00:00:00-04:00","2015-03-26","180.13","181.12","178.44","180.09","872100",""
"MHK","2015-03-27T00:00:00-04:00","2015-03-27","179.43","181.61","179.37","181.22","410000",""
"MHK","2015-03-30T00:00:00-04:00","2015-03-30","182.84","185.03","182.84","184.72","410000",""
"MHK","2015-03-31T00:00:00-04:00","2015-03-31","183.88","188.29","183.83","185.75","649300",""
"MHK","2015-04-01T00:00:00-04:00","2015-04-01","185.85","186.16","183.28","184.66","491100",""
"MHK","2015-04-02T00:00:00-04:00","2015-04-02","184.44","187.29","183.47","185.28","368900",""
"MHK","2015-04-06T00:00:00-04:00","2015-04-06","183.89","185.74","183.29","183.41","472400",""
"MHK","2015-04-07T00:00:00-04:00","2015-04-07","183.28","184.25","181.02","181.1","348400",""
"MHK","2015-04-08T00:00:00-04:00","2015-04-08","181.01","183.41","180.61","183.41","430100",""
"MHK","2015-04-09T00:00:00-04:00","2015-04-09","183.32","184.81","181.7","184.25","320300",""
"MHK","2015-04-10T00:00:00-04:00","2015-04-10","184.24","184.46","181.66","183.86","365300",""
"MHK","2015-04-13T00:00:00-04:00","2015-04-13","183.34","184.54","182.18","182.41","339400",""
"MHK","2015-04-14T00:00:00-04:00","2015-04-14","182.4","183.67","180.01","183.36","487800",""
"MHK","2015-04-15T00:00:00-04:00","2015-04-15","183.7","184.57","181.22","181.49","309600",""
