symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"MJN","2015-01-02T00:00:00-05:00","2015-01-02","100.62","101.19","99.37","99.94","570400",""
"MJN","2015-01-05T00:00:00-05:00","2015-01-05","98.8","99.2","97.13","98.13","1541600",""
"MJN","2015-01-06T00:00:00-05:00","2015-01-06","98.55","99.61","97.33","97.75","1618000",""
"MJN","2015-01-07T00:00:00-05:00","2015-01-07","98.22","99.68","97.57","99.48","969500",""
"MJN","2015-01-08T00:00:00-05:00","2015-01-08","100.07","101.85","99.72","101.41","1100400",""
"MJN","2015-01-09T00:00:00-05:00","2015-01-09","102.86","103.76","101.29","101.97","1094400",""
"MJN","2015-01-12T00:00:00-05:00","2015-01-12","101.93","102.79","99.61","100.09","1119400",""
"MJN","2015-01-13T00:00:00-05:00","2015-01-13","100.74","101.77","98.49","99.39","952000",""
"MJN","2015-01-14T00:00:00-05:00","2015-01-14","97.83","98.76","97.21","98.72","1226400",""
"MJN","2015-01-15T00:00:00-05:00","2015-01-15","99.27","99.66","98.18","98.55","847900",""
"MJN","2015-01-16T00:00:00-05:00","2015-01-16","98.63","100.5","98.23","100.35","1005800",""
"MJN","2015-01-20T00:00:00-05:00","2015-01-20","100.91","101.14","99.89","100.47","962200",""
"MJN","2015-01-21T00:00:00-05:00","2015-01-21","100.18","101.23","99.73","100.52","1008500",""
"MJN","2015-01-22T00:00:00-05:00","2015-01-22","101.33","101.33","99.3","99.95","2261200",""
"MJN","2015-01-23T00:00:00-05:00","2015-01-23","100","100","98.19","98.36","1446700",""
"MJN","2015-01-26T00:00:00-05:00","2015-01-26","98.55","98.74","97.68","98.14","1288000",""
"MJN","2015-01-27T00:00:00-05:00","2015-01-27","97.53","100","97.09","99.43","1238400",""
"MJN","2015-01-28T00:00:00-05:00","2015-01-28","100.16","100.78","98.65","98.69","1721200",""
"MJN","2015-01-29T00:00:00-05:00","2015-01-29","99.45","101.76","97.27","101.76","1642200",""
"MJN","2015-01-30T00:00:00-05:00","2015-01-30","100.59","101.27","98.21","98.49","1350400",""
"MJN","2015-02-02T00:00:00-05:00","2015-02-02","98.66","99.62","97.22","99.61","1148400",""
"MJN","2015-02-03T00:00:00-05:00","2015-02-03","99.85","100.37","98.85","100.08","762000",""
"MJN","2015-02-04T00:00:00-05:00","2015-02-04","100.57","101.23","99.13","99.49","1198200",""
"MJN","2015-02-05T00:00:00-05:00","2015-02-05","99.01","100.14","98.62","100.11","967200",""
"MJN","2015-02-06T00:00:00-05:00","2015-02-06","100.25","100.48","99.21","99.61","861600",""
"MJN","2015-02-09T00:00:00-05:00","2015-02-09","99.59","99.99","98.31","98.43","843200",""
"MJN","2015-02-10T00:00:00-05:00","2015-02-10","99.22","99.22","98.07","98.82","1156700",""
"MJN","2015-02-11T00:00:00-05:00","2015-02-11","99.01","99.47","97.87","98.87","951200",""
"MJN","2015-02-12T00:00:00-05:00","2015-02-12","99.07","99.65","98.59","99.57","602100",""
"MJN","2015-02-13T00:00:00-05:00","2015-02-13","99.6","102.02","99.06","101.89","1270200",""
"MJN","2015-02-17T00:00:00-05:00","2015-02-17","101.75","103.56","101.14","103.49","1120800",""
"MJN","2015-02-18T00:00:00-05:00","2015-02-18","103.09","104.74","102.87","104.02","1731300",""
"MJN","2015-02-19T00:00:00-05:00","2015-02-19","103.98","105.39","103.91","104.71","902300",""
"MJN","2015-02-20T00:00:00-05:00","2015-02-20","104.54","105.17","103.72","105.01","468600",""
"MJN","2015-02-23T00:00:00-05:00","2015-02-23","104.51","105.11","104.16","105.07","840300",""
"MJN","2015-02-24T00:00:00-05:00","2015-02-24","104.52","105.18","103.8","104.88","758000",""
"MJN","2015-02-25T00:00:00-05:00","2015-02-25","104.78","105.3","104.42","104.74","456800",""
"MJN","2015-02-26T00:00:00-05:00","2015-02-26","104.53","104.79","103.92","104.35","589300",""
"MJN","2015-02-27T00:00:00-05:00","2015-02-27","104.35","105.45","104.23","104.76","696900",""
"MJN","2015-03-02T00:00:00-05:00","2015-03-02","104.57","105.13","104.13","104.64","642600",""
"MJN","2015-03-03T00:00:00-05:00","2015-03-03","104.22","104.58","103.25","104.12","939300",""
"MJN","2015-03-04T00:00:00-05:00","2015-03-04","104","104","102.45","102.85","831600",""
"MJN","2015-03-05T00:00:00-05:00","2015-03-05","102.81","103.15","101.57","102.97","683600",""
"MJN","2015-03-06T00:00:00-05:00","2015-03-06","102.34","102.34","100.94","101.36","904800",""
"MJN","2015-03-09T00:00:00-04:00","2015-03-09","101.52","102.07","101.04","101.77","714600",""
"MJN","2015-03-10T00:00:00-04:00","2015-03-10","101.18","101.28","99.44","99.51","1090500",""
"MJN","2015-03-11T00:00:00-04:00","2015-03-11","99.29","99.46","98.17","98.44","663500",""
"MJN","2015-03-12T00:00:00-04:00","2015-03-12","98.51","99.72","98.43","99.69","733500",""
"MJN","2015-03-13T00:00:00-04:00","2015-03-13","99.33","99.73","98.5","99.4","884300",""
"MJN","2015-03-16T00:00:00-04:00","2015-03-16","100","101.15","100","101.13","1180400",""
"MJN","2015-03-17T00:00:00-04:00","2015-03-17","100.55","100.59","99.17","99.99","950200",""
"MJN","2015-03-18T00:00:00-04:00","2015-03-18","99.82","102.12","98.86","101.38","1252300",""
"MJN","2015-03-19T00:00:00-04:00","2015-03-19","100.91","101.23","99.79","100.2","636800",""
"MJN","2015-03-20T00:00:00-04:00","2015-03-20","100.98","102.41","100.4","102.28","1090800",""
"MJN","2015-03-23T00:00:00-04:00","2015-03-23","102.52","102.99","101.87","101.89","865500",""
"MJN","2015-03-24T00:00:00-04:00","2015-03-24","101.89","102.29","100.03","100.04","811400",""
"MJN","2015-03-25T00:00:00-04:00","2015-03-25","101.01","102.09","99.76","99.96","1313400",""
"MJN","2015-03-26T00:00:00-04:00","2015-03-26","99.58","100.05","98.73","99.31","1438900",""
"MJN","2015-03-27T00:00:00-04:00","2015-03-27","99.1","100.31","98.95","100.05","605200",""
"MJN","2015-03-30T00:00:00-04:00","2015-03-30","100.43","101.93","99.95","101.54","873300",""
"MJN","2015-03-31T00:00:00-04:00","2015-03-31","101.23","101.8","100.5","100.53","753900",""
"MJN","2015-04-01T00:00:00-04:00","2015-04-01","100.55","101.18","98.99","101.15","1246500",""
"MJN","2015-04-02T00:00:00-04:00","2015-04-02","101.29","103.56","100.88","103.11","934100",""
"MJN","2015-04-06T00:00:00-04:00","2015-04-06","102.41","104.34","102.4","103.01","747800",""
"MJN","2015-04-07T00:00:00-04:00","2015-04-07","103.02","103.81","102.61","102.64","584000",""
"MJN","2015-04-08T00:00:00-04:00","2015-04-08","102.68","103.23","101.6","102.12","855100",""
"MJN","2015-04-09T00:00:00-04:00","2015-04-09","102.09","102.31","100.87","101.49","1156700",""
"MJN","2015-04-10T00:00:00-04:00","2015-04-10","101.83","103.09","101.48","102.68","1035000",""
"MJN","2015-04-13T00:00:00-04:00","2015-04-13","102.5","103.01","101.1","101.1","691800",""
"MJN","2015-04-14T00:00:00-04:00","2015-04-14","100.74","101.68","100.51","101.3","1048800",""
"MJN","2015-04-15T00:00:00-04:00","2015-04-15","101.3","102.01","100.93","101.03","1178100",""
"MJN","2015-04-16T00:00:00-04:00","2015-04-16","101.07","101.62","100.58","100.9","876600",""
"MJN","2015-04-17T00:00:00-04:00","2015-04-17","100.1","100.62","99.81","100.16","1525700",""
"MJN","2015-04-20T00:00:00-04:00","2015-04-20","100.49","101.26","99.9","100.25","1101900",""
"MJN","2015-04-21T00:00:00-04:00","2015-04-21","100.58","100.76","99.55","99.92","1408200",""
"MJN","2015-04-22T00:00:00-04:00","2015-04-22","100.5","100.5","98.88","98.92","1770800",""
"MJN","2015-04-23T00:00:00-04:00","2015-04-23","97.5","97.5","95.46","96.41","3543900",""
"MJN","2015-04-24T00:00:00-04:00","2015-04-24","96.35","98.47","96.3","97.94","2899900",""
"MJN","2015-04-27T00:00:00-04:00","2015-04-27","98.1","98.6","96.08","96.22","3229000",""
