symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"MMM","2015-01-02T00:00:00-05:00","2015-01-02","153.4813","153.826","151.6363","152.8756","2272416",""
"MMM","2015-01-05T00:00:00-05:00","2015-01-05","151.8878","152.4842","149.1669","149.4278","3963073",""
"MMM","2015-01-06T00:00:00-05:00","2015-01-06","149.8565","150.369","146.9865","147.8344","3795875",""
"MMM","2015-01-07T00:00:00-05:00","2015-01-07","148.9992","149.3533","148.1046","148.906","3306621",""
"MMM","2015-01-08T00:00:00-05:00","2015-01-08","149.698","152.5308","149.5769","152.4749","3379918",""
"MMM","2015-01-09T00:00:00-05:00","2015-01-09","152.6799","152.8197","150.2758","150.6019","2552511",""
"MMM","2015-01-12T00:00:00-05:00","2015-01-12","151.3194","151.3194","149.111","149.7819","2306436",""
"MMM","2015-01-13T00:00:00-05:00","2015-01-13","151.1703","153.1738","148.5799","149.6701","2904615",""
"MMM","2015-01-14T00:00:00-05:00","2015-01-14","148.291","149.5862","147.6946","148.9433","2128613",""
"MMM","2015-01-15T00:00:00-05:00","2015-01-15","149.9217","150.4342","148.5053","148.7756","2019043",""
"MMM","2015-01-16T00:00:00-05:00","2015-01-16","148.9619","151.1237","148.2444","150.956","2521497",""
"MMM","2015-01-20T00:00:00-05:00","2015-01-20","151.6269","152.2606","149.1483","150.9001","2249558",""
"MMM","2015-01-21T00:00:00-05:00","2015-01-21","150.6392","152.2326","150.0428","151.4592","1714480",""
"MMM","2015-01-22T00:00:00-05:00","2015-01-22","152.1301","154.674","151.0772","154.5808","2388640",""
"MMM","2015-01-23T00:00:00-05:00","2015-01-23","154.4504","154.6647","152.7358","152.8383","2413644",""
"MMM","2015-01-26T00:00:00-05:00","2015-01-26","152.4656","153.0806","150.7697","153.0433","3816372",""
"MMM","2015-01-27T00:00:00-05:00","2015-01-27","151.2449","153.882","149.9683","152.4749","4497292",""
"MMM","2015-01-28T00:00:00-05:00","2015-01-28","153.3881","155.2145","152.596","152.7638","3836011",""
