symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"MNK","2015-01-02T00:00:00-05:00","2015-01-02","99.37","99.43","96.34","96.96","865700",""
"MNK","2015-01-05T00:00:00-05:00","2015-01-05","96.75","97.24","94.93","96.07","1053700",""
"MNK","2015-01-06T00:00:00-05:00","2015-01-06","95.06","96.76","92.81","93.89","1563200",""
"MNK","2015-01-07T00:00:00-05:00","2015-01-07","94.53","97.33","94.53","96.91","1342700",""
"MNK","2015-01-08T00:00:00-05:00","2015-01-08","97.69","100.16","97.5","100.16","1813100",""
"MNK","2015-01-09T00:00:00-05:00","2015-01-09","100.42","104.64","100.2","103.57","1736200",""
"MNK","2015-01-12T00:00:00-05:00","2015-01-12","104.18","104.18","101.22","102.46","1216400",""
"MNK","2015-01-13T00:00:00-05:00","2015-01-13","103","106.99","102.55","105.32","1719900",""
"MNK","2015-01-14T00:00:00-05:00","2015-01-14","104.79","105.92","103.82","104.25","1436100",""
"MNK","2015-01-15T00:00:00-05:00","2015-01-15","104.33","104.87","103.4","103.84","832200",""
"MNK","2015-01-16T00:00:00-05:00","2015-01-16","103.53","105.19","103.47","105","977100",""
"MNK","2015-01-20T00:00:00-05:00","2015-01-20","105.23","106.97","103.02","103.6","1155900",""
"MNK","2015-01-21T00:00:00-05:00","2015-01-21","103.46","106.31","103.31","105.48","736400",""
"MNK","2015-01-22T00:00:00-05:00","2015-01-22","105.72","106.16","102.98","105.23","789500",""
"MNK","2015-01-23T00:00:00-05:00","2015-01-23","105.77","107.79","105.11","106.98","884900",""
"MNK","2015-01-26T00:00:00-05:00","2015-01-26","106.58","107.98","106.58","107.4","680100",""
"MNK","2015-01-27T00:00:00-05:00","2015-01-27","106.74","108.5","106.08","107.33","704300",""
"MNK","2015-01-28T00:00:00-05:00","2015-01-28","107.75","108.17","105.63","105.85","889000",""
"MNK","2015-01-29T00:00:00-05:00","2015-01-29","105.92","109.74","105.03","108.74","1070500",""
"MNK","2015-01-30T00:00:00-05:00","2015-01-30","107.5","108.42","105.17","105.99","1341300",""
"MNK","2015-02-02T00:00:00-05:00","2015-02-02","106.06","107.75","104.65","106.74","1458200",""
"MNK","2015-02-03T00:00:00-05:00","2015-02-03","103.5","108.3","100.61","104.93","4201800",""
"MNK","2015-02-04T00:00:00-05:00","2015-02-04","104.38","107.86","104.22","105.83","1539400",""
"MNK","2015-02-05T00:00:00-05:00","2015-02-05","107.26","114.7","107.12","109.37","2178600",""
"MNK","2015-02-06T00:00:00-05:00","2015-02-06","108.94","110.2","107.94","108.51","851900",""
"MNK","2015-02-09T00:00:00-05:00","2015-02-09","108.22","109.11","106.83","107.82","813500",""
"MNK","2015-02-10T00:00:00-05:00","2015-02-10","108.69","110.94","108.45","110.79","756300",""
"MNK","2015-02-11T00:00:00-05:00","2015-02-11","111.08","111.25","108.08","109.34","966500",""
"MNK","2015-02-12T00:00:00-05:00","2015-02-12","110.27","112.52","109.37","112.5","1056700",""
"MNK","2015-02-13T00:00:00-05:00","2015-02-13","114.35","115.44","113.46","115.01","1204000",""
"MNK","2015-02-17T00:00:00-05:00","2015-02-17","114.59","117.42","114.41","117.37","1075000",""
"MNK","2015-02-18T00:00:00-05:00","2015-02-18","117.56","117.98","116.44","117.96","623700",""
"MNK","2015-02-19T00:00:00-05:00","2015-02-19","117.55","117.8","115.94","116.9","658200",""
"MNK","2015-02-20T00:00:00-05:00","2015-02-20","116.48","117.59","115.05","117.58","838600",""
"MNK","2015-02-23T00:00:00-05:00","2015-02-23","118.75","122.01","118.45","120.18","1261700",""
"MNK","2015-02-24T00:00:00-05:00","2015-02-24","120.41","121.03","117.44","117.82","883200",""
"MNK","2015-02-25T00:00:00-05:00","2015-02-25","118.09","118.36","115.82","116.15","850300",""
"MNK","2015-02-26T00:00:00-05:00","2015-02-26","116.43","119.71","116.19","119.61","840100",""
"MNK","2015-02-27T00:00:00-05:00","2015-02-27","119.79","119.99","116.04","116.72","975700",""
"MNK","2015-03-02T00:00:00-05:00","2015-03-02","116.72","118.98","116.09","118.82","614000",""
"MNK","2015-03-03T00:00:00-05:00","2015-03-03","118.03","118.72","114.27","114.85","975300",""
"MNK","2015-03-04T00:00:00-05:00","2015-03-04","114.66","116.59","113.27","116.19","991900",""
"MNK","2015-03-05T00:00:00-05:00","2015-03-05","120.71","123.96","120.57","121.7","2333300",""
"MNK","2015-03-06T00:00:00-05:00","2015-03-06","122.24","124.57","120.91","121.33","1724700",""
"MNK","2015-03-09T00:00:00-04:00","2015-03-09","121.77","122.98","120.32","122.28","952900",""
"MNK","2015-03-10T00:00:00-04:00","2015-03-10","121.01","122.69","120.39","120.59","867800",""
"MNK","2015-03-11T00:00:00-04:00","2015-03-11","120.62","122.65","119.26","119.42","944400",""
"MNK","2015-03-12T00:00:00-04:00","2015-03-12","120.12","123.47","120","123.33","887700",""
"MNK","2015-03-13T00:00:00-04:00","2015-03-13","122.53","124.96","122.11","124.12","1187100",""
"MNK","2015-03-16T00:00:00-04:00","2015-03-16","125.29","126.97","124.7","126.43","1220200",""
"MNK","2015-03-17T00:00:00-04:00","2015-03-17","126.75","131.85","126.46","131.26","1894400",""
"MNK","2015-03-18T00:00:00-04:00","2015-03-18","131","133.51","130.55","132.51","1937300",""
"MNK","2015-03-19T00:00:00-04:00","2015-03-19","132.4","133.5","130.34","131.21","1373700",""
"MNK","2015-03-20T00:00:00-04:00","2015-03-20","132.72","133.6","130.58","132.47","2225100",""
"MNK","2015-03-23T00:00:00-04:00","2015-03-23","132.47","134.26","129.6","130.55","1839700",""
"MNK","2015-03-24T00:00:00-04:00","2015-03-24","130.21","131.66","129.48","129.68","1065300",""
"MNK","2015-03-25T00:00:00-04:00","2015-03-25","130.02","130.57","126.62","126.66","1879200",""
