symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"MNST","2015-01-02T00:00:00-05:00","2015-01-02","109.4","109.89","106.77","108.16","655900",""
"MNST","2015-01-05T00:00:00-05:00","2015-01-05","108.17","109.8","108.14","109.43","1086400",""
"MNST","2015-01-06T00:00:00-05:00","2015-01-06","109.45","113.99","109.27","112.28","1924700",""
"MNST","2015-01-07T00:00:00-05:00","2015-01-07","112.43","116","112.43","115.96","1519800",""
"MNST","2015-01-08T00:00:00-05:00","2015-01-08","116.48","118.7","116.48","117.71","1512400",""
"MNST","2015-01-09T00:00:00-05:00","2015-01-09","118.16","118.25","116.28","117.04","1036700",""
"MNST","2015-01-12T00:00:00-05:00","2015-01-12","116.74","117.57","111.92","111.96","2559400",""
"MNST","2015-01-13T00:00:00-05:00","2015-01-13","112.52","116.25","112.04","113.11","1754800",""
"MNST","2015-01-14T00:00:00-05:00","2015-01-14","113.59","118.06","113.5","117.74","1559100",""
"MNST","2015-01-15T00:00:00-05:00","2015-01-15","118.59","118.78","115.66","116.26","1064800",""
"MNST","2015-01-16T00:00:00-05:00","2015-01-16","115.89","118.97","115.89","118.89","948800",""
"MNST","2015-01-20T00:00:00-05:00","2015-01-20","118.97","119.17","116.95","117.44","1023800",""
"MNST","2015-01-21T00:00:00-05:00","2015-01-21","117.58","119.01","116.25","118.54","756100",""
"MNST","2015-01-22T00:00:00-05:00","2015-01-22","118.97","120.15","116.85","119.99","908500",""
"MNST","2015-01-23T00:00:00-05:00","2015-01-23","120.21","120.86","119.03","119.31","869700",""
"MNST","2015-01-26T00:00:00-05:00","2015-01-26","119.61","120.01","118.03","119.94","822800",""
"MNST","2015-01-27T00:00:00-05:00","2015-01-27","119","119.7","117.69","118.81","846600",""
"MNST","2015-01-28T00:00:00-05:00","2015-01-28","119.4","122.27","119.03","119.21","1191300",""
"MNST","2015-01-29T00:00:00-05:00","2015-01-29","119.71","120.84","118.93","120.77","772700",""
"MNST","2015-01-30T00:00:00-05:00","2015-01-30","119.53","119.86","116.58","116.95","1022000",""
"MNST","2015-02-02T00:00:00-05:00","2015-02-02","116.79","117.62","114.7","117.55","897800",""
"MNST","2015-02-03T00:00:00-05:00","2015-02-03","116.4","118.35","115.62","116.67","1034600",""
"MNST","2015-02-04T00:00:00-05:00","2015-02-04","116.57","119.54","116.11","118.73","907300",""
"MNST","2015-02-05T00:00:00-05:00","2015-02-05","118.95","119.99","117.72","118.37","665400",""
"MNST","2015-02-06T00:00:00-05:00","2015-02-06","118.28","118.64","116.4","117.15","512800",""
"MNST","2015-02-09T00:00:00-05:00","2015-02-09","116.56","117.13","115.26","115.94","664300",""
"MNST","2015-02-10T00:00:00-05:00","2015-02-10","116.11","118.84","116.06","118.49","511000",""
"MNST","2015-02-11T00:00:00-05:00","2015-02-11","118.5","119.41","118.11","118.99","661700",""
"MNST","2015-02-12T00:00:00-05:00","2015-02-12","118.54","119.74","118.02","119.51","591900",""
"MNST","2015-02-13T00:00:00-05:00","2015-02-13","119.61","119.61","116.35","117.74","803600",""
"MNST","2015-02-17T00:00:00-05:00","2015-02-17","117.04","119.15","116.55","118.71","515700",""
"MNST","2015-02-18T00:00:00-05:00","2015-02-18","118.59","120.61","118.01","120.28","566100",""
"MNST","2015-02-19T00:00:00-05:00","2015-02-19","120.22","121.92","119.85","121.13","586200",""
"MNST","2015-02-20T00:00:00-05:00","2015-02-20","121.22","121.43","119.42","121.26","555500",""
"MNST","2015-02-23T00:00:00-05:00","2015-02-23","121.61","122.37","120.71","122.11","768700",""
"MNST","2015-02-24T00:00:00-05:00","2015-02-24","123.3","125.61","123.2","124.81","1104900",""
"MNST","2015-02-25T00:00:00-05:00","2015-02-25","125.27","126","122.46","123.79","908500",""
"MNST","2015-02-26T00:00:00-05:00","2015-02-26","124.06","125","122.3","124.74","2148000",""
