symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"MO","2015-01-02T00:00:00-05:00","2015-01-02","44.42885","44.73525","43.77999","44.13145","6744388",""
"MO","2015-01-05T00:00:00-05:00","2015-01-05","43.83406","44.14948","43.72592","43.87912","7656955",""
"MO","2015-01-06T00:00:00-05:00","2015-01-06","44.15849","44.74427","44.05936","44.14046","8033678",""
"MO","2015-01-07T00:00:00-05:00","2015-01-07","44.45589","45.08672","44.44687","44.95154","6094694",""
"MO","2015-01-08T00:00:00-05:00","2015-01-08","45.29399","45.89779","45.23992","45.70855","5207759",""
"MO","2015-01-09T00:00:00-05:00","2015-01-09","45.94285","46.06001","45.49226","45.6004","7199562",""
"MO","2015-01-12T00:00:00-05:00","2015-01-12","45.78064","46.14112","45.69052","45.88878","7067848",""
"MO","2015-01-13T00:00:00-05:00","2015-01-13","46.10507","46.66381","45.87977","46.24926","8279019",""
"MO","2015-01-14T00:00:00-05:00","2015-01-14","45.99693","46.63677","45.73558","46.61875","6918823",""
"MO","2015-01-15T00:00:00-05:00","2015-01-15","46.82602","47.62809","46.69986","47.28563","8991075",""
"MO","2015-01-16T00:00:00-05:00","2015-01-16","47.17749","47.87141","47.15045","47.80832","11176510",""
"MO","2015-01-20T00:00:00-05:00","2015-01-20","48.62841","49.09703","47.9435","48.51126","7197454",""
"MO","2015-01-21T00:00:00-05:00","2015-01-21","48.44817","48.97086","48.24991","48.90778","6373435",""
"MO","2015-01-22T00:00:00-05:00","2015-01-22","49.25024","49.28628","48.73656","49.25925","7954894",""
"MO","2015-01-23T00:00:00-05:00","2015-01-23","49.27727","49.30431","48.82668","48.83569","7311525",""
"MO","2015-01-26T00:00:00-05:00","2015-01-26","48.85371","49.07901","48.52928","49.06098","6823838",""
"MO","2015-01-27T00:00:00-05:00","2015-01-27","48.69149","49.35838","48.66446","49.16913","6258921",""
"MO","2015-01-28T00:00:00-05:00","2015-01-28","49.34035","49.72787","48.60138","48.67347","6988731",""
"MO","2015-01-29T00:00:00-05:00","2015-01-29","48.61039","49.16011","48.322","49.01592","7178035",""
"MO","2015-01-30T00:00:00-05:00","2015-01-30","48.71853","49.23221","47.76326","47.85338","11043464",""
"MO","2015-02-02T00:00:00-05:00","2015-02-02","47.98856","48.52027","47.74524","48.48422","10190373",""
"MO","2015-02-03T00:00:00-05:00","2015-02-03","48.51126","49.01592","48.28596","48.89877","10796236",""
"MO","2015-02-04T00:00:00-05:00","2015-02-04","48.82668","49.23221","48.55632","48.69149","9089611",""
"MO","2015-02-05T00:00:00-05:00","2015-02-05","48.9979","49.02494","48.30398","48.36706","9378783",""
"MO","2015-02-06T00:00:00-05:00","2015-02-06","48.23189","48.34003","47.96153","48.06066","8662511",""
"MO","2015-02-09T00:00:00-05:00","2015-02-09","47.90746","48.20485","47.68216","47.90746","6453995",""
"MO","2015-02-10T00:00:00-05:00","2015-02-10","48.21386","48.52027","48.09671","48.45718","4994265",""
"MO","2015-02-11T00:00:00-05:00","2015-02-11","48.61039","49.42146","48.47521","49.34937","8755055",""
"MO","2015-02-12T00:00:00-05:00","2015-02-12","49.39443","50.0523","49.18715","50.0523","8043665",""
"MO","2015-02-13T00:00:00-05:00","2015-02-13","50.00724","50.08834","49.12407","49.34937","6616557",""
"MO","2015-02-17T00:00:00-05:00","2015-02-17","49.07","49.84502","48.76359","49.69182","7924267",""
"MO","2015-02-18T00:00:00-05:00","2015-02-18","49.46652","49.78194","49.36739","49.78194","5147395",""
"MO","2015-02-19T00:00:00-05:00","2015-02-19","49.93514","50.18747","49.64676","49.99823","7027124",""
"MO","2015-02-20T00:00:00-05:00","2015-02-20","49.91712","50.19649","49.48454","50.11538","7637093",""
"MO","2015-02-23T00:00:00-05:00","2015-02-23","50.23254","50.37673","49.98922","50.02526","5843028",""
"MO","2015-02-24T00:00:00-05:00","2015-02-24","50.16945","50.36771","49.88107","50.21451","7150072",""
"MO","2015-02-25T00:00:00-05:00","2015-02-25","50.29562","50.45784","50.06131","50.14241","5687013",""
"MO","2015-02-26T00:00:00-05:00","2015-02-26","50.22352","50.63807","50.10637","50.54795","4970629",""
"MO","2015-02-27T00:00:00-05:00","2015-02-27","50.54795","51.00756","50.42179","50.72819","5501481",""
"MO","2015-03-02T00:00:00-05:00","2015-03-02","50.85436","51.09768","50.68313","50.91744","5472075",""
"MO","2015-03-03T00:00:00-05:00","2015-03-03","50.91744","51.07966","50.52993","50.88139","4915036",""
"MO","2015-03-04T00:00:00-05:00","2015-03-04","50.71017","50.81831","50.16044","50.2776","6059186",""
"MO","2015-03-05T00:00:00-05:00","2015-03-05","50.5029","50.54795","49.85403","50.01625","6159608",""
