symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"MOS","2015-01-02T00:00:00-05:00","2015-01-02","41.91907","42.0836","41.50774","41.8368","1725914",""
"MOS","2015-01-05T00:00:00-05:00","2015-01-05","41.50774","41.76368","40.9593","41.08727","2261543",""
"MOS","2015-01-06T00:00:00-05:00","2015-01-06","41.37977","41.84594","41.01414","41.63571","3600505",""
"MOS","2015-01-07T00:00:00-05:00","2015-01-07","41.85509","42.18415","41.65399","41.85509","2662827",""
"MOS","2015-01-08T00:00:00-05:00","2015-01-08","42.21157","42.44009","42.06532","42.34868","3160165",""
"MOS","2015-01-09T00:00:00-05:00","2015-01-09","42.54977","42.5772","41.7911","42.01048","2251369",""
"MOS","2015-01-12T00:00:00-05:00","2015-01-12","42.13844","42.50407","41.35235","42.3761","3813400",""
"MOS","2015-01-13T00:00:00-05:00","2015-01-13","42.13844","42.27555","41.09641","41.5443","3043871",""
"MOS","2015-01-14T00:00:00-05:00","2015-01-14","41.38891","41.97391","40.93188","41.59001","4286123",""
"MOS","2015-01-15T00:00:00-05:00","2015-01-15","41.9922","42.21157","41.48946","41.52602","2439101",""
"MOS","2015-01-16T00:00:00-05:00","2015-01-16","41.5443","42.10188","41.37063","42.0379","3080849",""
"MOS","2015-01-20T00:00:00-05:00","2015-01-20","43.27189","43.7015","42.5772","43.55525","7543875",""
"MOS","2015-01-21T00:00:00-05:00","2015-01-21","43.71978","44.22252","43.39072","44.03056","9272962",""
"MOS","2015-01-22T00:00:00-05:00","2015-01-22","44.29564","44.50587","43.87517","44.47845","4853806",""
"MOS","2015-01-23T00:00:00-05:00","2015-01-23","44.47845","44.47845","43.82033","43.82033","3329846",""
"MOS","2015-01-26T00:00:00-05:00","2015-01-26","43.71064","44.27736","43.68322","44.18596","4534902",""
"MOS","2015-01-27T00:00:00-05:00","2015-01-27","43.82947","44.84408","43.81119","44.43275","3236855",""
"MOS","2015-01-28T00:00:00-05:00","2015-01-28","44.70697","44.74353","43.5004","43.60095","3144739",""
"MOS","2015-01-29T00:00:00-05:00","2015-01-29","43.93916","44.13111","43.44556","44.07627","3798303",""
"MOS","2015-01-30T00:00:00-05:00","2015-01-30","43.61924","45.24627","43.49126","44.50587","5618521",""
"MOS","2015-02-02T00:00:00-05:00","2015-02-02","44.70697","45.02689","44.24994","44.8715","3247795",""
"MOS","2015-02-03T00:00:00-05:00","2015-02-03","44.94463","45.98666","44.8715","45.81299","4738169",""
"MOS","2015-02-04T00:00:00-05:00","2015-02-04","45.31026","45.46565","45.01775","45.10002","3180842",""
"MOS","2015-02-05T00:00:00-05:00","2015-02-05","45.42908","45.54791","45.10002","45.51135","2598936",""
