symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"MRK","2015-01-02T00:00:00-05:00","2015-01-02","52.48749","53.01034","52.30403","52.45996","7724797",""
"MRK","2015-01-05T00:00:00-05:00","2015-01-05","53.3956","53.64327","52.80854","53.23967","17400226",""
"MRK","2015-01-06T00:00:00-05:00","2015-01-06","53.45982","55.4962","53.4323","55.33109","26477592",""
"MRK","2015-01-07T00:00:00-05:00","2015-01-07","55.44117","56.52357","55.36779","56.5144","20314672",""
"MRK","2015-01-08T00:00:00-05:00","2015-01-08","56.87214","57.72523","56.73455","57.65184","20845038",""
"MRK","2015-01-09T00:00:00-05:00","2015-01-09","57.61515","57.90869","57.02808","57.38583","13778155",""
"MRK","2015-01-12T00:00:00-05:00","2015-01-12","57.88116","58.24809","56.96387","57.14733","12612115",""
"MRK","2015-01-13T00:00:00-05:00","2015-01-13","57.70688","58.35816","56.62447","57.04643","10944490",""
"MRK","2015-01-14T00:00:00-05:00","2015-01-14","56.6153","57.70688","56.39515","57.45921","10746952",""
"MRK","2015-01-15T00:00:00-05:00","2015-01-15","57.59681","57.78027","56.71621","56.76207","10426989",""
"MRK","2015-01-16T00:00:00-05:00","2015-01-16","56.74372","57.9362","56.44102","57.81696","12396371",""
"MRK","2015-01-20T00:00:00-05:00","2015-01-20","57.52342","58.06462","56.76207","57.43169","14291404",""
"MRK","2015-01-21T00:00:00-05:00","2015-01-21","57.2574","57.58763","56.94553","57.01891","9900984",""
"MRK","2015-01-22T00:00:00-05:00","2015-01-22","57.11064","57.52342","56.44102","57.41335","9260294",""
"MRK","2015-01-23T00:00:00-05:00","2015-01-23","57.2941","57.78944","57.24823","57.32162","6790744",""
"MRK","2015-01-26T00:00:00-05:00","2015-01-26","57.40417","57.77109","56.98222","57.62432","7319910",""
"MRK","2015-01-27T00:00:00-05:00","2015-01-27","57.67936","57.80779","56.99139","57.38583","8683161",""
"MRK","2015-01-28T00:00:00-05:00","2015-01-28","57.62432","57.75275","56.24839","56.36763","9668234",""
