symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"MRO","2015-01-02T00:00:00-05:00","2015-01-02","26.55533","27.15886","26.26299","26.97025","5601496",""
"MRO","2015-01-05T00:00:00-05:00","2015-01-05","26.44217","26.44217","25.37656","25.71604","8382785",""
"MRO","2015-01-06T00:00:00-05:00","2015-01-06","25.58402","26.28185","24.96163","25.32941","12003934",""
"MRO","2015-01-07T00:00:00-05:00","2015-01-07","25.77262","26.10268","25.36713","25.6406","7649606",""
"MRO","2015-01-08T00:00:00-05:00","2015-01-08","26.05553","26.17812","25.57459","26.15926","12362570",""
"MRO","2015-01-09T00:00:00-05:00","2015-01-09","26.17812","26.31014","25.81034","26.07439","10180741",""
"MRO","2015-01-12T00:00:00-05:00","2015-01-12","25.59345","25.6406","24.61271","24.74474","8640470",""
"MRO","2015-01-13T00:00:00-05:00","2015-01-13","24.79189","25.18795","24.20722","24.41468","11474144",""
"MRO","2015-01-14T00:00:00-05:00","2015-01-14","24.09406","24.53727","23.39622","24.48069","11036400",""
"MRO","2015-01-15T00:00:00-05:00","2015-01-15","25.02764","25.09365","23.99975","24.01861","6537429",""
"MRO","2015-01-16T00:00:00-05:00","2015-01-16","24.24494","25.16909","24.17893","25.08422","7798490",""
"MRO","2015-01-20T00:00:00-05:00","2015-01-20","24.74474","24.86733","24.19779","24.46183","7704748",""
"MRO","2015-01-21T00:00:00-05:00","2015-01-21","24.7636","25.2634","24.60328","25.07479","6481227",""
"MRO","2015-01-22T00:00:00-05:00","2015-01-22","25.37656","25.40485","24.70702","25.30112","6915366",""
"MRO","2015-01-23T00:00:00-05:00","2015-01-23","25.24454","25.68775","24.99935","25.00878","6676982",""
"MRO","2015-01-26T00:00:00-05:00","2015-01-26","25.01821","25.81977","24.79189","25.71604","5374247",""
"MRO","2015-01-27T00:00:00-05:00","2015-01-27","25.27283","25.52744","24.90505","25.43314","6848665",""
"MRO","2015-01-28T00:00:00-05:00","2015-01-28","25.27283","25.3577","24.01861","24.09406","7568907",""
"MRO","2015-01-29T00:00:00-05:00","2015-01-29","24.33924","24.46183","23.43394","24.11292","8230720",""
"MRO","2015-01-30T00:00:00-05:00","2015-01-30","23.90545","25.31055","23.71685","25.08422","10160062",""
"MRO","2015-02-02T00:00:00-05:00","2015-02-02","25.51801","26.37615","25.32941","26.31014","12367978",""
"MRO","2015-02-03T00:00:00-05:00","2015-02-03","26.78165","27.30031","26.39501","27.14943","13431799",""
"MRO","2015-02-04T00:00:00-05:00","2015-02-04","26.55533","27.11171","26.17812","26.38558","11710938",""
"MRO","2015-02-05T00:00:00-05:00","2015-02-05","26.85709","27.03626","26.49875","26.76279","7751301",""
"MRO","2015-02-06T00:00:00-05:00","2015-02-06","27.03626","27.14","26.28185","26.36672","9081395",""
"MRO","2015-02-09T00:00:00-05:00","2015-02-09","26.59305","27.08342","26.49875","26.69678","6758847",""
"MRO","2015-02-10T00:00:00-05:00","2015-02-10","26.6402","26.83823","25.78205","26.76279","8313858",""
"MRO","2015-02-11T00:00:00-05:00","2015-02-11","26.31014","26.68735","25.86693","26.47989","6863723",""
"MRO","2015-02-12T00:00:00-05:00","2015-02-12","26.97025","27.41347","26.79108","27.14","6432977",""
"MRO","2015-02-13T00:00:00-05:00","2015-02-13","27.63397","28.03295","27.46298","28.01395","6963543",""
"MRO","2015-02-17T00:00:00-05:00","2015-02-17","27.88096","28.18494","27.56747","28.14694","8578264",""
"MRO","2015-02-18T00:00:00-05:00","2015-02-18","27.65297","28.07095","27.40598","27.56747","8719851",""
"MRO","2015-02-19T00:00:00-05:00","2015-02-19","27.045","27.80496","26.41804","27.55797","10661959",""
"MRO","2015-02-20T00:00:00-05:00","2015-02-20","27.56747","27.65297","26.77902","27.045","10233619",""
"MRO","2015-02-23T00:00:00-05:00","2015-02-23","26.62703","27.27299","26.56053","27.1115","6341930",""
"MRO","2015-02-24T00:00:00-05:00","2015-02-24","27.53897","27.53897","26.96901","27.38698","6372458",""
"MRO","2015-02-25T00:00:00-05:00","2015-02-25","27.45348","27.68147","27.045","27.60547","6026123",""
"MRO","2015-02-26T00:00:00-05:00","2015-02-26","27.28249","27.30149","26.44654","26.59853","7856329",""
"MRO","2015-02-27T00:00:00-05:00","2015-02-27","26.75052","26.75052","26.31354","26.46554","5704842",""
"MRO","2015-03-02T00:00:00-05:00","2015-03-02","26.32304","26.46554","25.81957","26.28505","6146129",""
"MRO","2015-03-03T00:00:00-05:00","2015-03-03","26.25655","26.62703","26.12355","26.35154","4911219",""
"MRO","2015-03-04T00:00:00-05:00","2015-03-04","26.37054","26.39904","25.73408","26.22805","6056019",""
"MRO","2015-03-05T00:00:00-05:00","2015-03-05","26.20905","26.20905","25.85757","25.97156","4908482",""
"MRO","2015-03-06T00:00:00-05:00","2015-03-06","25.79107","25.98106","25.3541","25.43959","5510831",""
"MRO","2015-03-09T00:00:00-04:00","2015-03-09","25.3256","25.59158","24.96462","24.98362","6420881",""
"MRO","2015-03-10T00:00:00-04:00","2015-03-10","24.69863","25.14511","24.52764","24.52764","6525519",""
"MRO","2015-03-11T00:00:00-04:00","2015-03-11","24.67963","24.86012","24.43265","24.49915","7700637",""
"MRO","2015-03-12T00:00:00-04:00","2015-03-12","24.70813","24.77463","24.29016","24.32815","7301667",""
"MRO","2015-03-13T00:00:00-04:00","2015-03-13","24.10966","24.51814","23.86268","24.48965","7280824",""
"MRO","2015-03-16T00:00:00-04:00","2015-03-16","24.27116","24.73663","24.02417","24.70813","5293240",""
"MRO","2015-03-17T00:00:00-04:00","2015-03-17","24.56564","24.64164","24.12866","24.28065","5391351",""
"MRO","2015-03-18T00:00:00-04:00","2015-03-18","24.06217","25.18311","23.81518","25.02162","7639581",""
