symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"MTD","2015-01-02T00:00:00-05:00","2015-01-02","303.2","306.91","299.07","301.95","64600",""
"MTD","2015-01-05T00:00:00-05:00","2015-01-05","299.61","300.74","294.62","295.45","99400",""
"MTD","2015-01-06T00:00:00-05:00","2015-01-06","295.12","297.73","288.94","291.12","145100",""
"MTD","2015-01-07T00:00:00-05:00","2015-01-07","295.39","296.62","293.52","296.49","145500",""
"MTD","2015-01-08T00:00:00-05:00","2015-01-08","299.96","303.84","298.59","300.72","129800",""
"MTD","2015-01-09T00:00:00-05:00","2015-01-09","301.68","302.7","297.86","299.28","65400",""
"MTD","2015-01-12T00:00:00-05:00","2015-01-12","299.67","299.67","294.75","296.32","86900",""
"MTD","2015-01-13T00:00:00-05:00","2015-01-13","298.26","303.46","292.98","296.64","87900",""
"MTD","2015-01-14T00:00:00-05:00","2015-01-14","293.82","298.19","291.96","297.19","83200",""
"MTD","2015-01-15T00:00:00-05:00","2015-01-15","297.25","297.25","286.35","289.09","273400",""
"MTD","2015-01-16T00:00:00-05:00","2015-01-16","287.95","292.52","287.89","292","203700",""
"MTD","2015-01-20T00:00:00-05:00","2015-01-20","293.86","296","289.59","294.55","153200",""
"MTD","2015-01-21T00:00:00-05:00","2015-01-21","295.11","297.43","293.07","295.77","100800",""
"MTD","2015-01-22T00:00:00-05:00","2015-01-22","298.02","307.65","294.37","304.77","154200",""
"MTD","2015-01-23T00:00:00-05:00","2015-01-23","304.56","305.38","302.39","303.05","118300",""
"MTD","2015-01-26T00:00:00-05:00","2015-01-26","301.62","303.98","298.89","303.5","118200",""
"MTD","2015-01-27T00:00:00-05:00","2015-01-27","299.99","301.81","296.37","298.5","132500",""
"MTD","2015-01-28T00:00:00-05:00","2015-01-28","300.75","306.36","298.92","299.77","125900",""
"MTD","2015-01-29T00:00:00-05:00","2015-01-29","299.21","306.61","296.49","305.56","150000",""
"MTD","2015-01-30T00:00:00-05:00","2015-01-30","304.22","305.99","299.23","303.95","187700",""
"MTD","2015-02-02T00:00:00-05:00","2015-02-02","304.93","308.15","300.81","307.08","256000",""
"MTD","2015-02-03T00:00:00-05:00","2015-02-03","308.52","312.21","306.06","311.29","192000",""
"MTD","2015-02-04T00:00:00-05:00","2015-02-04","311.28","312.9","308.31","310.49","161300",""
"MTD","2015-02-05T00:00:00-05:00","2015-02-05","313.01","314.07","309.79","311.27","175900",""
"MTD","2015-02-06T00:00:00-05:00","2015-02-06","328","328","306.9","308.91","237500",""
"MTD","2015-02-09T00:00:00-05:00","2015-02-09","305.95","308.09","302.89","304.84","196000",""
"MTD","2015-02-10T00:00:00-05:00","2015-02-10","305.77","307.05","302.02","302.88","165300",""
"MTD","2015-02-11T00:00:00-05:00","2015-02-11","302.95","305.98","301.96","303.42","107900",""
