symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"MU","2015-01-02T00:00:00-05:00","2015-01-02","35.24","35.52","34.34","34.75","15138200",""
"MU","2015-01-05T00:00:00-05:00","2015-01-05","34.71","34.74","33.75","33.78","23706600",""
"MU","2015-01-06T00:00:00-05:00","2015-01-06","34.1","34.23","32.63","32.87","40092000",""
"MU","2015-01-07T00:00:00-05:00","2015-01-07","31.51","32.97","31.45","32.1","52552300",""
"MU","2015-01-08T00:00:00-05:00","2015-01-08","32.56","33.87","32.55","33.67","31947100",""
"MU","2015-01-09T00:00:00-05:00","2015-01-09","33.76","33.87","32.96","33.53","19328500",""
"MU","2015-01-12T00:00:00-05:00","2015-01-12","32.39","32.99","31.4","31.66","41982700",""
"MU","2015-01-13T00:00:00-05:00","2015-01-13","31.9","32.2","30.65","30.83","40260400",""
"MU","2015-01-14T00:00:00-05:00","2015-01-14","30.27","31.2","29.8","30.05","35766000",""
"MU","2015-01-15T00:00:00-05:00","2015-01-15","30.25","30.42","29.27","29.3","28512400",""
"MU","2015-01-16T00:00:00-05:00","2015-01-16","29.15","29.26","28.51","28.99","58433200",""
"MU","2015-01-20T00:00:00-05:00","2015-01-20","29.51","30.02","29.35","29.67","29884100",""
"MU","2015-01-21T00:00:00-05:00","2015-01-21","29.5","30.74","29.5","30.49","27258600",""
"MU","2015-01-22T00:00:00-05:00","2015-01-22","30.49","30.95","30.23","30.89","22299200",""
"MU","2015-01-23T00:00:00-05:00","2015-01-23","30.89","31.13","30.46","30.95","21161800",""
"MU","2015-01-26T00:00:00-05:00","2015-01-26","30.54","31.02","30.21","31.02","19175500",""
"MU","2015-01-27T00:00:00-05:00","2015-01-27","30.43","30.45","29.39","29.65","27587800",""
"MU","2015-01-28T00:00:00-05:00","2015-01-28","30","30.19","29.03","29.09","21685200",""
"MU","2015-01-29T00:00:00-05:00","2015-01-29","29.29","29.83","28.86","29.71","30282600",""
"MU","2015-01-30T00:00:00-05:00","2015-01-30","29.4","29.8","29.07","29.26","23451600",""
"MU","2015-02-02T00:00:00-05:00","2015-02-02","29.25","29.39","28.09","28.43","34019500",""
"MU","2015-02-03T00:00:00-05:00","2015-02-03","28.57","29.09","28.48","28.94","24009100",""
"MU","2015-02-04T00:00:00-05:00","2015-02-04","28.81","29.24","28.7","29.03","20932800",""
"MU","2015-02-05T00:00:00-05:00","2015-02-05","29.31","29.52","29.12","29.49","19785800",""
"MU","2015-02-06T00:00:00-05:00","2015-02-06","29.54","29.9","28.86","28.91","18744100",""
"MU","2015-02-09T00:00:00-05:00","2015-02-09","28.71","28.77","28.24","28.35","22390200",""
"MU","2015-02-10T00:00:00-05:00","2015-02-10","29.1","31.14","29","31.09","43830900",""
"MU","2015-02-11T00:00:00-05:00","2015-02-11","31.09","31.58","30.45","31.02","29782200",""
"MU","2015-02-12T00:00:00-05:00","2015-02-12","31.15","32.05","30.94","31.94","23793200",""
"MU","2015-02-13T00:00:00-05:00","2015-02-13","32.21","32.4","31.34","31.85","18739100",""
