symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"MYL","2015-01-02T00:00:00-05:00","2015-01-02","56.58","57.32","56.06","56.35","1404500",""
"MYL","2015-01-05T00:00:00-05:00","2015-01-05","56.12","56.28","55.43","55.72","3002100",""
"MYL","2015-01-06T00:00:00-05:00","2015-01-06","56.21","56.83","53.77","54.18","6610800",""
"MYL","2015-01-07T00:00:00-05:00","2015-01-07","54.72","56.35","53.83","56.11","3663000",""
"MYL","2015-01-08T00:00:00-05:00","2015-01-08","56.68","57.29","56.35","56.65","3164000",""
"MYL","2015-01-09T00:00:00-05:00","2015-01-09","56.77","56.94","55.77","55.84","2193600",""
"MYL","2015-01-12T00:00:00-05:00","2015-01-12","55.94","56.49","54.93","55.27","2955000",""
"MYL","2015-01-13T00:00:00-05:00","2015-01-13","56.01","56.68","54.81","55.48","2327200",""
"MYL","2015-01-14T00:00:00-05:00","2015-01-14","55.37","55.86","54.17","54.59","2420400",""
"MYL","2015-01-15T00:00:00-05:00","2015-01-15","54.98","55.66","52.68","52.74","4026400",""
"MYL","2015-01-16T00:00:00-05:00","2015-01-16","52.65","56.11","52.39","56","5626900",""
"MYL","2015-01-20T00:00:00-05:00","2015-01-20","56","56.33","54.36","55.13","3342400",""
"MYL","2015-01-21T00:00:00-05:00","2015-01-21","55.03","55.5","54.31","54.59","2651500",""
"MYL","2015-01-22T00:00:00-05:00","2015-01-22","55.07","55.26","53.6","54.44","3947000",""
"MYL","2015-01-23T00:00:00-05:00","2015-01-23","54.36","55","53.85","54.21","3124100",""
"MYL","2015-01-26T00:00:00-05:00","2015-01-26","54.02","57.04","54.02","56.8","6471700",""
"MYL","2015-01-27T00:00:00-05:00","2015-01-27","56.63","56.98","55.66","56.29","3883100",""
"MYL","2015-01-28T00:00:00-05:00","2015-01-28","56.4","56.5","55.13","55.24","3501900",""
"MYL","2015-01-29T00:00:00-05:00","2015-01-29","55.2","55.23","54.48","54.88","3470600",""
"MYL","2015-01-30T00:00:00-05:00","2015-01-30","54.25","55","53.01","53.15","6399400",""
"MYL","2015-02-02T00:00:00-05:00","2015-02-02","53.55","53.84","52.21","53.19","4618800",""
"MYL","2015-02-03T00:00:00-05:00","2015-02-03","53.56","54.67","52.31","54.59","5857600",""
"MYL","2015-02-04T00:00:00-05:00","2015-02-04","54.01","54.04","52.82","53.22","3370500",""
"MYL","2015-02-05T00:00:00-05:00","2015-02-05","53.44","54.55","53.4","54.3","3989400",""
"MYL","2015-02-06T00:00:00-05:00","2015-02-06","54.23","54.49","53.55","53.89","1910800",""
"MYL","2015-02-09T00:00:00-05:00","2015-02-09","53.8","53.84","52.92","53","1492200",""
"MYL","2015-02-10T00:00:00-05:00","2015-02-10","53.33","54.29","52.7","53.97","2149400",""
"MYL","2015-02-11T00:00:00-05:00","2015-02-11","53.77","54.42","53.64","53.76","1566100",""
