symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"NEE","2015-01-02T00:00:00-05:00","2015-01-02","98.33002","98.7911","97.17731","98.38535","1752731",""
"NEE","2015-01-05T00:00:00-05:00","2015-01-05","98.28391","98.45912","97.00211","97.34331","2212520",""
"NEE","2015-01-06T00:00:00-05:00","2015-01-06","97.67529","99.51039","97.52774","97.7214","2880191",""
"NEE","2015-01-07T00:00:00-05:00","2015-01-07","99.21529","99.5565","97.81361","98.61589","1976770",""
"NEE","2015-01-08T00:00:00-05:00","2015-01-08","99.4735","99.80548","98.95708","99.21529","2065908",""
"NEE","2015-01-09T00:00:00-05:00","2015-01-09","99.3444","99.61182","98.09026","98.33924","1659905",""
"NEE","2015-01-12T00:00:00-05:00","2015-01-12","98.21014","98.99397","97.41708","98.09026","1579876",""
"NEE","2015-01-13T00:00:00-05:00","2015-01-13","98.93864","100.0176","97.92427","98.47757","1831892",""
"NEE","2015-01-14T00:00:00-05:00","2015-01-14","97.44474","99.22451","97.28798","99.08619","1986421",""
"NEE","2015-01-15T00:00:00-05:00","2015-01-15","99.15997","99.43661","97.85972","98.70811","4689745",""
"NEE","2015-01-16T00:00:00-05:00","2015-01-16","98.7911","99.88847","98.56978","99.79626","2133467",""
"NEE","2015-01-20T00:00:00-05:00","2015-01-20","100.1559","100.5985","99.15074","100.451","2006049",""
"NEE","2015-01-21T00:00:00-05:00","2015-01-21","99.87003","101.6682","99.38128","101.3363","3281748",""
"NEE","2015-01-22T00:00:00-05:00","2015-01-22","101.6959","102.1017","100.0637","101.0227","2518649",""
"NEE","2015-01-23T00:00:00-05:00","2015-01-23","101.327","101.6406","100.8291","100.9582","1827338",""
"NEE","2015-01-26T00:00:00-05:00","2015-01-26","100.8014","101.2348","100.1651","101.2072","1498762",""
"NEE","2015-01-27T00:00:00-05:00","2015-01-27","101.3178","102.8302","100.1743","102.5627","2311744",""
"NEE","2015-01-28T00:00:00-05:00","2015-01-28","102.6181","103.8722","101.2164","101.3639","2203736",""
