symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"NEM","2015-01-02T00:00:00-05:00","2015-01-02","18.39655","19.11663","18.34723","19.07717","6625438",""
"NEM","2015-01-05T00:00:00-05:00","2015-01-05","19.24486","19.33364","18.6037","19.19554","7611539",""
"NEM","2015-01-06T00:00:00-05:00","2015-01-06","19.39282","20.37923","19.35337","19.99454","13379931",""
"NEM","2015-01-07T00:00:00-05:00","2015-01-07","19.76766","20.24114","19.47174","19.81698","8284586",""
"NEM","2015-01-08T00:00:00-05:00","2015-01-08","19.82685","20.10304","19.6197","19.70848","7910907",""
"NEM","2015-01-09T00:00:00-05:00","2015-01-09","19.93535","20.44828","19.89589","20.43842","7641952",""
"NEM","2015-01-12T00:00:00-05:00","2015-01-12","20.57652","21.10918","20.39896","20.90203","9361217",""
"NEM","2015-01-13T00:00:00-05:00","2015-01-13","21.20782","21.23741","19.94521","20.08331","12240952",""
"NEM","2015-01-14T00:00:00-05:00","2015-01-14","20.31019","20.45815","19.15609","19.49147","13728568",""
"NEM","2015-01-15T00:00:00-05:00","2015-01-15","20.46801","21.60238","20.36937","21.21768","16954306",""
"NEM","2015-01-16T00:00:00-05:00","2015-01-16","21.42483","21.98708","21.19795","21.98708","17838624",""
"NEM","2015-01-20T00:00:00-05:00","2015-01-20","22.53947","23.39765","22.41124","23.24969","18064696",""
"NEM","2015-01-21T00:00:00-05:00","2015-01-21","23.44697","24.10787","23.11159","23.9895","17194266",""
"NEM","2015-01-22T00:00:00-05:00","2015-01-22","23.97963","24.35447","23.65412","23.95991","13313528",""
"NEM","2015-01-23T00:00:00-05:00","2015-01-23","23.82181","24.098","23.34833","23.82181","12222805",""
"NEM","2015-01-26T00:00:00-05:00","2015-01-26","23.49629","24.29528","23.03268","24.15719","11343253",""
"NEM","2015-01-27T00:00:00-05:00","2015-01-27","24.33474","24.90686","24.19664","24.79835","10922941",""
"NEM","2015-01-28T00:00:00-05:00","2015-01-28","24.55175","24.70958","23.70344","23.93031","11406208",""
"NEM","2015-01-29T00:00:00-05:00","2015-01-29","23.28914","24.00922","23.10173","23.84154","8971825",""
"NEM","2015-01-30T00:00:00-05:00","2015-01-30","23.86126","24.87726","23.59493","24.80822","11754136",""
"NEM","2015-02-02T00:00:00-05:00","2015-02-02","24.40379","24.85754","24.22623","24.76876","7600185",""
"NEM","2015-02-03T00:00:00-05:00","2015-02-03","24.50243","24.7293","23.81194","24.28542","9162517",""
"NEM","2015-02-04T00:00:00-05:00","2015-02-04","24.35447","24.68985","24.16705","24.4827","7168518",""
"NEM","2015-02-05T00:00:00-05:00","2015-02-05","24.21637","24.52216","24.03882","24.4827","6112568",""
"NEM","2015-02-06T00:00:00-05:00","2015-02-06","23.67385","23.96977","23.26942","23.72317","8431178",""
"NEM","2015-02-09T00:00:00-05:00","2015-02-09","23.90072","24.40379","23.84154","24.27556","5954419",""
"NEM","2015-02-10T00:00:00-05:00","2015-02-10","23.95991","24.2361","23.63439","24.07827","6302956",""
"NEM","2015-02-11T00:00:00-05:00","2015-02-11","24.17691","24.26569","23.76262","23.81194","5157388",""
"NEM","2015-02-12T00:00:00-05:00","2015-02-12","24.07827","24.36433","23.78235","24.17691","4550439",""
"NEM","2015-02-13T00:00:00-05:00","2015-02-13","24.41365","24.71944","24.32487","24.44324","5258157",""
"NEM","2015-02-17T00:00:00-05:00","2015-02-17","24.00922","24.26569","23.84154","23.86126","6290689",""
"NEM","2015-02-18T00:00:00-05:00","2015-02-18","23.82181","24.51229","23.52588","24.40379","8180978",""
"NEM","2015-02-19T00:00:00-05:00","2015-02-19","24.47284","24.67998","24.05854","24.12759","8993013",""
"NEM","2015-02-20T00:00:00-05:00","2015-02-20","24.83781","26.0215","24.7293","25.23237","13745093",""
"NEM","2015-02-23T00:00:00-05:00","2015-02-23","25.17319","25.7749","24.90686","25.60721","7714437",""
"NEM","2015-02-24T00:00:00-05:00","2015-02-24","24.8674","25.55789","24.85754","25.45925","5928365",""
"NEM","2015-02-25T00:00:00-05:00","2015-02-25","25.64667","25.7749","25.46911","25.69599","8032054",""
"NEM","2015-02-26T00:00:00-05:00","2015-02-26","25.98204","26.18919","25.76504","25.95245","6296163",""
"NEM","2015-02-27T00:00:00-05:00","2015-02-27","26.04123","26.33715","25.90313","25.97218","6013421",""
"NEM","2015-03-02T00:00:00-05:00","2015-03-02","26.04123","26.14973","25.2521","25.53816","7784996",""
"NEM","2015-03-03T00:00:00-05:00","2015-03-03","25.46911","25.98204","25.17319","25.27183","8023944",""
"NEM","2015-03-04T00:00:00-05:00","2015-03-04","25.16332","25.35074","24.74903","24.84767","7240395",""
"NEM","2015-03-05T00:00:00-05:00","2015-03-05","24.96604","25.30142","24.85754","24.95618","3498037",""
"NEM","2015-03-06T00:00:00-05:00","2015-03-06","23.96977","24.07827","22.82553","22.98336","11601360",""
"NEM","2015-03-09T00:00:00-04:00","2015-03-09","22.96363","23.06227","21.9279","22.11532","10029600",""
"NEM","2015-03-10T00:00:00-04:00","2015-03-10","22.0215","22.64363","21.36975","21.49812","13610780",""
"NEM","2015-03-11T00:00:00-04:00","2015-03-11","21.4685","22.19925","21.23149","21.96225","9362728",""
"NEM","2015-03-12T00:00:00-04:00","2015-03-12","22.20913","22.34738","21.72525","22.01163","6158410",""
"NEM","2015-03-13T00:00:00-04:00","2015-03-13","22.0215","22.1005","21.3895","22.0215","6673341",""
"NEM","2015-03-16T00:00:00-04:00","2015-03-16","21.8635","22.1005","21.57712","22.0215","5655935",""
"NEM","2015-03-17T00:00:00-04:00","2015-03-17","21.7845","22.16963","21.57712","21.84375","8506333",""
"NEM","2015-03-18T00:00:00-04:00","2015-03-18","21.67587","22.78189","21.60675","22.58438","9091339",""
"NEM","2015-03-19T00:00:00-04:00","2015-03-19","22.85101","23.00901","22.37701","22.53501","7708468",""
"NEM","2015-03-20T00:00:00-04:00","2015-03-20","22.61401","23.03864","22.60413","22.66339","17257018",""
"NEM","2015-03-23T00:00:00-04:00","2015-03-23","22.80164","22.99914","22.56463","22.85101","7605381",""
"NEM","2015-03-24T00:00:00-04:00","2015-03-24","22.88064","22.91026","22.49551","22.57451","6475267",""
"NEM","2015-03-25T00:00:00-04:00","2015-03-25","22.78189","22.91026","22.18938","22.19925","6049145",""
"NEM","2015-03-26T00:00:00-04:00","2015-03-26","22.63376","22.79176","21.65612","21.88325","8007300",""
"NEM","2015-03-27T00:00:00-04:00","2015-03-27","21.91288","22.22888","21.80425","21.95238","5731174",""
"NEM","2015-03-30T00:00:00-04:00","2015-03-30","21.666","21.982","21.47837","21.745","3630135",""
"NEM","2015-03-31T00:00:00-04:00","2015-03-31","21.83388","21.93263","21.40925","21.43887","5335837",""
"NEM","2015-04-01T00:00:00-04:00","2015-04-01","21.56725","22.48563","21.51787","22.43626","6929034",""
"NEM","2015-04-02T00:00:00-04:00","2015-04-02","22.39676","22.62388","21.87337","22.061","6587266",""
"NEM","2015-04-06T00:00:00-04:00","2015-04-06","22.73251","22.80164","22.20913","22.29801","8746330",""
"NEM","2015-04-07T00:00:00-04:00","2015-04-07","22.14001","22.24863","21.8635","21.89313","6337547",""
"NEM","2015-04-08T00:00:00-04:00","2015-04-08","22.061","22.1005","21.56725","21.80425","5892590",""
"NEM","2015-04-09T00:00:00-04:00","2015-04-09","21.57712","22.061","21.48825","21.95238","5190219",""
"NEM","2015-04-10T00:00:00-04:00","2015-04-10","22.23876","22.32763","22.00175","22.05113","4344963",""
"NEM","2015-04-13T00:00:00-04:00","2015-04-13","22.40663","22.53501","22.14988","22.28813","7056324",""
"NEM","2015-04-14T00:00:00-04:00","2015-04-14","22.26838","22.60413","22.23876","22.53501","5568948",""
"NEM","2015-04-15T00:00:00-04:00","2015-04-15","22.59426","23.26577","22.54488","23.25589","9560093",""
"NEM","2015-04-16T00:00:00-04:00","2015-04-16","23.37439","23.73977","23.23614","23.32502","7016223",""
"NEM","2015-04-17T00:00:00-04:00","2015-04-17","23.35464","23.64102","23.14727","23.27564","4974120",""
"NEM","2015-04-20T00:00:00-04:00","2015-04-20","23.10777","23.31514","23.01889","23.22627","5098270",""
"NEM","2015-04-21T00:00:00-04:00","2015-04-21","23.17689","23.30527","22.97939","23.21639","3932916",""
"NEM","2015-04-22T00:00:00-04:00","2015-04-22","23.10777","23.19664","22.29801","22.48563","5753048",""
"NEM","2015-04-23T00:00:00-04:00","2015-04-23","22.73251","23.25589","22.59426","23.15714","6408838",""
"NEM","2015-04-24T00:00:00-04:00","2015-04-24","24.01628","25.06304","23.94715","24.66803","12170797",""
"NEM","2015-04-27T00:00:00-04:00","2015-04-27","25.16179","26.0308","24.95441","25.27041","11868522",""
"NEM","2015-04-28T00:00:00-04:00","2015-04-28","25.42842","26.05055","25.34942","26.02092","7403864",""
"NEM","2015-04-29T00:00:00-04:00","2015-04-29","25.9518","26.45543","25.76417","26.1493","8262183",""
"NEM","2015-04-30T00:00:00-04:00","2015-04-30","25.56667","26.19868","25.28029","26.15918","6984325",""
"NEM","2015-05-01T00:00:00-04:00","2015-05-01","25.90242","26.19868","25.7938","26.15918","4639946",""
"NEM","2015-05-04T00:00:00-04:00","2015-05-04","26.32705","26.4653","25.64567","25.72467","5898464",""
"NEM","2015-05-05T00:00:00-04:00","2015-05-05","26.40605","26.40605","25.42842","25.62592","5994260",""
"NEM","2015-05-06T00:00:00-04:00","2015-05-06","25.86292","25.90242","25.23091","25.32967","4764097",""
"NEM","2015-05-07T00:00:00-04:00","2015-05-07","24.99391","25.51729","24.98404","25.49754","6736125",""
"NEM","2015-05-08T00:00:00-04:00","2015-05-08","25.63579","25.9913","25.41854","25.7148","4432860",""
"NEM","2015-05-11T00:00:00-04:00","2015-05-11","25.84317","26.05055","25.63579","26.0308","5627277",""
"NEM","2015-05-12T00:00:00-04:00","2015-05-12","26.28755","26.32705","26.02092","26.31718","5984032",""
"NEM","2015-05-13T00:00:00-04:00","2015-05-13","26.69243","27.29481","26.6233","26.96894","11353490",""
"NEM","2015-05-14T00:00:00-04:00","2015-05-14","27.18619","27.42319","26.81093","26.86031","4771287",""
"NEM","2015-05-15T00:00:00-04:00","2015-05-15","26.73193","27.44294","26.65293","27.34419","7245385",""
"NEM","2015-05-18T00:00:00-04:00","2015-05-18","27.29481","27.37381","27.03806","27.20594","3509731",""
"NEM","2015-05-19T00:00:00-04:00","2015-05-19","26.80106","27.10719","26.64305","26.71218","8555244",""
"NEM","2015-05-20T00:00:00-04:00","2015-05-20","26.84056","27.55157","26.78131","27.31456","5660087",""
"NEM","2015-05-21T00:00:00-04:00","2015-05-21","27.28494","27.29481","26.51468","26.66281","5027790",""
"NEM","2015-05-22T00:00:00-04:00","2015-05-22","26.58381","26.92943","26.5048","26.67268","3238545",""
"NEM","2015-05-26T00:00:00-04:00","2015-05-26","26.28755","26.3863","25.77405","26.21843","5835578",""
"NEM","2015-05-27T00:00:00-04:00","2015-05-27","26.3073","26.75168","26.08017","26.69243","4207951",""
"NEM","2015-05-28T00:00:00-04:00","2015-05-28","26.74181","27.16644","26.43568","27.12694","7752721",""
"NEM","2015-05-29T00:00:00-04:00","2015-05-29","26.98869","27.21581","26.84056","26.89981","5248547",""
"NEM","2015-06-01T00:00:00-04:00","2015-06-01","27.00844","27.13681","26.67268","26.83068","3690894",""
"NEM","2015-06-02T00:00:00-04:00","2015-06-02","26.95906","26.99856","26.59368","26.61343","4653111",""
"NEM","2015-06-03T00:00:00-04:00","2015-06-03","26.52456","26.67268","25.81355","26.05055","7487813",""
"NEM","2015-06-04T00:00:00-04:00","2015-06-04","25.78392","26.47518","25.68517","26.4653","5781807",""
"NEM","2015-06-05T00:00:00-04:00","2015-06-05","26.08017","26.11967","25.16179","25.58642","6194865",""
"NEM","2015-06-08T00:00:00-04:00","2015-06-08","25.63579","25.64567","25.28029","25.51729","3325227",""
"NEM","2015-06-09T00:00:00-04:00","2015-06-09","25.19604","25.60131","24.08896","24.1285","13476111",""
"NEM","2015-06-10T00:00:00-04:00","2015-06-10","23.75288","23.85172","23.37726","23.42669","39194200",""
"NEM","2015-06-11T00:00:00-04:00","2015-06-11","23.56507","23.56507","23.21911","23.38715","11474427",""
"NEM","2015-06-12T00:00:00-04:00","2015-06-12","23.2883","23.58484","23.18945","23.27841","8801906",""
"NEM","2015-06-15T00:00:00-04:00","2015-06-15","23.26853","24.1878","23.22899","23.75288","11300319",""
"NEM","2015-06-16T00:00:00-04:00","2015-06-16","23.75288","23.87149","23.60461","23.66392","5240232",""
"NEM","2015-06-17T00:00:00-04:00","2015-06-17","23.76276","24.37561","23.36738","24.24711","9508556",""
"NEM","2015-06-18T00:00:00-04:00","2015-06-18","24.65239","24.80066","24.50411","24.71169","7313643",""
"NEM","2015-06-19T00:00:00-04:00","2015-06-19","24.66227","24.78089","24.16804","24.36573","9388471",""
"NEM","2015-06-22T00:00:00-04:00","2015-06-22","23.97034","24.00988","23.59472","23.6738","6622371",""
"NEM","2015-06-23T00:00:00-04:00","2015-06-23","23.64415","24.1285","23.63426","23.85172","6171370",""
"NEM","2015-06-24T00:00:00-04:00","2015-06-24","23.89126","24.10873","23.70345","23.84184","3748225",""
"NEM","2015-06-25T00:00:00-04:00","2015-06-25","23.83196","23.89126","23.53542","23.66392","4161592",""
"NEM","2015-06-26T00:00:00-04:00","2015-06-26","23.60461","23.77265","23.45634","23.55519","3038238",""
"NEM","2015-06-29T00:00:00-04:00","2015-06-29","23.63426","23.74299","23.1598","23.25865","4777293",""
"NEM","2015-06-30T00:00:00-04:00","2015-06-30","23.14003","23.33772","22.8336","23.09061","5818602",""
"NEM","2015-07-01T00:00:00-04:00","2015-07-01","22.98187","23.13014","22.68534","22.86326","5219897",""
"NEM","2015-07-02T00:00:00-04:00","2015-07-02","23.0313","23.43657","22.93245","23.39703","4186277",""
"NEM","2015-07-06T00:00:00-04:00","2015-07-06","23.21911","23.79242","23.16968","23.58484","4761005",""
"NEM","2015-07-07T00:00:00-04:00","2015-07-07","23.06095","23.19934","22.14168","22.15156","10545413",""
"NEM","2015-07-08T00:00:00-04:00","2015-07-08","22.28995","22.52718","22.14168","22.26029","5339679",""
"NEM","2015-07-09T00:00:00-04:00","2015-07-09","22.58649","22.63591","22.10214","22.32948","3461013",""
"NEM","2015-07-10T00:00:00-04:00","2015-07-10","22.48764","22.65568","22.17133","22.26029","3298438",""
"NEM","2015-07-13T00:00:00-04:00","2015-07-13","22.03295","22.29983","21.58813","22.24052","5381359",""
"NEM","2015-07-14T00:00:00-04:00","2015-07-14","22.24052","22.34925","21.84514","21.89456","6418925",""
"NEM","2015-07-15T00:00:00-04:00","2015-07-15","21.82537","21.89456","21.51894","21.5486","4857417",""
"NEM","2015-07-16T00:00:00-04:00","2015-07-16","21.44975","21.50906","21.08401","21.13344","6921824",""
"NEM","2015-07-17T00:00:00-04:00","2015-07-17","20.91598","20.95551","20.41186","20.4514","7254359",""
"NEM","2015-07-20T00:00:00-04:00","2015-07-20","19.72981","19.76935","17.91104","17.95057","20735224",""
"NEM","2015-07-21T00:00:00-04:00","2015-07-21","18.32619","18.85996","18.09884","18.52388","14304463",""
"NEM","2015-07-22T00:00:00-04:00","2015-07-22","18.10873","18.71169","18.00988","18.30642","9880647",""
"NEM","2015-07-23T00:00:00-04:00","2015-07-23","18.514","18.52388","17.38715","17.39703","14443568",""
"NEM","2015-07-24T00:00:00-04:00","2015-07-24","17.33772","17.743","17.1598","17.59472","16571103",""
"NEM","2015-07-27T00:00:00-04:00","2015-07-27","17.47611","17.94069","16.9028","17.02141","11244677",""
"NEM","2015-07-28T00:00:00-04:00","2015-07-28","17.23888","17.48599","16.95222","17.43657","10769699",""
"NEM","2015-07-29T00:00:00-04:00","2015-07-29","17.52553","17.66392","17.05107","17.46622","11140475",""
"NEM","2015-07-30T00:00:00-04:00","2015-07-30","17.14992","17.50576","16.85337","17.09061","8577923",""
"NEM","2015-07-31T00:00:00-04:00","2015-07-31","17.59472","17.59472","16.91268","16.97199","10312932",""
"NEM","2015-08-03T00:00:00-04:00","2015-08-03","16.89291","17.00164","16.20098","16.23064","9147492",""
"NEM","2015-08-04T00:00:00-04:00","2015-08-04","16.42833","16.6458","16.03295","16.21087","10038163",""
"NEM","2015-08-05T00:00:00-04:00","2015-08-05","16.45799","16.74464","16.12191","16.16145","7562513",""
"NEM","2015-08-06T00:00:00-04:00","2015-08-06","16.25041","16.67545","16.07248","16.17133","9903713",""
"NEM","2015-08-07T00:00:00-04:00","2015-08-07","16.18122","16.52718","15.89456","15.95387","10305446",""
"NEM","2015-08-10T00:00:00-04:00","2015-08-10","16.10214","16.87314","15.88468","16.75453","11255198",""
"NEM","2015-08-11T00:00:00-04:00","2015-08-11","16.80395","16.9028","16.38879","16.8336","8995640",""
"NEM","2015-08-12T00:00:00-04:00","2015-08-12","17.14003","18.22734","17.14003","17.9308","14866950",""
"NEM","2015-08-13T00:00:00-04:00","2015-08-13","17.76276","17.85173","17.25864","17.2883","7329728",""
"NEM","2015-08-14T00:00:00-04:00","2015-08-14","17.5453","17.60461","17.04118","17.14992","5576206",""
"NEM","2015-08-17T00:00:00-04:00","2015-08-17","17.36738","17.75288","17.24876","17.64415","6875692",""
"NEM","2015-08-18T00:00:00-04:00","2015-08-18","17.31796","17.47611","17.12026","17.33772","5330978",""
"NEM","2015-08-19T00:00:00-04:00","2015-08-19","17.53542","17.81219","17.33772","17.72323","7470856",""
"NEM","2015-08-20T00:00:00-04:00","2015-08-20","18.17792","18.58319","17.9308","18.33607","10202660",""
"NEM","2015-08-21T00:00:00-04:00","2015-08-21","18.63262","18.70181","17.89127","17.9308","9562376",""
"NEM","2015-08-24T00:00:00-04:00","2015-08-24","17.52553","18.26688","16.53706","16.69522","14684951",""
"NEM","2015-08-25T00:00:00-04:00","2015-08-25","17.04118","17.05107","15.92422","15.98352","12152345",""
"NEM","2015-08-26T00:00:00-04:00","2015-08-26","15.91433","15.92422","15.21252","15.62768","12658178",""
"NEM","2015-08-27T00:00:00-04:00","2015-08-27","15.57825","16.62603","15.52883","16.50741","11465524",""
"NEM","2015-08-28T00:00:00-04:00","2015-08-28","16.47776","17.16969","16.43822","16.97199","9443303",""
"NEM","2015-08-31T00:00:00-04:00","2015-08-31","16.78418","17.05107","16.48764","16.87314","8184081",""
"NEM","2015-09-01T00:00:00-04:00","2015-09-01","16.87314","17.23888","16.43822","16.53706","6924556",""
"NEM","2015-09-02T00:00:00-04:00","2015-09-02","16.54695","16.68533","15.83525","16.02306","8146346",""
"NEM","2015-09-03T00:00:00-04:00","2015-09-03","15.79571","16.51729","15.73641","16.00329","7755539",""
"NEM","2015-09-04T00:00:00-04:00","2015-09-04","15.83525","15.86491","15.28171","15.51894","8410594",""
"NEM","2015-09-08T00:00:00-04:00","2015-09-08","15.6625","15.87041","15.43479","15.80111","7241697",""
"NEM","2015-09-09T00:00:00-04:00","2015-09-09","15.53379","15.91991","15.39519","15.46449","6101748",""
"NEM","2015-09-10T00:00:00-04:00","2015-09-10","15.57339","15.7516","15.34569","15.40509","6831311",""
"NEM","2015-09-11T00:00:00-04:00","2015-09-11","15.27638","16.12782","15.27638","16.07832","9035455",""
"NEM","2015-09-14T00:00:00-04:00","2015-09-14","15.86051","16.02882","15.55359","15.7318","7805611",""
"NEM","2015-09-15T00:00:00-04:00","2015-09-15","15.6823","16.18722","15.6328","15.81101","6728184",""
"NEM","2015-09-16T00:00:00-04:00","2015-09-16","16.03872","16.90005","15.99911","16.77135","7980755",""
"NEM","2015-09-17T00:00:00-04:00","2015-09-17","16.59314","17.29607","16.40503","17.06836","10284188",""
"NEM","2015-09-18T00:00:00-04:00","2015-09-18","17.44458","17.47428","16.57334","16.81095","20548376",""
"NEM","2015-09-21T00:00:00-04:00","2015-09-21","16.61294","16.81095","16.43473","16.46443","7718140",""
