symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"NFLX","2015-01-02T00:00:00-05:00","2015-01-02","344.06","352.32","341.12","348.94","1924900",""
"NFLX","2015-01-05T00:00:00-05:00","2015-01-05","344.81","344.81","330.03","331.18","2595000",""
"NFLX","2015-01-06T00:00:00-05:00","2015-01-06","331.43","333.48","319.63","325.51","2291100",""
"NFLX","2015-01-07T00:00:00-05:00","2015-01-07","331.43","331.95","323.9","327.2","1407100",""
"NFLX","2015-01-08T00:00:00-05:00","2015-01-08","329.84","334.85","325.35","334.45","1374800",""
"NFLX","2015-01-09T00:00:00-05:00","2015-01-09","333.62","336.14","328.29","329.29","1368200",""
"NFLX","2015-01-12T00:00:00-05:00","2015-01-12","329.63","330.39","316.85","318.83","1849200",""
"NFLX","2015-01-13T00:00:00-05:00","2015-01-13","322.15","329.34","321.3","323.79","2675600",""
"NFLX","2015-01-14T00:00:00-05:00","2015-01-14","329.5","331.59","319.76","324.24","2840600",""
"NFLX","2015-01-15T00:00:00-05:00","2015-01-15","325.83","327.5","320.91","323.76","1668300",""
"NFLX","2015-01-16T00:00:00-05:00","2015-01-16","328","337.75","324.67","337.34","2813700",""
"NFLX","2015-01-20T00:00:00-05:00","2015-01-20","340","350","334","348.8","5793000",""
"NFLX","2015-01-21T00:00:00-05:00","2015-01-21","414.64","414.68","401.87","409.28","9557500",""
"NFLX","2015-01-22T00:00:00-05:00","2015-01-22","409.52","429.62","404.8","428.44","4759900",""
"NFLX","2015-01-23T00:00:00-05:00","2015-01-23","426.92","439.2","426.17","437.45","3826300",""
"NFLX","2015-01-26T00:00:00-05:00","2015-01-26","438","447.29","433.7","446.56","3038400",""
"NFLX","2015-01-27T00:00:00-05:00","2015-01-27","441.66","457.38","441.35","454.17","3516000",""
"NFLX","2015-01-28T00:00:00-05:00","2015-01-28","453.1","453.75","441.57","442.46","3504600",""
"NFLX","2015-01-29T00:00:00-05:00","2015-01-29","442.43","447.49","437.5","443.8","2161100",""
"NFLX","2015-01-30T00:00:00-05:00","2015-01-30","441.93","447.89","438.59","441.8","1887900",""
"NFLX","2015-02-02T00:00:00-05:00","2015-02-02","439.9","444","433.69","441.07","1855800",""
"NFLX","2015-02-03T00:00:00-05:00","2015-02-03","443.24","458.27","439.11","456.92","2348500",""
"NFLX","2015-02-04T00:00:00-05:00","2015-02-04","455.29","456.22","447.23","448.71","1778700",""
"NFLX","2015-02-05T00:00:00-05:00","2015-02-05","451.79","455.97","445.66","448.91","2035500",""
"NFLX","2015-02-06T00:00:00-05:00","2015-02-06","449.75","451","442.23","444.36","1271100",""
"NFLX","2015-02-09T00:00:00-05:00","2015-02-09","442.39","446.5","438.46","443.07","1168400",""
"NFLX","2015-02-10T00:00:00-05:00","2015-02-10","444.22","456.1","441.71","453.95","2202600",""
"NFLX","2015-02-11T00:00:00-05:00","2015-02-11","453.81","462.99","451.9","454.89","1993300",""
"NFLX","2015-02-12T00:00:00-05:00","2015-02-12","455.02","459.25","451.16","456.73","1210200",""
"NFLX","2015-02-13T00:00:00-05:00","2015-02-13","457.98","466.41","457.96","466.1","1852600",""
"NFLX","2015-02-17T00:00:00-05:00","2015-02-17","465.61","471.6","461.61","469.96","1595700",""
"NFLX","2015-02-18T00:00:00-05:00","2015-02-18","469.16","476.49","466.52","475.06","1473800",""
"NFLX","2015-02-19T00:00:00-05:00","2015-02-19","475.02","481","473.02","474.6","1491200",""
"NFLX","2015-02-20T00:00:00-05:00","2015-02-20","475.65","478.62","473.46","478.2","1345900",""
"NFLX","2015-02-23T00:00:00-05:00","2015-02-23","477.54","478.2","470","471.84","1290200",""
"NFLX","2015-02-24T00:00:00-05:00","2015-02-24","471.61","476.58","471.49","474.88","867800",""
"NFLX","2015-02-25T00:00:00-05:00","2015-02-25","474.65","481.56","474.65","478.33","979900",""
"NFLX","2015-02-26T00:00:00-05:00","2015-02-26","480.38","486.5","479.01","483.03","1550400",""
"NFLX","2015-02-27T00:00:00-05:00","2015-02-27","483.57","486","474.73","474.91","1645200",""
"NFLX","2015-03-02T00:00:00-05:00","2015-03-02","474","480.25","470.64","480.25","1455200",""
"NFLX","2015-03-03T00:00:00-05:00","2015-03-03","478.42","479.2","472.55","474.71","1060900",""
"NFLX","2015-03-04T00:00:00-05:00","2015-03-04","472.71","475.48","463.28","469.77","2493300",""
"NFLX","2015-03-05T00:00:00-05:00","2015-03-05","472.24","472.25","464.94","467.65","1606900",""
"NFLX","2015-03-06T00:00:00-05:00","2015-03-06","466.5","468.48","453.91","454.12","1841200",""
"NFLX","2015-03-09T00:00:00-04:00","2015-03-09","454.93","455.65","439.8","445.63","2710100",""
"NFLX","2015-03-10T00:00:00-04:00","2015-03-10","441.11","443.46","433.88","435.06","2563800",""
"NFLX","2015-03-11T00:00:00-04:00","2015-03-11","435.68","447.58","435.68","440.19","2337600",""
"NFLX","2015-03-12T00:00:00-04:00","2015-03-12","443.43","452.08","443.38","448.32","2093500",""
"NFLX","2015-03-13T00:00:00-04:00","2015-03-13","446.98","448.4","436.57","438.4","1451500",""
"NFLX","2015-03-16T00:00:00-04:00","2015-03-16","430.83","430.83","417.34","421.97","3828000",""
"NFLX","2015-03-17T00:00:00-04:00","2015-03-17","417.99","424.86","415.69","418.52","2632500",""
"NFLX","2015-03-18T00:00:00-04:00","2015-03-18","417.93","424.55","415.1","423.12","2090700",""
"NFLX","2015-03-19T00:00:00-04:00","2015-03-19","423.22","428.48","421.79","425.21","1635600",""
"NFLX","2015-03-20T00:00:00-04:00","2015-03-20","429.59","432.5","426.27","428.3","1948800",""
"NFLX","2015-03-23T00:00:00-04:00","2015-03-23","426.23","428.09","422.31","425","1094800",""
"NFLX","2015-03-24T00:00:00-04:00","2015-03-24","427.95","441.69","427.83","438.28","2412600",""
"NFLX","2015-03-25T00:00:00-04:00","2015-03-25","438.79","438.84","421.71","421.75","3093100",""
"NFLX","2015-03-26T00:00:00-04:00","2015-03-26","417.4","423.13","415.73","418.26","2291200",""
"NFLX","2015-03-27T00:00:00-04:00","2015-03-27","415.31","418.93","410.01","414.77","2264500",""
"NFLX","2015-03-30T00:00:00-04:00","2015-03-30","418.01","423.95","415.55","422.57","1896000",""
"NFLX","2015-03-31T00:00:00-04:00","2015-03-31","420.77","422.94","416.19","416.69","2035500",""
"NFLX","2015-04-01T00:00:00-04:00","2015-04-01","418.18","418.5","410.92","413.12","2091300",""
"NFLX","2015-04-02T00:00:00-04:00","2015-04-02","413.5","417.25","412.03","414.08","1409100",""
"NFLX","2015-04-06T00:00:00-04:00","2015-04-06","411.38","423.13","409.25","422.31","1532900",""
"NFLX","2015-04-07T00:00:00-04:00","2015-04-07","423.48","425.94","420.3","423.46","1425300",""
"NFLX","2015-04-08T00:00:00-04:00","2015-04-08","428.41","441.75","428.29","441.35","3189600",""
"NFLX","2015-04-09T00:00:00-04:00","2015-04-09","440.24","441.95","434.8","439.5","1922200",""
"NFLX","2015-04-10T00:00:00-04:00","2015-04-10","449.15","454.97","447.63","454.57","3195200",""
"NFLX","2015-04-13T00:00:00-04:00","2015-04-13","470.5","485","469.4","474.68","6348100",""
"NFLX","2015-04-14T00:00:00-04:00","2015-04-14","481.7","484","471.95","478.71","4091700",""
"NFLX","2015-04-15T00:00:00-04:00","2015-04-15","480.93","480.93","471.55","475.46","6075500",""
"NFLX","2015-04-16T00:00:00-04:00","2015-04-16","531.6","568.75","530","562.05","14928600",""
"NFLX","2015-04-17T00:00:00-04:00","2015-04-17","558.45","575","558","571.55","8329400",""
"NFLX","2015-04-20T00:00:00-04:00","2015-04-20","571.1","576.13","562.67","567.39","4395200",""
"NFLX","2015-04-21T00:00:00-04:00","2015-04-21","568.64","570.39","558.6","560.44","2275000",""
"NFLX","2015-04-22T00:00:00-04:00","2015-04-22","561.48","564.99","556.81","557.68","1727000",""
"NFLX","2015-04-23T00:00:00-04:00","2015-04-23","557.59","562.4","552.69","559.06","1812400",""
"NFLX","2015-04-24T00:00:00-04:00","2015-04-24","561.21","565.66","556.55","558.4","1577800",""
"NFLX","2015-04-27T00:00:00-04:00","2015-04-27","562.05","572.5","561.61","566.08","2178100",""
"NFLX","2015-04-28T00:00:00-04:00","2015-04-28","564.13","568.95","559.61","563.06","1260900",""
"NFLX","2015-04-29T00:00:00-04:00","2015-04-29","560.49","567.39","557.51","562.85","1362900",""
"NFLX","2015-04-30T00:00:00-04:00","2015-04-30","561.66","565.85","553.87","556.5","1509300",""
"NFLX","2015-05-01T00:00:00-04:00","2015-05-01","558.15","559.77","552.26","557.03","1272200",""
"NFLX","2015-05-04T00:00:00-04:00","2015-05-04","557","558","552.3","554.9","1138100",""
"NFLX","2015-05-05T00:00:00-04:00","2015-05-05","568.67","577.1","565.3","565.55","3873700",""
"NFLX","2015-05-06T00:00:00-04:00","2015-05-06","567.85","568.5","556.65","560.54","1643500",""
"NFLX","2015-05-07T00:00:00-04:00","2015-05-07","560.8","565.56","556.2","565.24","1460000",""
"NFLX","2015-05-08T00:00:00-04:00","2015-05-08","567.29","575.07","566.75","574.6","1975400",""
"NFLX","2015-05-11T00:00:00-04:00","2015-05-11","576.27","594","575.3","589.95","3411700",""
"NFLX","2015-05-12T00:00:00-04:00","2015-05-12","586.42","586.66","580.95","583.64","1700900",""
"NFLX","2015-05-13T00:00:00-04:00","2015-05-13","583.83","589.38","578.84","580.11","1593600",""
"NFLX","2015-05-14T00:00:00-04:00","2015-05-14","583.36","587.47","576.31","586.85","1271200",""
"NFLX","2015-05-15T00:00:00-04:00","2015-05-15","604.55","618.44","600.29","613.25","5293200",""
"NFLX","2015-05-18T00:00:00-04:00","2015-05-18","612.81","619.74","609.17","617.87","2115900",""
"NFLX","2015-05-19T00:00:00-04:00","2015-05-19","622.49","628.5","614.67","616.48","2728700",""
"NFLX","2015-05-20T00:00:00-04:00","2015-05-20","617.5","623.76","611.54","621.53","1822400",""
"NFLX","2015-05-21T00:00:00-04:00","2015-05-21","623.56","627","617.27","623.02","1823800",""
"NFLX","2015-05-22T00:00:00-04:00","2015-05-22","623.86","625.85","620.85","621.87","1066500",""
"NFLX","2015-05-26T00:00:00-04:00","2015-05-26","622.12","623.43","614.5","615.95","1377900",""
"NFLX","2015-05-27T00:00:00-04:00","2015-05-27","617","629.35","615.5","629","1500900",""
"NFLX","2015-05-28T00:00:00-04:00","2015-05-28","628","628.99","622.51","626.55","1117300",""
"NFLX","2015-05-29T00:00:00-04:00","2015-05-29","626.31","631.44","622.69","624.06","1816000",""
"NFLX","2015-06-01T00:00:00-04:00","2015-06-01","621.86","623.85","615.61","623.02","1417900",""
"NFLX","2015-06-02T00:00:00-04:00","2015-06-02","620.98","627.75","618.84","623.91","1075500",""
"NFLX","2015-06-03T00:00:00-04:00","2015-06-03","624.7","628.13","620.51","621.66","891100",""
"NFLX","2015-06-04T00:00:00-04:00","2015-06-04","618.65","626","616.3","625.44","1439100",""
"NFLX","2015-06-05T00:00:00-04:00","2015-06-05","624.5","633.78","623.88","633.22","1660600",""
"NFLX","2015-06-08T00:00:00-04:00","2015-06-08","635.4","635.71","622.97","627.23","1592700",""
"NFLX","2015-06-09T00:00:00-04:00","2015-06-09","625.34","649","625.34","647.15","3146400",""
"NFLX","2015-06-10T00:00:00-04:00","2015-06-10","653.98","692.79","652.58","671.1","8160100",""
"NFLX","2015-06-11T00:00:00-04:00","2015-06-11","678.23","678.43","658.61","665.66","3803300",""
"NFLX","2015-06-12T00:00:00-04:00","2015-06-12","664.41","667.4","658.87","660.93","1466700",""
"NFLX","2015-06-15T00:00:00-04:00","2015-06-15","650","655.14","641.61","654.02","2721900",""
"NFLX","2015-06-16T00:00:00-04:00","2015-06-16","659.7","669.25","655.84","666.91","2291800",""
"NFLX","2015-06-17T00:00:00-04:00","2015-06-17","665.93","665.93","657.7","659.9","1415000",""
"NFLX","2015-06-18T00:00:00-04:00","2015-06-18","662.56","667.39","660.58","663.2","1280400",""
"NFLX","2015-06-19T00:00:00-04:00","2015-06-19","673.29","674.93","656.75","657.1","2830600",""
"NFLX","2015-06-22T00:00:00-04:00","2015-06-22","665.3","676.85","659.32","674.9","2390400",""
"NFLX","2015-06-23T00:00:00-04:00","2015-06-23","674.35","681.73","670.25","681.19","2232300",""
"NFLX","2015-06-24T00:00:00-04:00","2015-06-24","700.1","706.24","674.78","678.61","11019800",""
"NFLX","2015-06-25T00:00:00-04:00","2015-06-25","668","672","654.21","664.24","5946100",""
"NFLX","2015-06-26T00:00:00-04:00","2015-06-26","667.1","667.2","651.62","651.62","4330600",""
"NFLX","2015-06-29T00:00:00-04:00","2015-06-29","640.54","650.39","637.82","645.62","3510800",""
"NFLX","2015-06-30T00:00:00-04:00","2015-06-30","653.5","660.49","649.5","656.94","2411400",""
"NFLX","2015-07-01T00:00:00-04:00","2015-07-01","663.64","666.67","652.53","655.45","2099900",""
"NFLX","2015-07-02T00:00:00-04:00","2015-07-02","657.99","659.39","652.5","658.31","1579000",""
"NFLX","2015-07-06T00:00:00-04:00","2015-07-06","654.31","664.5","653.38","662","1686900",""
"NFLX","2015-07-07T00:00:00-04:00","2015-07-07","665.09","667.99","648.36","658.64","3081800",""
"NFLX","2015-07-08T00:00:00-04:00","2015-07-08","654.3","657.97","645.99","654.55","1855800",""
"NFLX","2015-07-09T00:00:00-04:00","2015-07-09","664.66","670.92","660","670.09","2390100",""
"NFLX","2015-07-10T00:00:00-04:00","2015-07-10","682.69","689.52","678.3","680.6","3090900",""
"NFLX","2015-07-13T00:00:00-04:00","2015-07-13","686.7","716.16","686.55","707.61","4743500",""
"NFLX","2015-07-14T00:00:00-04:00","2015-07-14","708.9","711.45","697.57","702.6","2819400",""
"NFLX","2015-07-15T00:00:00-04:00","2015-07-15","99.97","100.75","97.05","98.13","30898500",""
"NFLX","2015-07-16T00:00:00-04:00","2015-07-16","111.02","116.49","107.68","115.81","63460900",""
"NFLX","2015-07-17T00:00:00-04:00","2015-07-17","117.33","117.88","114.24","114.77","25136900",""
"NFLX","2015-07-20T00:00:00-04:00","2015-07-20","114.7","114.7","110.14","110.55","22676900",""
"NFLX","2015-07-21T00:00:00-04:00","2015-07-21","110.21","113.71","109.32","112.51","14085400",""
"NFLX","2015-07-22T00:00:00-04:00","2015-07-22","112.14","113.88","110.56","111.5","10500500",""
"NFLX","2015-07-23T00:00:00-04:00","2015-07-23","110.91","112.18","109.84","110.1","8306700",""
"NFLX","2015-07-24T00:00:00-04:00","2015-07-24","111.55","111.68","108.9","109.34","8125000",""
"NFLX","2015-07-27T00:00:00-04:00","2015-07-27","107.79","109.86","106.25","106.43","11302600",""
"NFLX","2015-07-28T00:00:00-04:00","2015-07-28","107.29","107.94","103.88","106.9","11155900",""
"NFLX","2015-07-29T00:00:00-04:00","2015-07-29","106.83","107.75","105.4","107.08","6695600",""
"NFLX","2015-07-30T00:00:00-04:00","2015-07-30","106.4","111.9","105.4","111.56","14229100",""
"NFLX","2015-07-31T00:00:00-04:00","2015-07-31","111.95","115","111.15","114.31","16349000",""
"NFLX","2015-08-03T00:00:00-04:00","2015-08-03","114.6","114.6","111.78","112.56","10144800",""
"NFLX","2015-08-04T00:00:00-04:00","2015-08-04","113.15","122.79","113","121.15","29653300",""
"NFLX","2015-08-05T00:00:00-04:00","2015-08-05","125.62","129.29","122.71","123.71","26946400",""
"NFLX","2015-08-06T00:00:00-04:00","2015-08-06","126.29","128.85","122.04","126.45","24716700",""
"NFLX","2015-08-07T00:00:00-04:00","2015-08-07","126.42","126.6","121.3","123.52","17360600",""
"NFLX","2015-08-10T00:00:00-04:00","2015-08-10","126.09","126.5","121.51","123.03","13424500",""
"NFLX","2015-08-11T00:00:00-04:00","2015-08-11","120.01","123.76","120","122.74","11596800",""
"NFLX","2015-08-12T00:00:00-04:00","2015-08-12","121.47","122.45","118.66","120.51","13881600",""
"NFLX","2015-08-13T00:00:00-04:00","2015-08-13","120.99","125.73","119.34","123.73","15284300",""
"NFLX","2015-08-14T00:00:00-04:00","2015-08-14","124.96","125","123","123.39","8667600",""
"NFLX","2015-08-17T00:00:00-04:00","2015-08-17","123.14","125.7","122.59","125.36","9233800",""
"NFLX","2015-08-18T00:00:00-04:00","2015-08-18","125.26","126.75","123.55","124.05","9381900",""
"NFLX","2015-08-19T00:00:00-04:00","2015-08-19","123.5","123.7","121.5","122.06","10115200",""
"NFLX","2015-08-20T00:00:00-04:00","2015-08-20","119.8","121.45","111.34","112.49","28045300",""
"NFLX","2015-08-21T00:00:00-04:00","2015-08-21","106.2","110","102.75","103.96","33228200",""
"NFLX","2015-08-24T00:00:00-04:00","2015-08-24","88.75","109.63","85.5","96.88","59951900",""
"NFLX","2015-08-25T00:00:00-04:00","2015-08-25","107.75","107.88","101.5","101.52","37620700",""
"NFLX","2015-08-26T00:00:00-04:00","2015-08-26","107.15","110.28","102.02","110.13","36164600",""
"NFLX","2015-08-27T00:00:00-04:00","2015-08-27","114.94","118.25","113.02","117.66","37056000",""
"NFLX","2015-08-28T00:00:00-04:00","2015-08-28","116.35","119.35","115.88","117.63","20240200",""
"NFLX","2015-08-31T00:00:00-04:00","2015-08-31","115.24","117","113.76","115.03","17005500",""
"NFLX","2015-09-01T00:00:00-04:00","2015-09-01","109.35","111.24","103.82","105.79","35977000",""
"NFLX","2015-09-02T00:00:00-04:00","2015-09-02","109.31","109.5","100.3","105.44","39843200",""
"NFLX","2015-09-03T00:00:00-04:00","2015-09-03","102.69","104.17","100.11","101.06","29546600",""
"NFLX","2015-09-04T00:00:00-04:00","2015-09-04","98.05","99.93","97.34","98.79","24211900",""
"NFLX","2015-09-08T00:00:00-04:00","2015-09-08","102.08","102.5","93.55","94.95","43479600",""
"NFLX","2015-09-09T00:00:00-04:00","2015-09-09","96.51","102.79","95.52","99.18","35524400",""
"NFLX","2015-09-10T00:00:00-04:00","2015-09-10","99.42","100.85","96.78","99.48","21031800",""
"NFLX","2015-09-11T00:00:00-04:00","2015-09-11","98.57","100.85","97.23","97.51","17373900",""
"NFLX","2015-09-14T00:00:00-04:00","2015-09-14","96.84","97.91","94.33","95.69","15545900",""
"NFLX","2015-09-15T00:00:00-04:00","2015-09-15","95.22","99.65","93.61","99.16","22591000",""
"NFLX","2015-09-16T00:00:00-04:00","2015-09-16","99.7","104.48","99.33","104.08","28058200",""
"NFLX","2015-09-17T00:00:00-04:00","2015-09-17","103.67","107.5","101.83","104.21","25817600",""
"NFLX","2015-09-18T00:00:00-04:00","2015-09-18","102","104.36","100.71","102.62","21715000",""
"NFLX","2015-09-21T00:00:00-04:00","2015-09-21","103.3","103.77","99.56","100.3","17900600",""
"NFLX","2015-09-22T00:00:00-04:00","2015-09-22","98.29","99.9","97","98.47","16717900",""
"NFLX","2015-09-23T00:00:00-04:00","2015-09-23","98.6","99.74","97.66","98.07","10264500",""
"NFLX","2015-09-24T00:00:00-04:00","2015-09-24","97.11","104","96.78","103.76","21274400",""
"NFLX","2015-09-25T00:00:00-04:00","2015-09-25","105.3","105.45","101.57","102.24","19066600",""
"NFLX","2015-09-28T00:00:00-04:00","2015-09-28","101.57","103.33","97.84","99.47","17026600",""
"NFLX","2015-09-29T00:00:00-04:00","2015-09-29","99.63","100.63","96.85","98.35","17405900",""
"NFLX","2015-09-30T00:00:00-04:00","2015-09-30","99.91","103.46","99.05","103.26","17027500",""
"NFLX","2015-10-01T00:00:00-04:00","2015-10-01","102.91","106.11","101.12","105.98","17426900",""
"NFLX","2015-10-02T00:00:00-04:00","2015-10-02","103.01","106.87","101.45","106.11","21526700",""
"NFLX","2015-10-05T00:00:00-04:00","2015-10-05","107.48","112.28","105.76","111.25","21157900",""
"NFLX","2015-10-06T00:00:00-04:00","2015-10-06","110.33","112.25","105.64","108.33","20836300",""
"NFLX","2015-10-07T00:00:00-04:00","2015-10-07","108.84","109.78","106.75","108.1","12329500",""
