symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"NFX","2015-01-02T00:00:00-05:00","2015-01-02","26.84","27.43","26.12","26.6","4059400",""
"NFX","2015-01-05T00:00:00-05:00","2015-01-05","25.94","26.13","24.53","24.9","4016100",""
"NFX","2015-01-06T00:00:00-05:00","2015-01-06","24.67","25.13","23.83","24.6","3993100",""
"NFX","2015-01-07T00:00:00-05:00","2015-01-07","24.94","25.18","23.39","23.61","4913200",""
"NFX","2015-01-08T00:00:00-05:00","2015-01-08","23.64","24.39","23.18","23.98","7448100",""
"NFX","2015-01-09T00:00:00-05:00","2015-01-09","24.2","24.71","23.59","24.5","4499500",""
"NFX","2015-01-12T00:00:00-05:00","2015-01-12","24.05","24.05","22.48","22.73","3784500",""
"NFX","2015-01-13T00:00:00-05:00","2015-01-13","22.77","23.31","22.5","22.9","3228500",""
"NFX","2015-01-14T00:00:00-05:00","2015-01-14","22.79","24.24","22.31","24.19","4849800",""
"NFX","2015-01-15T00:00:00-05:00","2015-01-15","24.75","24.96","23.48","23.5","4249000",""
"NFX","2015-01-16T00:00:00-05:00","2015-01-16","23.69","25.97","23.69","25.88","4604000",""
"NFX","2015-01-20T00:00:00-05:00","2015-01-20","25.69","26.51","24.82","26.28","4659500",""
"NFX","2015-01-21T00:00:00-05:00","2015-01-21","26.67","28.14","26.55","28.09","5337500",""
"NFX","2015-01-22T00:00:00-05:00","2015-01-22","28.31","28.58","27.44","28.53","4997600",""
"NFX","2015-01-23T00:00:00-05:00","2015-01-23","28.76","29.57","28.27","28.49","5077500",""
"NFX","2015-01-26T00:00:00-05:00","2015-01-26","28.71","28.76","27.64","28.29","3507900",""
"NFX","2015-01-27T00:00:00-05:00","2015-01-27","28.12","29.12","28.01","28.77","2695600",""
"NFX","2015-01-28T00:00:00-05:00","2015-01-28","28.43","28.43","27.25","27.43","3576100",""
"NFX","2015-01-29T00:00:00-05:00","2015-01-29","27.82","28.64","27.15","28.51","4304600",""
"NFX","2015-01-30T00:00:00-05:00","2015-01-30","28.15","30.26","27.78","29.78","4538900",""
"NFX","2015-02-02T00:00:00-05:00","2015-02-02","30.13","30.94","29.56","30.93","5025300",""
"NFX","2015-02-03T00:00:00-05:00","2015-02-03","31.1","32.54","31.02","32.18","6199600",""
"NFX","2015-02-04T00:00:00-05:00","2015-02-04","31.23","31.97","30.42","30.99","4398100",""
"NFX","2015-02-05T00:00:00-05:00","2015-02-05","31.66","32.05","30.6","30.89","5097500",""
"NFX","2015-02-06T00:00:00-05:00","2015-02-06","31.18","31.48","30.32","30.79","3550300",""
"NFX","2015-02-09T00:00:00-05:00","2015-02-09","31.02","31.68","30.38","30.56","3287300",""
"NFX","2015-02-10T00:00:00-05:00","2015-02-10","30.2","30.33","28.96","30.18","4403000",""
"NFX","2015-02-11T00:00:00-05:00","2015-02-11","29.35","30.18","28.68","29.91","3085900",""
"NFX","2015-02-12T00:00:00-05:00","2015-02-12","30.62","31.11","30.28","30.89","2584000",""
"NFX","2015-02-13T00:00:00-05:00","2015-02-13","31.49","32.47","31.25","32.24","4031600",""
"NFX","2015-02-17T00:00:00-05:00","2015-02-17","32","33.46","31.95","33.09","3995000",""
"NFX","2015-02-18T00:00:00-05:00","2015-02-18","32.63","33.21","32.08","32.85","3674700",""
"NFX","2015-02-19T00:00:00-05:00","2015-02-19","31.81","33.03","31.23","32.78","2470800",""
"NFX","2015-02-20T00:00:00-05:00","2015-02-20","32.83","33.13","31.69","32.09","2768900",""
"NFX","2015-02-23T00:00:00-05:00","2015-02-23","31.59","32.36","31.48","31.71","3206300",""
"NFX","2015-02-24T00:00:00-05:00","2015-02-24","32.1","32.4","31.37","31.67","3360100",""
"NFX","2015-02-25T00:00:00-05:00","2015-02-25","31.92","36.26","31.92","36","9043100",""
"NFX","2015-02-26T00:00:00-05:00","2015-02-26","33.88","33.99","32.91","33.6","22585800",""
"NFX","2015-02-27T00:00:00-05:00","2015-02-27","33.81","34.07","32.99","33.03","6640400",""
"NFX","2015-03-02T00:00:00-05:00","2015-03-02","32.91","33.08","31.6","32.43","5177200",""
"NFX","2015-03-03T00:00:00-05:00","2015-03-03","32.64","33.55","32.48","32.94","3609200",""
"NFX","2015-03-04T00:00:00-05:00","2015-03-04","33.11","33.5","31.96","33.18","4726700",""
"NFX","2015-03-05T00:00:00-05:00","2015-03-05","33.15","33.15","32.26","32.77","2915500",""
"NFX","2015-03-06T00:00:00-05:00","2015-03-06","32.31","32.94","31.81","32","2248800",""
"NFX","2015-03-09T00:00:00-04:00","2015-03-09","31.99","32.38","31.47","31.69","1920400",""
"NFX","2015-03-10T00:00:00-04:00","2015-03-10","31.09","31.73","30.86","30.96","2113100",""
"NFX","2015-03-11T00:00:00-04:00","2015-03-11","31.02","31.56","30.91","31.28","1871600",""
"NFX","2015-03-12T00:00:00-04:00","2015-03-12","31.34","31.69","31.03","31.1","2117800",""
"NFX","2015-03-13T00:00:00-04:00","2015-03-13","30.7","31.4","30.15","31.36","3598600",""
"NFX","2015-03-16T00:00:00-04:00","2015-03-16","31","31.8","30.66","31.73","2310900",""
"NFX","2015-03-17T00:00:00-04:00","2015-03-17","31.49","32.1","31.4","31.57","1889000",""
"NFX","2015-03-18T00:00:00-04:00","2015-03-18","31.12","33.74","31.07","33.37","4436500",""
"NFX","2015-03-19T00:00:00-04:00","2015-03-19","32.46","33.06","32.17","32.47","2440900",""
"NFX","2015-03-20T00:00:00-04:00","2015-03-20","33.04","34.36","32.89","33.29","4875900",""
"NFX","2015-03-23T00:00:00-04:00","2015-03-23","33.26","33.75","32.65","32.65","2117900",""
"NFX","2015-03-24T00:00:00-04:00","2015-03-24","32.57","33.04","32.12","32.94","2006800",""
"NFX","2015-03-25T00:00:00-04:00","2015-03-25","33.33","34.28","33.02","33.77","2644600",""
"NFX","2015-03-26T00:00:00-04:00","2015-03-26","34.62","35.19","33.95","34.24","3234100",""
"NFX","2015-03-27T00:00:00-04:00","2015-03-27","33.94","34.77","33.62","34.28","2800400",""
"NFX","2015-03-30T00:00:00-04:00","2015-03-30","34.82","35.43","34.73","35.18","2686200",""
"NFX","2015-03-31T00:00:00-04:00","2015-03-31","34.69","35.58","34.37","35.09","4294200",""
"NFX","2015-04-01T00:00:00-04:00","2015-04-01","35.4","36.93","35.4","36.09","3474300",""
"NFX","2015-04-02T00:00:00-04:00","2015-04-02","35.81","37.5","35.73","36.28","3551200",""
"NFX","2015-04-06T00:00:00-04:00","2015-04-06","36.75","38.19","36.56","37.73","3998500",""
"NFX","2015-04-07T00:00:00-04:00","2015-04-07","37.6","38.31","36.95","37.01","2723100",""
"NFX","2015-04-08T00:00:00-04:00","2015-04-08","37.19","37.57","35.97","36.1","2657400",""
"NFX","2015-04-09T00:00:00-04:00","2015-04-09","36.11","37.34","36.11","37.1","2184400",""
"NFX","2015-04-10T00:00:00-04:00","2015-04-10","37.45","37.63","36.9","37.19","2260200",""
"NFX","2015-04-13T00:00:00-04:00","2015-04-13","37.6","37.7","36.39","36.56","1919000",""
"NFX","2015-04-14T00:00:00-04:00","2015-04-14","36.93","37.49","36.71","37.44","1922000",""
"NFX","2015-04-15T00:00:00-04:00","2015-04-15","37.7","39.14","37.26","38.78","3707900",""
"NFX","2015-04-16T00:00:00-04:00","2015-04-16","38.43","39.26","37.99","38.75","2937800",""
"NFX","2015-04-17T00:00:00-04:00","2015-04-17","38.5","38.75","37.92","38.48","1965800",""
"NFX","2015-04-20T00:00:00-04:00","2015-04-20","38.53","39.37","38","38.16","2050400",""
"NFX","2015-04-21T00:00:00-04:00","2015-04-21","38.08","38.32","36.79","36.98","2696900",""
"NFX","2015-04-22T00:00:00-04:00","2015-04-22","37.52","38.51","36.93","37.77","1753200",""
"NFX","2015-04-23T00:00:00-04:00","2015-04-23","37.72","38.83","37.61","38.04","1889900",""
"NFX","2015-04-24T00:00:00-04:00","2015-04-24","37.9","38.96","37.68","38.76","2928800",""
"NFX","2015-04-27T00:00:00-04:00","2015-04-27","39.05","39.46","38.16","38.18","1528400",""
"NFX","2015-04-28T00:00:00-04:00","2015-04-28","38.14","39.13","37.84","39.09","2614500",""
"NFX","2015-04-29T00:00:00-04:00","2015-04-29","39.04","40.27","38.84","39.69","2263300",""
"NFX","2015-04-30T00:00:00-04:00","2015-04-30","39.78","40.18","38.52","39.24","3214000",""
"NFX","2015-05-01T00:00:00-04:00","2015-05-01","39.15","39.46","38.59","38.99","1789200",""
"NFX","2015-05-04T00:00:00-04:00","2015-05-04","39.09","39.6","38.42","38.99","1984700",""
"NFX","2015-05-05T00:00:00-04:00","2015-05-05","39.98","39.98","36.71","36.99","5522800",""
"NFX","2015-05-06T00:00:00-04:00","2015-05-06","37.48","37.53","34.78","36.05","5941300",""
"NFX","2015-05-07T00:00:00-04:00","2015-05-07","36.06","36.29","34.89","35.24","4086300",""
"NFX","2015-05-08T00:00:00-04:00","2015-05-08","35.71","36.51","35.01","36.44","3418300",""
"NFX","2015-05-11T00:00:00-04:00","2015-05-11","36.9","36.9","35.52","35.93","2645000",""
"NFX","2015-05-12T00:00:00-04:00","2015-05-12","35.88","36.54","35.62","35.95","2544700",""
"NFX","2015-05-13T00:00:00-04:00","2015-05-13","36.23","36.32","35","35.34","1835200",""
"NFX","2015-05-14T00:00:00-04:00","2015-05-14","35.45","35.79","34.47","34.54","3157500",""
"NFX","2015-05-15T00:00:00-04:00","2015-05-15","34.42","35.77","33.96","35.54","2517900",""
"NFX","2015-05-18T00:00:00-04:00","2015-05-18","35.95","36.85","35.48","36.74","3430000",""
"NFX","2015-05-19T00:00:00-04:00","2015-05-19","36.04","37.07","35.86","36.97","3448400",""
"NFX","2015-05-20T00:00:00-04:00","2015-05-20","37.11","38.09","36.76","37.4","3647000",""
"NFX","2015-05-21T00:00:00-04:00","2015-05-21","37.7","38.45","37.7","38.29","2516200",""
"NFX","2015-05-22T00:00:00-04:00","2015-05-22","37.86","38.48","37.66","38.04","1781000",""
"NFX","2015-05-26T00:00:00-04:00","2015-05-26","37.56","38.06","37.13","37.29","1333700",""
"NFX","2015-05-27T00:00:00-04:00","2015-05-27","37","37.75","36.65","37.38","1627600",""
"NFX","2015-05-28T00:00:00-04:00","2015-05-28","37.24","37.27","36.11","36.79","1836500",""
"NFX","2015-05-29T00:00:00-04:00","2015-05-29","37.03","38.17","36.63","37.81","2616800",""
"NFX","2015-06-01T00:00:00-04:00","2015-06-01","37.82","37.88","37.03","37.33","3453500",""
"NFX","2015-06-02T00:00:00-04:00","2015-06-02","37.64","38.08","37.21","37.37","2723700",""
"NFX","2015-06-03T00:00:00-04:00","2015-06-03","37.19","37.71","36.2","36.26","2266200",""
"NFX","2015-06-04T00:00:00-04:00","2015-06-04","36.01","36.33","35.48","36.15","2152200",""
"NFX","2015-06-05T00:00:00-04:00","2015-06-05","35.77","37.71","35.7","37.3","2359100",""
"NFX","2015-06-08T00:00:00-04:00","2015-06-08","37.07","37.5","36.72","36.95","2538600",""
"NFX","2015-06-09T00:00:00-04:00","2015-06-09","37.68","38.16","37.23","37.26","2412100",""
"NFX","2015-06-10T00:00:00-04:00","2015-06-10","37.95","38.27","37.4","37.92","1721200",""
"NFX","2015-06-11T00:00:00-04:00","2015-06-11","38.05","38.29","37.42","37.44","1354600",""
"NFX","2015-06-12T00:00:00-04:00","2015-06-12","37.07","37.32","36.6","36.67","2151200",""
"NFX","2015-06-15T00:00:00-04:00","2015-06-15","36.29","36.79","36.07","36.37","2167300",""
"NFX","2015-06-16T00:00:00-04:00","2015-06-16","36.36","37.42","36.3","37.4","1907400",""
"NFX","2015-06-17T00:00:00-04:00","2015-06-17","37.8","38","36.85","36.9","2507500",""
"NFX","2015-06-18T00:00:00-04:00","2015-06-18","37.43","38.07","37.21","37.38","2573300",""
"NFX","2015-06-19T00:00:00-04:00","2015-06-19","37.06","37.48","36.39","36.76","3770900",""
