symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"NI","2015-01-02T00:00:00-05:00","2015-01-02","39.32792","39.54055","38.88416","39.24471","2327006",""
"NI","2015-01-05T00:00:00-05:00","2015-01-05","39.14302","39.36489","38.64379","38.78247","2491961",""
"NI","2015-01-06T00:00:00-05:00","2015-01-06","38.77322","39.24471","38.11683","38.32946","3131231",""
"NI","2015-01-07T00:00:00-05:00","2015-01-07","38.59756","39.16151","38.37569","38.97661","1473889",""
"NI","2015-01-08T00:00:00-05:00","2015-01-08","39.15226","39.74394","38.98585","39.68847","1857451",""
"NI","2015-01-09T00:00:00-05:00","2015-01-09","39.68847","39.68847","38.86567","39.30018","1565507",""
"NI","2015-01-12T00:00:00-05:00","2015-01-12","39.33716","39.37414","38.6253","39.11528","2091093",""
"NI","2015-01-13T00:00:00-05:00","2015-01-13","39.41112","39.84563","38.87491","39.10604","2308077",""
"NI","2015-01-14T00:00:00-05:00","2015-01-14","38.83793","39.99355","38.76397","39.91959","2621654",""
"NI","2015-01-15T00:00:00-05:00","2015-01-15","40.07675","40.44655","39.87337","40.28014","2266108",""
"NI","2015-01-16T00:00:00-05:00","2015-01-16","40.26165","40.71465","40.05827","40.68692","1479514",""
"NI","2015-01-20T00:00:00-05:00","2015-01-20","40.91804","40.95502","40.3541","40.86257","1654204",""
"NI","2015-01-21T00:00:00-05:00","2015-01-21","40.67767","41.40802","40.39108","41.22313","2047609",""
"NI","2015-01-22T00:00:00-05:00","2015-01-22","41.38953","41.50972","40.52975","40.95502","1547227",""
"NI","2015-01-23T00:00:00-05:00","2015-01-23","41.11219","41.26935","40.87182","40.88107","1828138",""
"NI","2015-01-26T00:00:00-05:00","2015-01-26","40.78861","40.84408","40.1692","40.55749","1637763",""
"NI","2015-01-27T00:00:00-05:00","2015-01-27","40.38184","40.96427","40.38184","40.63145","1963130",""
"NI","2015-01-28T00:00:00-05:00","2015-01-28","40.70541","41.11219","39.69771","39.83639","1744308",""
"NI","2015-01-29T00:00:00-05:00","2015-01-29","39.78091","40.4558","39.59602","40.38184","1808451",""
"NI","2015-01-30T00:00:00-05:00","2015-01-30","40.086","40.78861","39.93808","39.99355","2035494",""
"NI","2015-02-02T00:00:00-05:00","2015-02-02","40.13223","40.74239","39.61451","40.59447","2502453",""
"NI","2015-02-03T00:00:00-05:00","2015-02-03","40.59447","41.6299","40.46504","41.58368","3030094",""
"NI","2015-02-04T00:00:00-05:00","2015-02-04","41.29708","41.49123","41.04747","41.18615","2756863",""
"NI","2015-02-05T00:00:00-05:00","2015-02-05","41.45582","41.84639","41.00946","41.84639","2339449",""
"NI","2015-02-06T00:00:00-05:00","2015-02-06","41.59531","41.6883","39.73547","40.11674","3601601",""
"NI","2015-02-09T00:00:00-05:00","2015-02-09","40.06094","40.33062","39.72617","40.06094","2353321",""
"NI","2015-02-10T00:00:00-05:00","2015-02-10","40.03304","41.93938","40.03304","41.7255","4317577",""
"NI","2015-02-11T00:00:00-05:00","2015-02-11","41.39072","41.39072","39.94005","40.21903","3515034",""
"NI","2015-02-12T00:00:00-05:00","2015-02-12","40.34922","40.5166","39.82846","40.33062","2957889",""
"NI","2015-02-13T00:00:00-05:00","2015-02-13","40.20973","40.29342","39.23331","39.54019","3144787",""
"NI","2015-02-17T00:00:00-05:00","2015-02-17","39.44719","39.85636","39.14032","39.57738","3356311",""
"NI","2015-02-18T00:00:00-05:00","2015-02-18","39.66108","41.23264","39.60528","40.83278","4361021",""
"NI","2015-02-19T00:00:00-05:00","2015-02-19","40.92577","41.13965","40.26552","40.42361","2683565",""
"NI","2015-02-20T00:00:00-05:00","2015-02-20","40.5352","40.75838","39.94935","40.5631","1630678",""
"NI","2015-02-23T00:00:00-05:00","2015-02-23","40.50731","40.65609","40.22832","40.63749","1314844",""
"NI","2015-02-24T00:00:00-05:00","2015-02-24","40.5631","41.06525","40.38641","40.76768","1054607",""
"NI","2015-02-25T00:00:00-05:00","2015-02-25","40.72118","40.88857","39.87496","40.05164","1782196",""
