symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"NOV","2015-01-02T00:00:00-05:00","2015-01-02","60.83685","61.82005","60.52784","61.32376","3459159",""
"NOV","2015-01-05T00:00:00-05:00","2015-01-05","60.49038","60.49038","57.48459","58.52398","7163837",""
"NOV","2015-01-06T00:00:00-05:00","2015-01-06","58.27116","58.99217","57.25986","57.80296","6038550",""
"NOV","2015-01-07T00:00:00-05:00","2015-01-07","58.41161","58.72998","57.27859","57.85915","4949573",""
"NOV","2015-01-08T00:00:00-05:00","2015-01-08","58.31797","59.61018","58.00897","59.58209","7140769",""
"NOV","2015-01-09T00:00:00-05:00","2015-01-09","59.8911","60.11583","57.78424","57.94342","5368205",""
"NOV","2015-01-12T00:00:00-05:00","2015-01-12","56.93213","57.1475","54.4788","54.87208","8130001",""
"NOV","2015-01-13T00:00:00-05:00","2015-01-13","54.62862","55.29345","53.54242","54.28216","9538078",""
"NOV","2015-01-14T00:00:00-05:00","2015-01-14","53.61733","54.16043","52.83076","54.11361","8404781",""
"NOV","2015-01-15T00:00:00-05:00","2015-01-15","55.01254","55.21854","53.12104","53.17723","5584249",""
"NOV","2015-01-16T00:00:00-05:00","2015-01-16","53.68288","54.61926","53.60796","54.57244","7617497",""
"NOV","2015-01-20T00:00:00-05:00","2015-01-20","54.48816","54.68481","53.42069","54.60053","6176101",""
"NOV","2015-01-21T00:00:00-05:00","2015-01-21","54.86272","55.96765","54.60053","55.93019","3299929",""
"NOV","2015-01-22T00:00:00-05:00","2015-01-22","55.67737","56.01447","54.44135","55.07809","4975097",""
"NOV","2015-01-23T00:00:00-05:00","2015-01-23","55.04063","55.39646","53.43941","53.51433","6635101",""
"NOV","2015-01-26T00:00:00-05:00","2015-01-26","53.0555","54.10425","53.04613","54.0668","6502249",""
"NOV","2015-01-27T00:00:00-05:00","2015-01-27","53.69224","54.16979","53.12104","54.02934","5146074",""
"NOV","2015-01-28T00:00:00-05:00","2015-01-28","53.5986","53.81397","50.04034","50.12461","11766865",""
"NOV","2015-01-29T00:00:00-05:00","2015-01-29","50.70518","50.71454","48.82304","49.87179","10256693",""
"NOV","2015-01-30T00:00:00-05:00","2015-01-30","49.5347","51.87566","49.29124","50.96736","8494061",""
"NOV","2015-02-02T00:00:00-05:00","2015-02-02","51.61347","52.81204","50.88309","52.80267","7961053",""
"NOV","2015-02-03T00:00:00-05:00","2015-02-03","53.87015","53.99188","49.75943","50.63963","18522216",""
"NOV","2015-02-04T00:00:00-05:00","2015-02-04","49.49724","50.08716","48.43913","49.00096","12941917",""
"NOV","2015-02-05T00:00:00-05:00","2015-02-05","49.7407","50.17144","49.02905","49.85307","6987627",""
"NOV","2015-02-06T00:00:00-05:00","2015-02-06","50.17144","50.33062","46.11689","48.15821","16030609",""
"NOV","2015-02-09T00:00:00-05:00","2015-02-09","48.27994","49.86243","48.2144","49.42233","9776014",""
"NOV","2015-02-10T00:00:00-05:00","2015-02-10","49.43169","49.59088","48.39231","49.01968","8749832",""
"NOV","2015-02-11T00:00:00-05:00","2015-02-11","48.47658","49.10396","48.07394","48.58895","7398036",""
"NOV","2015-02-12T00:00:00-05:00","2015-02-12","49.42233","50.21826","48.90732","49.21633","7428472",""
"NOV","2015-02-13T00:00:00-05:00","2015-02-13","49.81561","50.20889","49.10396","49.96543","7432850",""
"NOV","2015-02-17T00:00:00-05:00","2015-02-17","49.92798","51.65092","49.42233","51.62283","8579603",""
"NOV","2015-02-18T00:00:00-05:00","2015-02-18","51.12654","52.36257","50.89245","52.28766","10069697",""
"NOV","2015-02-19T00:00:00-05:00","2015-02-19","50.0778","51.54792","49.51597","50.78945","10870865",""
"NOV","2015-02-20T00:00:00-05:00","2015-02-20","50.66772","51.08909","50.11525","51.00482","5785556",""
"NOV","2015-02-23T00:00:00-05:00","2015-02-23","50.09653","51.31382","49.83434","50.84563","5886689",""
"NOV","2015-02-24T00:00:00-05:00","2015-02-24","51.20146","51.26701","50.39617","51.20146","6197139",""
"NOV","2015-02-25T00:00:00-05:00","2015-02-25","51.23891","51.5011","50.63026","51.25764","4003380",""
"NOV","2015-02-26T00:00:00-05:00","2015-02-26","50.84563","51.03291","49.44106","49.88116","5460796",""
"NOV","2015-02-27T00:00:00-05:00","2015-02-27","50.09653","51.03291","49.82497","50.89245","5560327",""
"NOV","2015-03-02T00:00:00-05:00","2015-03-02","50.79881","52.26894","50.47108","52.24084","9806557",""
"NOV","2015-03-03T00:00:00-05:00","2015-03-03","52.28766","52.59667","50.78009","50.97673","6693410",""
"NOV","2015-03-04T00:00:00-05:00","2015-03-04","51.12654","51.45428","50.47108","51.2951","4621823",""
"NOV","2015-03-05T00:00:00-05:00","2015-03-05","51.07973","51.07973","50.12461","50.19016","5453961",""
"NOV","2015-03-06T00:00:00-05:00","2015-03-06","49.72197","49.93734","49.03841","49.1976","5503193",""
"NOV","2015-03-09T00:00:00-04:00","2015-03-09","49.17887","49.56279","48.36422","48.36422","6619936",""
"NOV","2015-03-10T00:00:00-04:00","2015-03-10","47.86793","48.2144","47.1001","47.45592","7360124",""
"NOV","2015-03-11T00:00:00-04:00","2015-03-11","48.004","48.07015","47.12519","47.39923","4763584",""
"NOV","2015-03-12T00:00:00-04:00","2015-03-12","47.52207","47.55042","47.04014","47.05904","6211687",""
"NOV","2015-03-13T00:00:00-04:00","2015-03-13","46.62436","46.8606","45.42426","46.36922","7861279",""
"NOV","2015-03-16T00:00:00-04:00","2015-03-16","46.02903","46.16133","45.15967","45.99123","7368772",""
"NOV","2015-03-17T00:00:00-04:00","2015-03-17","45.52821","45.81169","44.76279","44.84783","9607807",""
"NOV","2015-03-18T00:00:00-04:00","2015-03-18","44.4604","46.10463","43.54379","45.91564","12621690",""
"NOV","2015-03-19T00:00:00-04:00","2015-03-19","45.26362","45.78334","45.15022","45.25417","7058918",""
"NOV","2015-03-20T00:00:00-04:00","2015-03-20","45.6794","47.19133","45.6416","46.92675","16058129",""
"NOV","2015-03-23T00:00:00-04:00","2015-03-23","46.92675","47.56932","46.63381","46.64326","5287310",""
