symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"NSC","2015-01-02T00:00:00-05:00","2015-01-02","103.1772","103.5127","100.5768","101.7325","1531044",""
"NSC","2015-01-05T00:00:00-05:00","2015-01-05","101.3224","101.4902","99.02959","99.16008","3005332",""
"NSC","2015-01-06T00:00:00-05:00","2015-01-06","98.39581","98.67542","95.57172","96.00046","4545175",""
"NSC","2015-01-07T00:00:00-05:00","2015-01-07","96.65289","97.14687","95.07774","96.00046","4019877",""
"NSC","2015-01-08T00:00:00-05:00","2015-01-08","96.66221","97.78998","95.92589","96.92318","3287830",""
"NSC","2015-01-09T00:00:00-05:00","2015-01-09","96.82065","97.58492","95.64628","96.1589","3121958",""
"NSC","2015-01-12T00:00:00-05:00","2015-01-12","95.26414","95.71152","94.15501","95.04045","3562495",""
"NSC","2015-01-13T00:00:00-05:00","2015-01-13","96.22414","96.73677","93.32549","94.59307","3126571",""
"NSC","2015-01-14T00:00:00-05:00","2015-01-14","93.03656","94.62103","93.01792","94.20161","3474516",""
"NSC","2015-01-15T00:00:00-05:00","2015-01-15","94.89132","96.0657","94.41599","94.91928","2799226",""
"NSC","2015-01-16T00:00:00-05:00","2015-01-16","94.87268","96.62492","94.87268","96.54104","2695046",""
"NSC","2015-01-20T00:00:00-05:00","2015-01-20","96.9325","97.24939","95.7954","96.41987","2147003",""
"NSC","2015-01-21T00:00:00-05:00","2015-01-21","96.17754","97.8459","95.62764","97.25871","1365065",""
"NSC","2015-01-22T00:00:00-05:00","2015-01-22","98.28396","99.30921","97.96706","98.88046","1581579",""
"NSC","2015-01-23T00:00:00-05:00","2015-01-23","98.91775","98.91775","97.63153","97.65949","2065784",""
"NSC","2015-01-26T00:00:00-05:00","2015-01-26","94.56511","99.9896","94.56511","98.89911","2965420",""
"NSC","2015-01-27T00:00:00-05:00","2015-01-27","97.37056","97.92046","96.36395","97.10959","2264272",""
"NSC","2015-01-28T00:00:00-05:00","2015-01-28","97.90182","98.07892","95.91657","96.00046","2189168",""
"NSC","2015-01-29T00:00:00-05:00","2015-01-29","95.88861","96.95113","95.03113","96.73677","2036171",""
"NSC","2015-01-30T00:00:00-05:00","2015-01-30","95.68356","96.34531","94.99384","95.04045","2711354",""
"NSC","2015-02-02T00:00:00-05:00","2015-02-02","95.25481","96.98842","95.15229","96.96046","2267598",""
"NSC","2015-02-03T00:00:00-05:00","2015-02-03","98.09755","100.0828","97.52901","99.98028","2954691",""
"NSC","2015-02-04T00:00:00-05:00","2015-02-04","99.33361","100.2427","99.05246","99.67101","3036284",""
"NSC","2015-02-05T00:00:00-05:00","2015-02-05","99.94279","101.3767","99.84908","101.0768","2829178",""
"NSC","2015-02-06T00:00:00-05:00","2015-02-06","101.3767","101.6766","100.5988","101.0206","3006942",""
"NSC","2015-02-09T00:00:00-05:00","2015-02-09","100.88","101.6579","100.5707","101.208","2490189",""
"NSC","2015-02-10T00:00:00-05:00","2015-02-10","101.5454","102.0421","100.9081","101.7797","1754378",""
"NSC","2015-02-11T00:00:00-05:00","2015-02-11","101.4517","102.6232","101.3017","102.2577","1469380",""
"NSC","2015-02-12T00:00:00-05:00","2015-02-12","102.5013","103.2417","102.4264","103.1668","1325653",""
"NSC","2015-02-13T00:00:00-05:00","2015-02-13","103.2511","103.9259","102.6232","103.0074","1681608",""
"NSC","2015-02-17T00:00:00-05:00","2015-02-17","102.5295","103.7947","102.3795","103.7197","1762807",""
"NSC","2015-02-18T00:00:00-05:00","2015-02-18","103.2886","104.2445","103.2042","104.2258","1765582",""
"NSC","2015-02-19T00:00:00-05:00","2015-02-19","103.5979","105.013","103.5979","104.5819","1959137",""
