symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"NTRS","2015-01-02T00:00:00-05:00","2015-01-02","64.02814","64.38822","63.28903","64.00919","713394",""
"NTRS","2015-01-05T00:00:00-05:00","2015-01-05","63.4975","63.63016","61.58338","61.65919","1499922",""
"NTRS","2015-01-06T00:00:00-05:00","2015-01-06","61.80133","61.92451","59.70717","59.92511","1608303",""
"NTRS","2015-01-07T00:00:00-05:00","2015-01-07","60.43681","61.04326","60.0104","60.89165","842776",""
"NTRS","2015-01-08T00:00:00-05:00","2015-01-08","61.35596","62.06665","61.35596","61.83923","845625",""
"NTRS","2015-01-09T00:00:00-05:00","2015-01-09","61.78237","61.96241","60.74003","60.74951","1103123",""
"NTRS","2015-01-12T00:00:00-05:00","2015-01-12","60.71161","61.04326","59.75455","60.01987","1162854",""
"NTRS","2015-01-13T00:00:00-05:00","2015-01-13","60.61685","61.16645","59.64083","60.13358","1183960",""
"NTRS","2015-01-14T00:00:00-05:00","2015-01-14","59.30919","59.86826","58.11523","58.98701","1413175",""
"NTRS","2015-01-15T00:00:00-05:00","2015-01-15","59.01543","59.32814","58.25737","58.55112","1287170",""
"NTRS","2015-01-16T00:00:00-05:00","2015-01-16","58.40898","59.05334","57.89729","59.03439","1291708",""
"NTRS","2015-01-20T00:00:00-05:00","2015-01-20","59.17652","59.51765","58.47531","59.16705","1502560",""
"NTRS","2015-01-21T00:00:00-05:00","2015-01-21","63.85758","64.56827","62.29407","62.84367","3546182",""
"NTRS","2015-01-22T00:00:00-05:00","2015-01-22","62.99528","65.02311","62.76786","64.43561","2360428",""
"NTRS","2015-01-23T00:00:00-05:00","2015-01-23","64.11343","64.7104","63.31746","63.37431","1966372",""
"NTRS","2015-01-26T00:00:00-05:00","2015-01-26","63.33641","64.07552","62.90052","64.06605","999701",""
"NTRS","2015-01-27T00:00:00-05:00","2015-01-27","63.90496","63.90496","62.76786","62.83419","1357349",""
"NTRS","2015-01-28T00:00:00-05:00","2015-01-28","63.14689","63.23218","61.44124","61.44124","1609147",""
"NTRS","2015-01-29T00:00:00-05:00","2015-01-29","61.33701","62.96685","61.10959","62.91948","1476599",""
"NTRS","2015-01-30T00:00:00-05:00","2015-01-30","62.0856","63.17532","60.9485","61.95294","1657797",""
"NTRS","2015-02-02T00:00:00-05:00","2015-02-02","62.49306","63.17532","62.02874","63.11847","1318091",""
"NTRS","2015-02-03T00:00:00-05:00","2015-02-03","63.31746","64.6725","63.31746","64.56827","1398822",""
"NTRS","2015-02-04T00:00:00-05:00","2015-02-04","64.30294","65.14629","64.01867","64.19871","1325267",""
"NTRS","2015-02-05T00:00:00-05:00","2015-02-05","64.28399","65.26948","64.14185","64.90939","1035793",""
"NTRS","2015-02-06T00:00:00-05:00","2015-02-06","65.05154","66.72875","64.91888","65.96121","1581920",""
"NTRS","2015-02-09T00:00:00-05:00","2015-02-09","65.52533","65.94226","65.21262","65.32633","749064",""
"NTRS","2015-02-10T00:00:00-05:00","2015-02-10","65.63903","66.34025","65.47794","66.23602","1412014",""
"NTRS","2015-02-11T00:00:00-05:00","2015-02-11","66.20759","67.20255","65.97069","66.88037","1394601",""
"NTRS","2015-02-12T00:00:00-05:00","2015-02-12","66.87089","67.28783","66.46343","66.88984","1572739",""
"NTRS","2015-02-13T00:00:00-05:00","2015-02-13","66.89931","67.17412","66.07493","66.40658","1445995",""
"NTRS","2015-02-17T00:00:00-05:00","2015-02-17","66.18863","66.59609","66.1223","66.52976","978384",""
"NTRS","2015-02-18T00:00:00-05:00","2015-02-18","66.42553","66.62452","65.27895","65.55375","1051307",""
"NTRS","2015-02-19T00:00:00-05:00","2015-02-19","65.48742","65.98964","65.31686","65.98016","1533059",""
"NTRS","2015-02-20T00:00:00-05:00","2015-02-20","65.67693","66.52976","65.26","66.40658","1470056",""
"NTRS","2015-02-23T00:00:00-05:00","2015-02-23","66.26444","66.47291","65.76222","66.46343","1160532",""
"NTRS","2015-02-24T00:00:00-05:00","2015-02-24","66.50134","68.07432","66.42553","67.36363","1607459",""
"NTRS","2015-02-25T00:00:00-05:00","2015-02-25","67.2215","67.54367","66.9088","67.38258","935538",""
"NTRS","2015-02-26T00:00:00-05:00","2015-02-26","67.42997","67.62896","66.23602","66.50134","1570628",""
"NTRS","2015-02-27T00:00:00-05:00","2015-02-27","66.46343","66.69085","66.1602","66.16969","1146496",""
"NTRS","2015-03-02T00:00:00-05:00","2015-03-02","66.40658","66.88984","66.02754","66.81404","690916",""
"NTRS","2015-03-03T00:00:00-05:00","2015-03-03","66.74771","66.99407","66.06544","66.49186","882139",""
"NTRS","2015-03-04T00:00:00-05:00","2015-03-04","66.36809","66.39665","65.67309","66.04439","784089",""
"NTRS","2015-03-05T00:00:00-05:00","2015-03-05","66.03487","66.37761","65.70165","66.14912","573913",""
"NTRS","2015-03-06T00:00:00-05:00","2015-03-06","65.83494","68.31029","65.43507","66.98693","1865954",""
"NTRS","2015-03-09T00:00:00-04:00","2015-03-09","67.08213","67.34871","66.52042","67.12974","1019578",""
"NTRS","2015-03-10T00:00:00-04:00","2015-03-10","66.17768","66.65371","65.93967","66.05391","1317459",""
"NTRS","2015-03-11T00:00:00-04:00","2015-03-11","66.09199","66.72035","66.01582","66.47282","887339",""
"NTRS","2015-03-12T00:00:00-04:00","2015-03-12","67.11069","67.93899","66.6918","67.50105","1144045",""
"NTRS","2015-03-13T00:00:00-04:00","2015-03-13","67.34871","67.56769","66.66322","67.47248","835661",""
"NTRS","2015-03-16T00:00:00-04:00","2015-03-16","67.72001","68.4531","67.45344","68.42454","740499",""
"NTRS","2015-03-17T00:00:00-04:00","2015-03-17","68.37694","68.71015","67.77714","68.63399","1127345",""
"NTRS","2015-03-18T00:00:00-04:00","2015-03-18","68.64351","69.23379","67.41535","67.89138","2002605",""
"NTRS","2015-03-19T00:00:00-04:00","2015-03-19","67.62481","68.09132","66.93932","67.5296","1149717",""
"NTRS","2015-03-20T00:00:00-04:00","2015-03-20","67.70097","68.18652","67.32014","67.92947","1467029",""
"NTRS","2015-03-23T00:00:00-04:00","2015-03-23","68.04372","68.24364","67.24398","67.32967","886603",""
"NTRS","2015-03-24T00:00:00-04:00","2015-03-24","67.16782","67.30111","66.27288","66.29192","1169989",""
"NTRS","2015-03-25T00:00:00-04:00","2015-03-25","66.32049","66.32049","65.21609","65.54932","1335420",""
"NTRS","2015-03-26T00:00:00-04:00","2015-03-26","65.33986","66.58707","64.90192","66.28241","1648846",""
"NTRS","2015-03-27T00:00:00-04:00","2015-03-27","66.1396","66.22528","65.56836","66.00631","723799",""
"NTRS","2015-03-30T00:00:00-04:00","2015-03-30","66.56802","66.96788","66.21576","66.57755","776947",""
"NTRS","2015-03-31T00:00:00-04:00","2015-03-31","65.73973","66.79652","65.73973","66.31097","1088482",""
"NTRS","2015-04-01T00:00:00-04:00","2015-04-01","66.03487","66.87268","65.57787","66.6918","1381425",""
"NTRS","2015-04-02T00:00:00-04:00","2015-04-02","66.52994","67.40584","66.36809","67.31062","1036699",""
"NTRS","2015-04-06T00:00:00-04:00","2015-04-06","66.77747","67.32014","66.20624","67.05357","968111",""
"NTRS","2015-04-07T00:00:00-04:00","2015-04-07","66.74892","67.76762","66.71083","67.59624","988698",""
"NTRS","2015-04-08T00:00:00-04:00","2015-04-08","67.52008","67.99611","67.32014","67.76762","805411",""
"NTRS","2015-04-09T00:00:00-04:00","2015-04-09","67.57721","67.89138","67.13925","67.79618","936810",""
"NTRS","2015-04-10T00:00:00-04:00","2015-04-10","67.60577","67.91994","67.27255","67.46296","1205281",""
"NTRS","2015-04-13T00:00:00-04:00","2015-04-13","67.46296","68.27221","67.22495","68.03419","1307901",""
"NTRS","2015-04-14T00:00:00-04:00","2015-04-14","67.55817","68.09132","67.37727","67.91994","762557",""
"NTRS","2015-04-15T00:00:00-04:00","2015-04-15","67.91043","68.11036","67.69145","67.73906","1438985",""
"NTRS","2015-04-16T00:00:00-04:00","2015-04-16","67.54864","67.70097","67.04405","67.59624","911392",""
"NTRS","2015-04-17T00:00:00-04:00","2015-04-17","67.02501","67.36775","66.28241","66.48234","1431527",""
"NTRS","2015-04-20T00:00:00-04:00","2015-04-20","67.19638","67.23447","66.70131","66.86317","1190261",""
"NTRS","2015-04-21T00:00:00-04:00","2015-04-21","68.93865","69.06242","67.71049","68.44358","2247653",""
"NTRS","2015-04-22T00:00:00-04:00","2015-04-22","68.48166","70.32866","68.48166","70.30962","2246917",""
"NTRS","2015-04-23T00:00:00-04:00","2015-04-23","70.25249","70.70948","69.50037","70.25249","1823204",""
"NTRS","2015-04-24T00:00:00-04:00","2015-04-24","70.1668","70.45242","68.89104","69.59557","1498330",""
"NTRS","2015-04-27T00:00:00-04:00","2015-04-27","69.54797","70.15729","69.39564","69.50989","1705775",""
"NTRS","2015-04-28T00:00:00-04:00","2015-04-28","69.45276","70.15729","69.27187","70.01448","900993",""
"NTRS","2015-04-29T00:00:00-04:00","2015-04-29","69.60509","70.6714","69.40516","70.20489","1213159",""
"NTRS","2015-04-30T00:00:00-04:00","2015-04-30","69.59557","70.40482","69.40516","69.64317","1254753",""
"NTRS","2015-05-01T00:00:00-04:00","2015-05-01","70.10968","70.38578","69.78599","70.1668","1039115",""
"NTRS","2015-05-04T00:00:00-04:00","2015-05-04","70.1668","71.08079","70.14777","70.97606","751423",""
"NTRS","2015-05-05T00:00:00-04:00","2015-05-05","70.53811","71.65202","70.30009","70.98558","2217507",""
"NTRS","2015-05-06T00:00:00-04:00","2015-05-06","70.78564","71.18551","70.17633","70.6714","1070731",""
"NTRS","2015-05-07T00:00:00-04:00","2015-05-07","70.78564","71.23312","70.56667","71.06174","1043421",""
"NTRS","2015-05-08T00:00:00-04:00","2015-05-08","71.40449","71.74723","71.19503","71.6425","1146041",""
