symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"NUE","2015-01-02T00:00:00-05:00","2015-01-02","45.23987","45.42366","44.56903","45.0377","1479624",""
"NUE","2015-01-05T00:00:00-05:00","2015-01-05","44.57822","44.61498","43.16304","43.31926","3041299",""
"NUE","2015-01-06T00:00:00-05:00","2015-01-06","43.3744","43.42035","42.10625","42.69438","4273141",""
"NUE","2015-01-07T00:00:00-05:00","2015-01-07","43.12629","43.42954","42.91493","43.08953","2074217",""
"NUE","2015-01-08T00:00:00-05:00","2015-01-08","43.28251","44.21983","42.93331","44.13713","2895045",""
"NUE","2015-01-09T00:00:00-05:00","2015-01-09","44.13713","44.21065","43.48468","43.90739","1661680",""
"NUE","2015-01-12T00:00:00-05:00","2015-01-12","43.549","43.65009","41.96841","42.27166","3616522",""
"NUE","2015-01-13T00:00:00-05:00","2015-01-13","42.16139","42.71276","41.59164","41.95922","2314382",""
"NUE","2015-01-14T00:00:00-05:00","2015-01-14","41.07703","41.30677","40.08456","40.81053","3510422",""
"NUE","2015-01-15T00:00:00-05:00","2015-01-15","41.20568","41.55488","40.56242","40.62674","2383374",""
"NUE","2015-01-16T00:00:00-05:00","2015-01-16","40.67269","40.94838","40.25917","40.81972","2781002",""
"NUE","2015-01-20T00:00:00-05:00","2015-01-20","40.69107","40.94838","40.20403","40.51647","2659450",""
"NUE","2015-01-21T00:00:00-05:00","2015-01-21","40.35106","40.81972","40.23159","40.44295","2869908",""
"NUE","2015-01-22T00:00:00-05:00","2015-01-22","40.68188","41.35271","40.32349","41.21487","2715819",""
"NUE","2015-01-23T00:00:00-05:00","2015-01-23","41.43542","41.55488","40.24079","40.24997","2844553",""
"NUE","2015-01-26T00:00:00-05:00","2015-01-26","40.23159","41.07703","40.02943","40.73702","2812451",""
"NUE","2015-01-27T00:00:00-05:00","2015-01-27","40.51647","41.66516","39.56995","41.1873","4754887",""
"NUE","2015-01-28T00:00:00-05:00","2015-01-28","41.4538","41.56407","40.43377","40.47052","3413899",""
"NUE","2015-01-29T00:00:00-05:00","2015-01-29","40.34187","40.39701","39.45049","40.18565","3382885",""
"NUE","2015-01-30T00:00:00-05:00","2015-01-30","39.77212","40.6635","39.68023","40.11213","5482131",""
"NUE","2015-02-02T00:00:00-05:00","2015-02-02","40.3143","40.76459","39.98348","40.62674","3864087",""
