symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"NWL","2015-01-02T00:00:00-05:00","2015-01-02","36.3564","36.47076","35.84179","36.08004","948702",""
"NWL","2015-01-05T00:00:00-05:00","2015-01-05","35.95615","35.97521","35.50824","35.66072","1215443",""
"NWL","2015-01-06T00:00:00-05:00","2015-01-06","35.58448","35.72743","34.96504","35.04128","2450928",""
"NWL","2015-01-07T00:00:00-05:00","2015-01-07","35.34624","35.54636","35.06987","35.25094","3967531",""
"NWL","2015-01-08T00:00:00-05:00","2015-01-08","35.41294","36.08004","35.33671","36.07051","2153862",""
"NWL","2015-01-09T00:00:00-05:00","2015-01-09","36.17533","36.20393","35.56542","35.68931","1313451",""
"NWL","2015-01-12T00:00:00-05:00","2015-01-12","35.76555","35.8132","35.33671","35.5273","983225",""
"NWL","2015-01-13T00:00:00-05:00","2015-01-13","35.78461","36.28016","35.32718","35.77508","1962568",""
"NWL","2015-01-14T00:00:00-05:00","2015-01-14","35.40342","35.89897","35.20329","35.86085","1812409",""
"NWL","2015-01-15T00:00:00-05:00","2015-01-15","35.95615","36.43264","35.67978","36.0038","2667301",""
"NWL","2015-01-16T00:00:00-05:00","2015-01-16","36.04192","36.41358","35.68931","36.36593","1484702",""
"NWL","2015-01-20T00:00:00-05:00","2015-01-20","36.34687","36.60418","35.72743","36.16581","1817446",""
"NWL","2015-01-21T00:00:00-05:00","2015-01-21","36.01333","36.2611","35.79414","35.97521","1528354",""
"NWL","2015-01-22T00:00:00-05:00","2015-01-22","36.21346","36.47076","35.97521","36.30875","3031105",""
"NWL","2015-01-23T00:00:00-05:00","2015-01-23","35.93709","36.11816","35.44154","35.65119","3187246",""
"NWL","2015-01-26T00:00:00-05:00","2015-01-26","35.63213","36.2611","35.51778","36.24204","1672952",""
"NWL","2015-01-27T00:00:00-05:00","2015-01-27","35.82273","35.89897","35.02222","35.6226","2515567",""
"NWL","2015-01-28T00:00:00-05:00","2015-01-28","35.85132","35.91803","35.46059","35.51778","1932662",""
"NWL","2015-01-29T00:00:00-05:00","2015-01-29","35.5273","36.21346","35.25094","36.18487","3131946",""
"NWL","2015-01-30T00:00:00-05:00","2015-01-30","36.30875","36.94725","35.06987","35.13658","4220000",""
"NWL","2015-02-02T00:00:00-05:00","2015-02-02","35.20329","35.89897","34.62197","35.80367","3589141",""
"NWL","2015-02-03T00:00:00-05:00","2015-02-03","35.91803","36.38499","35.58448","36.32781","3013581",""
"NWL","2015-02-04T00:00:00-05:00","2015-02-04","36.30875","36.55653","35.85132","35.88944","3522403",""
"NWL","2015-02-05T00:00:00-05:00","2015-02-05","36.04192","36.23251","35.91803","36.16581","1667916",""
"NWL","2015-02-06T00:00:00-05:00","2015-02-06","36.2897","36.73759","36.08957","36.21346","2020492",""
"NWL","2015-02-09T00:00:00-05:00","2015-02-09","36.0038","36.07051","35.77508","35.87991","1462141",""
"NWL","2015-02-10T00:00:00-05:00","2015-02-10","35.87991","36.3564","35.79414","36.25158","2155646",""
"NWL","2015-02-11T00:00:00-05:00","2015-02-11","36.21346","36.97584","36.20393","36.86148","1715660",""
"NWL","2015-02-12T00:00:00-05:00","2015-02-12","37.12832","37.45234","36.94725","37.40469","2095939",""
"NWL","2015-02-13T00:00:00-05:00","2015-02-13","37.39516","37.71917","37.21409","37.70964","1420483",""
"NWL","2015-02-17T00:00:00-05:00","2015-02-17","37.49046","38.28143","37.43327","38.02413","1781349",""
"NWL","2015-02-18T00:00:00-05:00","2015-02-18","38.00507","38.4625","37.98601","38.31955","1457944",""
"NWL","2015-02-19T00:00:00-05:00","2015-02-19","38.14801","38.30049","37.86212","37.90024","951116",""
"NWL","2015-02-20T00:00:00-05:00","2015-02-20","37.73823","38.26237","37.52858","38.23378","1350912",""
"NWL","2015-02-23T00:00:00-05:00","2015-02-23","38.11943","38.22425","37.88118","38.1099","926456",""
"NWL","2015-02-24T00:00:00-05:00","2015-02-24","38.05272","38.16708","37.83353","37.96695","1396033",""
"NWL","2015-02-25T00:00:00-05:00","2015-02-25","38.15846","38.16804","37.78502","37.88077","1468640",""
"NWL","2015-02-26T00:00:00-05:00","2015-02-26","37.92865","38.12973","37.75629","37.89992","1042554",""
"NWL","2015-02-27T00:00:00-05:00","2015-02-27","37.92865","38.13931","37.60308","37.62223","1507802",""
"NWL","2015-03-02T00:00:00-05:00","2015-03-02","37.81374","38.09143","37.71798","37.96695","1488900",""
"NWL","2015-03-03T00:00:00-05:00","2015-03-03","37.77544","37.82331","37.54562","37.71798","1144689",""
"NWL","2015-03-04T00:00:00-05:00","2015-03-04","37.84247","37.97652","37.33496","37.41157","1284003",""
"NWL","2015-03-05T00:00:00-05:00","2015-03-05","37.52647","37.70841","37.44029","37.67011","864600",""
"NWL","2015-03-06T00:00:00-05:00","2015-03-06","37.57436","37.61265","36.83704","36.91364","1637926",""
"NWL","2015-03-09T00:00:00-04:00","2015-03-09","36.91364","37.24879","36.85619","37.07643","1234710",""
"NWL","2015-03-10T00:00:00-04:00","2015-03-10","36.78916","36.78916","36.24335","36.39656","1680639",""
"NWL","2015-03-11T00:00:00-04:00","2015-03-11","36.43486","36.52105","35.95609","36.22421","1556781",""
"NWL","2015-03-12T00:00:00-04:00","2015-03-12","36.38699","36.79874","36.38699","36.79874","1435221",""
"NWL","2015-03-13T00:00:00-04:00","2015-03-13","36.73171","37.01897","36.40614","36.96152","1598555",""
"NWL","2015-03-16T00:00:00-04:00","2015-03-16","37.06685","37.58393","37.02855","37.32539","1504043",""
"NWL","2015-03-17T00:00:00-04:00","2015-03-17","37.2009","37.36369","36.86576","37.22006","1751340",""
"NWL","2015-03-18T00:00:00-04:00","2015-03-18","37.23921","37.95737","37.0477","37.73714","1645445",""
"NWL","2015-03-19T00:00:00-04:00","2015-03-19","37.66053","37.70841","37.32539","37.58393","984593",""
"NWL","2015-03-20T00:00:00-04:00","2015-03-20","37.96695","38.16804","37.78502","38.03398","1739852",""
"NWL","2015-03-23T00:00:00-04:00","2015-03-23","37.95737","38.13931","37.78502","37.78502","965482",""
"NWL","2015-03-24T00:00:00-04:00","2015-03-24","37.70841","38.06271","37.63181","37.69883","930184",""
"NWL","2015-03-25T00:00:00-04:00","2015-03-25","37.82331","37.89035","37.30624","37.42115","2036442",""
"NWL","2015-03-26T00:00:00-04:00","2015-03-26","37.33496","37.5169","37.03812","37.32539","1473235",""
"NWL","2015-03-27T00:00:00-04:00","2015-03-27","37.22963","37.46902","37.02855","37.40199","961827",""
"NWL","2015-03-30T00:00:00-04:00","2015-03-30","37.64138","38.00525","37.63181","37.79459","912952",""
"NWL","2015-03-31T00:00:00-04:00","2015-03-31","37.67968","37.89035","37.38284","37.41157","1944750",""
"NWL","2015-04-01T00:00:00-04:00","2015-04-01","37.43072","38.40742","37.16261","38.28294","2418458",""
"NWL","2015-04-02T00:00:00-04:00","2015-04-02","38.29252","38.59893","38.03398","38.50318","1385198",""
"NWL","2015-04-06T00:00:00-04:00","2015-04-06","38.32124","38.99153","38.13931","38.8862","1436788",""
"NWL","2015-04-07T00:00:00-04:00","2015-04-07","38.86705","39.00111","38.38827","38.39785","1144062",""
"NWL","2015-04-08T00:00:00-04:00","2015-04-08","38.44573","38.58936","38.05313","38.35955","1390211",""
"NWL","2015-04-09T00:00:00-04:00","2015-04-09","38.27337","38.43615","38.01483","38.29252","1047880",""
"NWL","2015-04-10T00:00:00-04:00","2015-04-10","38.30209","38.34997","38.05313","38.3404","604457",""
"NWL","2015-04-13T00:00:00-04:00","2015-04-13","38.32124","38.33082","37.88077","37.93822","1323583",""
"NWL","2015-04-14T00:00:00-04:00","2015-04-14","37.86162","38.19676","37.60308","37.93822","1722203",""
"NWL","2015-04-15T00:00:00-04:00","2015-04-15","38.19676","38.19676","37.88077","37.9478","1530464",""
"NWL","2015-04-16T00:00:00-04:00","2015-04-16","37.83289","38.00525","37.36369","37.64138","1294864",""
"NWL","2015-04-17T00:00:00-04:00","2015-04-17","37.44987","37.52647","36.95194","37.06685","1286300",""
"NWL","2015-04-20T00:00:00-04:00","2015-04-20","37.33496","37.45945","37.18176","37.43072","1130799",""
"NWL","2015-04-21T00:00:00-04:00","2015-04-21","37.49775","37.99568","37.1243","37.79459","1459137",""
"NWL","2015-04-22T00:00:00-04:00","2015-04-22","37.89992","37.91907","37.5169","37.81374","1358776",""
"NWL","2015-04-23T00:00:00-04:00","2015-04-23","37.78502","38.22549","37.71798","37.93822","1258730",""
"NWL","2015-04-24T00:00:00-04:00","2015-04-24","37.96695","38.05313","37.73714","37.86162","814159",""
"NWL","2015-04-27T00:00:00-04:00","2015-04-27","38.03398","38.09143","37.62223","37.69883","919323",""
"NWL","2015-04-28T00:00:00-04:00","2015-04-28","37.71798","37.71798","37.2009","37.49775","1154401",""
"NWL","2015-04-29T00:00:00-04:00","2015-04-29","37.38284","37.4786","37.03812","37.21048","1445874",""
"NWL","2015-04-30T00:00:00-04:00","2015-04-30","37.15303","37.27751","36.33911","36.51147","2774469",""
"NWL","2015-05-01T00:00:00-04:00","2015-05-01","38.75214","38.75214","37.66053","37.92865","3907254",""
"NWL","2015-05-04T00:00:00-04:00","2015-05-04","38.05313","38.23507","37.43072","37.5169","2330838",""
"NWL","2015-05-05T00:00:00-04:00","2015-05-05","37.5169","37.79459","37.09558","37.37326","2047198",""
"NWL","2015-05-06T00:00:00-04:00","2015-05-06","37.62223","37.75629","36.89449","37.18176","1728365",""
"NWL","2015-05-07T00:00:00-04:00","2015-05-07","37.21048","37.97652","37.18176","37.61265","1551142",""
"NWL","2015-05-08T00:00:00-04:00","2015-05-08","37.99568","38.40742","37.99568","38.3404","2175755",""
"NWL","2015-05-11T00:00:00-04:00","2015-05-11","38.43615","38.73299","38.35955","38.36912","1454750",""
"NWL","2015-05-12T00:00:00-04:00","2015-05-12","38.13931","38.35955","38.03398","38.20634","1015505",""
"NWL","2015-05-13T00:00:00-04:00","2015-05-13","38.32124","38.38827","37.85204","37.86162","1205260",""
"NWL","2015-05-14T00:00:00-04:00","2015-05-14","38.09143","38.50318","37.99568","38.32124","1637926",""
"NWL","2015-05-15T00:00:00-04:00","2015-05-15","38.44573","38.48403","38.08186","38.3787","1376008",""
"NWL","2015-05-18T00:00:00-04:00","2015-05-18","38.39785","38.62766","38.30209","38.31166","1260401",""
