symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"NWS","2015-01-02T00:00:00-05:00","2015-01-02","14.55571","14.70002","14.23824","14.4114","940602",""
"NWS","2015-01-05T00:00:00-05:00","2015-01-05","14.34406","14.34406","13.97849","14.08431","1058684",""
"NWS","2015-01-06T00:00:00-05:00","2015-01-06","14.09393","14.11317","13.77646","13.92076","1244331",""
"NWS","2015-01-07T00:00:00-05:00","2015-01-07","14.01697","14.01697","13.70911","13.86304","1116790",""
"NWS","2015-01-08T00:00:00-05:00","2015-01-08","13.96887","14.27672","13.88228","14.18051","921892",""
"NWS","2015-01-09T00:00:00-05:00","2015-01-09","14.20938","14.37292","14.12279","14.3152","941226",""
"NWS","2015-01-12T00:00:00-05:00","2015-01-12","14.29596","14.30558","14.07469","14.16127","558187",""
"NWS","2015-01-13T00:00:00-05:00","2015-01-13","14.23824","14.32482","13.99773","14.14203","690613",""
"NWS","2015-01-14T00:00:00-05:00","2015-01-14","14.01697","14.10355","13.73797","14.07469","1466358",""
"NWS","2015-01-15T00:00:00-05:00","2015-01-15","14.14203","14.14203","13.92076","13.98811","1031034",""
"NWS","2015-01-16T00:00:00-05:00","2015-01-16","14.00735","14.06507","13.93038","13.98811","329091",""
"NWS","2015-01-20T00:00:00-05:00","2015-01-20","14.01697","14.02659","13.70911","13.8919","782709",""
"NWS","2015-01-21T00:00:00-05:00","2015-01-21","13.88228","13.96887","13.73797","13.90152","474926",""
"NWS","2015-01-22T00:00:00-05:00","2015-01-22","13.96887","14.20938","13.82456","14.14203","739156",""
"NWS","2015-01-23T00:00:00-05:00","2015-01-23","14.10355","14.27672","14.04583","14.10355","748407",""
"NWS","2015-01-26T00:00:00-05:00","2015-01-26","14.11317","14.42103","14.00735","14.4114","429710",""
"NWS","2015-01-27T00:00:00-05:00","2015-01-27","14.23824","14.47875","14.18051","14.34406","1196516",""
"NWS","2015-01-28T00:00:00-05:00","2015-01-28","14.39216","14.40178","14.16127","14.19014","1685787",""
"NWS","2015-01-29T00:00:00-05:00","2015-01-29","14.19976","14.23824","13.72835","13.91114","763791",""
"NWS","2015-01-30T00:00:00-05:00","2015-01-30","13.80532","14.10355","13.73797","13.8919","2023402",""
"NWS","2015-02-02T00:00:00-05:00","2015-02-02","13.98811","13.98811","13.73797","13.93038","909106",""
"NWS","2015-02-03T00:00:00-05:00","2015-02-03","13.98811","14.62305","13.98811","14.55571","1231649",""
"NWS","2015-02-04T00:00:00-05:00","2015-02-04","14.47875","14.63268","14.45951","14.53647","833330",""
"NWS","2015-02-05T00:00:00-05:00","2015-02-05","14.54609","14.70002","14.4114","14.6423","918046",""
"NWS","2015-02-06T00:00:00-05:00","2015-02-06","14.7866","15.23876","14.7866","15.17142","1577788",""
"NWS","2015-02-09T00:00:00-05:00","2015-02-09","15.1618","15.62358","15.1618","15.55624","1149532",""
"NWS","2015-02-10T00:00:00-05:00","2015-02-10","15.59472","15.7294","15.21952","15.6813","1996688",""
"NWS","2015-02-11T00:00:00-05:00","2015-02-11","15.6332","15.78713","15.60434","15.6813","1710630",""
"NWS","2015-02-12T00:00:00-05:00","2015-02-12","15.66206","15.86409","15.65244","15.73903","455177",""
"NWS","2015-02-13T00:00:00-05:00","2015-02-13","15.78713","15.92181","15.74865","15.78713","473991",""
"NWS","2015-02-17T00:00:00-05:00","2015-02-17","15.78713","15.94105","15.69092","15.93143","747783",""
"NWS","2015-02-18T00:00:00-05:00","2015-02-18","15.96029","15.97954","15.77751","15.88333","657974",""
"NWS","2015-02-19T00:00:00-05:00","2015-02-19","15.88333","15.94105","15.77751","15.92181","374203",""
"NWS","2015-02-20T00:00:00-05:00","2015-02-20","15.94105","16.12384","15.7294","16.03726","741027",""
"NWS","2015-02-23T00:00:00-05:00","2015-02-23","15.96029","16.26815","15.96029","16.25853","1395883",""
"NWS","2015-02-24T00:00:00-05:00","2015-02-24","16.12384","16.33549","16.08536","16.26815","1218864",""
"NWS","2015-02-25T00:00:00-05:00","2015-02-25","16.26815","16.46056","16.26815","16.36435","931663",""
"NWS","2015-02-26T00:00:00-05:00","2015-02-26","16.29701","16.42208","16.1527","16.22005","803914",""
"NWS","2015-02-27T00:00:00-05:00","2015-02-27","16.18156","16.29701","16.1527","16.18156","1199218",""
"NWS","2015-03-02T00:00:00-05:00","2015-03-02","16.24891","16.42208","16.18156","16.35473","662236",""
"NWS","2015-03-03T00:00:00-05:00","2015-03-03","16.36435","16.36435","16.0565","16.08536","741131",""
"NWS","2015-03-04T00:00:00-05:00","2015-03-04","16.04688","16.1046","15.83523","15.98916","1235495",""
"NWS","2015-03-05T00:00:00-05:00","2015-03-05","16.09498","16.11422","15.96029","16.01802","1259507",""
"NWS","2015-03-06T00:00:00-05:00","2015-03-06","15.99878","16.14308","15.71978","15.78713","733231",""
"NWS","2015-03-09T00:00:00-04:00","2015-03-09","15.82561","15.93143","15.62358","15.67168","785931",""
