symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"NWSA","2015-01-02T00:00:00-05:00","2015-01-02","15.2001","15.28658","14.80617","14.97911","3146389",""
"NWSA","2015-01-05T00:00:00-05:00","2015-01-05","14.8446","14.94068","14.4891","14.52753","4180615",""
"NWSA","2015-01-06T00:00:00-05:00","2015-01-06","14.50832","14.6044","14.18164","14.32576","4514394",""
"NWSA","2015-01-07T00:00:00-05:00","2015-01-07","14.33537","14.45067","14.10477","14.28733","2620170",""
"NWSA","2015-01-08T00:00:00-05:00","2015-01-08","14.46027","14.78695","14.24889","14.73891","4826212",""
"NWSA","2015-01-09T00:00:00-05:00","2015-01-09","14.69087","14.82538","14.64283","14.80617","2571045",""
"NWSA","2015-01-12T00:00:00-05:00","2015-01-12","14.78695","14.82538","14.52753","14.67165","3315100",""
"NWSA","2015-01-13T00:00:00-05:00","2015-01-13","14.74852","14.80617","14.47949","14.63322","3935719",""
"NWSA","2015-01-14T00:00:00-05:00","2015-01-14","14.55636","14.614","14.1432","14.50832","5006372",""
"NWSA","2015-01-15T00:00:00-05:00","2015-01-15","14.6044","14.74852","14.36419","14.42184","2802202",""
"NWSA","2015-01-16T00:00:00-05:00","2015-01-16","14.40263","14.52753","14.38341","14.46988","1688045",""
"NWSA","2015-01-20T00:00:00-05:00","2015-01-20","14.52753","14.53714","14.16242","14.34498","3041270",""
"NWSA","2015-01-21T00:00:00-05:00","2015-01-21","14.32576","14.41223","14.18164","14.36419","3667301",""
"NWSA","2015-01-22T00:00:00-05:00","2015-01-22","14.3738","14.64283","14.2585","14.6044","2243823",""
"NWSA","2015-01-23T00:00:00-05:00","2015-01-23","14.59479","14.7293","14.4891","14.58518","2093013",""
"NWSA","2015-01-26T00:00:00-05:00","2015-01-26","14.56596","14.93107","14.50832","14.93107","1975821",""
"NWSA","2015-01-27T00:00:00-05:00","2015-01-27","15.04637","15.05598","14.73891","14.8446","2792627",""
"NWSA","2015-01-28T00:00:00-05:00","2015-01-28","14.88303","14.90225","14.54675","14.54675","2625686",""
"NWSA","2015-01-29T00:00:00-05:00","2015-01-29","14.55636","14.63322","14.17203","14.34498","2803347",""
"NWSA","2015-01-30T00:00:00-05:00","2015-01-30","14.24889","14.50832","14.18164","14.30654","3232670",""
"NWSA","2015-02-02T00:00:00-05:00","2015-02-02","14.3738","14.51792","14.1336","14.35458","3536058",""
"NWSA","2015-02-03T00:00:00-05:00","2015-02-03","14.46027","15.0752","14.45067","14.99833","3854121",""
"NWSA","2015-02-04T00:00:00-05:00","2015-02-04","15.02716","15.06559","14.81578","14.97911","2990792",""
"NWSA","2015-02-05T00:00:00-05:00","2015-02-05","14.96951","15.13284","14.82538","15.11363","3970689",""
"NWSA","2015-02-06T00:00:00-05:00","2015-02-06","15.46913","15.70933","15.32501","15.62286","7308895",""
"NWSA","2015-02-09T00:00:00-05:00","2015-02-09","15.59404","16.12249","15.59404","16.06483","7321384",""
"NWSA","2015-02-10T00:00:00-05:00","2015-02-10","16.10327","16.17053","15.65169","16.11288","4404175",""
"NWSA","2015-02-11T00:00:00-05:00","2015-02-11","16.11288","16.20896","16.0168","16.10327","3994835",""
"NWSA","2015-02-12T00:00:00-05:00","2015-02-12","16.05523","16.32426","15.83424","16.18013","2542839",""
