symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"OMC","2015-01-02T00:00:00-05:00","2015-01-02","72.40353","72.51501","70.24834","70.53632","1279811",""
"OMC","2015-01-05T00:00:00-05:00","2015-01-05","70.42484","70.62921","69.0221","69.27292","1760561",""
"OMC","2015-01-06T00:00:00-05:00","2015-01-06","69.41227","69.49587","67.98166","68.81773","2379207",""
"OMC","2015-01-07T00:00:00-05:00","2015-01-07","69.39368","69.39368","68.44614","69.04997","1698557",""
"OMC","2015-01-08T00:00:00-05:00","2015-01-08","69.61664","70.30408","69.5609","70.13686","1263449",""
"OMC","2015-01-09T00:00:00-05:00","2015-01-09","70.29478","70.32265","69.37511","69.52374","888838",""
"OMC","2015-01-12T00:00:00-05:00","2015-01-12","69.78386","69.84888","68.80844","69.115","894436",""
"OMC","2015-01-13T00:00:00-05:00","2015-01-13","69.70953","70.35052","68.27893","69.14287","1257959",""
"OMC","2015-01-14T00:00:00-05:00","2015-01-14","68.44614","69.43085","68.07455","69.37511","1403712",""
"OMC","2015-01-15T00:00:00-05:00","2015-01-15","68.64123","69.17074","67.8609","67.9538","1951419",""
"OMC","2015-01-16T00:00:00-05:00","2015-01-16","67.34997","68.3997","67.34997","68.35325","2065416",""
"OMC","2015-01-20T00:00:00-05:00","2015-01-20","68.37183","68.65981","67.72155","68.50188","1548820",""
"OMC","2015-01-21T00:00:00-05:00","2015-01-21","68.23248","69.37511","68.13959","69.32866","1391548",""
"OMC","2015-01-22T00:00:00-05:00","2015-01-22","69.70025","70.33194","69.06855","70.08112","1398761",""
"OMC","2015-01-23T00:00:00-05:00","2015-01-23","70.22047","70.30408","69.00352","69.07784","1216515",""
"OMC","2015-01-26T00:00:00-05:00","2015-01-26","69.18932","69.53303","68.47401","69.2915","806058",""
"OMC","2015-01-27T00:00:00-05:00","2015-01-27","68.72484","69.20789","68.12101","68.53904","1203920",""
"OMC","2015-01-28T00:00:00-05:00","2015-01-28","69.05926","69.16145","67.82374","68.14887","1867562",""
"OMC","2015-01-29T00:00:00-05:00","2015-01-29","68.11172","69.12429","67.42429","68.91991","1164091",""
"OMC","2015-01-30T00:00:00-05:00","2015-01-30","68.20461","68.64123","67.4986","67.62865","1465717",""
"OMC","2015-02-02T00:00:00-05:00","2015-02-02","67.9445","68.3068","66.86691","67.9538","1870684",""
"OMC","2015-02-03T00:00:00-05:00","2015-02-03","68.45544","68.99423","68.13959","68.96636","1121893",""
"OMC","2015-02-04T00:00:00-05:00","2015-02-04","68.94778","69.55161","68.66909","68.81773","1143315",""
"OMC","2015-02-05T00:00:00-05:00","2015-02-05","68.87347","70.0997","68.62265","69.89532","1692636",""
"OMC","2015-02-06T00:00:00-05:00","2015-02-06","69.81172","70.18331","69.31937","69.55161","1199184",""
"OMC","2015-02-09T00:00:00-05:00","2015-02-09","68.94778","70.56419","68.94778","70.42484","2746928",""
"OMC","2015-02-10T00:00:00-05:00","2015-02-10","70.39697","70.42484","67.12701","69.84888","4744742",""
"OMC","2015-02-11T00:00:00-05:00","2015-02-11","69.54232","70.49915","69.08714","70.25762","2898925",""
"OMC","2015-02-12T00:00:00-05:00","2015-02-12","70.61992","71.4467","70.3784","71.03796","1621697",""
"OMC","2015-02-13T00:00:00-05:00","2015-02-13","71.19588","72.12485","71.06583","72.05052","1953249",""
"OMC","2015-02-17T00:00:00-05:00","2015-02-17","71.91119","72.12485","71.5303","71.71609","1419752",""
"OMC","2015-02-18T00:00:00-05:00","2015-02-18","71.79041","72.162","71.70681","71.83687","1098749",""
"OMC","2015-02-19T00:00:00-05:00","2015-02-19","71.9855","72.38496","71.81828","72.36638","956656",""
"OMC","2015-02-20T00:00:00-05:00","2015-02-20","72.27348","72.4314","71.60463","72.40353","1353657",""
"OMC","2015-02-23T00:00:00-05:00","2015-02-23","72.45927","72.6172","71.97621","72.30135","1023827",""
"OMC","2015-02-24T00:00:00-05:00","2015-02-24","72.14342","72.72868","72.02266","72.58003","1015108",""
"OMC","2015-02-25T00:00:00-05:00","2015-02-25","72.38496","73.57403","72.38496","73.52758","1818367",""
"OMC","2015-02-26T00:00:00-05:00","2015-02-26","73.52758","74.80956","73.3325","74.50299","2676204",""
"OMC","2015-02-27T00:00:00-05:00","2015-02-27","74.50299","74.66092","73.72266","73.88988","1410494",""
"OMC","2015-03-02T00:00:00-05:00","2015-03-02","73.90845","75.22759","73.88988","74.80026","1718148",""
"OMC","2015-03-03T00:00:00-05:00","2015-03-03","74.76311","75.09753","74.01064","74.26147","1330405",""
"OMC","2015-03-04T00:00:00-05:00","2015-03-04","74.16856","74.17786","73.08168","73.46255","1150850",""
"OMC","2015-03-05T00:00:00-05:00","2015-03-05","73.90195","74.06087","72.85488","73.20079","903007",""
"OMC","2015-03-06T00:00:00-05:00","2015-03-06","72.84554","73.126","71.85457","72.08829","1258348",""
"OMC","2015-03-09T00:00:00-04:00","2015-03-09","72.36875","72.7427","72.02284","72.62116","796683",""
"OMC","2015-03-10T00:00:00-04:00","2015-03-10","71.9948","72.15372","71.43388","71.5741","1027943",""
"OMC","2015-03-11T00:00:00-04:00","2015-03-11","71.80782","71.88261","71.1721","71.38713","976600",""
"OMC","2015-03-12T00:00:00-04:00","2015-03-12","71.6115","72.78944","71.44322","72.63986","940017",""
"OMC","2015-03-13T00:00:00-04:00","2015-03-13","72.55573","72.60247","71.50866","72.04154","859472",""
"OMC","2015-03-16T00:00:00-04:00","2015-03-16","72.50898","73.1073","72.13503","72.91097","965796",""
