symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ORLY","2015-01-02T00:00:00-05:00","2015-01-02","192.86","195.03","190.71","192.11","839500",""
"ORLY","2015-01-05T00:00:00-05:00","2015-01-05","191.51","192.38","188.54","188.72","971500",""
"ORLY","2015-01-06T00:00:00-05:00","2015-01-06","189.73","189.92","186.57","188.08","898800",""
"ORLY","2015-01-07T00:00:00-05:00","2015-01-07","189.17","190.9","187.98","189.79","939700",""
"ORLY","2015-01-08T00:00:00-05:00","2015-01-08","191.27","194.37","190.51","193.24","1288800",""
"ORLY","2015-01-09T00:00:00-05:00","2015-01-09","191.04","191.99","187.62","187.81","1379400",""
"ORLY","2015-01-12T00:00:00-05:00","2015-01-12","186.94","187.61","184.41","185.58","1061200",""
"ORLY","2015-01-13T00:00:00-05:00","2015-01-13","184.16","186.59","181","182.75","1154300",""
"ORLY","2015-01-14T00:00:00-05:00","2015-01-14","182.03","183.24","180.45","182.46","860200",""
"ORLY","2015-01-15T00:00:00-05:00","2015-01-15","183.51","183.95","179.81","179.96","636300",""
"ORLY","2015-01-16T00:00:00-05:00","2015-01-16","179.51","182.99","179","182.91","687500",""
"ORLY","2015-01-20T00:00:00-05:00","2015-01-20","183.7","186.91","182.58","186.42","975500",""
"ORLY","2015-01-21T00:00:00-05:00","2015-01-21","185.61","186.42","183.98","184.97","685800",""
"ORLY","2015-01-22T00:00:00-05:00","2015-01-22","185.3","189.99","184.64","189.32","554400",""
"ORLY","2015-01-23T00:00:00-05:00","2015-01-23","189.27","190.93","188.37","190.08","497500",""
"ORLY","2015-01-26T00:00:00-05:00","2015-01-26","189.33","191.94","188.82","191.28","552600",""
"ORLY","2015-01-27T00:00:00-05:00","2015-01-27","190","191.8","189.52","190.97","497100",""
"ORLY","2015-01-28T00:00:00-05:00","2015-01-28","192.49","194.29","191.19","191.27","955900",""
"ORLY","2015-01-29T00:00:00-05:00","2015-01-29","190.46","192.74","189.32","192.65","656800",""
"ORLY","2015-01-30T00:00:00-05:00","2015-01-30","192.14","192.66","187.23","187.36","868000",""
"ORLY","2015-02-02T00:00:00-05:00","2015-02-02","187.7","190.35","184.76","190.28","832300",""
"ORLY","2015-02-03T00:00:00-05:00","2015-02-03","191.65","193.79","188.87","193.28","1034700",""
"ORLY","2015-02-04T00:00:00-05:00","2015-02-04","193.19","193.3","191.06","192.71","1058000",""
"ORLY","2015-02-05T00:00:00-05:00","2015-02-05","201.72","214.15","200.87","208.24","2992100",""
"ORLY","2015-02-06T00:00:00-05:00","2015-02-06","209.22","209.91","205.4","206.77","1326200",""
"ORLY","2015-02-09T00:00:00-05:00","2015-02-09","205.66","206.28","204.31","205.07","757400",""
"ORLY","2015-02-10T00:00:00-05:00","2015-02-10","204.4","206.48","203.66","206.03","696600",""
"ORLY","2015-02-11T00:00:00-05:00","2015-02-11","206.24","208.24","205.76","207.45","484100",""
"ORLY","2015-02-12T00:00:00-05:00","2015-02-12","207","208.05","206","206.57","615300",""
"ORLY","2015-02-13T00:00:00-05:00","2015-02-13","206.38","207.08","205.01","205.55","541300",""
"ORLY","2015-02-17T00:00:00-05:00","2015-02-17","205.21","206.32","203.89","205.7","497100",""
"ORLY","2015-02-18T00:00:00-05:00","2015-02-18","206.07","206.49","204.32","205.78","298700",""
