symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PCAR","2015-01-02T00:00:00-05:00","2015-01-02","65.30526","65.92749","64.55859","65.23825","1577604",""
"PCAR","2015-01-05T00:00:00-05:00","2015-01-05","64.79791","65.22868","62.9408","63.0461","2851429",""
"PCAR","2015-01-06T00:00:00-05:00","2015-01-06","63.28541","63.78319","62.0601","63.13225","4383696",""
"PCAR","2015-01-07T00:00:00-05:00","2015-01-07","63.61088","63.98422","62.95037","63.97465","1863206",""
"PCAR","2015-01-08T00:00:00-05:00","2015-01-08","64.56816","64.85535","64.03209","64.81705","2149749",""
"PCAR","2015-01-09T00:00:00-05:00","2015-01-09","64.84577","65.06594","62.22284","62.44302","3080830",""
"PCAR","2015-01-12T00:00:00-05:00","2015-01-12","63.58216","63.78319","62.23241","63.01738","3050849",""
"PCAR","2015-01-13T00:00:00-05:00","2015-01-13","63.58216","64.37671","61.79207","62.56746","2266643",""
"PCAR","2015-01-14T00:00:00-05:00","2015-01-14","61.88779","62.45258","61.17941","61.98352","2174089",""
"PCAR","2015-01-15T00:00:00-05:00","2015-01-15","62.22284","62.62489","60.61462","60.65291","2070357",""
"PCAR","2015-01-16T00:00:00-05:00","2015-01-16","60.54761","61.81121","60.38487","61.7442","2007992",""
"PCAR","2015-01-20T00:00:00-05:00","2015-01-20","61.9931","62.12711","61.23685","61.72506","1373900",""
"PCAR","2015-01-21T00:00:00-05:00","2015-01-21","61.34215","62.49088","61.19855","62.31857","1700870",""
"PCAR","2015-01-22T00:00:00-05:00","2015-01-22","62.03139","62.62489","61.18898","61.90694","2665484",""
"PCAR","2015-01-23T00:00:00-05:00","2015-01-23","61.9548","62.27071","61.58147","61.79207","1981041",""
"PCAR","2015-01-26T00:00:00-05:00","2015-01-26","61.55275","62.44302","61.5336","62.42387","1611345",""
"PCAR","2015-01-27T00:00:00-05:00","2015-01-27","61.43787","61.73463","60.7965","61.38044","1355201",""
"PCAR","2015-01-28T00:00:00-05:00","2015-01-28","61.79207","62.18455","60.55718","60.72949","2194041",""
"PCAR","2015-01-29T00:00:00-05:00","2015-01-29","60.96881","61.57189","60.66248","61.31343","3165445",""
"PCAR","2015-01-30T00:00:00-05:00","2015-01-30","59.54247","59.59033","57.4269","57.54177","5013505",""
"PCAR","2015-02-02T00:00:00-05:00","2015-02-02","57.82895","58.85323","56.79509","58.78622","3587999",""
"PCAR","2015-02-03T00:00:00-05:00","2015-02-03","59.53289","60.3753","59.24572","60.06897","2910973",""
"PCAR","2015-02-04T00:00:00-05:00","2015-02-04","59.72435","60.27957","59.43717","59.79136","2054478",""
"PCAR","2015-02-05T00:00:00-05:00","2015-02-05","60.27957","60.63376","59.20742","59.59033","2399103",""
"PCAR","2015-02-06T00:00:00-05:00","2015-02-06","59.8105","60.57632","59.77221","60.06897","1928809",""
"PCAR","2015-02-09T00:00:00-05:00","2015-02-09","59.77221","60.64333","59.75307","60.46145","1720405",""
"PCAR","2015-02-10T00:00:00-05:00","2015-02-10","60.39444","60.99753","60.11683","60.46145","2024288",""
"PCAR","2015-02-11T00:00:00-05:00","2015-02-11","60.44224","60.71122","59.76981","60.36539","2152150",""
"PCAR","2015-02-12T00:00:00-05:00","2015-02-12","60.61515","60.79767","60.15406","60.74965","1284482",""
"PCAR","2015-02-13T00:00:00-05:00","2015-02-13","60.95137","61.95042","60.8361","61.69105","1568673",""
"PCAR","2015-02-17T00:00:00-05:00","2015-02-17","61.79672","62.11373","61.4509","61.9216","1161332",""
