symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PEP","2015-01-02T00:00:00-05:00","2015-01-02","87.77734","88.15644","86.96365","87.32426","3844359",""
"PEP","2015-01-05T00:00:00-05:00","2015-01-05","87.3335","87.8883","86.65851","86.66776","6965746",""
"PEP","2015-01-06T00:00:00-05:00","2015-01-06","86.99139","87.4907","85.93728","86.01125","6699700",""
"PEP","2015-01-07T00:00:00-05:00","2015-01-07","87.96227","88.97939","87.31501","88.52631","7057997",""
"PEP","2015-01-08T00:00:00-05:00","2015-01-08","89.45096","90.53281","89.39548","90.13521","7712728",""
"PEP","2015-01-09T00:00:00-05:00","2015-01-09","90.19993","90.31088","89.31226","89.52493","4392457",""
"PEP","2015-01-12T00:00:00-05:00","2015-01-12","89.64513","90.00574","88.94241","89.15507","4534348",""
"PEP","2015-01-13T00:00:00-05:00","2015-01-13","89.38623","90.14445","88.60028","89.09034","5811259",""
"PEP","2015-01-14T00:00:00-05:00","2015-01-14","88.2674","89.50644","88.2674","89.38623","5545646",""
"PEP","2015-01-15T00:00:00-05:00","2015-01-15","89.82082","89.98726","89.11808","89.38623","4784496",""
"PEP","2015-01-16T00:00:00-05:00","2015-01-16","89.38623","90.08897","89.08109","89.95952","4763190",""
"PEP","2015-01-20T00:00:00-05:00","2015-01-20","90.92116","90.92116","89.53418","90.16294","7602201",""
"PEP","2015-01-21T00:00:00-05:00","2015-01-21","89.70986","90.81945","89.32151","90.06123","5440958",""
"PEP","2015-01-22T00:00:00-05:00","2015-01-22","90.13521","91.54067","89.72836","91.44821","8241359",""
"PEP","2015-01-23T00:00:00-05:00","2015-01-23","90.9489","91.53143","90.70849","91.10609","5253428",""
"PEP","2015-01-26T00:00:00-05:00","2015-01-26","90.79171","91.49444","90.31088","91.25404","4648877",""
"PEP","2015-01-27T00:00:00-05:00","2015-01-27","90.31088","90.66225","88.07323","89.43246","7965472",""
"PEP","2015-01-28T00:00:00-05:00","2015-01-28","89.88554","90.40335","88.45234","88.50781","6791843",""
"PEP","2015-01-29T00:00:00-05:00","2015-01-29","88.50781","89.21056","87.72186","88.79446","4975054",""
"PEP","2015-01-30T00:00:00-05:00","2015-01-30","87.94377","88.1472","86.51056","86.71398","8372327",""
