symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PFE","2015-01-02T00:00:00-05:00","2015-01-02","28.30962","28.77134","28.26435","28.36394","17156976",""
"PFE","2015-01-05T00:00:00-05:00","2015-01-05","28.38205","28.43637","28.07424","28.21004","25975544",""
"PFE","2015-01-06T00:00:00-05:00","2015-01-06","28.30962","28.84377","28.17382","28.44542","30882492",""
"PFE","2015-01-07T00:00:00-05:00","2015-01-07","28.71702","28.85282","28.59027","28.83471","21220364",""
"PFE","2015-01-08T00:00:00-05:00","2015-01-08","29.29643","29.54992","29.16969","29.42318","51528700",""
"PFE","2015-01-09T00:00:00-05:00","2015-01-09","29.40507","29.60424","29.35075","29.55898","27334388",""
"PFE","2015-01-12T00:00:00-05:00","2015-01-12","29.57708","29.7672","29.52276","29.66762","26060926",""
"PFE","2015-01-13T00:00:00-05:00","2015-01-13","29.7672","30.08407","29.07915","29.36886","37716252",""
"PFE","2015-01-14T00:00:00-05:00","2015-01-14","29.16063","29.62235","29.08821","29.40507","33851580",""
"PFE","2015-01-15T00:00:00-05:00","2015-01-15","29.54087","29.66762","29.19684","29.33265","28305416",""
"PFE","2015-01-16T00:00:00-05:00","2015-01-16","29.26022","29.71288","29.2059","29.69477","26353196",""
"PFE","2015-01-20T00:00:00-05:00","2015-01-20","29.84868","29.97543","29.45939","29.96637","46582096",""
"PFE","2015-01-21T00:00:00-05:00","2015-01-21","29.80341","30.3285","29.4775","29.54992","36708332",""
"PFE","2015-01-22T00:00:00-05:00","2015-01-22","29.57708","29.72194","29.01578","29.70383","32895020",""
"PFE","2015-01-23T00:00:00-05:00","2015-01-23","29.74004","29.78531","29.3598","29.37791","28692126",""
"PFE","2015-01-26T00:00:00-05:00","2015-01-26","29.36886","29.74004","29.12442","29.69477","29642610",""
"PFE","2015-01-27T00:00:00-05:00","2015-01-27","29.24211","30.19271","29.24211","29.51371","44782528",""
"PFE","2015-01-28T00:00:00-05:00","2015-01-28","29.48655","30.00259","28.5269","28.92525","35394996",""
"PFE","2015-01-29T00:00:00-05:00","2015-01-29","28.89809","28.9343","28.55406","28.81661","32210628",""
"PFE","2015-01-30T00:00:00-05:00","2015-01-30","28.67175","28.78945","28.24625","28.29152","47574664",""
"PFE","2015-02-02T00:00:00-05:00","2015-02-02","28.45448","28.65365","28.08329","28.65365","25727898",""
"PFE","2015-02-03T00:00:00-05:00","2015-02-03","28.74418","29.11536","28.48163","28.98862","36454172",""
"PFE","2015-02-04T00:00:00-05:00","2015-02-04","29.19868","29.47268","28.97035","29.29001","40172448",""
"PFE","2015-02-05T00:00:00-05:00","2015-02-05","30.17593","30.32206","29.77407","30.13027","65085644",""
"PFE","2015-02-06T00:00:00-05:00","2015-02-06","30.10286","30.52299","29.8928","30.29466","38299600",""
"PFE","2015-02-09T00:00:00-05:00","2015-02-09","30.12113","30.46819","30.0024","30.20333","33487568",""
"PFE","2015-02-10T00:00:00-05:00","2015-02-10","30.57779","31.25364","30.51386","31.18971","65064512",""
"PFE","2015-02-11T00:00:00-05:00","2015-02-11","31.05271","31.5185","31.05271","31.28104","43188384",""
"PFE","2015-02-12T00:00:00-05:00","2015-02-12","31.30844","31.93863","31.26277","31.8473","47800264",""
"PFE","2015-02-13T00:00:00-05:00","2015-02-13","31.70116","31.92036","31.5185","31.63723","25609454",""
"PFE","2015-02-17T00:00:00-05:00","2015-02-17","31.5459","31.8199","31.48197","31.58244","25037582",""
"PFE","2015-02-18T00:00:00-05:00","2015-02-18","31.50024","31.5733","31.27191","31.4911","23678686",""
"PFE","2015-02-19T00:00:00-05:00","2015-02-19","31.35411","31.48197","31.15318","31.42717","29188614",""
"PFE","2015-02-20T00:00:00-05:00","2015-02-20","31.29931","31.58244","31.14404","31.56417","28780430",""
"PFE","2015-02-23T00:00:00-05:00","2015-02-23","31.15318","31.52764","31.10751","31.40891","25330360",""
"PFE","2015-02-24T00:00:00-05:00","2015-02-24","31.25364","31.36324","31.12578","31.36324","21194768",""
"PFE","2015-02-25T00:00:00-05:00","2015-02-25","31.29017","31.77423","30.98878","31.6555","40752532",""
"PFE","2015-02-26T00:00:00-05:00","2015-02-26","31.48197","31.7103","31.39977","31.59157","21791714",""
"PFE","2015-02-27T00:00:00-05:00","2015-02-27","31.42717","31.6555","31.31757","31.34497","26703600",""
"PFE","2015-03-02T00:00:00-05:00","2015-03-02","31.10751","31.78336","31.10751","31.75596","23378570",""
"PFE","2015-03-03T00:00:00-05:00","2015-03-03","31.7377","31.86556","31.42717","31.56417","26327388",""
"PFE","2015-03-04T00:00:00-05:00","2015-03-04","31.50024","31.75596","31.29017","31.63723","21227834",""
"PFE","2015-03-05T00:00:00-05:00","2015-03-05","31.7377","31.7925","31.41804","31.48197","25676792",""
"PFE","2015-03-06T00:00:00-05:00","2015-03-06","31.28104","31.47284","30.82438","31.02531","43713940",""
"PFE","2015-03-09T00:00:00-04:00","2015-03-09","30.89745","31.21711","30.74219","31.08011","34133348",""
"PFE","2015-03-10T00:00:00-04:00","2015-03-10","30.89745","31.17144","30.74219","30.85178","41910620",""
"PFE","2015-03-11T00:00:00-04:00","2015-03-11","31.03444","31.14404","30.71479","30.71479","28044648",""
"PFE","2015-03-12T00:00:00-04:00","2015-03-12","30.87918","31.10751","30.84265","31.05271","30851894",""
"PFE","2015-03-13T00:00:00-04:00","2015-03-13","30.97964","31.05271","30.77872","31.05271","30745578",""
"PFE","2015-03-16T00:00:00-04:00","2015-03-16","31.13491","31.56417","31.01618","31.45457","31803922",""
"PFE","2015-03-17T00:00:00-04:00","2015-03-17","31.16231","31.32671","30.99791","31.20797","22590890",""
"PFE","2015-03-18T00:00:00-04:00","2015-03-18","31.08011","31.50937","30.82438","31.39977","36278720",""
"PFE","2015-03-19T00:00:00-04:00","2015-03-19","31.30844","31.39977","31.11664","31.18971","22377164",""
