symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PFG","2015-01-02T00:00:00-05:00","2015-01-02","48.1033","48.17672","47.07553","47.54354","1008116",""
"PFG","2015-01-05T00:00:00-05:00","2015-01-05","47.00212","47.03883","45.61647","45.98353","1660760",""
"PFG","2015-01-06T00:00:00-05:00","2015-01-06","46.07529","46.31388","44.92823","45.332","1901919",""
"PFG","2015-01-07T00:00:00-05:00","2015-01-07","45.77247","46.52494","45.54306","46.112","1748484",""
"PFG","2015-01-08T00:00:00-05:00","2015-01-08","46.82777","47.59859","46.61671","47.47012","2542250",""
"PFG","2015-01-09T00:00:00-05:00","2015-01-09","47.55271","47.65365","46.61671","46.88283","1460358",""
"PFG","2015-01-12T00:00:00-05:00","2015-01-12","46.94706","46.98377","45.86423","46.09365","1164603",""
"PFG","2015-01-13T00:00:00-05:00","2015-01-13","46.37812","46.79106","44.90987","45.40541","1518114",""
"PFG","2015-01-14T00:00:00-05:00","2015-01-14","44.23999","44.84564","43.73528","44.29505","1541652",""
"PFG","2015-01-15T00:00:00-05:00","2015-01-15","44.34093","44.64376","43.52422","43.55175","1319781",""
"PFG","2015-01-16T00:00:00-05:00","2015-01-16","43.55175","44.10234","43.26728","44.07481","1559415",""
"PFG","2015-01-20T00:00:00-05:00","2015-01-20","44.32258","44.49693","43.48751","43.74446","1346916",""
"PFG","2015-01-21T00:00:00-05:00","2015-01-21","43.68022","44.10234","43.30398","44.01057","1119270",""
"PFG","2015-01-22T00:00:00-05:00","2015-01-22","44.28587","45.3687","43.85458","45.25858","1191955",""
"PFG","2015-01-23T00:00:00-05:00","2015-01-23","45.18517","45.38705","44.72635","44.7447","1058462",""
"PFG","2015-01-26T00:00:00-05:00","2015-01-26","44.54282","45.30446","44.37764","45.26776","928456",""
"PFG","2015-01-27T00:00:00-05:00","2015-01-27","44.59787","45.15764","44.36846","44.7814","1288833",""
"PFG","2015-01-28T00:00:00-05:00","2015-01-28","45.03835","45.11176","43.96469","43.99222","2052412",""
"PFG","2015-01-29T00:00:00-05:00","2015-01-29","43.97387","44.55199","43.5334","44.1207","1758837",""
"PFG","2015-01-30T00:00:00-05:00","2015-01-30","43.01951","43.89128","42.22115","43.0654","2905459",""
"PFG","2015-02-02T00:00:00-05:00","2015-02-02","43.34987","44.0014","42.76257","44.0014","1916522",""
"PFG","2015-02-03T00:00:00-05:00","2015-02-03","44.24917","44.91905","44.23081","44.88234","2064508",""
"PFG","2015-02-04T00:00:00-05:00","2015-02-04","44.75388","45.13011","44.34093","44.46023","1632100",""
"PFG","2015-02-05T00:00:00-05:00","2015-02-05","44.2767","45.06588","44.07481","44.9007","1794035",""
"PFG","2015-02-06T00:00:00-05:00","2015-02-06","45.29529","46.20376","45.27694","45.56141","1790548",""
"PFG","2015-02-09T00:00:00-05:00","2015-02-09","45.13929","45.43293","45.02917","45.24023","1431588",""
"PFG","2015-02-10T00:00:00-05:00","2015-02-10","45.63482","45.68988","45.19435","45.62564","1152616",""
