symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PH","2015-01-02T00:00:00-05:00","2015-01-02","122.0182","122.3014","120.3282","121.9427","838239",""
"PH","2015-01-05T00:00:00-05:00","2015-01-05","117.9868","119.167","116.3157","116.7122","1728062",""
"PH","2015-01-06T00:00:00-05:00","2015-01-06","116.6839","117.5808","114.418","115.0034","1865226",""
"PH","2015-01-07T00:00:00-05:00","2015-01-07","116.1269","117.0521","115.3622","115.9003","1386580",""
"PH","2015-01-08T00:00:00-05:00","2015-01-08","117.6941","119.5824","117.0521","119.5635","1240307",""
"PH","2015-01-09T00:00:00-05:00","2015-01-09","119.9506","119.9506","117.9396","118.8176","2191880",""
"PH","2015-01-12T00:00:00-05:00","2015-01-12","118.8271","119.7146","117.9018","118.761","2953223",""
"PH","2015-01-13T00:00:00-05:00","2015-01-13","119.7995","121.1213","115.6171","117.2315","1676056",""
"PH","2015-01-14T00:00:00-05:00","2015-01-14","115.3338","116.1174","114.2953","115.5321","1538679",""
"PH","2015-01-15T00:00:00-05:00","2015-01-15","116.3346","116.4479","113.1718","113.2284","1459664",""
"PH","2015-01-16T00:00:00-05:00","2015-01-16","113.0585","113.4361","111.293","113.2945","2347792",""
"PH","2015-01-20T00:00:00-05:00","2015-01-20","113.5022","114.8523","112.5298","114.3519","1292736",""
"PH","2015-01-21T00:00:00-05:00","2015-01-21","113.9365","115.5604","113.455","115.2866","1196244",""
"PH","2015-01-22T00:00:00-05:00","2015-01-22","115.8437","116.4385","114.4558","116.1174","1957058",""
"PH","2015-01-23T00:00:00-05:00","2015-01-23","115.872","116.5329","115.0412","115.1544","1362749",""
"PH","2015-01-26T00:00:00-05:00","2015-01-26","115.3999","116.023","114.1914","115.9003","2342390",""
"PH","2015-01-27T00:00:00-05:00","2015-01-27","115.6359","116.6839","112.5015","114.5691","3361963",""
"PH","2015-01-28T00:00:00-05:00","2015-01-28","114.503","114.503","109.9335","110.5283","3132119",""
"PH","2015-01-29T00:00:00-05:00","2015-01-29","110.6699","112.0483","109.5653","111.9728","1245603",""
"PH","2015-01-30T00:00:00-05:00","2015-01-30","110.9437","112.0955","109.7635","109.9523","1394630",""
"PH","2015-02-02T00:00:00-05:00","2015-02-02","110.887","112.9735","109.8107","112.9546","1716729",""
"PH","2015-02-03T00:00:00-05:00","2015-02-03","113.7949","114.6163","113.4456","114.4747","1159173",""
"PH","2015-02-04T00:00:00-05:00","2015-02-04","114.0026","114.2764","112.4731","113.0302","1159597",""
"PH","2015-02-05T00:00:00-05:00","2015-02-05","113.2945","114.418","112.5676","113.6061","891834",""
"PH","2015-02-06T00:00:00-05:00","2015-02-06","113.9573","115.0107","113.7674","114.4413","1662645",""
"PH","2015-02-09T00:00:00-05:00","2015-02-09","114.0332","115.3239","113.6346","114.688","1336648",""
"PH","2015-02-10T00:00:00-05:00","2015-02-10","115.3524","115.4283","113.8434","115.1341","1371102",""
"PH","2015-02-11T00:00:00-05:00","2015-02-11","115.0297","115.2006","112.9417","114.242","1474675",""
"PH","2015-02-12T00:00:00-05:00","2015-02-12","115.0297","115.9693","114.5837","115.6277","1128027",""
"PH","2015-02-13T00:00:00-05:00","2015-02-13","115.9029","118.38","115.7605","117.7441","1398181",""
