symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PLD","2015-01-02T00:00:00-05:00","2015-01-02","39.34089","39.51348","39.1138","39.44989","2169964",""
"PLD","2015-01-05T00:00:00-05:00","2015-01-05","39.34998","39.75874","39.1138","39.42265","3340100",""
"PLD","2015-01-06T00:00:00-05:00","2015-01-06","39.60431","39.91315","39.48623","39.5589","4008781",""
"PLD","2015-01-07T00:00:00-05:00","2015-01-07","39.7224","40.34008","39.54981","40.15841","2833911",""
"PLD","2015-01-08T00:00:00-05:00","2015-01-08","40.34008","40.3855","39.97674","40.1675","2657548",""
"PLD","2015-01-09T00:00:00-05:00","2015-01-09","40.24016","40.41275","39.76782","40.10391","2473370",""
"PLD","2015-01-12T00:00:00-05:00","2015-01-12","40.21291","40.58534","40.13116","40.51267","2563643",""
"PLD","2015-01-13T00:00:00-05:00","2015-01-13","40.45817","40.56717","39.45898","39.70423","3358926",""
"PLD","2015-01-14T00:00:00-05:00","2015-01-14","39.41356","39.73149","39.13197","39.71332","3584278",""
"PLD","2015-01-15T00:00:00-05:00","2015-01-15","39.92224","40.04941","39.53165","39.75874","2667787",""
"PLD","2015-01-16T00:00:00-05:00","2015-01-16","39.75874","40.1675","39.37722","40.10391","3555655",""
"PLD","2015-01-20T00:00:00-05:00","2015-01-20","40.30375","40.39458","39.56798","39.82232","2392454",""
"PLD","2015-01-21T00:00:00-05:00","2015-01-21","39.65882","40.18567","39.54073","39.99491","3171664",""
"PLD","2015-01-22T00:00:00-05:00","2015-01-22","40.28558","41.01227","40.113","40.98502","4694305",""
"PLD","2015-01-23T00:00:00-05:00","2015-01-23","41.03952","41.35744","40.89418","41.1576","5196972",""
"PLD","2015-01-26T00:00:00-05:00","2015-01-26","41.33019","41.6572","41.06676","41.64811","4415340",""
"PLD","2015-01-27T00:00:00-05:00","2015-01-27","41.83887","43.2014","41.80254","42.81081","8557660",""
"PLD","2015-01-28T00:00:00-05:00","2015-01-28","42.99249","43.11965","42.1568","42.16587","5458984",""
"PLD","2015-01-29T00:00:00-05:00","2015-01-29","42.1568","42.31121","41.61178","42.00238","3524720",""
"PLD","2015-01-30T00:00:00-05:00","2015-01-30","41.73895","41.83887","40.93052","41.00318","5433663",""
"PLD","2015-02-02T00:00:00-05:00","2015-02-02","41.22119","41.24844","40.15841","41.01227","4875072",""
"PLD","2015-02-03T00:00:00-05:00","2015-02-03","40.97593","41.37561","40.331","41.07585","2978238",""
"PLD","2015-02-04T00:00:00-05:00","2015-02-04","40.96685","41.26661","40.63984","41.03043","3276359",""
"PLD","2015-02-05T00:00:00-05:00","2015-02-05","41.03952","41.61178","40.91235","41.59361","4265179",""
"PLD","2015-02-06T00:00:00-05:00","2015-02-06","41.46645","41.47553","40.34008","40.549","4628142",""
"PLD","2015-02-09T00:00:00-05:00","2015-02-09","40.53992","40.83968","40.31283","40.58534","4371635",""
"PLD","2015-02-10T00:00:00-05:00","2015-02-10","40.63984","40.85785","40.19474","40.76701","3771429",""
"PLD","2015-02-11T00:00:00-05:00","2015-02-11","40.73976","40.93052","39.93132","40.34008","2325080",""
"PLD","2015-02-12T00:00:00-05:00","2015-02-12","40.48542","40.67617","40.07666","40.66709","1865788",""
