symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PNC","2015-01-02T00:00:00-05:00","2015-01-02","86.30894","86.55329","84.46699","85.35038","2217232",""
"PNC","2015-01-05T00:00:00-05:00","2015-01-05","84.77711","85.17182","82.71901","82.73781","3635550",""
"PNC","2015-01-06T00:00:00-05:00","2015-01-06","83.02914","83.94072","80.238","80.59512","4705487",""
"PNC","2015-01-07T00:00:00-05:00","2015-01-07","81.58188","82.01418","80.90524","81.5255","2393232",""
"PNC","2015-01-08T00:00:00-05:00","2015-01-08","82.22092","83.25468","82.18333","83.09492","2260221",""
"PNC","2015-01-09T00:00:00-05:00","2015-01-09","83.10432","83.13251","81.39393","81.54429","2502300",""
"PNC","2015-01-12T00:00:00-05:00","2015-01-12","81.45971","81.72285","80.6797","80.97103","2706924",""
"PNC","2015-01-13T00:00:00-05:00","2015-01-13","81.4152","82.22793","79.51566","79.87478","3800262",""
"PNC","2015-01-14T00:00:00-05:00","2015-01-14","78.59898","79.36446","77.34207","78.43832","6365233",""
"PNC","2015-01-15T00:00:00-05:00","2015-01-15","78.07921","78.80688","77.55943","77.8902","5012486",""
"PNC","2015-01-16T00:00:00-05:00","2015-01-16","78.43832","80.24335","78.0603","79.79918","4404364",""
"PNC","2015-01-20T00:00:00-05:00","2015-01-20","80.07324","80.75366","79.49677","79.96928","5559447",""
"PNC","2015-01-21T00:00:00-05:00","2015-01-21","79.32666","80.84818","79.06205","80.12049","3756560",""
"PNC","2015-01-22T00:00:00-05:00","2015-01-22","80.62136","82.51144","80.4229","82.27518","3989143",""
"PNC","2015-01-23T00:00:00-05:00","2015-01-23","82.28463","82.43584","81.5097","81.53805","3006539",""
"PNC","2015-01-26T00:00:00-05:00","2015-01-26","81.27344","82.07672","81.02773","82.01057","1969123",""
"PNC","2015-01-27T00:00:00-05:00","2015-01-27","81.04663","81.53805","80.50796","80.80092","2347519",""
"PNC","2015-01-28T00:00:00-05:00","2015-01-28","81.23563","81.4908","79.02425","79.0526","2823478",""
"PNC","2015-01-29T00:00:00-05:00","2015-01-29","79.0526","80.83872","78.98644","80.83872","3795289",""
"PNC","2015-01-30T00:00:00-05:00","2015-01-30","79.80862","81.09388","79.55347","79.89368","4551236",""
"PNC","2015-02-02T00:00:00-05:00","2015-02-02","80.33785","81.64201","79.65742","81.44355","2778401",""
"PNC","2015-02-03T00:00:00-05:00","2015-02-03","81.92552","82.87056","81.82156","82.79495","2694171",""
"PNC","2015-02-04T00:00:00-05:00","2015-02-04","82.43584","83.59824","82.43584","82.92726","3484297",""
"PNC","2015-02-05T00:00:00-05:00","2015-02-05","83.05011","84.0424","82.94616","83.93845","2721366",""
"PNC","2015-02-06T00:00:00-05:00","2015-02-06","85.17645","86.74522","84.86459","85.46942","3829044",""
"PNC","2015-02-09T00:00:00-05:00","2015-02-09","84.58108","85.36546","84.44878","84.59053","2341488",""
"PNC","2015-02-10T00:00:00-05:00","2015-02-10","85.30875","85.57337","84.53382","85.24261","1571997",""
"PNC","2015-02-11T00:00:00-05:00","2015-02-11","84.9213","85.08195","84.32592","84.85514","1603106",""
"PNC","2015-02-12T00:00:00-05:00","2015-02-12","85.33711","86.52786","84.94019","86.52786","2357360",""
"PNC","2015-02-13T00:00:00-05:00","2015-02-13","86.43336","87.49181","86.3105","87.30279","2896279",""
"PNC","2015-02-17T00:00:00-05:00","2015-02-17","86.99094","87.5485","86.83027","87.30279","2797976",""
"PNC","2015-02-18T00:00:00-05:00","2015-02-18","87.11378","87.16104","86.07424","86.2916","2221810",""
"PNC","2015-02-19T00:00:00-05:00","2015-02-19","85.93249","86.62237","85.57337","86.58456","1540252",""
"PNC","2015-02-20T00:00:00-05:00","2015-02-20","86.12149","87.35004","85.65842","87.19884","2671315",""
