symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PNW","2015-01-02T00:00:00-05:00","2015-01-02","62.27889","62.50592","61.47067","62.33338","705192",""
"PNW","2015-01-05T00:00:00-05:00","2015-01-05","62.31522","62.39695","61.58872","61.91565","1072104",""
"PNW","2015-01-06T00:00:00-05:00","2015-01-06","61.9338","63.49577","61.86116","62.12452","2282517",""
"PNW","2015-01-07T00:00:00-05:00","2015-01-07","62.47868","63.83178","62.07002","63.56842","1126612",""
"PNW","2015-01-08T00:00:00-05:00","2015-01-08","63.75913","64.23135","63.5321","63.6774","1334624",""
"PNW","2015-01-09T00:00:00-05:00","2015-01-09","63.39588","63.81361","62.49684","62.74203","1003391",""
"PNW","2015-01-12T00:00:00-05:00","2015-01-12","62.86917","63.10528","62.27889","62.73296","653547",""
"PNW","2015-01-13T00:00:00-05:00","2015-01-13","62.6603","63.70464","62.24257","62.86917","1371073",""
"PNW","2015-01-14T00:00:00-05:00","2015-01-14","62.67846","63.59566","62.33338","63.54118","1061753",""
"PNW","2015-01-15T00:00:00-05:00","2015-01-15","63.68648","64.2586","63.2415","64.1133","510945",""
"PNW","2015-01-16T00:00:00-05:00","2015-01-16","64.35849","64.90336","63.85902","64.85796","603994",""
"PNW","2015-01-20T00:00:00-05:00","2015-01-20","65.16672","65.44823","64.53103","65.34834","616217",""
"PNW","2015-01-21T00:00:00-05:00","2015-01-21","65.38467","65.86597","64.71265","65.8024","586155",""
"PNW","2015-01-22T00:00:00-05:00","2015-01-22","66.24738","66.5743","65.23029","65.81149","625688",""
"PNW","2015-01-23T00:00:00-05:00","2015-01-23","65.68435","66.20197","65.52997","65.62078","745826",""
"PNW","2015-01-26T00:00:00-05:00","2015-01-26","65.59354","65.59354","64.96693","65.57537","580539",""
"PNW","2015-01-27T00:00:00-05:00","2015-01-27","64.95785","65.91138","64.95785","65.46639","1251596",""
"PNW","2015-01-28T00:00:00-05:00","2015-01-28","65.46639","66.10208","64.56735","64.76714","922564",""
"PNW","2015-01-29T00:00:00-05:00","2015-01-29","64.54279","66.25525","64.34132","65.42191","2279854",""
"PNW","2015-01-30T00:00:00-05:00","2015-01-30","65.09224","65.66917","64.20395","64.26805","1352755",""
