symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PPG","2015-01-02T00:00:00-05:00","2015-01-02","221.9845","223.1273","218.5657","220.3039","462644",""
"PPG","2015-01-05T00:00:00-05:00","2015-01-05","218.0567","218.7193","213.7639","214.6186","1005676",""
"PPG","2015-01-06T00:00:00-05:00","2015-01-06","215.7999","216.3665","211.0942","214.0904","890510",""
"PPG","2015-01-07T00:00:00-05:00","2015-01-07","214.1385","215.7903","212.6115","215.0412","1232053",""
"PPG","2015-01-08T00:00:00-05:00","2015-01-08","217.2692","221.5428","216.0111","220.7649","1080753",""
"PPG","2015-01-09T00:00:00-05:00","2015-01-09","221.101","221.6196","216.7986","217.9703","833031",""
"PPG","2015-01-12T00:00:00-05:00","2015-01-12","217.9991","219.0074","215.9151","217.2788","753268",""
"PPG","2015-01-13T00:00:00-05:00","2015-01-13","218.3928","221.1106","215.5694","217.9895","862395",""
"PPG","2015-01-14T00:00:00-05:00","2015-01-14","215.4253","218.0375","213.7063","217.9703","1330558",""
"PPG","2015-01-15T00:00:00-05:00","2015-01-15","220.0254","224.7023","215.8575","217.2308","1616809",""
"PPG","2015-01-16T00:00:00-05:00","2015-01-16","218.1719","221.7444","216.136","221.245","982039",""
"PPG","2015-01-20T00:00:00-05:00","2015-01-20","221.9269","222.8008","217.1924","219.1131","1083877",""
"PPG","2015-01-21T00:00:00-05:00","2015-01-21","218.4504","220.5152","217.2404","218.9882","764826",""
"PPG","2015-01-22T00:00:00-05:00","2015-01-22","219.6413","222.7624","217.3364","222.1766","614152",""
"PPG","2015-01-23T00:00:00-05:00","2015-01-23","221.8405","221.8405","218.7385","218.7769","496070",""
"PPG","2015-01-26T00:00:00-05:00","2015-01-26","218.0951","219.1035","216.28","218.7866","521893",""
"PPG","2015-01-27T00:00:00-05:00","2015-01-27","217.0387","218.9882","215.3677","217.0003","648931",""
"PPG","2015-01-28T00:00:00-05:00","2015-01-28","217.1636","218.6809","212.4675","212.9476","734629",""
"PPG","2015-01-29T00:00:00-05:00","2015-01-29","213.1973","217.1059","211.5743","216.7602","795961",""
"PPG","2015-01-30T00:00:00-05:00","2015-01-30","213.908","217.0963","213.908","214.0424","1410009",""
"PPG","2015-02-02T00:00:00-05:00","2015-02-02","212.4771","215.3485","211.1614","214.8587","827512",""
"PPG","2015-02-03T00:00:00-05:00","2015-02-03","217.4517","218.7193","214.9644","217.903","691728",""
"PPG","2015-02-04T00:00:00-05:00","2015-02-04","217.6149","219.8621","216.088","218.4312","572604",""
"PPG","2015-02-05T00:00:00-05:00","2015-02-05","219.8813","222.0613","218.7962","221.2354","704223",""
"PPG","2015-02-06T00:00:00-05:00","2015-02-06","221.053","222.8008","220.0254","221.706","596554",""
"PPG","2015-02-09T00:00:00-05:00","2015-02-09","221.2258","221.706","217.2116","217.8262","906754",""
"PPG","2015-02-10T00:00:00-05:00","2015-02-10","220.0926","220.3519","216.9427","219.1899","523247",""
"PPG","2015-02-11T00:00:00-05:00","2015-02-11","218.8826","220.1118","217.9126","219.1707","404020",""
"PPG","2015-02-12T00:00:00-05:00","2015-02-12","221.1298","224.3278","220.035","223.79","846672",""
