symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PPL","2015-01-02T00:00:00-05:00","2015-01-02","32.32218","32.41079","31.88803","32.21586","4255524",""
"PPL","2015-01-05T00:00:00-05:00","2015-01-05","32.02094","32.18042","31.25009","31.4716","6223753",""
"PPL","2015-01-06T00:00:00-05:00","2015-01-06","31.41844","31.82601","31.25895","31.46274","5923085",""
"PPL","2015-01-07T00:00:00-05:00","2015-01-07","31.52476","31.79943","31.32984","31.6045","4557886",""
"PPL","2015-01-08T00:00:00-05:00","2015-01-08","31.72855","31.86145","31.36528","31.48046","6216756",""
"PPL","2015-01-09T00:00:00-05:00","2015-01-09","31.58678","31.63108","31.27667","31.32097","4951103",""
"PPL","2015-01-12T00:00:00-05:00","2015-01-12","31.44502","31.46274","30.88682","31.16149","5715077",""
"PPL","2015-01-13T00:00:00-05:00","2015-01-13","31.383","31.61336","30.77164","30.83366","11784546",""
"PPL","2015-01-14T00:00:00-05:00","2015-01-14","30.79822","31.25009","30.74506","31.20579","5008099",""
"PPL","2015-01-15T00:00:00-05:00","2015-01-15","31.25895","31.41844","31.09947","31.2944","4909343",""
"PPL","2015-01-16T00:00:00-05:00","2015-01-16","31.25895","31.32097","31.08175","31.30326","5912476",""
"PPL","2015-01-20T00:00:00-05:00","2015-01-20","31.45388","31.56906","31.28554","31.53362","4392541",""
"PPL","2015-01-21T00:00:00-05:00","2015-01-21","31.383","31.99435","31.28554","31.91461","4858442",""
"PPL","2015-01-22T00:00:00-05:00","2015-01-22","32.10068","32.12726","31.3387","31.63108","5041732",""
"PPL","2015-01-23T00:00:00-05:00","2015-01-23","31.73741","31.88803","31.63108","31.69311","3289185",""
"PPL","2015-01-26T00:00:00-05:00","2015-01-26","31.57792","31.64881","31.2944","31.63994","2969104",""
"PPL","2015-01-27T00:00:00-05:00","2015-01-27","31.50704","31.77285","31.45388","31.63108","3575972",""
"PPL","2015-01-28T00:00:00-05:00","2015-01-28","31.48046","31.91461","31.39186","31.4716","5938886",""
"PPL","2015-01-29T00:00:00-05:00","2015-01-29","31.383","31.87031","31.18807","31.80829","4818488",""
"PPL","2015-01-30T00:00:00-05:00","2015-01-30","31.69311","31.85259","31.39186","31.45388","6305580",""
"PPL","2015-02-02T00:00:00-05:00","2015-02-02","31.45388","31.80829","31.05517","31.80829","5741600",""
"PPL","2015-02-03T00:00:00-05:00","2015-02-03","31.77285","32.23358","31.58678","32.23358","6300388",""
"PPL","2015-02-04T00:00:00-05:00","2015-02-04","32.15384","32.23358","31.68424","31.72855","4663301",""
"PPL","2015-02-05T00:00:00-05:00","2015-02-05","32.02094","32.55255","31.84373","32.18042","4158123",""
"PPL","2015-02-06T00:00:00-05:00","2015-02-06","32.02094","32.10068","31.03745","31.20579","7678792",""
"PPL","2015-02-09T00:00:00-05:00","2015-02-09","31.09947","31.25009","30.58558","30.70076","7001836",""
"PPL","2015-02-10T00:00:00-05:00","2015-02-10","30.67418","31.30326","30.67418","31.27667","4643324",""
"PPL","2015-02-11T00:00:00-05:00","2015-02-11","31.12605","31.13491","30.61216","30.77164","4826614",""
"PPL","2015-02-12T00:00:00-05:00","2015-02-12","30.7805","30.97543","30.67418","30.87796","5638330",""
"PPL","2015-02-13T00:00:00-05:00","2015-02-13","30.81594","30.86024","30.36407","30.7362","5744309",""
"PPL","2015-02-17T00:00:00-05:00","2015-02-17","30.61216","30.85138","30.40837","30.62988","6231090",""
"PPL","2015-02-18T00:00:00-05:00","2015-02-18","30.59443","31.41844","30.57671","31.383","5748823",""
"PPL","2015-02-19T00:00:00-05:00","2015-02-19","31.39186","31.4273","30.97543","31.15263","5443640",""
"PPL","2015-02-20T00:00:00-05:00","2015-02-20","31.13491","31.18807","30.559","30.99315","6435937",""
"PPL","2015-02-23T00:00:00-05:00","2015-02-23","31.05517","31.16149","30.81594","31.16149","3695043",""
"PPL","2015-02-24T00:00:00-05:00","2015-02-24","31.10833","31.43616","31.01087","31.23237","4432269",""
"PPL","2015-02-25T00:00:00-05:00","2015-02-25","31.13491","31.23237","30.59443","30.67418","4871421",""
"PPL","2015-02-26T00:00:00-05:00","2015-02-26","30.74506","30.79822","30.24889","30.37293","4947717",""
"PPL","2015-02-27T00:00:00-05:00","2015-02-27","30.39065","30.46153","30.14256","30.21344","6035384",""
"PPL","2015-03-02T00:00:00-05:00","2015-03-02","30.15142","30.20458","29.3983","29.59323","7696963",""
"PPL","2015-03-03T00:00:00-05:00","2015-03-03","29.54007","29.76157","29.354","29.68183","4339946",""
"PPL","2015-03-04T00:00:00-05:00","2015-03-04","29.57551","29.57551","29.2211","29.46032","4508564",""
"PPL","2015-03-05T00:00:00-05:00","2015-03-05","29.58437","29.83245","29.45147","29.60209","6281314",""
"PPL","2015-03-06T00:00:00-05:00","2015-03-06","29.17424","29.17424","28.31407","28.43951","7888263",""
"PPL","2015-03-09T00:00:00-04:00","2015-03-09","28.55599","28.69935","28.24239","28.43951","5919210",""
"PPL","2015-03-10T00:00:00-04:00","2015-03-10","28.34991","28.71727","28.24239","28.34095","5399018",""
"PPL","2015-03-11T00:00:00-04:00","2015-03-11","28.43951","28.49327","28.05422","28.13486","3637551",""
