symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PRU","2015-01-02T00:00:00-05:00","2015-01-02","83.49226","83.80417","81.83176","82.6666","1854814",""
"PRU","2015-01-05T00:00:00-05:00","2015-01-05","82.29046","82.29046","79.5658","80.04285","2905287",""
"PRU","2015-01-06T00:00:00-05:00","2015-01-06","79.82267","80.07037","77.69431","78.38235","4313729",""
"PRU","2015-01-07T00:00:00-05:00","2015-01-07","79.17132","79.69424","78.07961","78.42822","2818301",""
"PRU","2015-01-08T00:00:00-05:00","2015-01-08","79.25388","80.31806","79.18967","79.68506","2368114",""
"PRU","2015-01-09T00:00:00-05:00","2015-01-09","79.80432","79.96028","78.07044","78.27227","2096258",""
"PRU","2015-01-12T00:00:00-05:00","2015-01-12","78.4374","78.65757","76.87783","77.25396","2612719",""
"PRU","2015-01-13T00:00:00-05:00","2015-01-13","78.15301","78.86858","75.74943","76.49252","3068902",""
"PRU","2015-01-14T00:00:00-05:00","2015-01-14","74.9146","75.50173","73.62107","74.47425","3682268",""
"PRU","2015-01-15T00:00:00-05:00","2015-01-15","74.60268","75.0889","73.17155","73.18989","3067703",""
"PRU","2015-01-16T00:00:00-05:00","2015-01-16","72.96054","74.40086","72.63946","74.30911","2282110",""
"PRU","2015-01-20T00:00:00-05:00","2015-01-20","74.36416","74.72194","72.97889","73.8596","3462407",""
"PRU","2015-01-21T00:00:00-05:00","2015-01-21","73.40089","74.16233","72.9422","73.94215","3272739",""
"PRU","2015-01-22T00:00:00-05:00","2015-01-22","74.30911","75.52925","73.54768","75.42834","3600951",""
"PRU","2015-01-23T00:00:00-05:00","2015-01-23","75.15312","75.28156","73.98803","74.02473","2619478",""
"PRU","2015-01-26T00:00:00-05:00","2015-01-26","73.63941","74.28159","73.29998","74.07977","4098773",""
"PRU","2015-01-27T00:00:00-05:00","2015-01-27","72.88715","73.44676","72.62111","72.9055","2730117",""
"PRU","2015-01-28T00:00:00-05:00","2015-01-28","73.48346","73.48346","70.57531","70.63036","3553861",""
"PRU","2015-01-29T00:00:00-05:00","2015-01-29","70.74962","71.45601","69.96066","70.60283","4740262",""
"PRU","2015-01-30T00:00:00-05:00","2015-01-30","69.65791","71.04318","69.49278","69.61205","5383168",""
"PRU","2015-02-02T00:00:00-05:00","2015-02-02","70.07074","71.97893","69.64874","71.66702","5753346",""
"PRU","2015-02-03T00:00:00-05:00","2015-02-03","72.04314","73.54768","72.04314","73.47428","4034460",""
"PRU","2015-02-04T00:00:00-05:00","2015-02-04","73.28163","74.23573","73.17155","73.2908","3633761",""
"PRU","2015-02-05T00:00:00-05:00","2015-02-05","68.85061","71.07988","68.35522","69.0983","10702897",""
"PRU","2015-02-06T00:00:00-05:00","2015-02-06","70.53861","72.72202","70.0524","71.37345","6481494",""
"PRU","2015-02-09T00:00:00-05:00","2015-02-09","70.66705","71.30923","70.50191","70.87805","3678889",""
"PRU","2015-02-10T00:00:00-05:00","2015-02-10","71.79545","71.90553","70.65788","71.63032","3159811",""
"PRU","2015-02-11T00:00:00-05:00","2015-02-11","71.48354","73.10733","71.09823","72.64863","3420549",""
"PRU","2015-02-12T00:00:00-05:00","2015-02-12","72.4835","73.16237","71.93306","72.1991","3823101",""
"PRU","2015-02-13T00:00:00-05:00","2015-02-13","72.14406","73.91463","72.0248","73.69446","5075777",""
"PRU","2015-02-17T00:00:00-05:00","2015-02-17","73.51098","74.55681","73.41006","74.26324","4106730",""
