symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PSA","2015-01-02T00:00:00-05:00","2015-01-02","169.0466","171.126","168.773","170.7612","455462",""
"PSA","2015-01-05T00:00:00-05:00","2015-01-05","170.3873","172.2934","169.7944","171.5638","528266",""
"PSA","2015-01-06T00:00:00-05:00","2015-01-06","173.096","174.9292","172.5488","174.4915","704684",""
"PSA","2015-01-07T00:00:00-05:00","2015-01-07","174.9292","178.3311","173.8986","178.0667","805008",""
"PSA","2015-01-08T00:00:00-05:00","2015-01-08","178.5956","181.0946","177.5833","180.4927","980110",""
"PSA","2015-01-09T00:00:00-05:00","2015-01-09","180.9487","181.2861","178.4223","181.0399","670913",""
"PSA","2015-01-12T00:00:00-05:00","2015-01-12","181.0764","181.7513","180.52","180.7207","443292",""
"PSA","2015-01-13T00:00:00-05:00","2015-01-13","181.2679","182.7728","180.7663","181.4229","844042",""
"PSA","2015-01-14T00:00:00-05:00","2015-01-14","180.5656","181.9337","179.681","181.3318","666966",""
"PSA","2015-01-15T00:00:00-05:00","2015-01-15","181.7513","183.4477","181.0855","181.8972","790316",""
"PSA","2015-01-16T00:00:00-05:00","2015-01-16","182.2438","184.8248","181.0946","184.46","668282",""
"PSA","2015-01-20T00:00:00-05:00","2015-01-20","185.4724","185.8555","184.0679","184.761","608745",""
"PSA","2015-01-21T00:00:00-05:00","2015-01-21","183.9767","184.3141","182.5721","183.3291","613240",""
"PSA","2015-01-22T00:00:00-05:00","2015-01-22","183.7395","187.3786","183.3656","187.1688","841958",""
"PSA","2015-01-23T00:00:00-05:00","2015-01-23","186.1291","188.0261","184.3871","184.9161","588241",""
"PSA","2015-01-26T00:00:00-05:00","2015-01-26","184.8978","186.5212","183.8125","186.4118","565764",""
"PSA","2015-01-27T00:00:00-05:00","2015-01-27","185.7278","188.0079","185.217","186.6672","485724",""
"PSA","2015-01-28T00:00:00-05:00","2015-01-28","187.4242","188.7193","184.8522","184.9252","513025",""
"PSA","2015-01-29T00:00:00-05:00","2015-01-29","184.834","186.4301","183.8581","186.2294","365334",""
"PSA","2015-01-30T00:00:00-05:00","2015-01-30","185.4906","185.9375","183.0829","183.1741","1381189",""
"PSA","2015-02-02T00:00:00-05:00","2015-02-02","183.3291","184.3506","180.4197","184.004","689114",""
"PSA","2015-02-03T00:00:00-05:00","2015-02-03","184.1135","185.1988","182.4627","185.1714","727161",""
"PSA","2015-02-04T00:00:00-05:00","2015-02-04","184.2868","185.4177","182.8731","184.834","745033",""
"PSA","2015-02-05T00:00:00-05:00","2015-02-05","184.8887","188.6189","184.7519","188.5733","701175",""
"PSA","2015-02-06T00:00:00-05:00","2015-02-06","187.9896","188.0352","185.1076","186.4848","2052103",""
"PSA","2015-02-09T00:00:00-05:00","2015-02-09","186.2841","186.6307","184.4965","184.7793","856541",""
"PSA","2015-02-10T00:00:00-05:00","2015-02-10","185.7369","186.1473","183.9675","185.7643","721130",""
"PSA","2015-02-11T00:00:00-05:00","2015-02-11","186.2203","186.8952","184.0587","184.989","808627",""
"PSA","2015-02-12T00:00:00-05:00","2015-02-12","184.8613","186.2112","183.9402","185.8646","504254",""
"PSA","2015-02-13T00:00:00-05:00","2015-02-13","185.5636","185.5636","183.4112","184.7884","490658",""
"PSA","2015-02-17T00:00:00-05:00","2015-02-17","184.9161","186.1382","184.1956","185.2626","794263",""
"PSA","2015-02-18T00:00:00-05:00","2015-02-18","185.3994","185.673","183.1741","185.29","557102",""
"PSA","2015-02-19T00:00:00-05:00","2015-02-19","184.3506","184.7337","180.894","181.3044","821565",""
"PSA","2015-02-20T00:00:00-05:00","2015-02-20","182.2894","183.9675","181.3044","182.5721","1041840",""
"PSA","2015-02-23T00:00:00-05:00","2015-02-23","182.9187","183.9675","181.8881","183.3291","670475",""
"PSA","2015-02-24T00:00:00-05:00","2015-02-24","182.5356","183.2288","180.8392","181.0399","626178",""
"PSA","2015-02-25T00:00:00-05:00","2015-02-25","180.7389","182.262","180.0458","180.8392","546686",""
"PSA","2015-02-26T00:00:00-05:00","2015-02-26","180.7207","181.122","178.7872","179.4529","495702",""
"PSA","2015-02-27T00:00:00-05:00","2015-02-27","179.7539","180.3467","178.1943","179.8725","686592",""
"PSA","2015-03-02T00:00:00-05:00","2015-03-02","178.7142","182.107","178.7142","180.1735","697009",""
"PSA","2015-03-03T00:00:00-05:00","2015-03-03","180.0002","180.1096","178.322","179.5989","519494",""
"PSA","2015-03-04T00:00:00-05:00","2015-03-04","179.4073","179.9454","177.638","178.0119","655453",""
"PSA","2015-03-05T00:00:00-05:00","2015-03-05","178.0484","179.5077","176.9722","178.395","547454",""
"PSA","2015-03-06T00:00:00-05:00","2015-03-06","175.1572","175.4673","171.3084","171.6003","1169028",""
"PSA","2015-03-09T00:00:00-04:00","2015-03-09","172.3846","174.0081","171.3996","171.427","821674",""
"PSA","2015-03-10T00:00:00-04:00","2015-03-10","171.1443","171.8921","169.6485","170.2322","960484",""
"PSA","2015-03-11T00:00:00-04:00","2015-03-11","170.0498","171.6641","168.9098","169.5117","1120236",""
"PSA","2015-03-12T00:00:00-04:00","2015-03-12","170.6604","173.1508","170.5685","172.9762","844648",""
"PSA","2015-03-13T00:00:00-04:00","2015-03-13","173.2243","173.8584","171.5059","173.5276","701443",""
"PSA","2015-03-16T00:00:00-04:00","2015-03-16","173.8125","176.0088","173.8125","175.3104","680006",""
"PSA","2015-03-17T00:00:00-04:00","2015-03-17","175.0439","175.825","174.0422","174.7774","540392",""
"PSA","2015-03-18T00:00:00-04:00","2015-03-18","174.7498","178.6003","173.1048","178.0305","731042",""
"PSA","2015-03-19T00:00:00-04:00","2015-03-19","178.1224","179.5468","177.5986","178.4992","639852",""
"PSA","2015-03-20T00:00:00-04:00","2015-03-20","179.3078","183.2502","178.49","182.9837","1070120",""
"PSA","2015-03-23T00:00:00-04:00","2015-03-23","182.708","186.2644","181.6788","185.226","1260661",""
"PSA","2015-03-24T00:00:00-04:00","2015-03-24","185.1432","186.3747","183.2226","183.2226","760967",""
"PSA","2015-03-25T00:00:00-04:00","2015-03-25","183.3053","184.0037","180.7966","180.8793","693826",""
"PSA","2015-03-26T00:00:00-04:00","2015-03-26","179.8224","181.6971","179.556","180.6495","486309",""
"PSA","2015-03-27T00:00:00-04:00","2015-03-27","180.622","181.8166","180.0981","181.4766","660092",""
"PSA","2015-03-30T00:00:00-04:00","2015-03-30","181.4582","183.4432","181.0447","183.048","527116",""
"PSA","2015-03-31T00:00:00-04:00","2015-03-31","182.7356","183.5902","180.8149","181.1641","804930",""
