symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PSX","2015-01-02T00:00:00-05:00","2015-01-02","65.92368","66.69698","65.31609","66.54969","2764739",""
"PSX","2015-01-05T00:00:00-05:00","2015-01-05","65.58306","65.90527","61.80863","62.52669","6393594",""
"PSX","2015-01-06T00:00:00-05:00","2015-01-06","62.28734","63.3","60.77757","60.77757","6295614",""
"PSX","2015-01-07T00:00:00-05:00","2015-01-07","61.50483","62.49908","60.6671","61.04454","6037628",""
"PSX","2015-01-08T00:00:00-05:00","2015-01-08","61.7718","63.42888","61.31151","63.41967","5901303",""
"PSX","2015-01-09T00:00:00-05:00","2015-01-09","62.88572","63.06064","61.40357","61.96513","4820804",""
"PSX","2015-01-12T00:00:00-05:00","2015-01-12","61.20104","61.23786","58.76147","59.13891","5683509",""
"PSX","2015-01-13T00:00:00-05:00","2015-01-13","59.20335","59.64524","56.49681","56.61649","9652797",""
"PSX","2015-01-14T00:00:00-05:00","2015-01-14","55.82478","56.13778","52.77761","54.70165","12612628",""
"PSX","2015-01-15T00:00:00-05:00","2015-01-15","55.45654","55.69589","54.02041","54.39786","6008191",""
"PSX","2015-01-16T00:00:00-05:00","2015-01-16","54.315","56.22984","54.315","55.99969","5407925",""
"PSX","2015-01-20T00:00:00-05:00","2015-01-20","56.88346","58.651","56.23904","58.56814","8684834",""
"PSX","2015-01-21T00:00:00-05:00","2015-01-21","59.16653","61.32993","58.64179","60.9893","7722085",""
"PSX","2015-01-22T00:00:00-05:00","2015-01-22","61.53245","62.2229","60.73154","61.96513","5976037",""
"PSX","2015-01-23T00:00:00-05:00","2015-01-23","62.11243","63.69585","61.65213","63.07905","5070100",""
"PSX","2015-01-26T00:00:00-05:00","2015-01-26","63.18952","63.55776","62.24131","62.96858","4507528",""
"PSX","2015-01-27T00:00:00-05:00","2015-01-27","62.32416","64.239","62.15845","64.07329","4787999",""
"PSX","2015-01-28T00:00:00-05:00","2015-01-28","64.25742","64.49677","62.89493","62.94096","6560226",""
"PSX","2015-01-29T00:00:00-05:00","2015-01-29","64.39549","65.07674","63.19873","64.88342","6311256",""
"PSX","2015-01-30T00:00:00-05:00","2015-01-30","64.19297","65.61068","63.37364","64.73611","6293224",""
"PSX","2015-02-02T00:00:00-05:00","2015-02-02","65.64751","67.0192","64.50597","67.0192","5234450",""
"PSX","2015-02-03T00:00:00-05:00","2015-02-03","67.86613","68.98926","67.5071","68.93402","7259449",""
"PSX","2015-02-04T00:00:00-05:00","2015-02-04","67.90296","69.16417","66.99157","68.51055","5814620",""
"PSX","2015-02-05T00:00:00-05:00","2015-02-05","69.32068","69.86382","68.4277","69.23782","3274410",""
"PSX","2015-02-06T00:00:00-05:00","2015-02-06","69.33908","70.53586","69.13655","70.05714","3902049",""
"PSX","2015-02-09T00:00:00-05:00","2015-02-09","70.21365","70.53586","69.6797","69.90065","3023050",""
"PSX","2015-02-10T00:00:00-05:00","2015-02-10","69.22861","69.8362","67.9766","69.66129","3628747",""
"PSX","2015-02-11T00:00:00-05:00","2015-02-11","68.98006","69.0537","67.5163","68.29881","4481349",""
"PSX","2015-02-12T00:00:00-05:00","2015-02-12","69.26273","69.80956","68.66029","69.61493","3034721",""
"PSX","2015-02-13T00:00:00-05:00","2015-02-13","70.12469","71.04226","69.80956","71.01446","3753723",""
"PSX","2015-02-17T00:00:00-05:00","2015-02-17","70.79201","71.62617","70.31933","71.27397","3801844",""
"PSX","2015-02-18T00:00:00-05:00","2015-02-18","70.44908","71.00519","69.95786","70.39347","4313259",""
"PSX","2015-02-19T00:00:00-05:00","2015-02-19","69.94859","72.18227","69.45737","71.7652","4962023",""
"PSX","2015-02-20T00:00:00-05:00","2015-02-20","71.84861","72.45106","70.69006","71.68178","4926958",""
"PSX","2015-02-23T00:00:00-05:00","2015-02-23","71.13494","73.64668","71.13494","73.52619","4084201",""
"PSX","2015-02-24T00:00:00-05:00","2015-02-24","73.87839","74.21205","72.59935","74.14717","4793493",""
"PSX","2015-02-25T00:00:00-05:00","2015-02-25","74.03595","74.694","73.13692","73.30374","3193324",""
"PSX","2015-02-26T00:00:00-05:00","2015-02-26","73.21106","74.314","72.64569","74.20278","4617735",""
"PSX","2015-02-27T00:00:00-05:00","2015-02-27","74.23985","74.55499","72.7013","72.71984","4635645",""
"PSX","2015-03-02T00:00:00-05:00","2015-03-02","72.39545","72.66423","70.58811","71.36665","6447933",""
"PSX","2015-03-03T00:00:00-05:00","2015-03-03","72.07105","72.64569","71.81154","72.37691","3626841",""
"PSX","2015-03-04T00:00:00-05:00","2015-03-04","72.01543","72.36765","71.4408","72.25642","2373549",""
"PSX","2015-03-05T00:00:00-05:00","2015-03-05","72.47886","72.61788","71.23689","71.25543","2936861",""
"PSX","2015-03-06T00:00:00-05:00","2015-03-06","70.58811","71.64471","69.64273","69.84663","3972316",""
"PSX","2015-03-09T00:00:00-04:00","2015-03-09","69.92078","71.80227","69.92078","70.7086","3916966",""
"PSX","2015-03-10T00:00:00-04:00","2015-03-10","70.29152","70.29152","68.60467","68.61394","3772281",""
"PSX","2015-03-11T00:00:00-04:00","2015-03-11","68.84565","69.51297","68.73443","69.0959","2613505",""
"PSX","2015-03-12T00:00:00-04:00","2015-03-12","69.60566","70.34713","68.59541","68.73443","3194511",""
"PSX","2015-03-13T00:00:00-04:00","2015-03-13","68.71589","69.29053","68.15979","69.17931","3073778",""
"PSX","2015-03-16T00:00:00-04:00","2015-03-16","68.88272","70.7364","68.64174","70.7086","2666696",""
"PSX","2015-03-17T00:00:00-04:00","2015-03-17","70.05981","70.7086","69.272","70.39347","2842131",""
"PSX","2015-03-18T00:00:00-04:00","2015-03-18","70.10615","72.84032","69.83736","72.40472","5104658",""
"PSX","2015-03-19T00:00:00-04:00","2015-03-19","71.57056","72.173","71.07934","71.83934","2856373",""
"PSX","2015-03-20T00:00:00-04:00","2015-03-20","72.01543","73.10911","71.36665","73.09058","5580469",""
"PSX","2015-03-23T00:00:00-04:00","2015-03-23","73.22033","73.67448","72.77544","72.78471","2964266",""
"PSX","2015-03-24T00:00:00-04:00","2015-03-24","72.64569","72.78471","71.71885","71.95056","2371823",""
"PSX","2015-03-25T00:00:00-04:00","2015-03-25","72.75691","74.22132","72.59935","73.22033","4461397",""
"PSX","2015-03-26T00:00:00-04:00","2015-03-26","73.86912","74.08229","72.66423","72.7013","2196388",""
"PSX","2015-03-27T00:00:00-04:00","2015-03-27","72.85886","73.07204","71.66324","71.93202","2135213",""
"PSX","2015-03-30T00:00:00-04:00","2015-03-30","72.53447","74.18425","72.43252","73.73936","3275216",""
"PSX","2015-03-31T00:00:00-04:00","2015-03-31","72.71057","73.5818","72.66423","72.84959","2930064",""
"PSX","2015-04-01T00:00:00-04:00","2015-04-01","73.31301","74.42522","73.16473","74.09156","3514523",""
"PSX","2015-04-02T00:00:00-04:00","2015-04-02","73.47984","74.21205","72.23788","72.45106","4773965",""
"PSX","2015-04-06T00:00:00-04:00","2015-04-06","72.74764","73.53545","72.12666","72.80326","3517976",""
"PSX","2015-04-07T00:00:00-04:00","2015-04-07","72.88667","73.08131","72.01543","72.08031","2995232",""
"PSX","2015-04-08T00:00:00-04:00","2015-04-08","72.3491","73.03497","71.52422","71.74666","2538087",""
"PSX","2015-04-09T00:00:00-04:00","2015-04-09","71.62617","72.21008","71.18129","72.11739","3854604",""
"PSX","2015-04-10T00:00:00-04:00","2015-04-10","72.2935","72.79398","71.88568","72.60861","2488240",""
"PSX","2015-04-13T00:00:00-04:00","2015-04-13","72.71057","72.73838","70.83836","71.30177","4312180",""
"PSX","2015-04-14T00:00:00-04:00","2015-04-14","71.90422","72.51593","71.62617","72.13593","3715745",""
"PSX","2015-04-15T00:00:00-04:00","2015-04-15","72.24715","73.38716","72.20081","73.16473","3226016",""
"PSX","2015-04-16T00:00:00-04:00","2015-04-16","73.0535","73.65594","72.41398","73.44277","2746645",""
"PSX","2015-04-17T00:00:00-04:00","2015-04-17","72.91447","73.01643","72.06178","72.30276","2601313",""
"PSX","2015-04-20T00:00:00-04:00","2015-04-20","72.53447","73.83205","72.40472","73.49839","2826918",""
"PSX","2015-04-21T00:00:00-04:00","2015-04-21","73.49839","73.81351","72.94228","73.68375","2652130",""
"PSX","2015-04-22T00:00:00-04:00","2015-04-22","74.07302","75.13889","73.53545","74.99986","3045079",""
"PSX","2015-04-23T00:00:00-04:00","2015-04-23","75.20377","75.74134","74.92571","75.28719","3149412",""
"PSX","2015-04-24T00:00:00-04:00","2015-04-24","75.42621","75.85255","74.98133","75.62084","2230914",""
