symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PVH","2015-01-02T00:00:00-05:00","2015-01-02","128.3446","128.484","125.0884","125.8054","736114",""
"PVH","2015-01-05T00:00:00-05:00","2015-01-05","124.4213","124.7997","120.7967","121.3941","1172461",""
"PVH","2015-01-06T00:00:00-05:00","2015-01-06","119.0541","119.2931","114.2545","116.485","2797136",""
"PVH","2015-01-07T00:00:00-05:00","2015-01-07","117.9488","119.9104","117.5107","119.4624","1098448",""
"PVH","2015-01-08T00:00:00-05:00","2015-01-08","119.9901","121.6232","117.3214","118.5861","1041507",""
"PVH","2015-01-09T00:00:00-05:00","2015-01-09","118.4367","118.4367","117.0327","117.3812","670537",""
"PVH","2015-01-12T00:00:00-05:00","2015-01-12","117.5007","117.7496","116.3356","117.2418","589394",""
"PVH","2015-01-13T00:00:00-05:00","2015-01-13","117.5007","118.8748","115.9473","117.4609","829309",""
"PVH","2015-01-14T00:00:00-05:00","2015-01-14","115.8577","116.6842","113.6869","114.2346","1204798",""
"PVH","2015-01-15T00:00:00-05:00","2015-01-15","114.2147","114.3441","110.2316","110.3809","1443006",""
"PVH","2015-01-16T00:00:00-05:00","2015-01-16","109.7237","111.0879","109.2358","110.9485","971109",""
"PVH","2015-01-20T00:00:00-05:00","2015-01-20","111.1079","112.2928","109.3553","110.4606","1223677",""
"PVH","2015-01-21T00:00:00-05:00","2015-01-21","110.2814","111.7949","109.7237","111.2174","879119",""
"PVH","2015-01-22T00:00:00-05:00","2015-01-22","112.0538","113.7367","111.7352","113.189","1024836",""
"PVH","2015-01-23T00:00:00-05:00","2015-01-23","113.3185","113.6869","111.4365","111.536","801893",""
"PVH","2015-01-26T00:00:00-05:00","2015-01-26","111.2572","111.6257","110.1718","110.4606","1753118",""
"PVH","2015-01-27T00:00:00-05:00","2015-01-27","109.3852","112.8903","108.5388","112.2032","1875636",""
"PVH","2015-01-28T00:00:00-05:00","2015-01-28","112.5218","113.0994","111.1079","111.1477","799382",""
"PVH","2015-01-29T00:00:00-05:00","2015-01-29","111.6555","113.438","111.1377","112.4621","692932",""
"PVH","2015-01-30T00:00:00-05:00","2015-01-30","111.5161","112.9401","109.664","109.7934","999730",""
"PVH","2015-02-02T00:00:00-05:00","2015-02-02","109.9826","110.9784","108.5886","110.9187","848791",""
"PVH","2015-02-03T00:00:00-05:00","2015-02-03","111.3269","113.3583","111.0481","113.2587","901012",""
"PVH","2015-02-04T00:00:00-05:00","2015-02-04","111.5958","111.5958","105.7407","106.5074","2640674",""
"PVH","2015-02-05T00:00:00-05:00","2015-02-05","106.1888","108.947","106.1888","108.1305","946505",""
"PVH","2015-02-06T00:00:00-05:00","2015-02-06","108.5388","109.4449","107.4534","108.1305","934654",""
"PVH","2015-02-09T00:00:00-05:00","2015-02-09","106.5472","106.6368","101.5684","102.7534","3346962",""
"PVH","2015-02-10T00:00:00-05:00","2015-02-10","103.1716","104.1176","101.3095","102.0762","1492113",""
"PVH","2015-02-11T00:00:00-05:00","2015-02-11","102.2953","104.1076","101.5784","103.9184","1012886",""
"PVH","2015-02-12T00:00:00-05:00","2015-02-12","104.3565","105.3025","104.0379","104.964","622534",""
"PVH","2015-02-13T00:00:00-05:00","2015-02-13","105.6212","106.2385","105.422","106.0892","1147957",""
"PVH","2015-02-17T00:00:00-05:00","2015-02-17","105.5116","106.826","104.2271","106.2983","928930",""
"PVH","2015-02-18T00:00:00-05:00","2015-02-18","105.7008","107.0152","105.4818","106.8161","1096037",""
"PVH","2015-02-19T00:00:00-05:00","2015-02-19","106.8858","109.5246","106.7563","108.0608","1307934",""
"PVH","2015-02-20T00:00:00-05:00","2015-02-20","107.9811","109.7636","107.1547","109.5345","985670",""
"PVH","2015-02-23T00:00:00-05:00","2015-02-23","109.8034","110.3809","109.425","110.3809","1235427",""
