symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PX","2015-01-02T00:00:00-05:00","2015-01-02","120.9074","121.4483","120.1706","121.1965","737048",""
"PX","2015-01-05T00:00:00-05:00","2015-01-05","120.1426","120.3664","117.6152","117.9975","1249786",""
"PX","2015-01-06T00:00:00-05:00","2015-01-06","117.6991","118.4639","116.412","116.4867","1452865",""
"PX","2015-01-07T00:00:00-05:00","2015-01-07","117.3913","118.1188","116.8131","117.7924","923400",""
"PX","2015-01-08T00:00:00-05:00","2015-01-08","119.2753","120.1799","118.6597","119.7323","1170763",""
"PX","2015-01-09T00:00:00-05:00","2015-01-09","120.1706","120.1706","117.9789","118.1188","1060538",""
"PX","2015-01-12T00:00:00-05:00","2015-01-12","118.2307","118.7343","116.9157","117.8576","1100747",""
"PX","2015-01-13T00:00:00-05:00","2015-01-13","118.3519","118.9022","116.2069","117.0462","1324198",""
"PX","2015-01-14T00:00:00-05:00","2015-01-14","115.125","116.5799","114.9012","116.1975","1320553",""
"PX","2015-01-15T00:00:00-05:00","2015-01-15","116.5799","117.7178","116.0203","116.0856","846843",""
"PX","2015-01-16T00:00:00-05:00","2015-01-16","116.0856","116.2815","114.267","115.2089","2134265",""
"PX","2015-01-20T00:00:00-05:00","2015-01-20","115.526","116.897","115.3302","116.496","1676317",""
"PX","2015-01-21T00:00:00-05:00","2015-01-21","116.1789","117.4659","115.7219","117.2048","1104499",""
"PX","2015-01-22T00:00:00-05:00","2015-01-22","118.1188","119.0887","117.2048","118.8742","1255040",""
"PX","2015-01-23T00:00:00-05:00","2015-01-23","118.8462","118.9488","117.783","117.8297","1147924",""
"PX","2015-01-26T00:00:00-05:00","2015-01-26","115.2276","117.1115","115.2276","116.1323","1510873",""
"PX","2015-01-27T00:00:00-05:00","2015-01-27","114.6214","116.2348","114.2483","114.9012","1964103",""
"PX","2015-01-28T00:00:00-05:00","2015-01-28","115.8245","118.753","114.3416","114.3696","2503432",""
"PX","2015-01-29T00:00:00-05:00","2015-01-29","114.7426","114.9292","112.0753","113.2691","2123972",""
"PX","2015-01-30T00:00:00-05:00","2015-01-30","111.8421","113.8007","111.8421","112.467","2196776",""
"PX","2015-02-02T00:00:00-05:00","2015-02-02","112.924","114.2763","111.8048","113.9872","2473624",""
