symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PXD","2015-01-02T00:00:00-05:00","2015-01-02","147.3076","151.5109","146.7884","149.6539","2139971",""
"PXD","2015-01-05T00:00:00-05:00","2015-01-05","146.369","146.8083","139.2203","139.6097","2270376",""
"PXD","2015-01-06T00:00:00-05:00","2015-01-06","139.2603","142.2256","137.3034","139.2403","2174926",""
"PXD","2015-01-07T00:00:00-05:00","2015-01-07","141.1573","142.3454","136.894","137.7127","2402084",""
"PXD","2015-01-08T00:00:00-05:00","2015-01-08","139.1405","145.0212","138.3817","141.1872","2495030",""
"PXD","2015-01-09T00:00:00-05:00","2015-01-09","141.347","144.3423","139.8393","142.2955","1595713",""
"PXD","2015-01-12T00:00:00-05:00","2015-01-12","139.2603","139.3401","133.739","134.7174","2514962",""
"PXD","2015-01-13T00:00:00-05:00","2015-01-13","135.017","140.1888","134.8273","137.6728","3056014",""
"PXD","2015-01-14T00:00:00-05:00","2015-01-14","135.7758","142.1956","134.388","142.0059","3210558",""
"PXD","2015-01-15T00:00:00-05:00","2015-01-15","144.8614","147.3775","140.9476","141.0874","3079351",""
"PXD","2015-01-16T00:00:00-05:00","2015-01-16","142.8246","150.5025","141.6565","149.7337","4090143",""
"PXD","2015-01-20T00:00:00-05:00","2015-01-20","146.5687","148.0664","144.0827","147.1478","2186044",""
"PXD","2015-01-21T00:00:00-05:00","2015-01-21","148.9749","154.0769","148.1163","152.6991","1484538",""
"PXD","2015-01-22T00:00:00-05:00","2015-01-22","153.9671","154.2466","147.7668","152.2198","1717005",""
"PXD","2015-01-23T00:00:00-05:00","2015-01-23","152.1399","155.8141","151.6906","152.6192","1792323",""
"PXD","2015-01-26T00:00:00-05:00","2015-01-26","152.6691","155.235","150.5125","154.7858","1478729",""
"PXD","2015-01-27T00:00:00-05:00","2015-01-27","153.5877","156.3633","152.12","154.8756","1446779",""
"PXD","2015-01-28T00:00:00-05:00","2015-01-28","154.1068","154.1068","143.8131","144.3223","2471193",""
"PXD","2015-01-29T00:00:00-05:00","2015-01-29","146.7684","146.7684","141.4868","146.0296","1843103",""
"PXD","2015-01-30T00:00:00-05:00","2015-01-30","145.3407","151.5708","144.0827","150.2928","2415705",""
"PXD","2015-02-02T00:00:00-05:00","2015-02-02","153.2582","158.2004","152.8189","156.8725","2694845",""
"PXD","2015-02-03T00:00:00-05:00","2015-02-03","159.8977","162.5735","157.5314","161.3654","3481585",""
"PXD","2015-02-04T00:00:00-05:00","2015-02-04","158.9192","160.6066","155.1152","157.2619","2274683",""
"PXD","2015-02-05T00:00:00-05:00","2015-02-05","159.728","161.9445","156.9024","158.3401","2173624",""
"PXD","2015-02-06T00:00:00-05:00","2015-02-06","159.7979","160.0075","154.0369","156.4032","2544809",""
"PXD","2015-02-09T00:00:00-05:00","2015-02-09","157.7411","159.4185","153.348","153.8772","3545786",""
"PXD","2015-02-10T00:00:00-05:00","2015-02-10","153.7674","154.656","149.544","152.8788","3125223",""
