symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"PYPL","2015-07-06T00:00:00-04:00","2015-07-06","38","39.75","36","36.71","5866600",""
"PYPL","2015-07-07T00:00:00-04:00","2015-07-07","37.72","37.81","36","36.62","7358900",""
"PYPL","2015-07-08T00:00:00-04:00","2015-07-08","36.34","36.36","34.53","34.7","5387700",""
"PYPL","2015-07-09T00:00:00-04:00","2015-07-09","35.1","35.52","33.99","34.5","3760000",""
"PYPL","2015-07-10T00:00:00-04:00","2015-07-10","34.66","35.19","33.98","34.69","4472800",""
"PYPL","2015-07-13T00:00:00-04:00","2015-07-13","35.59","37.5","35.5","36.78","7625900",""
"PYPL","2015-07-14T00:00:00-04:00","2015-07-14","36.99","37.74","36.6","36.93","4653300",""
"PYPL","2015-07-15T00:00:00-04:00","2015-07-15","37.98","38.2","37.03","37.51","13072700",""
"PYPL","2015-07-16T00:00:00-04:00","2015-07-16","38.82","39.97","38.08","38.63","21348400",""
"PYPL","2015-07-17T00:00:00-04:00","2015-07-17","39.42","40.2","38.18","38.39","45720200",""
"PYPL","2015-07-20T00:00:00-04:00","2015-07-20","41.46","42.55","39.8","40.47","52286500",""
"PYPL","2015-07-21T00:00:00-04:00","2015-07-21","41.08","41.11","39.12","39.35","32954500",""
"PYPL","2015-07-22T00:00:00-04:00","2015-07-22","39.35","39.72","38.1","38.39","25380800",""
"PYPL","2015-07-23T00:00:00-04:00","2015-07-23","38.74","38.75","36.93","37.01","19250100",""
"PYPL","2015-07-24T00:00:00-04:00","2015-07-24","37.71","38","36.91","37","14274300",""
"PYPL","2015-07-27T00:00:00-04:00","2015-07-27","36.78","37.38","36.22","36.39","16179900",""
"PYPL","2015-07-28T00:00:00-04:00","2015-07-28","37.19","38","36.83","37.6","18986000",""
"PYPL","2015-07-29T00:00:00-04:00","2015-07-29","38.03","38.1","37.62","37.95","11788400",""
"PYPL","2015-07-30T00:00:00-04:00","2015-07-30","38.04","39.01","37.72","38.45","13845000",""
"PYPL","2015-07-31T00:00:00-04:00","2015-07-31","39.14","39.2","38.22","38.7","12480500",""
"PYPL","2015-08-03T00:00:00-04:00","2015-08-03","39.25","39.88","38.9","39.39","15126500",""
"PYPL","2015-08-04T00:00:00-04:00","2015-08-04","39.91","39.91","38.43","38.95","10992200",""
"PYPL","2015-08-05T00:00:00-04:00","2015-08-05","39.7","39.88","39.17","39.27","9463100",""
"PYPL","2015-08-06T00:00:00-04:00","2015-08-06","39.63","39.74","38.55","38.85","7324100",""
"PYPL","2015-08-07T00:00:00-04:00","2015-08-07","39.04","39.23","38.6","39.13","8331300",""
"PYPL","2015-08-10T00:00:00-04:00","2015-08-10","39.43","39.69","38.77","39.05","7998900",""
"PYPL","2015-08-11T00:00:00-04:00","2015-08-11","38.93","39.28","38.72","38.85","8184000",""
"PYPL","2015-08-12T00:00:00-04:00","2015-08-12","38.55","38.58","37.01","38.19","21366600",""
"PYPL","2015-08-13T00:00:00-04:00","2015-08-13","38.4","38.49","37.44","37.62","7863500",""
"PYPL","2015-08-14T00:00:00-04:00","2015-08-14","37.49","38.18","37.38","38.14","6271100",""
"PYPL","2015-08-17T00:00:00-04:00","2015-08-17","38.3","38.75","37.7","38.73","4931700",""
"PYPL","2015-08-18T00:00:00-04:00","2015-08-18","39","39","37.87","37.99","4678800",""
"PYPL","2015-08-19T00:00:00-04:00","2015-08-19","37.87","38.1","37.03","37.19","6923400",""
"PYPL","2015-08-20T00:00:00-04:00","2015-08-20","36.85","37.34","35.88","35.98","10645600",""
"PYPL","2015-08-21T00:00:00-04:00","2015-08-21","35.57","36.11","33.83","34.25","16824100",""
"PYPL","2015-08-24T00:00:00-04:00","2015-08-24","31.23","34.85","30","33.75","19676500",""
"PYPL","2015-08-25T00:00:00-04:00","2015-08-25","35.44","35.46","32.7","32.7","15557000",""
"PYPL","2015-08-26T00:00:00-04:00","2015-08-26","33.7","33.84","31.71","33.17","25350300",""
"PYPL","2015-08-27T00:00:00-04:00","2015-08-27","33.87","34.77","33.16","34.62","18909500",""
"PYPL","2015-08-28T00:00:00-04:00","2015-08-28","34.51","35.26","34.37","35.04","8344800",""
"PYPL","2015-08-31T00:00:00-04:00","2015-08-31","35.5","35.51","34.77","35","12123700",""
"PYPL","2015-09-01T00:00:00-04:00","2015-09-01","34.15","34.68","33.41","33.77","13375900",""
"PYPL","2015-09-02T00:00:00-04:00","2015-09-02","34.6","35.08","33.83","35.07","7521000",""
"PYPL","2015-09-03T00:00:00-04:00","2015-09-03","35.01","35.46","34.77","35.31","6683800",""
"PYPL","2015-09-04T00:00:00-04:00","2015-09-04","34.71","34.72","33.78","34.29","7483700",""
"PYPL","2015-09-08T00:00:00-04:00","2015-09-08","34.81","34.89","34.25","34.7","7674400",""
"PYPL","2015-09-09T00:00:00-04:00","2015-09-09","34.92","34.95","33.88","34.37","10946800",""
"PYPL","2015-09-10T00:00:00-04:00","2015-09-10","34.23","34.29","32.95","33.46","12134500",""
"PYPL","2015-09-11T00:00:00-04:00","2015-09-11","33.27","33.59","32.61","33.55","9184200",""
"PYPL","2015-09-14T00:00:00-04:00","2015-09-14","33.7","33.95","33.2","33.77","7897600",""
"PYPL","2015-09-15T00:00:00-04:00","2015-09-15","33.72","33.95","32.67","33.8","11874800",""
"PYPL","2015-09-16T00:00:00-04:00","2015-09-16","33.46","34.06","33.36","33.77","7183900",""
"PYPL","2015-09-17T00:00:00-04:00","2015-09-17","33.72","33.99","33.08","33.32","7846700",""
"PYPL","2015-09-18T00:00:00-04:00","2015-09-18","32.9","33.78","32.55","32.92","16488100",""
"PYPL","2015-09-21T00:00:00-04:00","2015-09-21","33.66","34.62","33.43","34.25","12736400",""
"PYPL","2015-09-22T00:00:00-04:00","2015-09-22","33.94","34.1","33.19","33.35","8538000",""
"PYPL","2015-09-23T00:00:00-04:00","2015-09-23","33.49","34.34","33.26","34.16","5405500",""
"PYPL","2015-09-24T00:00:00-04:00","2015-09-24","34","34.07","33.38","33.91","6544500",""
"PYPL","2015-09-25T00:00:00-04:00","2015-09-25","34.6","34.69","33.5","33.77","6566700",""
"PYPL","2015-09-28T00:00:00-04:00","2015-09-28","33.68","33.68","32.15","32.25","7407200",""
"PYPL","2015-09-29T00:00:00-04:00","2015-09-29","32.27","32.67","30.3","30.63","12008100",""
"PYPL","2015-09-30T00:00:00-04:00","2015-09-30","31.2","31.28","30.64","31.04","13672000",""
"PYPL","2015-10-01T00:00:00-04:00","2015-10-01","30.82","31.59","30.75","31.48","9656900",""
"PYPL","2015-10-02T00:00:00-04:00","2015-10-02","30.82","32.86","30.75","32.83","7609700",""
"PYPL","2015-10-05T00:00:00-04:00","2015-10-05","32.95","33.02","32.38","32.67","6119000",""
"PYPL","2015-10-06T00:00:00-04:00","2015-10-06","32.91","32.91","31.78","31.86","7443700",""
"PYPL","2015-10-07T00:00:00-04:00","2015-10-07","32.31","32.47","31.52","32.38","6969500",""
"PYPL","2015-10-08T00:00:00-04:00","2015-10-08","32.44","32.45","31.09","31.67","9281400",""
"PYPL","2015-10-09T00:00:00-04:00","2015-10-09","31.69","32.45","31.41","32.06","5909800",""
"PYPL","2015-10-12T00:00:00-04:00","2015-10-12","32.19","32.67","32.1","32.63","3915400",""
"PYPL","2015-10-13T00:00:00-04:00","2015-10-13","32.6","33.48","32.34","33.22","8787700",""
"PYPL","2015-10-14T00:00:00-04:00","2015-10-14","33.9","34.46","33.4","34.05","8198200",""
"PYPL","2015-10-15T00:00:00-04:00","2015-10-15","34.33","34.72","34.16","34.62","9103200",""
"PYPL","2015-10-16T00:00:00-04:00","2015-10-16","34.75","35.05","33.95","34.29","5390700",""
"PYPL","2015-10-19T00:00:00-04:00","2015-10-19","34.43","34.9","33.79","34.84","5855600",""
"PYPL","2015-10-20T00:00:00-04:00","2015-10-20","34.8","34.99","34.59","34.87","6084200",""
"PYPL","2015-10-21T00:00:00-04:00","2015-10-21","34.75","34.8","32.88","33.83","9113800",""
"PYPL","2015-10-22T00:00:00-04:00","2015-10-22","34.43","35.25","34.26","34.79","8735500",""
"PYPL","2015-10-23T00:00:00-04:00","2015-10-23","35.73","35.75","34.8","34.99","8909100",""
"PYPL","2015-10-26T00:00:00-04:00","2015-10-26","36.05","36.59","35.51","36.44","11554600",""
"PYPL","2015-10-27T00:00:00-04:00","2015-10-27","36.39","36.39","35.31","35.94","8502400",""
"PYPL","2015-10-28T00:00:00-04:00","2015-10-28","36.21","36.65","35.81","36.52","11634300",""
"PYPL","2015-10-29T00:00:00-04:00","2015-10-29","34.73","36.5","34.5","35.91","25137200",""
"PYPL","2015-10-30T00:00:00-04:00","2015-10-30","35.64","36.49","35.24","36.01","13409200",""
"PYPL","2015-11-02T00:00:00-05:00","2015-11-02","35.58","37.41","35.45","36.99","11254900",""
"PYPL","2015-11-03T00:00:00-05:00","2015-11-03","37.05","38.44","37","37.9","12025200",""
"PYPL","2015-11-04T00:00:00-05:00","2015-11-04","38.45","38.52","37.33","37.6","12226700",""
"PYPL","2015-11-05T00:00:00-05:00","2015-11-05","37.82","37.98","36.66","36.71","9068800",""
"PYPL","2015-11-06T00:00:00-05:00","2015-11-06","36.59","36.7","35.8","36.24","10256800",""
"PYPL","2015-11-09T00:00:00-05:00","2015-11-09","36.1","36.74","35.65","36.6","11571500",""
"PYPL","2015-11-10T00:00:00-05:00","2015-11-10","36.58","37.2","36.5","37","36384400",""
"PYPL","2015-11-11T00:00:00-05:00","2015-11-11","37.19","37.32","35.75","36.33","12762400",""
"PYPL","2015-11-12T00:00:00-05:00","2015-11-12","35.94","36.05","34.83","35.57","11835800",""
"PYPL","2015-11-13T00:00:00-05:00","2015-11-13","35.18","35.5","34.5","34.53","7364300",""
"PYPL","2015-11-16T00:00:00-05:00","2015-11-16","34.55","35.66","34.53","35.61","6734400",""
"PYPL","2015-11-17T00:00:00-05:00","2015-11-17","35.89","36.45","35.71","36.21","7344900",""
"PYPL","2015-11-18T00:00:00-05:00","2015-11-18","36.32","36.95","35.78","36.22","8323100",""
"PYPL","2015-11-19T00:00:00-05:00","2015-11-19","36.45","36.5","35.91","36.19","5042200",""
"PYPL","2015-11-20T00:00:00-05:00","2015-11-20","36.45","36.45","35.92","36.36","4543400",""
"PYPL","2015-11-23T00:00:00-05:00","2015-11-23","36.5","36.65","35.41","35.56","6960900",""
"PYPL","2015-11-24T00:00:00-05:00","2015-11-24","35.25","35.3","34.88","35.12","8389900",""
"PYPL","2015-11-25T00:00:00-05:00","2015-11-25","35.2","35.86","35.13","35.36","3882100",""
"PYPL","2015-11-27T00:00:00-05:00","2015-11-27","35.52","35.7","35.06","35.18","2550100",""
"PYPL","2015-11-30T00:00:00-05:00","2015-11-30","35.36","35.44","34.69","35.26","9357300",""
"PYPL","2015-12-01T00:00:00-05:00","2015-12-01","35.41","35.41","33.85","35.17","14893900",""
"PYPL","2015-12-02T00:00:00-05:00","2015-12-02","35.23","36.17","34.93","35.15","5762300",""
"PYPL","2015-12-03T00:00:00-05:00","2015-12-03","35.2","35.23","33.85","34.23","7311900",""
"PYPL","2015-12-04T00:00:00-05:00","2015-12-04","34.38","35.82","34.22","35.62","10664300",""
"PYPL","2015-12-07T00:00:00-05:00","2015-12-07","35.71","35.8","34.85","35.16","4917900",""
"PYPL","2015-12-08T00:00:00-05:00","2015-12-08","34.63","35.7","34.52","35.6","7420800",""
"PYPL","2015-12-09T00:00:00-05:00","2015-12-09","35.39","35.6","34.83","35.07","7381600",""
"PYPL","2015-12-10T00:00:00-05:00","2015-12-10","35.16","35.91","35.16","35.49","6949700",""
"PYPL","2015-12-11T00:00:00-05:00","2015-12-11","35.15","35.33","34.42","34.69","8309200",""
"PYPL","2015-12-14T00:00:00-05:00","2015-12-14","34.61","35.22","34.33","35.01","5803000",""
"PYPL","2015-12-15T00:00:00-05:00","2015-12-15","35.19","36.51","35.18","36.32","11709800",""
"PYPL","2015-12-16T00:00:00-05:00","2015-12-16","36.12","36.25","35.19","35.98","7076200",""
"PYPL","2015-12-17T00:00:00-05:00","2015-12-17","36","36.58","35.51","35.54","6454000",""
"PYPL","2015-12-18T00:00:00-05:00","2015-12-18","35.35","35.76","34.73","34.98","13745900",""
"PYPL","2015-12-21T00:00:00-05:00","2015-12-21","35.21","36.15","35.11","36.08","5856000",""
"PYPL","2015-12-22T00:00:00-05:00","2015-12-22","36.12","36.89","35.78","36.81","6030800",""
"PYPL","2015-12-23T00:00:00-05:00","2015-12-23","36.79","37.68","36.77","37.11","7579500",""
"PYPL","2015-12-24T00:00:00-05:00","2015-12-24","37.01","37.23","36.82","37.07","2133400",""
"PYPL","2015-12-28T00:00:00-05:00","2015-12-28","36.7","37","36.25","36.61","4930100",""
"PYPL","2015-12-29T00:00:00-05:00","2015-12-29","36.92","37.45","36.75","37.08","3436600",""
"PYPL","2015-12-30T00:00:00-05:00","2015-12-30","37.07","37.25","36.46","36.48","4106700",""
"PYPL","2015-12-31T00:00:00-05:00","2015-12-31","36.3","36.5","36.05","36.2","4481900",""
"PYPL","2016-01-04T00:00:00-05:00","2016-01-04","35.13","35.56","34.28","34.75","12287700",""
"PYPL","2016-01-05T00:00:00-05:00","2016-01-05","34.98","34.98","33.86","34.31","11227700",""
"PYPL","2016-01-06T00:00:00-05:00","2016-01-06","33.7","34.01","33.21","33.98","8441200",""
"PYPL","2016-01-07T00:00:00-05:00","2016-01-07","33.15","34.16","33.02","33.13","11041000",""
"PYPL","2016-01-08T00:00:00-05:00","2016-01-08","33.46","33.88","32.63","32.69","7848800",""
"PYPL","2016-01-11T00:00:00-05:00","2016-01-11","33.02","33.43","32.47","33.04","8937300",""
"PYPL","2016-01-12T00:00:00-05:00","2016-01-12","33.35","33.57","32.66","33.08","7853900",""
"PYPL","2016-01-13T00:00:00-05:00","2016-01-13","33.28","33.57","31.97","32.12","8069400",""
"PYPL","2016-01-14T00:00:00-05:00","2016-01-14","32.15","33.04","31.7","32.87","7749400",""
"PYPL","2016-01-15T00:00:00-05:00","2016-01-15","31.62","32.54","31.62","32.31","12174300",""
"PYPL","2016-01-19T00:00:00-05:00","2016-01-19","32.76","33.18","31.93","32.2","6674700",""
"PYPL","2016-01-20T00:00:00-05:00","2016-01-20","31.43","31.7","30.52","31.2","13170500",""
"PYPL","2016-01-21T00:00:00-05:00","2016-01-21","31.61","31.74","30.9","31.2","9978900",""
"PYPL","2016-01-22T00:00:00-05:00","2016-01-22","31.65","31.97","31.54","31.69","9443900",""
"PYPL","2016-01-25T00:00:00-05:00","2016-01-25","31.98","31.98","31.35","31.47","7591700",""
"PYPL","2016-01-26T00:00:00-05:00","2016-01-26","31.49","31.98","31.39","31.97","8616900",""
"PYPL","2016-01-27T00:00:00-05:00","2016-01-27","31.96","32.63","31.38","31.59","12711600",""
"PYPL","2016-01-28T00:00:00-05:00","2016-01-28","33.63","34.75","33.35","34.24","20378500",""
"PYPL","2016-01-29T00:00:00-05:00","2016-01-29","34.49","36.26","34.36","36.14","21201000",""
"PYPL","2016-02-01T00:00:00-05:00","2016-02-01","35.65","37.32","35.59","37.08","17356000",""
"PYPL","2016-02-02T00:00:00-05:00","2016-02-02","36.53","37.77","36.44","36.83","17310500",""
"PYPL","2016-02-03T00:00:00-05:00","2016-02-03","36.87","37.55","36.07","37.01","14543100",""
"PYPL","2016-02-04T00:00:00-05:00","2016-02-04","36.66","37.28","36.54","37.17","10212200",""
"PYPL","2016-02-05T00:00:00-05:00","2016-02-05","37.16","37.16","34.82","35.07","16245800",""
"PYPL","2016-02-08T00:00:00-05:00","2016-02-08","34","34.29","31.98","33.61","20628900",""
"PYPL","2016-02-09T00:00:00-05:00","2016-02-09","32.8","33.86","31.64","32.7","16439100",""
"PYPL","2016-02-10T00:00:00-05:00","2016-02-10","33.62","33.94","32.82","32.9","8636400",""
"PYPL","2016-02-11T00:00:00-05:00","2016-02-11","32.12","33.64","32.01","33.52","13170000",""
"PYPL","2016-02-12T00:00:00-05:00","2016-02-12","33.97","34.44","33.81","34.3","9437100",""
"PYPL","2016-02-16T00:00:00-05:00","2016-02-16","34.65","35.52","34.48","35.46","9152300",""
"PYPL","2016-02-17T00:00:00-05:00","2016-02-17","35.98","36.91","35.81","36.36","12070600",""
"PYPL","2016-02-18T00:00:00-05:00","2016-02-18","36.41","36.53","35.66","36.31","9022000",""
"PYPL","2016-02-19T00:00:00-05:00","2016-02-19","36","36.24","35.61","35.76","9652700",""
"PYPL","2016-02-22T00:00:00-05:00","2016-02-22","36.45","36.5","35.82","36","10476200",""
"PYPL","2016-02-23T00:00:00-05:00","2016-02-23","35.72","35.94","35.02","35.48","8415200",""
"PYPL","2016-02-24T00:00:00-05:00","2016-02-24","35.22","36.75","34.86","36.47","8091100",""
"PYPL","2016-02-25T00:00:00-05:00","2016-02-25","36.67","36.83","36.18","36.74","5209500",""
"PYPL","2016-02-26T00:00:00-05:00","2016-02-26","36.73","37.53","36.37","37.49","8594900",""
"PYPL","2016-02-29T00:00:00-05:00","2016-02-29","37.47","38.93","37.45","38.14","23939900",""
"PYPL","2016-03-01T00:00:00-05:00","2016-03-01","38.52","39.54","38.02","39.25","14085200",""
"PYPL","2016-03-02T00:00:00-05:00","2016-03-02","39.2","39.93","38.7","39.16","12895900",""
"PYPL","2016-03-03T00:00:00-05:00","2016-03-03","38.96","39.24","38.63","39.02","7656800",""
"PYPL","2016-03-04T00:00:00-05:00","2016-03-04","38.77","39.7","38.76","39.04","7200000",""
"PYPL","2016-03-07T00:00:00-05:00","2016-03-07","38.78","39.4","38.72","38.98","5340200",""
"PYPL","2016-03-08T00:00:00-05:00","2016-03-08","38.69","38.88","38.11","38.16","6012600",""
"PYPL","2016-03-09T00:00:00-05:00","2016-03-09","38.48","38.62","37.82","38.57","4990500",""
"PYPL","2016-03-10T00:00:00-05:00","2016-03-10","38.66","39.3","37.48","38.49","7655700",""
"PYPL","2016-03-11T00:00:00-05:00","2016-03-11","39","39.53","38.85","39.49","9539500",""
"PYPL","2016-03-14T00:00:00-04:00","2016-03-14","39.4","39.8","39.04","39.38","5299600",""
"PYPL","2016-03-15T00:00:00-04:00","2016-03-15","39.05","39.64","39.05","39.27","5013800",""
"PYPL","2016-03-16T00:00:00-04:00","2016-03-16","39.09","39.89","38.57","39.84","6363500",""
"PYPL","2016-03-17T00:00:00-04:00","2016-03-17","39.85","40.12","39.17","39.93","9789500",""
"PYPL","2016-03-18T00:00:00-04:00","2016-03-18","39.86","39.86","38.69","39.41","15132300",""
"PYPL","2016-03-21T00:00:00-04:00","2016-03-21","39.41","41.17","39.2","41.14","13432400",""
"PYPL","2016-03-22T00:00:00-04:00","2016-03-22","40.67","41.75","40.63","41.32","10552300",""
"PYPL","2016-03-23T00:00:00-04:00","2016-03-23","41.06","41.31","40.04","40.52","8104600",""
"PYPL","2016-03-24T00:00:00-04:00","2016-03-24","39.4","39.51","37","38.92","15040500",""
"PYPL","2016-03-28T00:00:00-04:00","2016-03-28","38.81","39.17","38.62","38.74","6192800",""
"PYPL","2016-03-29T00:00:00-04:00","2016-03-29","38.74","39.72","38.3","39.53","5694000",""
"PYPL","2016-03-30T00:00:00-04:00","2016-03-30","39.94","40.04","38.99","39.04","5246700",""
"PYPL","2016-03-31T00:00:00-04:00","2016-03-31","38.74","39","38.43","38.6","8086900",""
"PYPL","2016-04-01T00:00:00-04:00","2016-04-01","38.51","39.46","38.4","39.4","6982000",""
"PYPL","2016-04-04T00:00:00-04:00","2016-04-04","39.36","39.38","38.41","38.79","5381300",""
"PYPL","2016-04-05T00:00:00-04:00","2016-04-05","38.35","38.81","37.7","38.55","5364700",""
