symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"QRVO","2015-01-02T00:00:00-05:00","2015-01-02","69","72","68.01","70.4","4218700",""
"QRVO","2015-01-05T00:00:00-05:00","2015-01-05","71.23","71.3","67.06","67.63","4534700",""
"QRVO","2015-01-06T00:00:00-05:00","2015-01-06","67.93","67.99","63.02","64.67","3749900",""
"QRVO","2015-01-07T00:00:00-05:00","2015-01-07","65.01","66.76","63.51","66.65","2122600",""
"QRVO","2015-01-08T00:00:00-05:00","2015-01-08","67.95","69.69","67.13","67.69","2514500",""
"QRVO","2015-01-09T00:00:00-05:00","2015-01-09","68.45","68.45","66.61","67.11","934100",""
"QRVO","2015-01-12T00:00:00-05:00","2015-01-12","67.39","67.99","64.8","65.52","1259200",""
"QRVO","2015-01-13T00:00:00-05:00","2015-01-13","65.74","67.59","63.61","65.02","1230700",""
"QRVO","2015-01-14T00:00:00-05:00","2015-01-14","64.01","65.45","63.11","64.59","980700",""
"QRVO","2015-01-15T00:00:00-05:00","2015-01-15","64.6","64.94","63.6","64.39","1246800",""
"QRVO","2015-01-16T00:00:00-05:00","2015-01-16","64","66.42","63.81","65.81","1392800",""
"QRVO","2015-01-20T00:00:00-05:00","2015-01-20","65.75","68.2","65.23","67.96","1096200",""
"QRVO","2015-01-21T00:00:00-05:00","2015-01-21","67.61","70.8","67.57","68.84","1451600",""
"QRVO","2015-01-22T00:00:00-05:00","2015-01-22","69.54","70.68","67.03","70.61","1332700",""
"QRVO","2015-01-23T00:00:00-05:00","2015-01-23","70.72","74.34","70.57","73.37","1677500",""
"QRVO","2015-01-26T00:00:00-05:00","2015-01-26","72.4","74","72.3","73.15","1571800",""
"QRVO","2015-01-27T00:00:00-05:00","2015-01-27","72.8","73.88","71.5","73.75","1246600",""
"QRVO","2015-01-28T00:00:00-05:00","2015-01-28","75","78.05","74.22","75.5","3063000",""
"QRVO","2015-01-29T00:00:00-05:00","2015-01-29","72.7","75.88","72.2","75.76","2636700",""
"QRVO","2015-01-30T00:00:00-05:00","2015-01-30","74.64","75.26","73.31","73.87","1623300",""
"QRVO","2015-02-02T00:00:00-05:00","2015-02-02","73.5","74","66.88","68.72","3348300",""
"QRVO","2015-02-03T00:00:00-05:00","2015-02-03","68.74","70","67.05","68.52","2551700",""
"QRVO","2015-02-04T00:00:00-05:00","2015-02-04","67.53","69.4","66.76","68.33","1499500",""
"QRVO","2015-02-05T00:00:00-05:00","2015-02-05","67.66","68.73","66.5","67.39","1322900",""
"QRVO","2015-02-06T00:00:00-05:00","2015-02-06","67.5","68.5","65.53","65.89","1302100",""
"QRVO","2015-02-09T00:00:00-05:00","2015-02-09","65.2","65.82","63.35","63.74","1563600",""
"QRVO","2015-02-10T00:00:00-05:00","2015-02-10","63.87","65.12","63.67","65.02","1306600",""
"QRVO","2015-02-11T00:00:00-05:00","2015-02-11","65.1","65.65","63.17","64.75","1096500",""
"QRVO","2015-02-12T00:00:00-05:00","2015-02-12","65.63","66.33","65","66.2","1159000",""
"QRVO","2015-02-13T00:00:00-05:00","2015-02-13","66.2","70.27","65.63","70.03","1870800",""
"QRVO","2015-02-17T00:00:00-05:00","2015-02-17","70","70","68.06","69.44","973900",""
"QRVO","2015-02-18T00:00:00-05:00","2015-02-18","69.15","70","67.31","67.54","1056600",""
"QRVO","2015-02-19T00:00:00-05:00","2015-02-19","67","68.17","65.25","65.3","1225300",""
"QRVO","2015-02-20T00:00:00-05:00","2015-02-20","65.57","65.77","64.04","65.17","1463400",""
"QRVO","2015-02-23T00:00:00-05:00","2015-02-23","65.16","65.88","64.3","65.05","889700",""
"QRVO","2015-02-24T00:00:00-05:00","2015-02-24","65.36","69.35","65.2","69.34","1700100",""
"QRVO","2015-02-25T00:00:00-05:00","2015-02-25","68.95","69.28","66.6","67.21","965100",""
"QRVO","2015-02-26T00:00:00-05:00","2015-02-26","68","71.72","67.89","71.53","2116300",""
"QRVO","2015-02-27T00:00:00-05:00","2015-02-27","70.75","71.43","69.2","69.4","1400800",""
"QRVO","2015-03-02T00:00:00-05:00","2015-03-02","69.39","70.8","68.8","69.35","1127900",""
"QRVO","2015-03-03T00:00:00-05:00","2015-03-03","69.36","70.96","68.35","70.84","1509000",""
"QRVO","2015-03-04T00:00:00-05:00","2015-03-04","70.23","73.25","70.11","72.02","1397500",""
"QRVO","2015-03-05T00:00:00-05:00","2015-03-05","72.2","75.16","72.02","74.51","1621900",""
"QRVO","2015-03-06T00:00:00-05:00","2015-03-06","73.41","74.5","72.75","72.98","988000",""
"QRVO","2015-03-09T00:00:00-04:00","2015-03-09","73.24","75.45","73.13","74.83","1076600",""
"QRVO","2015-03-10T00:00:00-04:00","2015-03-10","74.08","74.31","71.74","72.15","1365500",""
"QRVO","2015-03-11T00:00:00-04:00","2015-03-11","72.5","73.6","72.05","72.95","1039600",""
"QRVO","2015-03-12T00:00:00-04:00","2015-03-12","73.34","74.35","72.92","73.42","794800",""
"QRVO","2015-03-13T00:00:00-04:00","2015-03-13","73.36","73.99","71.8","72.57","761900",""
"QRVO","2015-03-16T00:00:00-04:00","2015-03-16","74.21","76.75","74","76.33","1822300",""
"QRVO","2015-03-17T00:00:00-04:00","2015-03-17","76.16","78.12","75.9","77.71","1824700",""
"QRVO","2015-03-18T00:00:00-04:00","2015-03-18","77.86","80.8","77.69","79.96","2272800",""
"QRVO","2015-03-19T00:00:00-04:00","2015-03-19","81.52","82.27","79.21","80.38","1885900",""
"QRVO","2015-03-20T00:00:00-04:00","2015-03-20","81.44","81.5","79.69","80.8","4740900",""
"QRVO","2015-03-23T00:00:00-04:00","2015-03-23","81.15","84.19","81.07","84.09","2001000",""
"QRVO","2015-03-24T00:00:00-04:00","2015-03-24","84.6","85.63","82.66","83.21","1792300",""
"QRVO","2015-03-25T00:00:00-04:00","2015-03-25","83.55","83.79","75.52","77.13","3728800",""
"QRVO","2015-03-26T00:00:00-04:00","2015-03-26","73.5","77.75","72.1","77.19","3005800",""
"QRVO","2015-03-27T00:00:00-04:00","2015-03-27","77.63","80.69","77.51","79.28","2634800",""
"QRVO","2015-03-30T00:00:00-04:00","2015-03-30","80","81.4","79.71","81.4","1820300",""
"QRVO","2015-03-31T00:00:00-04:00","2015-03-31","81","81","78.55","79.7","2006900",""
"QRVO","2015-04-01T00:00:00-04:00","2015-04-01","78.53","79.3","77.81","78.8","1430100",""
"QRVO","2015-04-02T00:00:00-04:00","2015-04-02","79.2","79.2","76.67","77.79","1603800",""
"QRVO","2015-04-06T00:00:00-04:00","2015-04-06","76.88","77.15","75.2","76.51","1613500",""
"QRVO","2015-04-07T00:00:00-04:00","2015-04-07","77.07","77.69","72.73","73.23","2251900",""
"QRVO","2015-04-08T00:00:00-04:00","2015-04-08","74.2","75.2","72.51","72.84","2108000",""
"QRVO","2015-04-09T00:00:00-04:00","2015-04-09","72.71","74.9","71.22","74.63","1385000",""
"QRVO","2015-04-10T00:00:00-04:00","2015-04-10","75.61","75.93","72.76","73.58","1315400",""
"QRVO","2015-04-13T00:00:00-04:00","2015-04-13","73.59","75.12","72.11","72.63","1243600",""
"QRVO","2015-04-14T00:00:00-04:00","2015-04-14","72.52","73.17","69.3","70.5","2457000",""
"QRVO","2015-04-15T00:00:00-04:00","2015-04-15","71","72","69.37","70.91","1714500",""
"QRVO","2015-04-16T00:00:00-04:00","2015-04-16","70.73","71.5","68.61","71.46","1495500",""
"QRVO","2015-04-17T00:00:00-04:00","2015-04-17","70.7","71.11","69.61","70.07","1177800",""
"QRVO","2015-04-20T00:00:00-04:00","2015-04-20","70.64","72.35","70.4","72.01","1216800",""
"QRVO","2015-04-21T00:00:00-04:00","2015-04-21","72.5","74.26","72.01","74.07","1159900",""
"QRVO","2015-04-22T00:00:00-04:00","2015-04-22","74.25","74.54","73.06","74.48","817800",""
"QRVO","2015-04-23T00:00:00-04:00","2015-04-23","73.93","73.95","71.55","73.27","1121600",""
"QRVO","2015-04-24T00:00:00-04:00","2015-04-24","73.08","73.1","69.7","70.12","1633800",""
"QRVO","2015-04-27T00:00:00-04:00","2015-04-27","70","71.69","68.9","69.37","1512900",""
"QRVO","2015-04-28T00:00:00-04:00","2015-04-28","69.97","70.31","65.44","67.86","2044400",""
"QRVO","2015-04-29T00:00:00-04:00","2015-04-29","67.59","69","66.51","68.65","994200",""
"QRVO","2015-04-30T00:00:00-04:00","2015-04-30","68.47","68.85","65.8","65.91","1632000",""
"QRVO","2015-05-01T00:00:00-04:00","2015-05-01","66.8","69.61","66.68","69.6","1708800",""
"QRVO","2015-05-04T00:00:00-04:00","2015-05-04","69.94","70.5","68.66","68.99","1621500",""
"QRVO","2015-05-05T00:00:00-04:00","2015-05-05","68.51","69.22","66.02","67.07","1532500",""
"QRVO","2015-05-06T00:00:00-04:00","2015-05-06","67.7","69.4","66.5","69.06","2131800",""
"QRVO","2015-05-07T00:00:00-04:00","2015-05-07","77.63","78","73.21","75.56","4721300",""
"QRVO","2015-05-08T00:00:00-04:00","2015-05-08","76.38","77.97","76.21","76.56","1991600",""
"QRVO","2015-05-11T00:00:00-04:00","2015-05-11","76","76","73.84","74.56","1697800",""
"QRVO","2015-05-12T00:00:00-04:00","2015-05-12","74.13","75.85","74","74.75","1381500",""
"QRVO","2015-05-13T00:00:00-04:00","2015-05-13","75.35","76.1","74.33","74.96","804100",""
