symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"R","2015-01-02T00:00:00-05:00","2015-01-02","87.51144","87.88686","85.04302","86.61042","644071",""
"R","2015-01-05T00:00:00-05:00","2015-01-05","85.68124","85.96281","83.68211","83.83228","613598",""
"R","2015-01-06T00:00:00-05:00","2015-01-06","84.30156","84.51743","82.20856","82.91249","737511",""
"R","2015-01-07T00:00:00-05:00","2015-01-07","83.57887","83.97307","82.84679","83.34423","479883",""
"R","2015-01-08T00:00:00-05:00","2015-01-08","84.23586","85.48415","83.99184","85.34337","719292",""
"R","2015-01-09T00:00:00-05:00","2015-01-09","85.37152","85.37152","83.80412","83.85105","440674",""
"R","2015-01-12T00:00:00-05:00","2015-01-12","84.13262","84.14201","82.37751","82.72478","615942",""
"R","2015-01-13T00:00:00-05:00","2015-01-13","83.5601","85.07118","82.1241","83.05328","493308",""
"R","2015-01-14T00:00:00-05:00","2015-01-14","81.57035","82.64031","81.11984","82.18041","441846",""
"R","2015-01-15T00:00:00-05:00","2015-01-15","82.69662","83.02512","81.50465","81.60789","674649",""
"R","2015-01-16T00:00:00-05:00","2015-01-16","81.23247","82.98757","81.23247","82.91249","484784",""
"R","2015-01-20T00:00:00-05:00","2015-01-20","83.51318","84.14201","82.20856","83.14713","362150",""
"R","2015-01-21T00:00:00-05:00","2015-01-21","82.95942","84.77084","82.76232","83.50378","683066",""
"R","2015-01-22T00:00:00-05:00","2015-01-22","84.56435","85.05241","83.79474","85.00549","625958",""
"R","2015-01-23T00:00:00-05:00","2015-01-23","84.75208","85.70001","84.38603","85.04302","430765",""
"R","2015-01-26T00:00:00-05:00","2015-01-26","84.85532","85.61555","84.37665","84.85532","589519",""
"R","2015-01-27T00:00:00-05:00","2015-01-27","83.31607","84.70515","82.99696","84.42357","650570",""
"R","2015-01-28T00:00:00-05:00","2015-01-28","85.36213","85.46538","82.4526","82.62154","423414",""
"R","2015-01-29T00:00:00-05:00","2015-01-29","82.19919","82.94065","80.47223","80.94151","1454566",""
"R","2015-01-30T00:00:00-05:00","2015-01-30","80.01234","80.62241","77.2342","77.70348","1435175",""
"R","2015-02-02T00:00:00-05:00","2015-02-02","78.23846","79.35535","77.79733","78.86729","1433151",""
"R","2015-02-03T00:00:00-05:00","2015-02-03","77.69409","83.85105","77.57208","83.1002","2210191",""
"R","2015-02-04T00:00:00-05:00","2015-02-04","82.22734","83.55071","80.99783","83.02512","1380304",""
"R","2015-02-05T00:00:00-05:00","2015-02-05","83.51318","84.23586","83.03451","83.40054","787482",""
"R","2015-02-06T00:00:00-05:00","2015-02-06","83.39116","85.52169","83.33485","84.78023","796751",""
"R","2015-02-09T00:00:00-05:00","2015-02-09","84.18893","85.43722","83.87921","84.80839","699261",""
"R","2015-02-10T00:00:00-05:00","2015-02-10","85.61555","85.61555","84.10446","85.06179","789080",""
"R","2015-02-11T00:00:00-05:00","2015-02-11","85.49353","87.09848","85.23074","86.61042","727283",""
"R","2015-02-12T00:00:00-05:00","2015-02-12","86.66673","87.93379","86.66673","87.76485","509716",""
"R","2015-02-13T00:00:00-05:00","2015-02-13","87.8024","88.1872","87.61468","88.14966","432683",""
"R","2015-02-17T00:00:00-05:00","2015-02-17","87.671","88.35615","87.3425","88.33738","486915",""
"R","2015-02-18T00:00:00-05:00","2015-02-18","88.22475","88.64709","87.89626","88.05581","492669",""
"R","2015-02-19T00:00:00-05:00","2015-02-19","88.17831","89.29019","88.17831","88.60233","270514",""
"R","2015-02-20T00:00:00-05:00","2015-02-20","88.29137","89.50691","87.69775","89.29019","499640",""
"R","2015-02-23T00:00:00-05:00","2015-02-23","89.31846","89.43153","88.66829","89.13","339921",""
"R","2015-02-24T00:00:00-05:00","2015-02-24","88.93212","89.94978","88.67771","89.60114","497412",""
