symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"REGN","2015-01-02T00:00:00-05:00","2015-01-02","413.9","419.15","407.5","410.16","769100",""
"REGN","2015-01-05T00:00:00-05:00","2015-01-05","414.26","419.41","409.04","412.47","883000",""
"REGN","2015-01-06T00:00:00-05:00","2015-01-06","414.39","420.75","396.55","396.89","1262300",""
"REGN","2015-01-07T00:00:00-05:00","2015-01-07","402.79","408.68","398.5","407.72","880600",""
"REGN","2015-01-08T00:00:00-05:00","2015-01-08","411.57","412.99","401.16","403.25","1188000",""
"REGN","2015-01-09T00:00:00-05:00","2015-01-09","408.04","419.19","404.16","411.04","1207600",""
"REGN","2015-01-12T00:00:00-05:00","2015-01-12","414.02","419.44","409.5","413.33","665500",""
"REGN","2015-01-13T00:00:00-05:00","2015-01-13","417.73","425.49","402.52","406.49","1440000",""
"REGN","2015-01-14T00:00:00-05:00","2015-01-14","403.12","408.52","401.42","404.31","968900",""
"REGN","2015-01-15T00:00:00-05:00","2015-01-15","405.26","407.22","395.55","397.12","982900",""
"REGN","2015-01-16T00:00:00-05:00","2015-01-16","398.18","409.7","395.66","408.69","1037000",""
"REGN","2015-01-20T00:00:00-05:00","2015-01-20","411.13","422.53","405.14","421.11","802900",""
"REGN","2015-01-21T00:00:00-05:00","2015-01-21","418.15","423.91","412.01","418.11","687300",""
"REGN","2015-01-22T00:00:00-05:00","2015-01-22","418.97","421.29","406.5","420.81","590900",""
"REGN","2015-01-23T00:00:00-05:00","2015-01-23","421.06","422.91","414.59","420.21","388300",""
"REGN","2015-01-26T00:00:00-05:00","2015-01-26","419.91","427.45","417.01","423.77","453800",""
"REGN","2015-01-27T00:00:00-05:00","2015-01-27","417.23","422.07","413.65","415.74","705000",""
"REGN","2015-01-28T00:00:00-05:00","2015-01-28","417.64","420.6","407.5","408","641100",""
"REGN","2015-01-29T00:00:00-05:00","2015-01-29","408.68","415.5","401.17","414.64","583400",""
"REGN","2015-01-30T00:00:00-05:00","2015-01-30","410.88","424.74","410.6","416.66","1060000",""
"REGN","2015-02-02T00:00:00-05:00","2015-02-02","419.79","420.99","407.64","413.09","637700",""
"REGN","2015-02-03T00:00:00-05:00","2015-02-03","416.48","416.52","398.71","409.2","933100",""
"REGN","2015-02-04T00:00:00-05:00","2015-02-04","400.47","407.89","393","401.36","1195000",""
"REGN","2015-02-05T00:00:00-05:00","2015-02-05","403.55","415.47","403.17","413.87","761200",""
"REGN","2015-02-06T00:00:00-05:00","2015-02-06","413.22","414.47","405.26","406.86","625600",""
"REGN","2015-02-09T00:00:00-05:00","2015-02-09","407.55","409.15","397.7","399.72","1023700",""
"REGN","2015-02-10T00:00:00-05:00","2015-02-10","402.65","407.76","394.01","400.71","1580800",""
"REGN","2015-02-11T00:00:00-05:00","2015-02-11","399.5","406.9","398.81","398.99","690400",""
"REGN","2015-02-12T00:00:00-05:00","2015-02-12","401","405.2","396.62","401.74","661500",""
"REGN","2015-02-13T00:00:00-05:00","2015-02-13","404.99","406.5","397.6","402.4","803500",""
"REGN","2015-02-17T00:00:00-05:00","2015-02-17","403.23","406.5","400.75","404.18","731900",""
"REGN","2015-02-18T00:00:00-05:00","2015-02-18","404.48","408.41","400.51","405.8","479600",""
"REGN","2015-02-19T00:00:00-05:00","2015-02-19","407.93","428.47","407.49","426.6","1451400",""
"REGN","2015-02-20T00:00:00-05:00","2015-02-20","425","428.23","421.16","423.78","887100",""
"REGN","2015-02-23T00:00:00-05:00","2015-02-23","424.35","432.38","423.5","425.11","865600",""
"REGN","2015-02-24T00:00:00-05:00","2015-02-24","426.36","426.55","415.77","420.64","723000",""
"REGN","2015-02-25T00:00:00-05:00","2015-02-25","420.16","427","417","423.04","764900",""
"REGN","2015-02-26T00:00:00-05:00","2015-02-26","425.01","427.92","416.2","419.87","691000",""
"REGN","2015-02-27T00:00:00-05:00","2015-02-27","421.04","421.07","411.04","413.84","811000",""
"REGN","2015-03-02T00:00:00-05:00","2015-03-02","416.3","419.6","414.17","418.44","614000",""
"REGN","2015-03-03T00:00:00-05:00","2015-03-03","418.58","418.82","406.85","412.51","587300",""
"REGN","2015-03-04T00:00:00-05:00","2015-03-04","409.6","415.88","408.21","413.04","590900",""
"REGN","2015-03-05T00:00:00-05:00","2015-03-05","414.93","430.67","414.21","428.95","1166000",""
"REGN","2015-03-06T00:00:00-05:00","2015-03-06","428.67","431.69","421.15","422.13","744500",""
"REGN","2015-03-09T00:00:00-04:00","2015-03-09","424.44","430.99","420.15","426.87","702900",""
"REGN","2015-03-10T00:00:00-04:00","2015-03-10","424.06","427.81","420.78","422.84","693000",""
"REGN","2015-03-11T00:00:00-04:00","2015-03-11","426.73","429.87","424.03","424.55","731300",""
"REGN","2015-03-12T00:00:00-04:00","2015-03-12","427.39","427.44","422.21","425.16","541100",""
"REGN","2015-03-13T00:00:00-04:00","2015-03-13","424.93","435","424.5","429.38","807900",""
"REGN","2015-03-16T00:00:00-04:00","2015-03-16","436.61","452.36","436.56","451.77","1608700",""
"REGN","2015-03-17T00:00:00-04:00","2015-03-17","450.02","468.5","447.32","467.8","1705800",""
"REGN","2015-03-18T00:00:00-04:00","2015-03-18","465.06","475.95","461.32","472.11","996400",""
"REGN","2015-03-19T00:00:00-04:00","2015-03-19","475.09","486.63","472.45","486.02","1142400",""
"REGN","2015-03-20T00:00:00-04:00","2015-03-20","493.32","495.5","476.26","488.87","1582100",""
"REGN","2015-03-23T00:00:00-04:00","2015-03-23","480.61","481.88","471.11","478.32","1072900",""
"REGN","2015-03-24T00:00:00-04:00","2015-03-24","478.36","482.98","473.12","473.74","840400",""
"REGN","2015-03-25T00:00:00-04:00","2015-03-25","474.48","478.74","452.01","453.99","1415700",""
"REGN","2015-03-26T00:00:00-04:00","2015-03-26","448","457.72","441.87","448.38","1133700",""
"REGN","2015-03-27T00:00:00-04:00","2015-03-27","449.48","460.12","448.04","454.5","856000",""
"REGN","2015-03-30T00:00:00-04:00","2015-03-30","459.08","462.59","453.11","459.78","640900",""
"REGN","2015-03-31T00:00:00-04:00","2015-03-31","456.23","464.52","450.02","451.48","885100",""
"REGN","2015-04-01T00:00:00-04:00","2015-04-01","448.44","450","433.47","441.18","1502300",""
