symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"RHI","2015-01-02T00:00:00-05:00","2015-01-02","55.9811","56.01908","54.34772","54.96499","514828",""
"RHI","2015-01-05T00:00:00-05:00","2015-01-05","54.55664","54.70858","53.47406","53.81592","953206",""
"RHI","2015-01-06T00:00:00-05:00","2015-01-06","54.01535","54.27175","52.79981","53.49305","869490",""
"RHI","2015-01-07T00:00:00-05:00","2015-01-07","53.84441","54.52815","53.82542","54.24326","880336",""
"RHI","2015-01-08T00:00:00-05:00","2015-01-08","54.85103","55.85764","54.77506","55.7057","825894",""
"RHI","2015-01-09T00:00:00-05:00","2015-01-09","55.80066","55.85764","55.08844","55.61074","659199",""
"RHI","2015-01-12T00:00:00-05:00","2015-01-12","55.69621","55.69621","54.60412","54.73707","464072",""
"RHI","2015-01-13T00:00:00-05:00","2015-01-13","55.08844","55.77218","54.02485","54.53765","481552",""
"RHI","2015-01-14T00:00:00-05:00","2015-01-14","53.80643","54.06283","53.37909","53.79693","528517",""
"RHI","2015-01-15T00:00:00-05:00","2015-01-15","54.12931","54.51866","53.71147","53.8729","663516",""
"RHI","2015-01-16T00:00:00-05:00","2015-01-16","53.84441","54.33823","53.59751","54.28125","1196878",""
"RHI","2015-01-20T00:00:00-05:00","2015-01-20","54.6611","55.12642","54.00585","54.82254","603283",""
"RHI","2015-01-21T00:00:00-05:00","2015-01-21","54.6801","55.00297","54.43319","54.70858","515144",""
"RHI","2015-01-22T00:00:00-05:00","2015-01-22","55.05045","56.02858","54.38571","55.87664","816627",""
"RHI","2015-01-23T00:00:00-05:00","2015-01-23","56.00959","56.58886","55.79117","56.42743","684050",""
"RHI","2015-01-26T00:00:00-05:00","2015-01-26","56.31347","56.31347","55.7152","56.21851","492819",""
"RHI","2015-01-27T00:00:00-05:00","2015-01-27","55.47779","56.21851","55.24038","55.69621","758605",""
"RHI","2015-01-28T00:00:00-05:00","2015-01-28","55.85764","56.4939","54.51866","54.58513","636980",""
"RHI","2015-01-29T00:00:00-05:00","2015-01-29","54.43319","56.34196","54.11031","56.228","1201301",""
"RHI","2015-01-30T00:00:00-05:00","2015-01-30","54.53765","56.5034","54.26225","55.13592","1495308",""
"RHI","2015-02-02T00:00:00-05:00","2015-02-02","55.39232","56.51289","54.6516","56.48441","964684",""
"RHI","2015-02-03T00:00:00-05:00","2015-02-03","56.14254","57.57649","56.14254","57.548","1114320",""
"RHI","2015-02-04T00:00:00-05:00","2015-02-04","57.33908","58.39318","57.14915","58.0703","883284",""
"RHI","2015-02-05T00:00:00-05:00","2015-02-05","58.40267","58.868","58.10828","58.26022","849061",""
"RHI","2015-02-06T00:00:00-05:00","2015-02-06","58.45965","58.60209","57.41505","57.74743","1275224",""
"RHI","2015-02-09T00:00:00-05:00","2015-02-09","57.38656","57.75692","57.07318","57.16814","786089",""
"RHI","2015-02-10T00:00:00-05:00","2015-02-10","57.93735","58.34569","56.91174","58.29821","1037975",""
"RHI","2015-02-11T00:00:00-05:00","2015-02-11","58.17476","58.5831","57.30109","57.44354","1191402",""
"RHI","2015-02-12T00:00:00-05:00","2015-02-12","58.28872","58.35519","57.7949","58.28872","536626",""
"RHI","2015-02-13T00:00:00-05:00","2015-02-13","58.18425","58.44066","57.89936","58.3267","461544",""
"RHI","2015-02-17T00:00:00-05:00","2015-02-17","58.3267","58.62109","57.88987","58.0608","586224",""
"RHI","2015-02-18T00:00:00-05:00","2015-02-18","58.05131","58.51663","57.72843","58.41217","719959",""
"RHI","2015-02-19T00:00:00-05:00","2015-02-19","58.37418","58.41217","57.85188","58.17476","378249",""
"RHI","2015-02-20T00:00:00-05:00","2015-02-20","58.08929","58.30771","57.41505","58.22224","1031446",""
"RHI","2015-02-23T00:00:00-05:00","2015-02-23","58.41279","59.34648","58.09838","59.34648","1042146",""
"RHI","2015-02-24T00:00:00-05:00","2015-02-24","59.27979","60.223","59.07018","60.02293","1183632",""
"RHI","2015-02-25T00:00:00-05:00","2015-02-25","60.09915","60.09915","59.32743","59.78474","662716",""
"RHI","2015-02-26T00:00:00-05:00","2015-02-26","59.68947","59.87049","59.01302","59.05113","681714",""
"RHI","2015-02-27T00:00:00-05:00","2015-02-27","58.95586","59.23215","58.60334","59.03207","566888",""
"RHI","2015-03-02T00:00:00-05:00","2015-03-02","59.06066","59.94671","59.0416","59.82285","407559",""
"RHI","2015-03-03T00:00:00-05:00","2015-03-03","59.51797","59.79427","58.7272","59.73711","765052",""
"RHI","2015-03-04T00:00:00-05:00","2015-03-04","59.69899","59.69899","57.46957","58.5557","1280090",""
"RHI","2015-03-05T00:00:00-05:00","2015-03-05","58.79389","58.94633","58.28893","58.42232","443875",""
"RHI","2015-03-06T00:00:00-05:00","2015-03-06","57.98405","58.16508","56.45013","56.76454","1337503",""
"RHI","2015-03-09T00:00:00-04:00","2015-03-09","56.90745","57.86973","56.85029","57.81256","685388",""
"RHI","2015-03-10T00:00:00-04:00","2015-03-10","57.06942","57.46957","56.86934","56.98367","834955",""
"RHI","2015-03-11T00:00:00-04:00","2015-03-11","57.2695","57.57438","56.85982","57.24092","633537",""
"RHI","2015-03-12T00:00:00-04:00","2015-03-12","57.45052","58.47948","57.40288","58.41279","578958",""
"RHI","2015-03-13T00:00:00-04:00","2015-03-13","57.50768","58.36515","56.9932","57.36477","1032910",""
"RHI","2015-03-16T00:00:00-04:00","2015-03-16","57.64107","58.49854","57.64107","58.3461","834221",""
"RHI","2015-03-17T00:00:00-04:00","2015-03-17","58.19366","58.59381","58.0698","58.44137","357913",""
"RHI","2015-03-18T00:00:00-04:00","2015-03-18","58.36515","59.73711","58.12696","59.49892","874945",""
"RHI","2015-03-19T00:00:00-04:00","2015-03-19","59.35601","59.79427","59.20357","59.49892","732095",""
"RHI","2015-03-20T00:00:00-04:00","2015-03-20","59.74663","60.28017","59.44175","59.97529","1729004",""
"RHI","2015-03-23T00:00:00-04:00","2015-03-23","59.81332","60.08009","58.53664","58.56523","729051",""
"RHI","2015-03-24T00:00:00-04:00","2015-03-24","58.17461","59.48939","58.17461","58.95586","1071115",""
"RHI","2015-03-25T00:00:00-04:00","2015-03-25","59.11782","59.1464","57.24092","57.25997","890269",""
"RHI","2015-03-26T00:00:00-04:00","2015-03-26","57.08847","57.46957","56.7169","57.30761","1166104",""
"RHI","2015-03-27T00:00:00-04:00","2015-03-27","57.2028","57.66965","57.10753","57.45052","609921",""
"RHI","2015-03-30T00:00:00-04:00","2015-03-30","57.75539","58.09838","57.67918","57.94595","470535",""
"RHI","2015-03-31T00:00:00-04:00","2015-03-31","57.55532","57.76492","57.25044","57.66012","900345",""
"RHI","2015-04-01T00:00:00-04:00","2015-04-01","57.46957","57.67918","56.31675","56.52636","1086649",""
"RHI","2015-04-02T00:00:00-04:00","2015-04-02","56.45966","57.22186","56.45966","56.93604","970144",""
"RHI","2015-04-06T00:00:00-04:00","2015-04-06","56.37391","57.08847","56.25006","56.72643","1140494",""
"RHI","2015-04-07T00:00:00-04:00","2015-04-07","56.65974","56.8884","56.2977","56.55494","961957",""
"RHI","2015-04-08T00:00:00-04:00","2015-04-08","56.69785","56.87887","56.37391","56.62163","1040047",""
"RHI","2015-04-09T00:00:00-04:00","2015-04-09","56.48825","56.93604","55.92612","56.11668","842093",""
"RHI","2015-04-10T00:00:00-04:00","2015-04-10","56.2977","56.93604","56.0214","56.68832","1384421",""
"RHI","2015-04-13T00:00:00-04:00","2015-04-13","56.46919","57.43146","56.43108","56.81218","769356",""
"RHI","2015-04-14T00:00:00-04:00","2015-04-14","56.73596","56.96462","55.97376","56.25006","630913",""
"RHI","2015-04-15T00:00:00-04:00","2015-04-15","56.36439","56.85982","56.18337","56.41203","1117612",""
"RHI","2015-04-16T00:00:00-04:00","2015-04-16","56.27864","56.4025","55.61172","55.89754","1077833",""
"RHI","2015-04-17T00:00:00-04:00","2015-04-17","55.51645","55.98329","54.81141","55.94518","1528740",""
"RHI","2015-04-20T00:00:00-04:00","2015-04-20","56.27864","56.74549","56.25006","56.62163","682029",""
"RHI","2015-04-21T00:00:00-04:00","2015-04-21","56.74549","56.74549","56.13573","56.48825","1180588",""
"RHI","2015-04-22T00:00:00-04:00","2015-04-22","56.5073","56.89793","56.09762","56.77407","760434",""
"RHI","2015-04-23T00:00:00-04:00","2015-04-23","56.49777","57.17422","56.28817","56.58352","1353142",""
"RHI","2015-04-24T00:00:00-04:00","2015-04-24","56.97414","57.18375","53.64907","54.40173","2819432",""
"RHI","2015-04-27T00:00:00-04:00","2015-04-27","54.46843","54.84953","53.50615","53.57285","1660675",""
"RHI","2015-04-28T00:00:00-04:00","2015-04-28","53.51568","53.83961","52.93451","53.33466","1582060",""
"RHI","2015-04-29T00:00:00-04:00","2015-04-29","53.25844","53.52521","52.45813","52.90592","1231599",""
"RHI","2015-04-30T00:00:00-04:00","2015-04-30","52.80112","53.11553","52.42955","52.8297","2616755",""
"RHI","2015-05-01T00:00:00-04:00","2015-05-01","53.11553","53.84914","52.96309","53.79198","1740130",""
"RHI","2015-05-04T00:00:00-04:00","2015-05-04","53.80151","54.23024","53.76339","53.84914","1061039",""
"RHI","2015-05-05T00:00:00-04:00","2015-05-05","53.57285","53.90631","52.64868","52.73443","1189930",""
"RHI","2015-05-06T00:00:00-04:00","2015-05-06","52.8297","53.0012","52.18184","52.31522","1001002",""
"RHI","2015-05-07T00:00:00-04:00","2015-05-07","52.04845","53.06789","52.00082","52.80112","966890",""
"RHI","2015-05-08T00:00:00-04:00","2015-05-08","53.57285","54.13496","53.44899","53.45852","742801",""
"RHI","2015-05-11T00:00:00-04:00","2015-05-11","53.54427","54.30646","53.54427","53.93489","890794",""
"RHI","2015-05-12T00:00:00-04:00","2015-05-12","53.42041","53.72528","53.02978","53.39183","472949",""
"RHI","2015-05-13T00:00:00-04:00","2015-05-13","53.58237","53.98252","53.12505","53.77292","757495",""
"RHI","2015-05-14T00:00:00-04:00","2015-05-14","54.02064","54.31599","53.53473","54.27788","1143852",""
"RHI","2015-05-15T00:00:00-04:00","2015-05-15","54.25882","54.63992","54.24929","54.47795","1041412",""
"RHI","2015-05-18T00:00:00-04:00","2015-05-18","54.40173","55.02102","54.30646","54.9448","1176075",""
"RHI","2015-05-19T00:00:00-04:00","2015-05-19","54.9448","55.44975","54.79236","55.41164","1236847",""
"RHI","2015-05-20T00:00:00-04:00","2015-05-20","55.40208","55.48812","54.7711","54.94319","1456017",""
"RHI","2015-05-21T00:00:00-04:00","2015-05-21","54.78066","55.01011","54.49385","54.59901","1045571",""
"RHI","2015-05-22T00:00:00-04:00","2015-05-22","54.46517","54.57989","54.09232","54.14968","587636",""
"RHI","2015-05-26T00:00:00-04:00","2015-05-26","54.05408","54.18792","53.70034","53.81507","642551",""
"RHI","2015-05-27T00:00:00-04:00","2015-05-27","53.95847","54.29308","53.68122","54.15924","1169730",""
"RHI","2015-05-28T00:00:00-04:00","2015-05-28","54.18792","54.46517","54.02539","54.42693","757714",""
"RHI","2015-05-29T00:00:00-04:00","2015-05-29","54.19748","54.23572","53.79595","53.89155","961787",""
"RHI","2015-06-01T00:00:00-04:00","2015-06-01","54.20704","54.36956","53.75771","54.15924","670060",""
"RHI","2015-06-02T00:00:00-04:00","2015-06-02","53.74815","54.46517","53.72902","54.38869","779785",""
"RHI","2015-06-03T00:00:00-04:00","2015-06-03","54.39825","54.70418","54.14012","54.46517","921621",""
"RHI","2015-06-04T00:00:00-04:00","2015-06-04","54.13056","54.32176","53.43265","53.5665","664517",""
"RHI","2015-06-05T00:00:00-04:00","2015-06-05","53.4231","53.92979","53.30837","53.88199","572888",""
"RHI","2015-06-08T00:00:00-04:00","2015-06-08","53.74815","53.98715","53.64298","53.67166","363272",""
"RHI","2015-06-09T00:00:00-04:00","2015-06-09","53.67166","53.96803","53.29881","53.76727","623828",""
"RHI","2015-06-10T00:00:00-04:00","2015-06-10","53.93935","54.61813","53.81507","54.1688","472264",""
"RHI","2015-06-11T00:00:00-04:00","2015-06-11","54.23572","54.79978","54.23572","54.48429","714933",""
"RHI","2015-06-12T00:00:00-04:00","2015-06-12","54.32176","54.42693","53.91067","53.95847","546843",""
"RHI","2015-06-15T00:00:00-04:00","2015-06-15","53.34661","53.70034","53.11716","53.48045","440257",""
"RHI","2015-06-16T00:00:00-04:00","2015-06-16","53.49958","54.19748","53.37529","54.0732","447578",""
"RHI","2015-06-17T00:00:00-04:00","2015-06-17","54.10188","54.32176","53.8055","54.01583","485548",""
"RHI","2015-06-18T00:00:00-04:00","2015-06-18","54.02539","55.12483","54.01583","54.85714","821206",""
"RHI","2015-06-19T00:00:00-04:00","2015-06-19","54.84758","54.92406","54.50341","54.53209","843590",""
"RHI","2015-06-22T00:00:00-04:00","2015-06-22","54.7711","55.16307","54.64682","54.92406","577281",""
"RHI","2015-06-23T00:00:00-04:00","2015-06-23","55.01967","55.08659","54.2644","54.34089","777065",""
"RHI","2015-06-24T00:00:00-04:00","2015-06-24","54.34089","54.44605","53.82463","53.84375","736690",""
"RHI","2015-06-25T00:00:00-04:00","2015-06-25","54.01583","54.0732","53.5187","53.55694","753740",""
"RHI","2015-06-26T00:00:00-04:00","2015-06-26","53.76727","54.2644","53.40397","54.14968","627593",""
"RHI","2015-06-29T00:00:00-04:00","2015-06-29","53.75771","53.84375","52.97376","53.012","741920",""
"RHI","2015-06-30T00:00:00-04:00","2015-06-30","53.48045","53.60474","52.89728","53.0598","949340",""
"RHI","2015-07-01T00:00:00-04:00","2015-07-01","53.5187","53.54737","53.04068","53.36573","676650",""
"RHI","2015-07-02T00:00:00-04:00","2015-07-02","53.37529","53.52826","52.77299","53.04068","606569",""
"RHI","2015-07-06T00:00:00-04:00","2015-07-06","52.70607","53.05024","52.07509","52.41926","1070256",""
"RHI","2015-07-07T00:00:00-04:00","2015-07-07","52.42882","53.33705","52.14201","53.27969","779994",""
"RHI","2015-07-08T00:00:00-04:00","2015-07-08","52.65827","53.17452","52.33322","52.48618","1567520",""
"RHI","2015-07-09T00:00:00-04:00","2015-07-09","53.37529","53.53782","52.75387","53.03112","834385",""
"RHI","2015-07-10T00:00:00-04:00","2015-07-10","53.79595","53.95847","53.47089","53.70034","762003",""
"RHI","2015-07-13T00:00:00-04:00","2015-07-13","54.31221","54.36","53.78638","54.19748","694014",""
"RHI","2015-07-14T00:00:00-04:00","2015-07-14","54.24528","54.49385","54.08276","54.37913","430947",""
