symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"RHT","2015-01-02T00:00:00-05:00","2015-01-02","69.44","69.81","68.33","68.99","1131600",""
"RHT","2015-01-05T00:00:00-05:00","2015-01-05","68.65","68.8","67.78","68.09","1410500",""
"RHT","2015-01-06T00:00:00-05:00","2015-01-06","68.54","69.31","66.67","67.5","2679800",""
"RHT","2015-01-07T00:00:00-05:00","2015-01-07","67.99","68.85","67.65","68.8","1840600",""
"RHT","2015-01-08T00:00:00-05:00","2015-01-08","69.16","70.28","68.67","69.03","2634800",""
"RHT","2015-01-09T00:00:00-05:00","2015-01-09","69.18","69.42","68.52","68.74","2013800",""
"RHT","2015-01-12T00:00:00-05:00","2015-01-12","69.02","69.25","67.44","67.62","1482100",""
"RHT","2015-01-13T00:00:00-05:00","2015-01-13","68","69.04","66.85","67.44","1460200",""
"RHT","2015-01-14T00:00:00-05:00","2015-01-14","65.44","66.6","64.89","66.38","2052100",""
"RHT","2015-01-15T00:00:00-05:00","2015-01-15","66.79","66.83","64.3","64.37","2136100",""
"RHT","2015-01-16T00:00:00-05:00","2015-01-16","64.28","65.35","64.28","65.19","2075400",""
"RHT","2015-01-20T00:00:00-05:00","2015-01-20","65.42","65.7","64.48","65.15","1399300",""
"RHT","2015-01-21T00:00:00-05:00","2015-01-21","64.74","65.35","64.2","64.79","1242600",""
"RHT","2015-01-22T00:00:00-05:00","2015-01-22","64.93","66.12","64.01","65.92","1095800",""
"RHT","2015-01-23T00:00:00-05:00","2015-01-23","66","66.72","65.82","66.06","1265300",""
"RHT","2015-01-26T00:00:00-05:00","2015-01-26","66","66.51","65.35","66.27","831900",""
"RHT","2015-01-27T00:00:00-05:00","2015-01-27","65.26","65.91","64.3","65.08","1181900",""
"RHT","2015-01-28T00:00:00-05:00","2015-01-28","65.79","65.8","64.4","64.66","1574000",""
"RHT","2015-01-29T00:00:00-05:00","2015-01-29","64.64","65.79","64","65.75","1622900",""
