symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"RL","2015-01-02T00:00:00-05:00","2015-01-02","175.7385","176.3905","171.4201","173.0171","533583",""
"RL","2015-01-05T00:00:00-05:00","2015-01-05","169.8799","170.5602","167.0829","168.0845","1867859",""
"RL","2015-01-06T00:00:00-05:00","2015-01-06","168.2357","168.6609","163.7095","164.8056","1576938",""
"RL","2015-01-07T00:00:00-05:00","2015-01-07","165.9962","169.0484","165.8356","168.935","656449",""
"RL","2015-01-08T00:00:00-05:00","2015-01-08","168.4625","169.6815","167.338","168.7365","839742",""
"RL","2015-01-09T00:00:00-05:00","2015-01-09","167.4136","167.6404","164.6828","166.2986","792861",""
"RL","2015-01-12T00:00:00-05:00","2015-01-12","165.0324","166.308","163.6906","164.815","1061663",""
"RL","2015-01-13T00:00:00-05:00","2015-01-13","166.1947","167.7538","162.7173","164.078","977107",""
"RL","2015-01-14T00:00:00-05:00","2015-01-14","162.3393","163.8985","160.3739","162.8118","819635",""
"RL","2015-01-15T00:00:00-05:00","2015-01-15","163.3126","163.3126","160.0809","160.1282","563426",""
"RL","2015-01-16T00:00:00-05:00","2015-01-16","160.2321","160.9408","158.3139","160.6857","1322846",""
"RL","2015-01-20T00:00:00-05:00","2015-01-20","161.4417","161.5361","158.5785","158.9565","1146219",""
"RL","2015-01-21T00:00:00-05:00","2015-01-21","158.3328","161.5834","158.0399","160.1849","787675",""
"RL","2015-01-22T00:00:00-05:00","2015-01-22","160.8558","162.6134","159.9675","161.4228","1278822",""
"RL","2015-01-23T00:00:00-05:00","2015-01-23","161.092","162.0842","159.3723","159.4762","1011924",""
"RL","2015-01-26T00:00:00-05:00","2015-01-26","158.9376","160.2888","157.3595","159.9675","1090766",""
"RL","2015-01-27T00:00:00-05:00","2015-01-27","159.2022","159.3628","155.4319","158.2761","1379675",""
"RL","2015-01-28T00:00:00-05:00","2015-01-28","159.41","159.8258","156.9627","157.0477","976472",""
"RL","2015-01-29T00:00:00-05:00","2015-01-29","157.9171","161.1393","157.5958","160.6668","808735",""
"RL","2015-01-30T00:00:00-05:00","2015-01-30","158.5691","160.5156","156.8587","157.6997","1015416",""
"RL","2015-02-02T00:00:00-05:00","2015-02-02","157.2745","159.1644","154.9783","158.5596","1130239",""
"RL","2015-02-03T00:00:00-05:00","2015-02-03","159.4951","161.8385","158.8809","161.4228","1250248",""
"RL","2015-02-04T00:00:00-05:00","2015-02-04","143.0438","144.8297","131.544","132.0165","11110322",""
"RL","2015-02-05T00:00:00-05:00","2015-02-05","130.4857","135.3143","128.9832","133.963","4629962",""
"RL","2015-02-06T00:00:00-05:00","2015-02-06","134.4072","134.4072","130.7786","131.2227","2579868",""
"RL","2015-02-09T00:00:00-05:00","2015-02-09","130.9203","131.0526","127.6603","128.5958","2063322",""
"RL","2015-02-10T00:00:00-05:00","2015-02-10","129.4935","129.9187","127.4524","127.6698","1910296",""
"RL","2015-02-11T00:00:00-05:00","2015-02-11","128.0289","128.7753","126.9422","127.7265","1960035",""
"RL","2015-02-12T00:00:00-05:00","2015-02-12","127.8682","128.6998","126.8666","128.3218","1419678",""
"RL","2015-02-13T00:00:00-05:00","2015-02-13","128.4163","129.5974","127.443","127.7548","1444124",""
"RL","2015-02-17T00:00:00-05:00","2015-02-17","127.7643","129.21","126.1484","128.832","1276705",""
"RL","2015-02-18T00:00:00-05:00","2015-02-18","128.7943","129.588","128.5202","128.9076","1085369",""
"RL","2015-02-19T00:00:00-05:00","2015-02-19","128.558","129.9282","128.2178","129.4274","1243475",""
"RL","2015-02-20T00:00:00-05:00","2015-02-20","129.2195","132.7441","128.9265","131.629","1606464",""
"RL","2015-02-23T00:00:00-05:00","2015-02-23","132.0732","132.2999","130.6841","131.0337","1157755",""
"RL","2015-02-24T00:00:00-05:00","2015-02-24","130.7502","131.4117","130.2778","130.4857","762594",""
"RL","2015-02-25T00:00:00-05:00","2015-02-25","130.4951","131.355","130.3156","130.8164","1041027",""
"RL","2015-02-26T00:00:00-05:00","2015-02-26","130.8069","131.3645","129.6541","129.9093","802385",""
"RL","2015-02-27T00:00:00-05:00","2015-02-27","129.9093","130.3817","128.5297","129.8431","861331",""
"RL","2015-03-02T00:00:00-05:00","2015-03-02","130.2589","130.9581","129.3801","130.4573","820693",""
"RL","2015-03-03T00:00:00-05:00","2015-03-03","130.8448","130.8448","128.18","128.4446","953825",""
"RL","2015-03-04T00:00:00-05:00","2015-03-04","128.3123","128.5486","127.0367","127.5091","1205166",""
"RL","2015-03-05T00:00:00-05:00","2015-03-05","127.5564","128.1895","126.7532","126.8949","671476",""
"RL","2015-03-06T00:00:00-05:00","2015-03-06","126.7626","127.3769","124.2586","124.6649","1190879",""
"RL","2015-03-09T00:00:00-04:00","2015-03-09","124.5326","125.6854","123.9562","125.5437","1032349",""
"RL","2015-03-10T00:00:00-04:00","2015-03-10","124.7405","124.7405","122.3687","123.2758","1232892",""
"RL","2015-03-11T00:00:00-04:00","2015-03-11","123.3136","124.0885","120.2804","120.63","1321047",""
"RL","2015-03-12T00:00:00-04:00","2015-03-12","121.0742","123.4554","120.5733","123.2947","1110661",""
"RL","2015-03-13T00:00:00-04:00","2015-03-13","122.586","123.342","121.8301","122.8506","796353",""
"RL","2015-03-16T00:00:00-04:00","2015-03-16","122.9451","123.4081","121.8962","122.5577","914774",""
"RL","2015-03-17T00:00:00-04:00","2015-03-17","121.9151","123.0585","121.6222","121.9907","825138",""
"RL","2015-03-18T00:00:00-04:00","2015-03-18","121.849","125.3547","121.7262","125.0145","1079866",""
"RL","2015-03-19T00:00:00-04:00","2015-03-19","124.8255","126.0917","124.3436","125.3358","942607",""
"RL","2015-03-20T00:00:00-04:00","2015-03-20","125.6193","126.5075","125.2035","125.8461","1256704",""
"RL","2015-03-23T00:00:00-04:00","2015-03-23","125.8272","126.9611","125.7894","126.4981","570093",""
"RL","2015-03-24T00:00:00-04:00","2015-03-24","126.1957","126.7343","125.865","126.3658","685551",""
"RL","2015-03-25T00:00:00-04:00","2015-03-25","126.5649","127.4755","126.0148","126.0148","1035869",""
"RL","2015-03-26T00:00:00-04:00","2015-03-26","125.0758","125.8631","124.4878","125.1707","597799",""
"RL","2015-03-27T00:00:00-04:00","2015-03-27","124.9241","126.1381","123.5772","124.4593","592422",""
"RL","2015-03-30T00:00:00-04:00","2015-03-30","125.7398","126.2614","125.1233","125.4552","482035",""
"RL","2015-03-31T00:00:00-04:00","2015-03-31","124.6775","126.0433","124.374","124.7249","657052",""
"RL","2015-04-01T00:00:00-04:00","2015-04-01","124.6206","125.92","123.3306","125.8631","1082576",""
"RL","2015-04-02T00:00:00-04:00","2015-04-02","126.0623","127.8644","125.6449","127.7316","1473939",""
"RL","2015-04-06T00:00:00-04:00","2015-04-06","126.8685","130.909","126.8685","130.7193","1905894",""
"RL","2015-04-07T00:00:00-04:00","2015-04-07","132.123","133.2517","131.8385","132.0187","1625656",""
"RL","2015-04-08T00:00:00-04:00","2015-04-08","132.7111","133.413","131.4591","132.2558","969658",""
"RL","2015-04-09T00:00:00-04:00","2015-04-09","132.1515","133.8113","132.0377","133.0336","928645",""
"RL","2015-04-10T00:00:00-04:00","2015-04-10","132.7111","132.9198","130.0648","131.0038","967444",""
"RL","2015-04-13T00:00:00-04:00","2015-04-13","130.5865","130.89","129.7518","130.4442","698487",""
"RL","2015-04-14T00:00:00-04:00","2015-04-14","130.4917","130.8805","129.6854","130.0269","533486",""
"RL","2015-04-15T00:00:00-04:00","2015-04-15","130.89","131.2409","130.3968","130.4822","663167",""
"RL","2015-04-16T00:00:00-04:00","2015-04-16","130.9279","131.0513","129.5811","130.2451","724107",""
"RL","2015-04-17T00:00:00-04:00","2015-04-17","129.1448","129.7044","126.5839","126.8874","824689",""
"RL","2015-04-20T00:00:00-04:00","2015-04-20","128.1299","130.5201","127.8833","129.8941","749410",""
"RL","2015-04-21T00:00:00-04:00","2015-04-21","130.0743","130.7383","127.6178","128.9456","800967",""
"RL","2015-04-22T00:00:00-04:00","2015-04-22","129.5906","129.5906","128.3576","129.363","649145",""
"RL","2015-04-23T00:00:00-04:00","2015-04-23","129.8562","131.535","129.3155","130.2925","616882",""
"RL","2015-04-24T00:00:00-04:00","2015-04-24","130.2261","131.1935","129.0215","129.4388","500907",""
