symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"ROK","2015-01-02T00:00:00-05:00","2015-01-02","104.9878","105.5975","103.1306","104.153","759933",""
"ROK","2015-01-05T00:00:00-05:00","2015-01-05","102.8586","103.1118","100.4386","100.6543","1427753",""
"ROK","2015-01-06T00:00:00-05:00","2015-01-06","100.5981","101.0858","98.38444","99.50063","1133822",""
"ROK","2015-01-07T00:00:00-05:00","2015-01-07","100.5324","100.8795","99.35056","99.66947","1324125",""
"ROK","2015-01-08T00:00:00-05:00","2015-01-08","100.6825","102.6241","100.523","102.6053","903326",""
"ROK","2015-01-09T00:00:00-05:00","2015-01-09","103.1494","103.1494","99.62257","100.8419","1197150",""
"ROK","2015-01-12T00:00:00-05:00","2015-01-12","100.5887","100.6262","98.65646","99.4256","711850",""
"ROK","2015-01-13T00:00:00-05:00","2015-01-13","99.84768","100.448","96.85554","97.99987","973157",""
"ROK","2015-01-14T00:00:00-05:00","2015-01-14","96.61166","98.50638","96.23647","98.36568","1917956",""
"ROK","2015-01-15T00:00:00-05:00","2015-01-15","98.89095","99.71637","97.83104","98.30003","1365598",""
"ROK","2015-01-16T00:00:00-05:00","2015-01-16","98.00925","98.27188","95.96445","98.19685","1484577",""
"ROK","2015-01-20T00:00:00-05:00","2015-01-20","98.85343","99.43497","97.756","98.90971","1204506",""
"ROK","2015-01-21T00:00:00-05:00","2015-01-21","98.45948","99.8852","98.45948","99.7914","729761",""
"ROK","2015-01-22T00:00:00-05:00","2015-01-22","101.4985","102.2583","99.86645","101.7893","1928724",""
"ROK","2015-01-23T00:00:00-05:00","2015-01-23","101.536","102.0988","100.1103","100.2323","1150454",""
"ROK","2015-01-26T00:00:00-05:00","2015-01-26","100.0071","100.6637","98.94723","100.5981","1235104",""
"ROK","2015-01-27T00:00:00-05:00","2015-01-27","101.0483","101.5454","98.19685","100.5887","3658190",""
"ROK","2015-01-28T00:00:00-05:00","2015-01-28","102.7179","104.5094","100.8232","101.8268","4614077",""
"ROK","2015-01-29T00:00:00-05:00","2015-01-29","102.0332","103.2807","100.1947","103.1963","1853563",""
"ROK","2015-01-30T00:00:00-05:00","2015-01-30","102.2677","102.8773","101.3484","102.1645","1438947",""
"ROK","2015-02-02T00:00:00-05:00","2015-02-02","102.596","105.2129","102.1926","104.9503","1391718",""
"ROK","2015-02-03T00:00:00-05:00","2015-02-03","106.0383","107.4453","105.2786","107.2389","1582127",""
"ROK","2015-02-04T00:00:00-05:00","2015-02-04","106.6762","106.6762","104.8752","105.1473","1464534",""
"ROK","2015-02-05T00:00:00-05:00","2015-02-05","105.1848","106.2447","105.1285","106.029","877846",""
"ROK","2015-02-06T00:00:00-05:00","2015-02-06","106.104","107.1639","105.288","105.6631","1015163",""
"ROK","2015-02-09T00:00:00-05:00","2015-02-09","105.0535","107.9706","104.547","107.8955","1209837",""
"ROK","2015-02-10T00:00:00-05:00","2015-02-10","108.3082","108.4958","106.5167","107.8674","968147",""
"ROK","2015-02-11T00:00:00-05:00","2015-02-11","107.661","108.6553","106.6855","108.1769","1246405",""
"ROK","2015-02-12T00:00:00-05:00","2015-02-12","109.3655","110.4125","108.7806","110.2522","1182028",""
"ROK","2015-02-13T00:00:00-05:00","2015-02-13","110.4125","111.535","110.3748","111.2143","1059055",""
"ROK","2015-02-17T00:00:00-05:00","2015-02-17","111.2143","111.4879","110.3937","111.1389","820635",""
"ROK","2015-02-18T00:00:00-05:00","2015-02-18","111.0728","112.2142","110.4786","111.7331","1231217",""
"ROK","2015-02-19T00:00:00-05:00","2015-02-19","111.2238","111.7992","110.3748","111.1483","777488",""
"ROK","2015-02-20T00:00:00-05:00","2015-02-20","110.9502","111.5916","109.29","111.4973","840141",""
"ROK","2015-02-23T00:00:00-05:00","2015-02-23","110.7427","111.2143","109.573","111.0351","1036686",""
"ROK","2015-02-24T00:00:00-05:00","2015-02-24","110.1673","111.8086","110.1673","111.7048","739218",""
"ROK","2015-02-25T00:00:00-05:00","2015-02-25","111.5728","111.6105","110.2427","110.9125","563663",""
"ROK","2015-02-26T00:00:00-05:00","2015-02-26","111.1577","111.6105","110.1295","110.7521","878411",""
"ROK","2015-02-27T00:00:00-05:00","2015-02-27","110.9125","111.1389","109.7428","110.4031","1275106",""
"ROK","2015-03-02T00:00:00-05:00","2015-03-02","109.7617","111.1011","108.8372","111.054","868340",""
"ROK","2015-03-03T00:00:00-05:00","2015-03-03","110.3088","111.0445","109.7994","110.488","643701",""
"ROK","2015-03-04T00:00:00-05:00","2015-03-04","109.7428","109.7428","107.4223","108.3373","1233232",""
"ROK","2015-03-05T00:00:00-05:00","2015-03-05","108.5448","108.8278","107.2808","107.7241","1039867",""
"ROK","2015-03-06T00:00:00-05:00","2015-03-06","106.7148","107.809","105.6017","105.9885","797524",""
"ROK","2015-03-09T00:00:00-04:00","2015-03-09","106.2243","106.5167","105.6112","105.9602","953891",""
