symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"RRC","2015-01-02T00:00:00-05:00","2015-01-02","52.51756","55.23262","52.35901","54.89571","2667784",""
"RRC","2015-01-05T00:00:00-05:00","2015-01-05","54.08318","54.42008","51.47712","51.48702","3683126",""
"RRC","2015-01-06T00:00:00-05:00","2015-01-06","51.29875","52.41847","49.14851","50.12949","4078122",""
"RRC","2015-01-07T00:00:00-05:00","2015-01-07","50.71412","50.82312","48.17743","48.67287","3151991",""
"RRC","2015-01-08T00:00:00-05:00","2015-01-08","48.8116","50.07004","47.95943","49.59441","3127670",""
"RRC","2015-01-09T00:00:00-05:00","2015-01-09","49.46559","50.5754","48.77197","49.83223","3218698",""
"RRC","2015-01-12T00:00:00-05:00","2015-01-12","48.96024","49.27732","47.08744","47.18653","4630449",""
"RRC","2015-01-13T00:00:00-05:00","2015-01-13","47.39462","47.81079","45.97763","46.59199","4309124",""
"RRC","2015-01-14T00:00:00-05:00","2015-01-14","46.79017","47.64235","45.73982","47.51353","5499662",""
"RRC","2015-01-15T00:00:00-05:00","2015-01-15","48.4846","48.63324","46.44336","46.52263","4928765",""
"RRC","2015-01-16T00:00:00-05:00","2015-01-16","46.59199","49.26741","46.52263","49.12869","4723294",""
"RRC","2015-01-20T00:00:00-05:00","2015-01-20","47.84052","48.06843","46.3839","47.89007","3119798",""
"RRC","2015-01-21T00:00:00-05:00","2015-01-21","48.32606","50.01059","48.28643","49.30705","1984363",""
"RRC","2015-01-22T00:00:00-05:00","2015-01-22","49.3665","49.72323","47.58289","48.58369","2375624",""
"RRC","2015-01-23T00:00:00-05:00","2015-01-23","48.74224","49.9115","48.13779","48.19724","1918160",""
"RRC","2015-01-26T00:00:00-05:00","2015-01-26","48.45488","49.21787","47.87025","49.06923","2147447",""
"RRC","2015-01-27T00:00:00-05:00","2015-01-27","48.99987","49.83223","47.87025","48.82151","1784039",""
"RRC","2015-01-28T00:00:00-05:00","2015-01-28","48.41524","48.44497","46.32445","46.55235","2558590",""
"RRC","2015-01-29T00:00:00-05:00","2015-01-29","46.96853","47.41443","44.5111","45.07592","4476246",""
"RRC","2015-01-30T00:00:00-05:00","2015-01-30","44.58047","46.50281","43.76793","45.84882","4301556",""
"RRC","2015-02-02T00:00:00-05:00","2015-02-02","46.84962","47.86034","45.60109","47.3748","5209420",""
"RRC","2015-02-03T00:00:00-05:00","2015-02-03","48.1477","51.24921","47.67207","50.92221","5036950",""
"RRC","2015-02-04T00:00:00-05:00","2015-02-04","49.66377","50.09977","48.53415","49.48541","3905147",""
"RRC","2015-02-05T00:00:00-05:00","2015-02-05","50.32767","51.96265","49.96104","51.2393","3378755",""
"RRC","2015-02-06T00:00:00-05:00","2015-02-06","51.89329","52.66619","50.61504","51.18975","2887988",""
"RRC","2015-02-09T00:00:00-05:00","2015-02-09","51.48702","52.28965","50.10968","50.37722","2523571",""
"RRC","2015-02-10T00:00:00-05:00","2015-02-10","50.37722","52.15092","48.71251","51.97256","3266736",""
"RRC","2015-02-11T00:00:00-05:00","2015-02-11","51.52666","52.25002","50.56549","50.82312","3257451",""
"RRC","2015-02-12T00:00:00-05:00","2015-02-12","51.66539","52.26983","49.9115","50.30786","2429515",""
"RRC","2015-02-13T00:00:00-05:00","2015-02-13","51.03121","51.14021","49.8025","50.37722","2472910",""
"RRC","2015-02-17T00:00:00-05:00","2015-02-17","50.20876","52.1212","50.09977","51.96265","2543250",""
"RRC","2015-02-18T00:00:00-05:00","2015-02-18","51.10057","52.83464","51.06094","51.41766","2509442",""
"RRC","2015-02-19T00:00:00-05:00","2015-02-19","49.83223","52.5671","49.64395","51.54648","2354633",""
"RRC","2015-02-20T00:00:00-05:00","2015-02-20","51.60593","52.18065","50.73394","51.36811","1983353",""
"RRC","2015-02-23T00:00:00-05:00","2015-02-23","50.62494","51.94283","50.19886","50.88258","1547284",""
"RRC","2015-02-24T00:00:00-05:00","2015-02-24","50.95194","51.27893","50.1394","50.77358","2226063",""
"RRC","2015-02-25T00:00:00-05:00","2015-02-25","53.19137","54.75698","51.17985","53.41927","6329515",""
"RRC","2015-02-26T00:00:00-05:00","2015-02-26","52.74546","53.10219","50.0205","50.3574","3716934",""
"RRC","2015-02-27T00:00:00-05:00","2015-02-27","50.95194","51.26903","48.87106","49.08905","3121817",""
"RRC","2015-03-02T00:00:00-05:00","2015-03-02","49.08905","49.14851","47.58289","48.98005","3938046",""
"RRC","2015-03-03T00:00:00-05:00","2015-03-03","48.98005","51.27893","48.98005","49.81241","2400955",""
"RRC","2015-03-04T00:00:00-05:00","2015-03-04","50.07995","50.07995","48.78187","49.65387","1869820",""
"RRC","2015-03-05T00:00:00-05:00","2015-03-05","49.23769","49.88177","48.64315","49.30705","1974977",""
"RRC","2015-03-06T00:00:00-05:00","2015-03-06","48.65306","49.29714","47.98915","48.30624","2049556",""
"RRC","2015-03-09T00:00:00-04:00","2015-03-09","48.06843","48.23688","46.06682","46.18572","4254830",""
"RRC","2015-03-10T00:00:00-04:00","2015-03-10","45.90827","46.33435","45.28401","45.56146","2698463",""
"RRC","2015-03-11T00:00:00-04:00","2015-03-11","45.502","47.06762","45.32364","46.66135","2293779",""
"RRC","2015-03-12T00:00:00-04:00","2015-03-12","47.69276","47.75227","44.95556","45.02498","2725412",""
"RRC","2015-03-13T00:00:00-04:00","2015-03-13","44.61837","44.92581","43.51754","44.91589","3938634",""
"RRC","2015-03-16T00:00:00-04:00","2015-03-16","44.65804","45.81837","43.73572","45.68945","2412830",""
"RRC","2015-03-17T00:00:00-04:00","2015-03-17","45.68945","46.72086","45.60019","46.28449","2624579",""
"RRC","2015-03-18T00:00:00-04:00","2015-03-18","45.84813","49.12086","45.33242","48.61508","3613952",""
"RRC","2015-03-19T00:00:00-04:00","2015-03-19","47.34565","48.30764","46.66135","47.2564","2244641",""
"RRC","2015-03-20T00:00:00-04:00","2015-03-20","47.79193","49.11095","47.63326","48.94235","4279752",""
"RRC","2015-03-23T00:00:00-04:00","2015-03-23","48.75392","49.31921","47.93078","47.96053","2308670",""
"RRC","2015-03-24T00:00:00-04:00","2015-03-24","47.98037","49.47789","47.76218","49.22004","2690726",""
"RRC","2015-03-25T00:00:00-04:00","2015-03-25","49.48781","50.88617","48.6845","50.47955","3076008",""
"RRC","2015-03-26T00:00:00-04:00","2015-03-26","51.54071","52.01675","50.34071","50.69773","3242383",""
"RRC","2015-03-27T00:00:00-04:00","2015-03-27","50.41013","51.72914","49.79525","51.18369","2570331",""
"RRC","2015-03-30T00:00:00-04:00","2015-03-30","51.3622","52.02666","50.58864","51.28286","2403554",""
"RRC","2015-03-31T00:00:00-04:00","2015-03-31","50.84649","52.30435","50.69773","51.61013","2742151",""
"RRC","2015-04-01T00:00:00-04:00","2015-04-01","51.62005","52.29443","50.89608","51.20352","3403514",""
"RRC","2015-04-02T00:00:00-04:00","2015-04-02","51.00517","53.50436","50.97542","53.32584","3227762",""
"RRC","2015-04-06T00:00:00-04:00","2015-04-06","53.52419","54.45642","52.9589","54.21841","2943111",""
"RRC","2015-04-07T00:00:00-04:00","2015-04-07","54.28783","56.80685","54.05973","55.80519","3838406",""
"RRC","2015-04-08T00:00:00-04:00","2015-04-08","55.89445","56.3804","54.70436","54.7837","2319459",""
"RRC","2015-04-09T00:00:00-04:00","2015-04-09","54.98205","55.58701","54.54568","55.4085","2229516",""
"RRC","2015-04-10T00:00:00-04:00","2015-04-10","55.60685","55.9242","54.06965","54.79362","1841511",""
