symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"SCG","2015-01-02T00:00:00-05:00","2015-01-02","54.95957","54.96861","54.15546","54.9415","672499",""
"SCG","2015-01-05T00:00:00-05:00","2015-01-05","54.83308","55.03185","54.24581","54.43554","1179642",""
"SCG","2015-01-06T00:00:00-05:00","2015-01-06","54.61624","55.5107","54.48975","54.68852","1617165",""
"SCG","2015-01-07T00:00:00-05:00","2015-01-07","54.83308","55.88113","54.38133","55.68237","1220594",""
"SCG","2015-01-08T00:00:00-05:00","2015-01-08","55.8721","56.34192","55.78175","55.84499","1083459",""
"SCG","2015-01-09T00:00:00-05:00","2015-01-09","55.85403","56.12508","54.95957","55.14027","726069",""
"SCG","2015-01-12T00:00:00-05:00","2015-01-12","55.33","55.37518","54.70659","55.05895","625681",""
"SCG","2015-01-13T00:00:00-05:00","2015-01-13","55.50167","56.30577","55.06799","55.46553","795024",""
"SCG","2015-01-14T00:00:00-05:00","2015-01-14","55.30289","56.11604","54.96861","56.04376","669732",""
"SCG","2015-01-15T00:00:00-05:00","2015-01-15","56.04376","56.35999","55.7185","56.15218","783181",""
"SCG","2015-01-16T00:00:00-05:00","2015-01-16","56.2335","56.61296","55.82692","56.57682","1040072",""
"SCG","2015-01-20T00:00:00-05:00","2015-01-20","56.85691","57.03761","56.32384","56.89305","895744",""
"SCG","2015-01-21T00:00:00-05:00","2015-01-21","56.85691","57.41707","56.17025","57.32673","771449",""
"SCG","2015-01-22T00:00:00-05:00","2015-01-22","57.57067","57.72426","56.94725","57.41707","611957",""
"SCG","2015-01-23T00:00:00-05:00","2015-01-23","57.48032","57.80558","57.1912","57.58874","594580",""
"SCG","2015-01-26T00:00:00-05:00","2015-01-26","57.32673","57.50742","56.81173","57.48032","920426",""
"SCG","2015-01-27T00:00:00-05:00","2015-01-27","57.3448","58.27539","57.3448","58.19408","1082574",""
"SCG","2015-01-28T00:00:00-05:00","2015-01-28","58.13083","59.17889","57.82365","58.01338","1164035",""
"SCG","2015-01-29T00:00:00-05:00","2015-01-29","58.08566","59.24213","57.89593","59.0524","1122751",""
"SCG","2015-01-30T00:00:00-05:00","2015-01-30","58.72714","59.06144","57.57067","57.61584","1446162",""
"SCG","2015-02-02T00:00:00-05:00","2015-02-02","57.5797","57.82365","56.75752","57.26348","1548100",""
"SCG","2015-02-03T00:00:00-05:00","2015-02-03","57.1641","57.82365","56.98339","57.60681","1056342",""
"SCG","2015-02-04T00:00:00-05:00","2015-02-04","57.43514","57.85979","57.09182","57.20927","1335370",""
"SCG","2015-02-05T00:00:00-05:00","2015-02-05","57.40804","57.77847","57.00146","57.69716","680358",""
"SCG","2015-02-06T00:00:00-05:00","2015-02-06","57.36287","57.61584","54.25484","54.63431","1650369",""
"SCG","2015-02-09T00:00:00-05:00","2015-02-09","54.61624","54.91439","54.03801","54.33616","1180748",""
"SCG","2015-02-10T00:00:00-05:00","2015-02-10","54.29099","55.46553","54.27291","55.35711","941677",""
"SCG","2015-02-11T00:00:00-05:00","2015-02-11","55.08606","55.18544","53.59529","53.71275","1319985",""
"SCG","2015-02-12T00:00:00-05:00","2015-02-12","53.74889","53.99283","53.20679","53.33328","1136476",""
"SCG","2015-02-13T00:00:00-05:00","2015-02-13","53.06223","53.27907","51.70699","52.22198","1291098",""
"SCG","2015-02-17T00:00:00-05:00","2015-02-17","52.13163","52.92671","51.61664","52.22198","1541016",""
"SCG","2015-02-18T00:00:00-05:00","2015-02-18","52.29426","53.76696","52.19488","53.68564","1474607",""
"SCG","2015-02-19T00:00:00-05:00","2015-02-19","53.66757","53.66757","52.05032","52.64662","1351087",""
"SCG","2015-02-20T00:00:00-05:00","2015-02-20","52.8996","52.99899","51.61664","52.67373","1461768",""
"SCG","2015-02-23T00:00:00-05:00","2015-02-23","52.98995","53.37846","52.46592","53.17968","1410301",""
"SCG","2015-02-24T00:00:00-05:00","2015-02-24","53.12547","53.66757","52.92671","53.56819","1217605",""
"SCG","2015-02-25T00:00:00-05:00","2015-02-25","53.49591","53.93862","52.3033","52.44785","1347988",""
"SCG","2015-02-26T00:00:00-05:00","2015-02-26","52.60145","52.61952","51.40884","51.51725","1311795",""
"SCG","2015-02-27T00:00:00-05:00","2015-02-27","51.61664","51.61664","51.05647","51.45401","1038965",""
"SCG","2015-03-02T00:00:00-05:00","2015-03-02","51.32752","51.49918","49.85482","50.19815","1354075",""
"SCG","2015-03-03T00:00:00-05:00","2015-03-03","50.15298","50.45113","49.6922","50.36982","1235314",""
"SCG","2015-03-04T00:00:00-05:00","2015-03-04","50.18008","50.29753","49.52053","49.85482","1433545",""
"SCG","2015-03-05T00:00:00-05:00","2015-03-05","49.99939","50.50534","49.90903","50.24333","905705",""
"SCG","2015-03-06T00:00:00-05:00","2015-03-06","49.77342","49.77342","48.3774","48.59638","1209727",""
"SCG","2015-03-09T00:00:00-04:00","2015-03-09","48.642","49.23508","48.61463","48.87011","1006425",""
"SCG","2015-03-10T00:00:00-04:00","2015-03-10","48.72412","49.29895","48.45039","48.61463","928393",""
"SCG","2015-03-11T00:00:00-04:00","2015-03-11","48.62375","48.77887","47.63832","47.65657","1857334",""
"SCG","2015-03-12T00:00:00-04:00","2015-03-12","47.91205","49.0161","47.91205","48.66938","1460594",""
"SCG","2015-03-13T00:00:00-04:00","2015-03-13","48.47776","48.47776","47.47408","47.97593","897267",""
"SCG","2015-03-16T00:00:00-04:00","2015-03-16","48.25878","49.49969","48.25878","48.96135","1736120",""
"SCG","2015-03-17T00:00:00-04:00","2015-03-17","48.87923","49.34458","48.74237","49.19859","1144408",""
"SCG","2015-03-18T00:00:00-04:00","2015-03-18","49.17122","51.14208","49.0891","50.63111","1879144",""
"SCG","2015-03-19T00:00:00-04:00","2015-03-19","50.44863","51.14208","50.22052","50.37563","1140681",""
"SCG","2015-03-20T00:00:00-04:00","2015-03-20","50.62199","51.17858","50.43038","51.06908","1912023",""
"SCG","2015-03-23T00:00:00-04:00","2015-03-23","50.91397","51.5253","50.8866","51.05996","1032838",""
"SCG","2015-03-24T00:00:00-04:00","2015-03-24","50.94135","51.31544","50.43038","50.53987","1063964",""
"SCG","2015-03-25T00:00:00-04:00","2015-03-25","50.58549","50.95959","49.95591","49.95591","1322502",""
"SCG","2015-03-26T00:00:00-04:00","2015-03-26","49.77342","50.1384","49.3172","49.55444","826029",""
"SCG","2015-03-27T00:00:00-04:00","2015-03-27","49.67305","50.33001","49.47232","49.84642","829865",""
"SCG","2015-03-30T00:00:00-04:00","2015-03-30","50.03803","50.40301","49.7278","50.19314","701089",""
"SCG","2015-03-31T00:00:00-04:00","2015-03-31","50.09278","50.83185","49.95591","50.1749","1144298",""
"SCG","2015-04-01T00:00:00-04:00","2015-04-01","49.98328","50.8501","49.47232","50.79535","1308035",""
"SCG","2015-04-02T00:00:00-04:00","2015-04-02","50.75886","50.80448","50.24789","50.37563","918967",""
"SCG","2015-04-06T00:00:00-04:00","2015-04-06","50.60374","51.33369","50.43038","51.00521","556202",""
"SCG","2015-04-07T00:00:00-04:00","2015-04-07","50.9231","50.95047","50.22964","50.30264","639496",""
"SCG","2015-04-08T00:00:00-04:00","2015-04-08","50.32089","50.41213","49.86467","50.07453","923132",""
"SCG","2015-04-09T00:00:00-04:00","2015-04-09","50.00153","50.04715","49.49057","49.91029","865046",""
"SCG","2015-04-10T00:00:00-04:00","2015-04-10","50.05628","50.69498","49.91029","50.32089","1186822",""
"SCG","2015-04-13T00:00:00-04:00","2015-04-13","50.38476","50.476","49.7278","49.7278","808494",""
"SCG","2015-04-14T00:00:00-04:00","2015-04-14","49.91941","50.1749","49.81904","49.91029","593137",""
"SCG","2015-04-15T00:00:00-04:00","2015-04-15","50.01978","50.50337","49.77342","49.77342","565189",""
"SCG","2015-04-16T00:00:00-04:00","2015-04-16","49.71868","49.86467","48.97048","49.54531","1082266",""
"SCG","2015-04-17T00:00:00-04:00","2015-04-17","49.3172","49.89204","49.15297","49.3172","729584",""
"SCG","2015-04-20T00:00:00-04:00","2015-04-20","49.4267","50.35738","49.4267","49.8008","729584",""
"SCG","2015-04-21T00:00:00-04:00","2015-04-21","49.83729","50.22052","49.2807","49.60006","1218495",""
"SCG","2015-04-22T00:00:00-04:00","2015-04-22","49.84642","49.84642","49.19859","49.50882","770245",""
"SCG","2015-04-23T00:00:00-04:00","2015-04-23","49.50882","50.15665","49.47232","49.7278","782958",""
"SCG","2015-04-24T00:00:00-04:00","2015-04-24","49.60006","50.50337","49.59093","49.92854","709967",""
"SCG","2015-04-27T00:00:00-04:00","2015-04-27","50.12927","50.44863","49.0161","49.18946","976834",""
"SCG","2015-04-28T00:00:00-04:00","2015-04-28","49.00698","49.68218","48.91573","49.53619","669306",""
"SCG","2015-04-29T00:00:00-04:00","2015-04-29","49.20771","49.38107","48.63288","49.3172","1228578",""
"SCG","2015-04-30T00:00:00-04:00","2015-04-30","49.36282","49.40845","47.95768","48.3409","1634962",""
"SCG","2015-05-01T00:00:00-04:00","2015-05-01","48.715","48.98873","47.82993","48.76974","1191096",""
"SCG","2015-05-04T00:00:00-04:00","2015-05-04","48.77887","49.60006","48.72412","48.97048","1023851",""
"SCG","2015-05-05T00:00:00-04:00","2015-05-05","48.87923","48.87923","47.76606","47.90293","829975",""
"SCG","2015-05-06T00:00:00-04:00","2015-05-06","47.89381","48.12191","47.24597","47.74781","804768",""
"SCG","2015-05-07T00:00:00-04:00","2015-05-07","47.89381","48.53251","47.86643","48.03067","913816",""
"SCG","2015-05-08T00:00:00-04:00","2015-05-08","48.62375","48.96135","47.2551","47.67482","1585644",""
"SCG","2015-05-11T00:00:00-04:00","2015-05-11","47.5562","48.07629","47.30984","47.50146","1225290",""
"SCG","2015-05-12T00:00:00-04:00","2015-05-12","47.2551","47.37371","46.7715","47.2551","1429249",""
"SCG","2015-05-13T00:00:00-04:00","2015-05-13","47.39196","47.60182","46.97224","47.09086","929598",""
"SCG","2015-05-14T00:00:00-04:00","2015-05-14","47.38284","47.85731","47.33722","47.60182","1150107",""
"SCG","2015-05-15T00:00:00-04:00","2015-05-15","47.64745","48.52338","47.64745","48.44127","2175164",""
"SCG","2015-05-18T00:00:00-04:00","2015-05-18","48.12191","48.87923","48.12191","48.76062","894199",""
"SCG","2015-05-19T00:00:00-04:00","2015-05-19","48.6785","48.86098","48.3774","48.68763","1301898",""
"SCG","2015-05-20T00:00:00-04:00","2015-05-20","48.66025","49.15297","48.53251","48.76974","663607",""
"SCG","2015-05-21T00:00:00-04:00","2015-05-21","48.82449","48.82449","48.33178","48.69675","545572",""
"SCG","2015-05-22T00:00:00-04:00","2015-05-22","48.57813","48.72412","48.03979","48.55988","698349",""
"SCG","2015-05-26T00:00:00-04:00","2015-05-26","48.43214","48.43214","47.97593","48.29528","670731",""
"SCG","2015-05-27T00:00:00-04:00","2015-05-27","48.44127","48.69675","48.31353","48.43214","785040",""
"SCG","2015-05-28T00:00:00-04:00","2015-05-28","48.36827","48.73325","48.07629","48.58726","649469",""
"SCG","2015-05-29T00:00:00-04:00","2015-05-29","48.53251","48.80624","48.18578","48.50513","1425413",""
"SCG","2015-06-01T00:00:00-04:00","2015-06-01","48.46864","49.02523","48.3774","48.62375","754792",""
"SCG","2015-06-02T00:00:00-04:00","2015-06-02","48.38652","48.41389","47.50146","48.03979","1264306",""
"SCG","2015-06-03T00:00:00-04:00","2015-06-03","47.93943","48.09454","46.9175","47.22772","800603",""
"SCG","2015-06-04T00:00:00-04:00","2015-06-04","47.03611","47.38284","46.89012","46.97224","629632",""
"SCG","2015-06-05T00:00:00-04:00","2015-06-05","46.47953","46.52515","46.05068","46.23317","1019248",""
"SCG","2015-06-08T00:00:00-04:00","2015-06-08","46.42226","46.42226","46.01641","46.11787","833949",""
"SCG","2015-06-09T00:00:00-04:00","2015-06-09","46.07176","46.48682","46.07176","46.17322","1132315",""
"SCG","2015-06-10T00:00:00-04:00","2015-06-10","46.4407","46.72663","46.31157","46.4407","965786",""
"SCG","2015-06-11T00:00:00-04:00","2015-06-11","46.76353","47.16014","46.58828","46.84654","1003081",""
"SCG","2015-06-12T00:00:00-04:00","2015-06-12","46.62517","46.82809","46.23778","46.41303","1056640",""
"SCG","2015-06-15T00:00:00-04:00","2015-06-15","46.4407","46.71741","46.2839","46.35769","1030945",""
"SCG","2015-06-16T00:00:00-04:00","2015-06-16","46.30235","46.57905","46.14555","46.49604","955703",""
"SCG","2015-06-17T00:00:00-04:00","2015-06-17","46.54216","47.05868","46.38536","47.01256","812266",""
"SCG","2015-06-18T00:00:00-04:00","2015-06-18","47.11402","47.90725","47.09557","47.70433","874606",""
"SCG","2015-06-19T00:00:00-04:00","2015-06-19","47.58442","47.91647","47.24315","47.27082","1425369",""
"SCG","2015-06-22T00:00:00-04:00","2015-06-22","47.4184","47.51063","47.08635","47.27082","773778",""
"SCG","2015-06-23T00:00:00-04:00","2015-06-23","47.20626","47.44607","46.67129","46.82809","803267",""
"SCG","2015-06-24T00:00:00-04:00","2015-06-24","46.80964","46.98489","46.54216","46.70818","978796",""
"SCG","2015-06-25T00:00:00-04:00","2015-06-25","46.76353","46.81887","46.29312","46.32079","838503",""
"SCG","2015-06-26T00:00:00-04:00","2015-06-26","46.2839","46.86499","46.1271","46.84654","728893",""
"SCG","2015-06-29T00:00:00-04:00","2015-06-29","46.81887","47.39995","46.45914","46.48682","846418",""
"SCG","2015-06-30T00:00:00-04:00","2015-06-30","46.70818","46.98489","46.55138","46.71741","1834212",""
"SCG","2015-07-01T00:00:00-04:00","2015-07-01","46.66207","47.2247","46.56061","47.13247","1327901",""
"SCG","2015-07-02T00:00:00-04:00","2015-07-02","47.40918","47.98104","47.39995","47.93492","1526414",""
"SCG","2015-07-06T00:00:00-04:00","2015-07-06","47.8888","48.3592","47.65821","48.13784","1051002",""
"SCG","2015-07-07T00:00:00-04:00","2015-07-07","48.33154","49.65973","48.14706","49.53982","1453883",""
"SCG","2015-07-08T00:00:00-04:00","2015-07-08","49.37379","49.72429","49.15243","49.3369","1084828",""
"SCG","2015-07-09T00:00:00-04:00","2015-07-09","49.34613","49.45681","48.22085","48.34998","1517416",""
"SCG","2015-07-10T00:00:00-04:00","2015-07-10","48.34998","49.31845","48.2024","48.9034","1131773",""
"SCG","2015-07-13T00:00:00-04:00","2015-07-13","49.0602","49.24467","48.53445","48.92184","993432",""
"SCG","2015-07-14T00:00:00-04:00","2015-07-14","48.87572","49.10632","48.58979","48.68203","991372",""
"SCG","2015-07-15T00:00:00-04:00","2015-07-15","48.67281","49.12476","48.37765","49.12476","912010",""
"SCG","2015-07-16T00:00:00-04:00","2015-07-16","49.11554","50.01022","48.84805","49.92721","885014",""
"SCG","2015-07-17T00:00:00-04:00","2015-07-17","49.75196","49.98255","49.46603","49.4937","958630",""
"SCG","2015-07-20T00:00:00-04:00","2015-07-20","49.37379","49.44759","48.79271","49.01408","793618",""
"SCG","2015-07-21T00:00:00-04:00","2015-07-21","48.95874","49.07864","48.34998","48.66358","760117",""
"SCG","2015-07-22T00:00:00-04:00","2015-07-22","48.66358","49.26311","48.49756","48.91262","909517",""
"SCG","2015-07-23T00:00:00-04:00","2015-07-23","48.79271","48.88495","47.94414","48.23008","753829",""
"SCG","2015-07-24T00:00:00-04:00","2015-07-24","48.17473","48.61746","48.06405","48.48833","600960",""
"SCG","2015-07-27T00:00:00-04:00","2015-07-27","48.52523","49.3369","48.52523","49.18933","773452",""
"SCG","2015-07-28T00:00:00-04:00","2015-07-28","49.14321","49.42914","48.93106","49.16166","1037450",""
"SCG","2015-07-29T00:00:00-04:00","2015-07-29","48.98641","49.67818","48.69125","49.66895","1108897",""
"SCG","2015-07-30T00:00:00-04:00","2015-07-30","49.27234","50.20392","49.20777","49.8811","802834",""
