symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"SEE","2015-01-02T00:00:00-05:00","2015-01-02","41.30463","41.4785","40.70573","41.24667","1451192",""
"SEE","2015-01-05T00:00:00-05:00","2015-01-05","40.88926","41.20803","40.26139","40.65743","1890442",""
"SEE","2015-01-06T00:00:00-05:00","2015-01-06","40.9279","41.13076","40.21309","40.86995","3376522",""
"SEE","2015-01-07T00:00:00-05:00","2015-01-07","41.18871","41.45918","40.83131","40.9279","3038518",""
"SEE","2015-01-08T00:00:00-05:00","2015-01-08","41.39156","42.1257","41.39156","41.68135","2794306",""
"SEE","2015-01-09T00:00:00-05:00","2015-01-09","41.77795","41.99046","40.98586","41.0245","1709897",""
"SEE","2015-01-12T00:00:00-05:00","2015-01-12","41.12109","41.5751","40.84096","41.49782","1309365",""
"SEE","2015-01-13T00:00:00-05:00","2015-01-13","41.69101","42.174","41.13076","41.43986","2480112",""
"SEE","2015-01-14T00:00:00-05:00","2015-01-14","41.06313","41.24667","40.30968","40.73471","2681880",""
"SEE","2015-01-15T00:00:00-05:00","2015-01-15","40.81199","40.91824","40.07785","40.1841","2760765",""
"SEE","2015-01-16T00:00:00-05:00","2015-01-16","40.14547","40.61879","39.91364","40.44492","2764491",""
"SEE","2015-01-20T00:00:00-05:00","2015-01-20","40.64777","40.86995","39.84602","40.1841","1836403",""
"SEE","2015-01-21T00:00:00-05:00","2015-01-21","40.10683","40.5222","39.86534","40.49321","2001627",""
"SEE","2015-01-22T00:00:00-05:00","2015-01-22","40.5705","41.62339","40.38696","41.58475","3132414",""
"SEE","2015-01-23T00:00:00-05:00","2015-01-23","41.61374","41.64272","38.52265","38.6772","5858602",""
"SEE","2015-01-26T00:00:00-05:00","2015-01-26","38.7738","38.85108","37.82716","38.0783","4186490",""
"SEE","2015-01-27T00:00:00-05:00","2015-01-27","37.46975","38.56129","37.11234","38.1749","4733509",""
"SEE","2015-01-28T00:00:00-05:00","2015-01-28","38.62891","38.6772","37.93341","38.08797","1759071",""
"SEE","2015-01-29T00:00:00-05:00","2015-01-29","38.0783","39.45963","38.0783","39.34372","3828403",""
"SEE","2015-01-30T00:00:00-05:00","2015-01-30","38.89938","39.53691","38.8704","39.12155","2254638",""
"SEE","2015-02-02T00:00:00-05:00","2015-02-02","39.24712","39.4693","38.74482","39.12155","2846172",""
"SEE","2015-02-03T00:00:00-05:00","2015-02-03","39.28576","40.19377","39.11189","40.09717","2146870",""
"SEE","2015-02-04T00:00:00-05:00","2015-02-04","39.875","40.50288","39.68181","40.23241","1786505",""
"SEE","2015-02-05T00:00:00-05:00","2015-02-05","40.43526","41.09211","40.329","40.54152","2485703",""
"SEE","2015-02-06T00:00:00-05:00","2015-02-06","40.58981","40.64777","39.96194","40.05853","3139557",""
"SEE","2015-02-09T00:00:00-05:00","2015-02-09","39.7784","40.04887","39.18916","39.53691","4990868",""
"SEE","2015-02-10T00:00:00-05:00","2015-02-10","42.00978","44.09626","41.40122","43.7292","8419671",""
"SEE","2015-02-11T00:00:00-05:00","2015-02-11","43.73885","44.2315","43.25587","43.6809","3394432",""
"SEE","2015-02-12T00:00:00-05:00","2015-02-12","43.85477","44.75312","43.83545","44.6372","2912944",""
