symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"SJM","2015-01-02T00:00:00-05:00","2015-01-02","95.0593","95.57623","93.94083","94.43898","385901",""
"SJM","2015-01-05T00:00:00-05:00","2015-01-05","93.89384","94.09122","92.672","92.89758","509002",""
"SJM","2015-01-06T00:00:00-05:00","2015-01-06","93.04796","93.30172","91.43137","92.15508","718922",""
"SJM","2015-01-07T00:00:00-05:00","2015-01-07","92.51222","94.38258","92.32425","94.2134","519854",""
"SJM","2015-01-08T00:00:00-05:00","2015-01-08","95.33186","95.73601","94.57056","95.57623","518684",""
"SJM","2015-01-09T00:00:00-05:00","2015-01-09","95.82999","95.92398","94.68334","94.96531","451654",""
"SJM","2015-01-12T00:00:00-05:00","2015-01-12","95.0311","95.34126","93.77166","94.30739","618271",""
"SJM","2015-01-13T00:00:00-05:00","2015-01-13","95.16268","95.72661","93.95964","94.87132","574116",""
"SJM","2015-01-14T00:00:00-05:00","2015-01-14","94.2416","95.0217","93.96904","94.89011","406010",""
"SJM","2015-01-15T00:00:00-05:00","2015-01-15","95.35065","95.96158","94.97471","95.20968","750522",""
"SJM","2015-01-16T00:00:00-05:00","2015-01-16","95.25667","95.86759","94.64574","95.73601","422182",""
"SJM","2015-01-20T00:00:00-05:00","2015-01-20","96.10256","98.02931","95.86759","97.92593","791591",""
"SJM","2015-01-21T00:00:00-05:00","2015-01-21","98.23608","100.7644","97.62517","99.6647","1179620",""
"SJM","2015-01-22T00:00:00-05:00","2015-01-22","100.0219","100.6046","99.32635","100.4448","540814",""
"SJM","2015-01-23T00:00:00-05:00","2015-01-23","100.426","100.7456","99.71169","100.0876","427821",""
"SJM","2015-01-26T00:00:00-05:00","2015-01-26","99.85268","100.3696","99.73049","100.05","390369",""
"SJM","2015-01-27T00:00:00-05:00","2015-01-27","99.62711","99.95606","98.847","99.41093","385475",""
"SJM","2015-01-28T00:00:00-05:00","2015-01-28","99.58951","100.2944","98.33008","98.43346","424842",""
"SJM","2015-01-29T00:00:00-05:00","2015-01-29","98.46165","98.83761","97.27741","98.78121","613164",""
"SJM","2015-01-30T00:00:00-05:00","2015-01-30","98.1515","98.1609","96.81687","96.94846","482615",""
"SJM","2015-02-02T00:00:00-05:00","2015-02-02","97.02364","98.20789","95.75481","98.18909","423884",""
"SJM","2015-02-03T00:00:00-05:00","2015-02-03","98.38647","99.54252","98.38647","99.51431","431758",""
"SJM","2015-02-04T00:00:00-05:00","2015-02-04","106.225","107.5879","104.8152","105.3604","6579787",""
"SJM","2015-02-05T00:00:00-05:00","2015-02-05","105.2852","106.5916","104.9656","106.5164","1634041",""
"SJM","2015-02-06T00:00:00-05:00","2015-02-06","106.5164","106.648","105.7457","106.2063","897563",""
"SJM","2015-02-09T00:00:00-05:00","2015-02-09","105.9055","106.4976","105.6987","106.1217","681258",""
"SJM","2015-02-10T00:00:00-05:00","2015-02-10","106.5258","106.7232","105.5577","106.3472","611568",""
"SJM","2015-02-11T00:00:00-05:00","2015-02-11","106.2811","106.886","104.816","105.1657","1112539",""
"SJM","2015-02-12T00:00:00-05:00","2015-02-12","104.8632","106.3094","104.4662","106.2338","944219",""
"SJM","2015-02-13T00:00:00-05:00","2015-02-13","105.0523","108.6158","103.5683","107.6516","1845592",""
"SJM","2015-02-17T00:00:00-05:00","2015-02-17","107.0751","107.5855","106.4701","107.0089","1242138",""
"SJM","2015-02-18T00:00:00-05:00","2015-02-18","106.5174","108.1243","106.5174","108.0392","535428",""
"SJM","2015-02-19T00:00:00-05:00","2015-02-19","107.7178","108.1621","106.6686","107.6422","700151",""
"SJM","2015-02-20T00:00:00-05:00","2015-02-20","107.1129","107.7556","106.092","107.2263","1551694",""
"SJM","2015-02-23T00:00:00-05:00","2015-02-23","106.8671","107.4153","106.5552","107.0467","999127",""
"SJM","2015-02-24T00:00:00-05:00","2015-02-24","106.7253","107.576","105.903","107.2546","821497",""
"SJM","2015-02-25T00:00:00-05:00","2015-02-25","107.3775","107.6044","106.7348","106.9144","600174",""
"SJM","2015-02-26T00:00:00-05:00","2015-02-26","107.7367","109.0789","106.7253","108.8993","1099844",""
"SJM","2015-02-27T00:00:00-05:00","2015-02-27","109.0695","109.4948","108.3889","109.0317","797905",""
"SJM","2015-03-02T00:00:00-05:00","2015-03-02","109.06","109.3247","108.2282","108.663","603137",""
