symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"SNA","2015-01-02T00:00:00-05:00","2015-01-02","131.0983","131.903","129.1536","130.5618","230696",""
"SNA","2015-01-05T00:00:00-05:00","2015-01-05","129.556","130.3223","128.0903","128.2148","456485",""
"SNA","2015-01-06T00:00:00-05:00","2015-01-06","128.2148","128.9141","126.2318","127.822","461913",""
"SNA","2015-01-07T00:00:00-05:00","2015-01-07","128.5117","129.3931","127.8891","128.6267","341450",""
"SNA","2015-01-08T00:00:00-05:00","2015-01-08","129.4697","131.721","129.4697","131.5581","287482",""
"SNA","2015-01-09T00:00:00-05:00","2015-01-09","131.7976","132.2287","129.9296","130.0253","238838",""
"SNA","2015-01-12T00:00:00-05:00","2015-01-12","129.92","130.5427","127.9466","128.3681","295207",""
"SNA","2015-01-13T00:00:00-05:00","2015-01-13","129.4506","130.7917","127.0748","128.2435","299591",""
"SNA","2015-01-14T00:00:00-05:00","2015-01-14","127.1898","129.2302","127.0652","129.1248","407632",""
"SNA","2015-01-15T00:00:00-05:00","2015-01-15","129.5751","130.0541","127.4101","127.6208","284351",""
"SNA","2015-01-16T00:00:00-05:00","2015-01-16","127.4484","127.7837","125.59","126.9886","478615",""
"SNA","2015-01-20T00:00:00-05:00","2015-01-20","127.2185","127.7837","125.7145","127.1706","252721",""
"SNA","2015-01-21T00:00:00-05:00","2015-01-21","126.6629","128.5022","126.1168","128.1765","311283",""
"SNA","2015-01-22T00:00:00-05:00","2015-01-22","128.4064","129.6038","127.7741","129.2111","365668",""
"SNA","2015-01-23T00:00:00-05:00","2015-01-23","129.259","129.6805","128.5501","128.6938","229547",""
"SNA","2015-01-26T00:00:00-05:00","2015-01-26","128.3298","129.5368","127.9466","129.2302","269841",""
"SNA","2015-01-27T00:00:00-05:00","2015-01-27","127.9082","128.5405","126.6916","127.5538","274434",""
"SNA","2015-01-28T00:00:00-05:00","2015-01-28","127.8603","128.6459","126.2701","126.4713","296251",""
"SNA","2015-01-29T00:00:00-05:00","2015-01-29","126.1552","129.7284","126.136","129.556","241239",""
"SNA","2015-01-30T00:00:00-05:00","2015-01-30","128.8854","129.3165","126.9024","127.1323","363685",""
"SNA","2015-02-02T00:00:00-05:00","2015-02-02","125.6857","126.0881","123.7123","125.9731","908378",""
"SNA","2015-02-03T00:00:00-05:00","2015-02-03","126.4042","127.755","126.1839","127.5921","450013",""
"SNA","2015-02-04T00:00:00-05:00","2015-02-04","127.343","127.3526","125.2738","125.9252","617764",""
"SNA","2015-02-05T00:00:00-05:00","2015-02-05","130.1307","135.2654","130.1307","133.7998","1192312",""
"SNA","2015-02-06T00:00:00-05:00","2015-02-06","135.1601","135.7061","134.0392","135.0643","646053",""
"SNA","2015-02-09T00:00:00-05:00","2015-02-09","135.0739","136.5108","134.6811","134.9781","534463",""
"SNA","2015-02-10T00:00:00-05:00","2015-02-10","135.936","136.3575","134.7769","136.2234","359509",""
"SNA","2015-02-11T00:00:00-05:00","2015-02-11","136.233","137.1526","135.3708","136.7695","456590",""
"SNA","2015-02-12T00:00:00-05:00","2015-02-12","137.4592","138.7046","137.3538","138.6088","272137",""
"SNA","2015-02-13T00:00:00-05:00","2015-02-13","138.3405","139.835","138.0436","139.2889","402100",""
"SNA","2015-02-17T00:00:00-05:00","2015-02-17","139.3464","139.7775","138.1968","139.3177","283411",""
"SNA","2015-02-18T00:00:00-05:00","2015-02-18","138.9057","139.7966","138.3309","139.2793","348340",""
"SNA","2015-02-19T00:00:00-05:00","2015-02-19","138.877","139.6242","138.4076","139.423","218900",""
"SNA","2015-02-20T00:00:00-05:00","2015-02-20","139.1538","140.548","137.5866","140.4326","257625",""
"SNA","2015-02-23T00:00:00-05:00","2015-02-23","140.3941","140.5287","139.4807","140.1922","187212",""
"SNA","2015-02-24T00:00:00-05:00","2015-02-24","139.8942","141.5575","139.6153","141.1345","317637",""
"SNA","2015-02-25T00:00:00-05:00","2015-02-25","140.9614","142.692","140.9614","142.3748","470736",""
"SNA","2015-02-26T00:00:00-05:00","2015-02-26","142.4228","142.4998","141.1056","141.5383","306717",""
"SNA","2015-02-27T00:00:00-05:00","2015-02-27","141.769","142.019","140.8364","141.5575","377234",""
"SNA","2015-03-02T00:00:00-05:00","2015-03-02","142.1536","142.6055","141.1152","142.5767","262826",""
"SNA","2015-03-03T00:00:00-05:00","2015-03-03","142.2978","142.3074","141.5287","142.2209","335943",""
"SNA","2015-03-04T00:00:00-05:00","2015-03-04","141.3364","141.8459","140.3557","141.769","371409",""
"SNA","2015-03-05T00:00:00-05:00","2015-03-05","141.8267","142.4036","141.1441","141.6633","343119",""
