symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"SPG","2015-01-02T00:00:00-05:00","2015-01-02","166.129","168.3241","165.9658","168.1155","1355249",""
"SPG","2015-01-05T00:00:00-05:00","2015-01-05","168.306","169.3672","166.7458","168.8049","1396371",""
"SPG","2015-01-06T00:00:00-05:00","2015-01-06","169.7936","174.4105","169.5305","173.5035","3214321",""
"SPG","2015-01-07T00:00:00-05:00","2015-01-07","174.1112","176.8415","173.0681","176.6963","2357382",""
"SPG","2015-01-08T00:00:00-05:00","2015-01-08","177.0592","177.4946","175.372","176.4424","1809020",""
"SPG","2015-01-09T00:00:00-05:00","2015-01-09","176.8415","178.3925","176.1702","178.3018","1735376",""
"SPG","2015-01-12T00:00:00-05:00","2015-01-12","178.583","179.2724","177.8755","178.4742","1249303",""
"SPG","2015-01-13T00:00:00-05:00","2015-01-13","178.5195","179.6262","177.7213","178.5921","1508050",""
"SPG","2015-01-14T00:00:00-05:00","2015-01-14","177.6578","180.5332","177.1589","180.1704","1897217",""
"SPG","2015-01-15T00:00:00-05:00","2015-01-15","180.6512","181.794","179.6534","181.4766","1619508",""
"SPG","2015-01-16T00:00:00-05:00","2015-01-16","181.794","182.3474","179.9436","182.1387","1768891",""
"SPG","2015-01-20T00:00:00-05:00","2015-01-20","182.5923","183.1002","180.5423","181.0775","2064459",""
"SPG","2015-01-21T00:00:00-05:00","2015-01-21","180.5695","181.912","179.6262","181.6126","1322727",""
"SPG","2015-01-22T00:00:00-05:00","2015-01-22","182.3292","185.4677","181.3405","185.0686","1579268",""
"SPG","2015-01-23T00:00:00-05:00","2015-01-23","185.6037","185.8668","183.6989","184.2341","1372558",""
"SPG","2015-01-26T00:00:00-05:00","2015-01-26","183.7987","186.1933","183.3723","186.0935","1069603",""
"SPG","2015-01-27T00:00:00-05:00","2015-01-27","185.386","186.5652","184.7601","185.6581","1094298",""
"SPG","2015-01-28T00:00:00-05:00","2015-01-28","186.6741","187.1367","184.5969","184.5969","1781018",""
"SPG","2015-01-29T00:00:00-05:00","2015-01-29","184.2885","185.9938","184.0708","185.7307","1384244",""
"SPG","2015-01-30T00:00:00-05:00","2015-01-30","183.6535","184.9234","179.9164","180.1976","2407103",""
"SPG","2015-02-02T00:00:00-05:00","2015-02-02","180.5423","181.0321","176.8959","180.8779","1782561",""
"SPG","2015-02-03T00:00:00-05:00","2015-02-03","181.5401","181.5401","178.6919","181.4947","2335994",""
"SPG","2015-02-04T00:00:00-05:00","2015-02-04","181.4947","184.0073","180.0434","183.073","1892035",""
"SPG","2015-02-05T00:00:00-05:00","2015-02-05","183.3905","184.5878","182.2385","184.3338","1163422",""
"SPG","2015-02-06T00:00:00-05:00","2015-02-06","183.0004","183.5447","175.7076","176.9503","2587465",""
"SPG","2015-02-09T00:00:00-05:00","2015-02-09","177.4583","178.2111","175.7711","176.0705","947561",""
"SPG","2015-02-10T00:00:00-05:00","2015-02-10","176.8777","177.3313","174.2835","176.651","2088934",""
"SPG","2015-02-11T00:00:00-05:00","2015-02-11","177.4002","178.0214","174.5131","175.8013","1402422",""
"SPG","2015-02-12T00:00:00-05:00","2015-02-12","176.2581","178.0945","175.3171","177.9027","1355248",""
"SPG","2015-02-13T00:00:00-05:00","2015-02-13","177.1078","177.5007","175.2349","176.4317","1112153",""
"SPG","2015-02-17T00:00:00-05:00","2015-02-17","176.2673","178.7523","175.6643","176.1576","1101864",""
"SPG","2015-02-18T00:00:00-05:00","2015-02-18","176.2216","177.793","174.2938","177.5007","1022948",""
"SPG","2015-02-19T00:00:00-05:00","2015-02-19","176.6144","177.0347","172.9965","173.4167","1278412",""
"SPG","2015-02-20T00:00:00-05:00","2015-02-20","172.9782","175.6003","172.8594","175.244","1461527",""
"SPG","2015-02-23T00:00:00-05:00","2015-02-23","175.5912","177.0895","175.1344","176.8885","827246",""
"SPG","2015-02-24T00:00:00-05:00","2015-02-24","176.1942","176.4774","173.1975","173.6451","1496443",""
"SPG","2015-02-25T00:00:00-05:00","2015-02-25","173.7","175.8744","173.4076","174.0289","958043",""
"SPG","2015-02-26T00:00:00-05:00","2015-02-26","173.6177","174.0197","170.9682","170.9773","1566821",""
"SPG","2015-02-27T00:00:00-05:00","2015-02-27","171.6626","174.9242","170.6575","173.9192","2293042",""
"SPG","2015-03-02T00:00:00-05:00","2015-03-02","174.038","176.2673","173.1609","173.6268","1399577",""
"SPG","2015-03-03T00:00:00-05:00","2015-03-03","172.9416","173.6725","171.8727","173.234","1191506",""
"SPG","2015-03-04T00:00:00-05:00","2015-03-04","173.1335","173.4715","170.9956","171.3611","1113576",""
"SPG","2015-03-05T00:00:00-05:00","2015-03-05","171.8727","173.0421","170.8403","170.9682","1557189",""
"SPG","2015-03-06T00:00:00-05:00","2015-03-06","166.802","168.072","164.5728","164.9839","2470356",""
"SPG","2015-03-09T00:00:00-04:00","2015-03-09","166.1168","167.3959","164.7189","164.856","2471341",""
"SPG","2015-03-10T00:00:00-04:00","2015-03-10","164.4814","165.9615","163.6591","164.3809","2801671",""
"SPG","2015-03-11T00:00:00-04:00","2015-03-11","164.1708","165.0113","163.3942","163.8601","1576562",""
"SPG","2015-03-12T00:00:00-04:00","2015-03-12","164.591","167.7613","164.591","167.7431","1999489",""
"SPG","2015-03-13T00:00:00-04:00","2015-03-13","167.5055","169.0221","166.5736","168.0902","2411252",""
"SPG","2015-03-16T00:00:00-04:00","2015-03-16","169.1592","171.7356","168.4465","170.9134","1729468",""
"SPG","2015-03-17T00:00:00-04:00","2015-03-17","170.0911","171.1692","169.2962","170.0546","1751578",""
"SPG","2015-03-18T00:00:00-04:00","2015-03-18","169.9358","175.1435","169.3145","174.9608","1996424",""
"SPG","2015-03-19T00:00:00-04:00","2015-03-19","174.3578","176.0114","174.0289","175.5089","2418147",""
"SPG","2015-03-20T00:00:00-04:00","2015-03-20","177.3271","180.4974","176.3586","180.2964","3168667",""
"SPG","2015-03-23T00:00:00-04:00","2015-03-23","180.2781","181.8952","178.9168","180.4791","2299391",""
"SPG","2015-03-24T00:00:00-04:00","2015-03-24","180.4243","181.1552","179.3645","179.8304","2157758",""
"SPG","2015-03-25T00:00:00-04:00","2015-03-25","180.1136","180.8263","176.4591","177.3819","2084425",""
"SPG","2015-03-26T00:00:00-04:00","2015-03-26","176.048","177.2266","175.0795","176.0114","1973549",""
"SPG","2015-03-27T00:00:00-04:00","2015-03-27","175.7648","178.1311","175.4267","177.4824","1603597",""
"SPG","2015-03-30T00:00:00-04:00","2015-03-30","177.9758","180.406","177.3088","179.9583","1309934",""
"SPG","2015-03-31T00:00:00-04:00","2015-03-31","179.5289","180.8172","178.1311","178.7432","2049619",""
"SPG","2015-04-01T00:00:00-04:00","2015-04-01","178.9077","181.4293","177.254","180.8902","2637272",""
"SPG","2015-04-02T00:00:00-04:00","2015-04-02","182.7266","183.622","181.3836","182.1419","1828195",""
"SPG","2015-04-06T00:00:00-04:00","2015-04-06","182.617","184.8097","182.2424","183.4576","1237586",""
"SPG","2015-04-07T00:00:00-04:00","2015-04-07","182.9642","183.5124","181.1643","181.1643","1080411",""
"SPG","2015-04-08T00:00:00-04:00","2015-04-08","181.0182","182.0414","180.0588","180.406","1357875",""
"SPG","2015-04-09T00:00:00-04:00","2015-04-09","179.867","179.867","175.8653","176.45","1919041",""
"SPG","2015-04-10T00:00:00-04:00","2015-04-10","177.2357","177.9483","174.4217","174.7506","2083768",""
"SPG","2015-04-13T00:00:00-04:00","2015-04-13","175.0978","175.3902","173.8918","173.8918","1501587",""
"SPG","2015-04-14T00:00:00-04:00","2015-04-14","174.6593","175.8379","174.3304","174.8877","1651428",""
"SPG","2015-04-15T00:00:00-04:00","2015-04-15","174.9516","175.582","173.371","173.6268","1208581",""
"SPG","2015-04-16T00:00:00-04:00","2015-04-16","172.7315","174.7506","172.1376","173.6817","1008501",""
"SPG","2015-04-17T00:00:00-04:00","2015-04-17","173.0513","174.0197","171.4433","172.0006","1275238",""
"SPG","2015-04-20T00:00:00-04:00","2015-04-20","172.1742","173.3984","171.562","172.3112","1147506",""
"SPG","2015-04-21T00:00:00-04:00","2015-04-21","172.2199","174.44","172.2199","172.5214","934510",""
"SPG","2015-04-22T00:00:00-04:00","2015-04-22","172.5214","174.0837","172.3843","172.7772","827246",""
"SPG","2015-04-23T00:00:00-04:00","2015-04-23","172.7589","173.7091","171.9732","172.7315","1211974",""
"SPG","2015-04-24T00:00:00-04:00","2015-04-24","172.832","174.4674","172.1285","172.4117","974679",""
"SPG","2015-04-27T00:00:00-04:00","2015-04-27","173.3528","174.1659","172.7132","173.4807","1079645",""
"SPG","2015-04-28T00:00:00-04:00","2015-04-28","172.7589","173.1061","171.3062","171.9915","1094312",""
"SPG","2015-04-29T00:00:00-04:00","2015-04-29","169.8353","171.4433","166.8386","167.2863","2056624",""
"SPG","2015-04-30T00:00:00-04:00","2015-04-30","166.5188","167.3685","164.9565","165.8153","2337918",""
"SPG","2015-05-01T00:00:00-04:00","2015-05-01","166.062","169.7439","166.062","168.2638","2074464",""
"SPG","2015-05-04T00:00:00-04:00","2015-05-04","168.9399","169.8901","167.1309","167.5329","1728264",""
"SPG","2015-05-05T00:00:00-04:00","2015-05-05","167.9258","168.1633","164.5453","164.8743","2724069",""
"SPG","2015-05-06T00:00:00-04:00","2015-05-06","164.7738","166.4731","164.6276","165.9249","2281440",""
"SPG","2015-05-07T00:00:00-04:00","2015-05-07","165.9249","168.748","165.3676","167.3319","1840235",""
"SPG","2015-05-08T00:00:00-04:00","2015-05-08","169.6434","172.9142","169.5338","171.4433","1764493",""
"SPG","2015-05-11T00:00:00-04:00","2015-05-11","170.8768","171.8361","167.7431","168.2638","1185596",""
"SPG","2015-05-12T00:00:00-04:00","2015-05-12","166.9299","169.0861","166.0528","168.5014","1164362",""
"SPG","2015-05-13T00:00:00-04:00","2015-05-13","169.7541","171.1358","166.6499","167.0368","1244565",""
"SPG","2015-05-14T00:00:00-04:00","2015-05-14","167.9948","170.4173","167.8658","170.187","989768",""
"SPG","2015-05-15T00:00:00-04:00","2015-05-15","170.8134","171.9003","169.8738","170.97","1370064",""
"SPG","2015-05-18T00:00:00-04:00","2015-05-18","170.012","170.8502","169.2843","170.2055","994544",""
"SPG","2015-05-19T00:00:00-04:00","2015-05-19","169.4778","171.7437","168.7685","169.5146","1213299",""
"SPG","2015-05-20T00:00:00-04:00","2015-05-20","170.5923","171.1358","169.0356","169.1093","1275614",""
"SPG","2015-05-21T00:00:00-04:00","2015-05-21","169.6804","170.7029","168.6119","169.0632","1742543",""
"SPG","2015-05-22T00:00:00-04:00","2015-05-22","168.4369","170.4726","167.8382","169.1369","891410",""
"SPG","2015-05-26T00:00:00-04:00","2015-05-26","168.9711","169.0909","167.2947","167.7184","1054688",""
"SPG","2015-05-27T00:00:00-04:00","2015-05-27","168.5474","170.1318","167.4421","169.6159","1328267",""
"SPG","2015-05-28T00:00:00-04:00","2015-05-28","169.0632","170.1778","168.4922","169.3212","1049586",""
"SPG","2015-05-29T00:00:00-04:00","2015-05-29","169.6067","170.012","166.5025","167.092","2699742",""
"SPG","2015-06-01T00:00:00-04:00","2015-06-01","167.3131","169.5607","165.8025","168.9251","1234034",""
"SPG","2015-06-02T00:00:00-04:00","2015-06-02","168.7961","169.1646","166.7973","167.7829","1064785",""
"SPG","2015-06-03T00:00:00-04:00","2015-06-03","167.8289","167.8382","164.3747","164.8169","1208305",""
"SPG","2015-06-04T00:00:00-04:00","2015-06-04","164.4116","165.8393","163.9602","164.909","1363658",""
"SPG","2015-06-05T00:00:00-04:00","2015-06-05","163.4536","164.6142","161.5929","162.6799","1615090",""
"SPG","2015-06-08T00:00:00-04:00","2015-06-08","162.6614","162.6614","161.5008","161.7587","1745257",""
"SPG","2015-06-09T00:00:00-04:00","2015-06-09","161.9706","162.2561","160.4692","160.81","1631809",""
"SPG","2015-06-10T00:00:00-04:00","2015-06-10","161.2153","163.951","160.9389","162.4404","1491763",""
"SPG","2015-06-11T00:00:00-04:00","2015-06-11","163.0852","163.7115","162.3022","163.2694","1005618",""
"SPG","2015-06-12T00:00:00-04:00","2015-06-12","162.9194","163.9879","162.5141","162.9194","1155435",""
"SPG","2015-06-15T00:00:00-04:00","2015-06-15","162.4588","162.8549","161.2061","161.9338","1613244",""
"SPG","2015-06-16T00:00:00-04:00","2015-06-16","162.0535","163.9879","161.9798","163.2786","1208305",""
"SPG","2015-06-17T00:00:00-04:00","2015-06-17","163.3339","165.7748","162.6614","165.4064","1417180",""
"SPG","2015-06-18T00:00:00-04:00","2015-06-18","165.8025","168.4093","165.434","167.5434","1127860",""
"SPG","2015-06-19T00:00:00-04:00","2015-06-19","167.3039","168.9251","165.3143","165.3235","2833492",""
"SPG","2015-06-22T00:00:00-04:00","2015-06-22","165.7196","166.5117","162.5049","162.6062","1696187",""
"SPG","2015-06-23T00:00:00-04:00","2015-06-23","162.9194","163.0115","160.7363","161.4179","975003",""
"SPG","2015-06-24T00:00:00-04:00","2015-06-24","161.6943","162.5693","160.1376","160.1836","1630723",""
"SPG","2015-06-25T00:00:00-04:00","2015-06-25","160.3126","160.6718","158.7375","158.7651","1509133",""
"SPG","2015-06-26T00:00:00-04:00","2015-06-26","159.0506","160.6626","158.1571","160.1928","2947157",""
"SPG","2015-06-29T00:00:00-04:00","2015-06-29","160.0454","161.5561","157.5031","157.5124","1328050",""
"SPG","2015-06-30T00:00:00-04:00","2015-06-30","158.7375","161.0126","157.8163","159.373","2352775",""
"SPG","2015-07-01T00:00:00-04:00","2015-07-01","158.3137","161.0126","158.3137","160.9758","1778911",""
"SPG","2015-07-02T00:00:00-04:00","2015-07-02","162.772","164.9827","160.6626","160.9389","1136328",""
"SPG","2015-07-06T00:00:00-04:00","2015-07-06","160.1468","161.9798","160.1468","161.9153","1348460",""
"SPG","2015-07-07T00:00:00-04:00","2015-07-07","162.5325","164.9827","162.3943","164.6234","1650807",""
"SPG","2015-07-08T00:00:00-04:00","2015-07-08","163.297","164.5129","162.947","164.2734","1304492",""
"SPG","2015-07-09T00:00:00-04:00","2015-07-09","165.0287","165.7288","163.472","164.0708","1481123",""
"SPG","2015-07-10T00:00:00-04:00","2015-07-10","165.0564","166.1617","164.2458","164.734","1133722",""
"SPG","2015-07-13T00:00:00-04:00","2015-07-13","165.8393","167.0736","164.2181","165.1669","1110164",""
"SPG","2015-07-14T00:00:00-04:00","2015-07-14","165.3696","166.2999","164.3103","165.7933","929841",""
"SPG","2015-07-15T00:00:00-04:00","2015-07-15","165.4893","167.3039","164.3932","167.1013","1340317",""
"SPG","2015-07-16T00:00:00-04:00","2015-07-16","167.8474","169.3949","167.5895","168.9619","1238811",""
"SPG","2015-07-17T00:00:00-04:00","2015-07-17","168.4001","168.9159","167.6908","168.6211","1107884",""
"SPG","2015-07-20T00:00:00-04:00","2015-07-20","168.8238","168.9804","167.3592","168.5014","723029",""
"SPG","2015-07-21T00:00:00-04:00","2015-07-21","168.5935","168.8606","167.2947","167.4236","965775",""
"SPG","2015-07-22T00:00:00-04:00","2015-07-22","167.6355","168.658","167.3315","167.9948","1241199",""
"SPG","2015-07-23T00:00:00-04:00","2015-07-23","167.8566","168.0132","165.2038","167.0736","1241634",""
"SPG","2015-07-24T00:00:00-04:00","2015-07-24","169.0356","184.4368","167.7092","170.0857","1410557",""
"SPG","2015-07-27T00:00:00-04:00","2015-07-27","170.187","172.1951","170.012","171.1174","1727344",""
"SPG","2015-07-28T00:00:00-04:00","2015-07-28","171.6332","172.6741","170.7766","171.6608","1230560",""
"SPG","2015-07-29T00:00:00-04:00","2015-07-29","171.7806","172.3056","170.6568","171.7622","967078",""
"SPG","2015-07-30T00:00:00-04:00","2015-07-30","171.1358","172.2504","170.0581","171.4582","702402",""
"SPG","2015-07-31T00:00:00-04:00","2015-07-31","173.2544","174.1387","171.9187","172.453","1592618",""
"SPG","2015-08-03T00:00:00-04:00","2015-08-03","172.3885","173.8347","172.0477","173.5307","837780",""
"SPG","2015-08-04T00:00:00-04:00","2015-08-04","173.7334","175.4467","172.9596","173.6781","1393622",""
"SPG","2015-08-05T00:00:00-04:00","2015-08-05","174.286","174.8295","173.2636","173.8163","1495237",""
"SPG","2015-08-06T00:00:00-04:00","2015-08-06","173.6228","175.2809","172.2135","174.9216","1509567",""
"SPG","2015-08-07T00:00:00-04:00","2015-08-07","174.9953","177.0494","173.5768","176.5704","1088126",""
