symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"SPGI","2015-01-02T00:00:00-05:00","2015-01-02","86.67316","86.76969","84.52032","85.59192","1015025",""
"SPGI","2015-01-05T00:00:00-05:00","2015-01-05","84.80994","85.14783","83.90247","84.07624","2085675",""
"SPGI","2015-01-06T00:00:00-05:00","2015-01-06","84.16313","84.38517","82.11649","82.85985","2368046",""
"SPGI","2015-01-07T00:00:00-05:00","2015-01-07","83.44874","84.05694","82.88881","83.9604","1329300",""
"SPGI","2015-01-08T00:00:00-05:00","2015-01-08","83.92178","85.22506","83.81559","84.7134","1650619",""
"SPGI","2015-01-09T00:00:00-05:00","2015-01-09","84.65548","85.00303","83.497","83.98936","1077175",""
"SPGI","2015-01-12T00:00:00-05:00","2015-01-12","84.26933","84.43344","82.56057","82.79227","793457",""
"SPGI","2015-01-13T00:00:00-05:00","2015-01-13","84.34656","89.15422","83.82524","87.74474","3914149",""
"SPGI","2015-01-14T00:00:00-05:00","2015-01-14","86.55731","86.82762","84.60721","85.82361","2517933",""
"SPGI","2015-01-15T00:00:00-05:00","2015-01-15","86.24837","86.538","84.95475","85.23472","1130729",""
"SPGI","2015-01-16T00:00:00-05:00","2015-01-16","85.03198","87.71578","83.83489","87.62889","2309210",""
"SPGI","2015-01-20T00:00:00-05:00","2015-01-20","87.69647","88.14056","86.54765","87.81232","2455679",""
"SPGI","2015-01-21T00:00:00-05:00","2015-01-21","86.94347","88.09229","86.59592","87.56132","1990066",""
"SPGI","2015-01-22T00:00:00-05:00","2015-01-22","87.85094","89.17353","86.96278","88.50741","1260520",""
"SPGI","2015-01-23T00:00:00-05:00","2015-01-23","88.14056","89.42453","88.06332","88.64256","1047447",""
"SPGI","2015-01-26T00:00:00-05:00","2015-01-26","88.26606","89.23145","87.55167","89.01907","969137",""
"SPGI","2015-01-27T00:00:00-05:00","2015-01-27","87.91852","88.98045","87.36824","88.22744","1130107",""
"SPGI","2015-01-28T00:00:00-05:00","2015-01-28","88.81633","89.00941","85.67879","85.95876","1902848",""
"SPGI","2015-01-29T00:00:00-05:00","2015-01-29","85.84291","87.26205","84.73271","87.1655","2030360",""
"SPGI","2015-01-30T00:00:00-05:00","2015-01-30","86.036","87.29101","85.86223","86.34492","2386173",""
"SPGI","2015-02-02T00:00:00-05:00","2015-02-02","85.97807","87.3779","84.82925","87.17516","1475458",""
"SPGI","2015-02-03T00:00:00-05:00","2015-02-03","88.64256","90.8147","88.2371","90.72781","2147204",""
"SPGI","2015-02-04T00:00:00-05:00","2015-02-04","90.54439","92.31107","90.13892","91.55805","2088471",""
"SPGI","2015-02-05T00:00:00-05:00","2015-02-05","91.71252","92.66826","91.24912","92.56207","1209453",""
"SPGI","2015-02-06T00:00:00-05:00","2015-02-06","93.11234","96.16299","92.84203","94.17428","2151762",""
"SPGI","2015-02-09T00:00:00-05:00","2015-02-09","93.79778","94.14531","93.20889","93.54677","810756",""
"SPGI","2015-02-10T00:00:00-05:00","2015-02-10","93.77846","94.66663","93.00614","94.42528","837999",""
"SPGI","2015-02-11T00:00:00-05:00","2015-02-11","94.20324","95.13001","93.99085","94.76317","1345666",""
"SPGI","2015-02-12T00:00:00-05:00","2015-02-12","95.75752","99.02055","95.50652","98.65371","3387940",""
"SPGI","2015-02-13T00:00:00-05:00","2015-02-13","97.92001","98.8854","97.32146","98.65371","1824331",""
