symbol,timestamp,tradingDay,open,high,low,close,volume,openInterest
"SPLS","2015-01-02T00:00:00-05:00","2015-01-02","18.09","18.1","17.48","17.61","9478300",""
"SPLS","2015-01-05T00:00:00-05:00","2015-01-05","17.58","17.7","17.24","17.44","15431300",""
"SPLS","2015-01-06T00:00:00-05:00","2015-01-06","17.46","17.61","17.19","17.31","10743300",""
"SPLS","2015-01-07T00:00:00-05:00","2015-01-07","17.4","17.8","17.4","17.66","6921600",""
"SPLS","2015-01-08T00:00:00-05:00","2015-01-08","17.76","17.98","17.72","17.74","10395800",""
"SPLS","2015-01-09T00:00:00-05:00","2015-01-09","17.38","17.5","16.86","17.22","12682300",""
"SPLS","2015-01-12T00:00:00-05:00","2015-01-12","17.21","17.32","17.06","17.24","5958200",""
"SPLS","2015-01-13T00:00:00-05:00","2015-01-13","17.31","17.42","16.75","16.98","12845200",""
"SPLS","2015-01-14T00:00:00-05:00","2015-01-14","16.98","17.42","16.84","17.33","8963900",""
"SPLS","2015-01-15T00:00:00-05:00","2015-01-15","17.3","17.33","16.79","17","9084500",""
"SPLS","2015-01-16T00:00:00-05:00","2015-01-16","17","17.42","16.75","17.35","9243000",""
"SPLS","2015-01-20T00:00:00-05:00","2015-01-20","17.4","17.41","16.28","16.39","13417700",""
"SPLS","2015-01-21T00:00:00-05:00","2015-01-21","16.36","16.74","16.23","16.49","11972800",""
"SPLS","2015-01-22T00:00:00-05:00","2015-01-22","16.61","16.98","16.47","16.91","6275400",""
"SPLS","2015-01-23T00:00:00-05:00","2015-01-23","16.89","17.02","16.57","16.79","5702600",""
"SPLS","2015-01-26T00:00:00-05:00","2015-01-26","16.8","16.9","16.71","16.87","5713000",""
"SPLS","2015-01-27T00:00:00-05:00","2015-01-27","16.8","16.96","16.7","16.91","4382900",""
"SPLS","2015-01-28T00:00:00-05:00","2015-01-28","16.95","17.22","16.78","16.84","9282200",""
"SPLS","2015-01-29T00:00:00-05:00","2015-01-29","16.9","17.13","16.65","17.09","5859800",""
"SPLS","2015-01-30T00:00:00-05:00","2015-01-30","17","17.18","16.82","17.05","7759100",""
"SPLS","2015-02-02T00:00:00-05:00","2015-02-02","17.24","17.31","16.71","17.14","6867600",""
"SPLS","2015-02-03T00:00:00-05:00","2015-02-03","19.01","19.4","18.49","19.01","39426200",""
"SPLS","2015-02-04T00:00:00-05:00","2015-02-04","17.55","17.71","16.7","16.73","65259100",""
"SPLS","2015-02-05T00:00:00-05:00","2015-02-05","16.81","17.17","16.6","16.97","19991100",""
"SPLS","2015-02-06T00:00:00-05:00","2015-02-06","17.08","17.13","16.43","16.57","15412400",""
"SPLS","2015-02-09T00:00:00-05:00","2015-02-09","16.48","17.12","16.43","17.12","23574800",""
"SPLS","2015-02-10T00:00:00-05:00","2015-02-10","17.11","17.14","16.87","16.95","15145400",""
"SPLS","2015-02-11T00:00:00-05:00","2015-02-11","16.99","17.25","16.93","17.13","14107200",""
"SPLS","2015-02-12T00:00:00-05:00","2015-02-12","17.21","17.27","17.05","17.08","9608000",""
"SPLS","2015-02-13T00:00:00-05:00","2015-02-13","17.12","17.19","16.84","16.86","7771900",""
"SPLS","2015-02-17T00:00:00-05:00","2015-02-17","16.81","17.01","16.72","17.01","8745600",""
"SPLS","2015-02-18T00:00:00-05:00","2015-02-18","17","17.22","16.88","17.03","5442400",""
"SPLS","2015-02-19T00:00:00-05:00","2015-02-19","16.98","17.06","16.82","16.82","8056700",""
"SPLS","2015-02-20T00:00:00-05:00","2015-02-20","16.77","16.88","16.57","16.79","6399500",""
"SPLS","2015-02-23T00:00:00-05:00","2015-02-23","16.75","16.82","16.36","16.58","9765000",""
"SPLS","2015-02-24T00:00:00-05:00","2015-02-24","16.55","16.91","16.51","16.82","12743600",""
"SPLS","2015-02-25T00:00:00-05:00","2015-02-25","16.6","16.9","16.58","16.64","9443600",""
"SPLS","2015-02-26T00:00:00-05:00","2015-02-26","16.7","16.7","16.37","16.38","8632000",""
"SPLS","2015-02-27T00:00:00-05:00","2015-02-27","16.34","16.8","16.09","16.76","13070800",""
"SPLS","2015-03-02T00:00:00-05:00","2015-03-02","16.74","17.05","16.62","17.01","24484900",""
"SPLS","2015-03-03T00:00:00-05:00","2015-03-03","17","17.02","16.75","16.81","7929000",""
"SPLS","2015-03-04T00:00:00-05:00","2015-03-04","16.76","16.98","16.51","16.59","8026500",""
"SPLS","2015-03-05T00:00:00-05:00","2015-03-05","16.58","16.64","16.47","16.5","7510300",""
"SPLS","2015-03-06T00:00:00-05:00","2015-03-06","16.14","16.35","15.95","16.05","10820300",""
"SPLS","2015-03-09T00:00:00-04:00","2015-03-09","16.03","16.23","15.98","16.17","6598100",""
"SPLS","2015-03-10T00:00:00-04:00","2015-03-10","16.01","16.12","15.88","16.02","8966800",""
"SPLS","2015-03-11T00:00:00-04:00","2015-03-11","16.06","16.21","15.72","15.9","7783900",""
"SPLS","2015-03-12T00:00:00-04:00","2015-03-12","16.02","16.24","15.98","16.21","6265700",""
"SPLS","2015-03-13T00:00:00-04:00","2015-03-13","16.1","16.17","15.86","16.01","5057200",""
"SPLS","2015-03-16T00:00:00-04:00","2015-03-16","16.08","16.23","15.91","16.04","5535900",""
"SPLS","2015-03-17T00:00:00-04:00","2015-03-17","15.97","16.32","15.91","16.18","7664600",""
"SPLS","2015-03-18T00:00:00-04:00","2015-03-18","16.02","16.35","15.98","16.33","9029800",""
"SPLS","2015-03-19T00:00:00-04:00","2015-03-19","16.32","16.34","15.96","16.05","5332700",""
"SPLS","2015-03-20T00:00:00-04:00","2015-03-20","16.17","16.36","15.96","16.25","10362200",""
"SPLS","2015-03-23T00:00:00-04:00","2015-03-23","16.55","16.92","16.46","16.81","10068600",""
"SPLS","2015-03-24T00:00:00-04:00","2015-03-24","16.75","17.04","16.58","16.9","10555600",""
"SPLS","2015-03-25T00:00:00-04:00","2015-03-25","16.8","16.92","16.54","16.55","8196800",""
"SPLS","2015-03-26T00:00:00-04:00","2015-03-26","16.4","16.44","15.92","16.02","8429100",""
"SPLS","2015-03-27T00:00:00-04:00","2015-03-27","16.04","16.21","15.85","16.11","5599100",""
"SPLS","2015-03-30T00:00:00-04:00","2015-03-30","16.14","16.72","16.1","16.7","9020200",""
"SPLS","2015-03-31T00:00:00-04:00","2015-03-31","16.62","16.8","16.25","16.28","9789000",""
"SPLS","2015-04-01T00:00:00-04:00","2015-04-01","16.53","16.55","16.26","16.41","6812600",""
"SPLS","2015-04-02T00:00:00-04:00","2015-04-02","16.3","16.4","16.14","16.23","5892200",""
"SPLS","2015-04-06T00:00:00-04:00","2015-04-06","16.06","16.25","16.01","16.08","5940800",""
"SPLS","2015-04-07T00:00:00-04:00","2015-04-07","16.16","16.16","15.93","16.1","6485400",""
"SPLS","2015-04-08T00:00:00-04:00","2015-04-08","16.09","16.22","15.98","16.15","7375100",""
"SPLS","2015-04-09T00:00:00-04:00","2015-04-09","16.21","16.43","16.03","16.4","8049900",""
"SPLS","2015-04-10T00:00:00-04:00","2015-04-10","16.53","16.82","16.31","16.72","9456200",""
"SPLS","2015-04-13T00:00:00-04:00","2015-04-13","16.64","16.65","16.2","16.23","4639000",""
"SPLS","2015-04-14T00:00:00-04:00","2015-04-14","16.12","16.24","16.12","16.21","5527000",""
"SPLS","2015-04-15T00:00:00-04:00","2015-04-15","16.38","16.59","16.2","16.23","5366000",""
"SPLS","2015-04-16T00:00:00-04:00","2015-04-16","16.2","16.49","16.1","16.44","5130300",""
"SPLS","2015-04-17T00:00:00-04:00","2015-04-17","16.27","16.35","15.95","16.03","7173200",""
"SPLS","2015-04-20T00:00:00-04:00","2015-04-20","16.08","16.23","16.01","16.1","6411000",""
"SPLS","2015-04-21T00:00:00-04:00","2015-04-21","16.15","16.21","15.98","16.1","3855700",""
"SPLS","2015-04-22T00:00:00-04:00","2015-04-22","16.11","16.11","15.81","15.97","4268500",""
"SPLS","2015-04-23T00:00:00-04:00","2015-04-23","15.98","16.23","15.98","16.19","4889400",""
"SPLS","2015-04-24T00:00:00-04:00","2015-04-24","16.15","16.27","16.09","16.25","4166400",""
"SPLS","2015-04-27T00:00:00-04:00","2015-04-27","16.24","16.28","15.98","15.99","3782100",""
"SPLS","2015-04-28T00:00:00-04:00","2015-04-28","16.05","16.13","15.87","16.01","3869700",""
"SPLS","2015-04-29T00:00:00-04:00","2015-04-29","15.95","16.05","15.86","15.99","6854200",""
"SPLS","2015-04-30T00:00:00-04:00","2015-04-30","16.16","16.42","16.08","16.32","8809900",""
"SPLS","2015-05-01T00:00:00-04:00","2015-05-01","16.27","16.69","16.27","16.51","6682300",""
"SPLS","2015-05-04T00:00:00-04:00","2015-05-04","16.51","16.74","16.43","16.72","4263400",""
"SPLS","2015-05-05T00:00:00-04:00","2015-05-05","16.56","16.7","16.4","16.57","7048000",""
"SPLS","2015-05-06T00:00:00-04:00","2015-05-06","16.61","16.65","16.32","16.34","4990800",""
"SPLS","2015-05-07T00:00:00-04:00","2015-05-07","16.35","16.61","16.31","16.46","4904400",""
"SPLS","2015-05-08T00:00:00-04:00","2015-05-08","16.47","16.66","16.46","16.51","5689600",""
"SPLS","2015-05-11T00:00:00-04:00","2015-05-11","16.49","16.67","16.43","16.65","4803300",""
"SPLS","2015-05-12T00:00:00-04:00","2015-05-12","16.56","16.58","16.31","16.47","6459200",""
"SPLS","2015-05-13T00:00:00-04:00","2015-05-13","16.54","16.84","16.39","16.59","9663800",""
"SPLS","2015-05-14T00:00:00-04:00","2015-05-14","16.71","16.78","16.33","16.36","3520400",""
"SPLS","2015-05-15T00:00:00-04:00","2015-05-15","16.38","16.44","16.22","16.4","3261800",""
"SPLS","2015-05-18T00:00:00-04:00","2015-05-18","16.37","16.49","16.31","16.48","4419700",""
"SPLS","2015-05-19T00:00:00-04:00","2015-05-19","16.43","16.52","16.32","16.41","5495000",""
"SPLS","2015-05-20T00:00:00-04:00","2015-05-20","16.21","16.32","15.98","16.15","8132000",""
"SPLS","2015-05-21T00:00:00-04:00","2015-05-21","16.17","16.42","16.13","16.27","4912700",""
"SPLS","2015-05-22T00:00:00-04:00","2015-05-22","16.23","16.39","16.14","16.2","3134800",""
"SPLS","2015-05-26T00:00:00-04:00","2015-05-26","16.2","16.29","16.05","16.15","5318400",""
"SPLS","2015-05-27T00:00:00-04:00","2015-05-27","16.18","16.3","16.13","16.22","3357000",""
"SPLS","2015-05-28T00:00:00-04:00","2015-05-28","16.27","16.51","16.19","16.49","6245300",""
"SPLS","2015-05-29T00:00:00-04:00","2015-05-29","16.51","16.68","16.37","16.47","7478900",""
"SPLS","2015-06-01T00:00:00-04:00","2015-06-01","16.54","16.54","16.24","16.4","5084600",""
"SPLS","2015-06-02T00:00:00-04:00","2015-06-02","16.38","16.6","16.34","16.45","3664000",""
"SPLS","2015-06-03T00:00:00-04:00","2015-06-03","16.42","16.58","16.38","16.56","3899100",""
"SPLS","2015-06-04T00:00:00-04:00","2015-06-04","16.52","16.74","16.42","16.6","5345900",""
"SPLS","2015-06-05T00:00:00-04:00","2015-06-05","16.68","16.69","16.43","16.45","4210000",""
"SPLS","2015-06-08T00:00:00-04:00","2015-06-08","16.43","16.52","16.34","16.39","4316400",""
"SPLS","2015-06-09T00:00:00-04:00","2015-06-09","16.32","16.57","16.11","16.22","8957900",""
"SPLS","2015-06-10T00:00:00-04:00","2015-06-10","16.32","16.57","16.23","16.49","6452200",""
"SPLS","2015-06-11T00:00:00-04:00","2015-06-11","16.61","16.66","16.4","16.47","4669300",""
"SPLS","2015-06-12T00:00:00-04:00","2015-06-12","16.45","16.47","16.26","16.33","4820300",""
"SPLS","2015-06-15T00:00:00-04:00","2015-06-15","16.27","16.3","16.04","16.16","4032100",""
"SPLS","2015-06-16T00:00:00-04:00","2015-06-16","16.16","16.22","16.06","16.14","3859900",""
"SPLS","2015-06-17T00:00:00-04:00","2015-06-17","16.16","16.39","16.14","16.25","6089100",""
"SPLS","2015-06-18T00:00:00-04:00","2015-06-18","16.32","16.48","16.28","16.42","7984600",""
"SPLS","2015-06-19T00:00:00-04:00","2015-06-19","16.47","16.59","16.35","16.38","10118900",""
"SPLS","2015-06-22T00:00:00-04:00","2015-06-22","16.42","16.46","16.2","16.33","3926200",""
"SPLS","2015-06-23T00:00:00-04:00","2015-06-23","16.28","16.65","16.28","16.62","10525300",""
"SPLS","2015-06-24T00:00:00-04:00","2015-06-24","16.21","16.22","15.55","15.85","17745400",""
"SPLS","2015-06-25T00:00:00-04:00","2015-06-25","15.78","15.96","15.73","15.83","9090100",""
"SPLS","2015-06-26T00:00:00-04:00","2015-06-26","15.92","16.06","15.77","16.05","8415900",""
"SPLS","2015-06-29T00:00:00-04:00","2015-06-29","15.89","15.95","15.3","15.32","9000200",""
"SPLS","2015-06-30T00:00:00-04:00","2015-06-30","15.41","15.47","15.23","15.31","5425900",""
"SPLS","2015-07-01T00:00:00-04:00","2015-07-01","15.48","15.61","15.34","15.55","6396400",""
"SPLS","2015-07-02T00:00:00-04:00","2015-07-02","15.48","15.66","15.48","15.55","6041200",""
"SPLS","2015-07-06T00:00:00-04:00","2015-07-06","15.37","15.58","15.37","15.52","3986800",""
"SPLS","2015-07-07T00:00:00-04:00","2015-07-07","15.44","15.69","15.28","15.68","6314200",""
"SPLS","2015-07-08T00:00:00-04:00","2015-07-08","15.5","15.62","15.26","15.33","5398800",""
"SPLS","2015-07-09T00:00:00-04:00","2015-07-09","15.47","15.57","15.25","15.25","5481600",""
"SPLS","2015-07-10T00:00:00-04:00","2015-07-10","15.45","15.49","15.35","15.39","3661600",""
"SPLS","2015-07-13T00:00:00-04:00","2015-07-13","15.45","15.64","15.34","15.59","8475300",""
"SPLS","2015-07-14T00:00:00-04:00","2015-07-14","15.54","15.6","15.47","15.53","4402200",""
"SPLS","2015-07-15T00:00:00-04:00","2015-07-15","15.62","15.65","15.43","15.44","5795000",""
"SPLS","2015-07-16T00:00:00-04:00","2015-07-16","15.46","15.52","15.31","15.34","7709500",""
"SPLS","2015-07-17T00:00:00-04:00","2015-07-17","15.27","15.34","14.54","14.7","16828000",""
"SPLS","2015-07-20T00:00:00-04:00","2015-07-20","14.7","15.02","14.59","14.63","10782000",""
"SPLS","2015-07-21T00:00:00-04:00","2015-07-21","14.57","14.84","14.55","14.63","7586800",""
"SPLS","2015-07-22T00:00:00-04:00","2015-07-22","14.67","14.9","14.66","14.82","5474600",""
"SPLS","2015-07-23T00:00:00-04:00","2015-07-23","14.85","14.86","14.37","14.44","9708200",""
"SPLS","2015-07-24T00:00:00-04:00","2015-07-24","14.44","14.44","14.18","14.22","8698800",""
"SPLS","2015-07-27T00:00:00-04:00","2015-07-27","14.18","14.22","13.91","13.95","7848700",""
"SPLS","2015-07-28T00:00:00-04:00","2015-07-28","14.06","14.17","13.74","13.91","8574700",""
"SPLS","2015-07-29T00:00:00-04:00","2015-07-29","13.9","14","13.85","13.97","4782200",""
"SPLS","2015-07-30T00:00:00-04:00","2015-07-30","14.1","14.52","14.01","14.32","8708400",""
"SPLS","2015-07-31T00:00:00-04:00","2015-07-31","14.32","14.72","14.25","14.71","11626100",""
"SPLS","2015-08-03T00:00:00-04:00","2015-08-03","14.69","14.7","14.07","14.13","7405900",""
"SPLS","2015-08-04T00:00:00-04:00","2015-08-04","14.12","14.37","13.98","14.19","7018100",""
"SPLS","2015-08-05T00:00:00-04:00","2015-08-05","14.27","14.71","14.14","14.41","12357200",""
"SPLS","2015-08-06T00:00:00-04:00","2015-08-06","14.45","14.5","14","14.04","6712000",""
"SPLS","2015-08-07T00:00:00-04:00","2015-08-07","14.02","14.18","13.91","13.96","7007100",""
"SPLS","2015-08-10T00:00:00-04:00","2015-08-10","14.15","14.35","14.06","14.26","8051200",""
"SPLS","2015-08-11T00:00:00-04:00","2015-08-11","14.16","14.37","14.05","14.12","6858200",""
"SPLS","2015-08-12T00:00:00-04:00","2015-08-12","14.01","14.17","13.64","14.16","8201900",""
"SPLS","2015-08-13T00:00:00-04:00","2015-08-13","14.13","14.28","14.04","14.08","5460700",""
"SPLS","2015-08-14T00:00:00-04:00","2015-08-14","14.08","14.29","14.04","14.23","3888700",""
"SPLS","2015-08-17T00:00:00-04:00","2015-08-17","14.12","14.23","13.98","14.23","2952400",""
"SPLS","2015-08-18T00:00:00-04:00","2015-08-18","14.27","14.37","14.08","14.15","5482400",""
"SPLS","2015-08-19T00:00:00-04:00","2015-08-19","13.96","14.28","13.84","14.12","8532600",""
"SPLS","2015-08-20T00:00:00-04:00","2015-08-20","13.95","14.23","13.92","14.04","7272400",""
"SPLS","2015-08-21T00:00:00-04:00","2015-08-21","13.93","14.26","13.78","13.79","8371900",""
"SPLS","2015-08-24T00:00:00-04:00","2015-08-24","13.17","13.63","12.51","13.47","17156400",""
"SPLS","2015-08-25T00:00:00-04:00","2015-08-25","13.57","13.85","13.24","13.24","12551800",""
"SPLS","2015-08-26T00:00:00-04:00","2015-08-26","13.55","13.75","13.1","13.33","11060500",""
"SPLS","2015-08-27T00:00:00-04:00","2015-08-27","13.42","13.79","13.26","13.72","7250900",""
"SPLS","2015-08-28T00:00:00-04:00","2015-08-28","13.59","13.85","13.52","13.75","7489500",""
"SPLS","2015-08-31T00:00:00-04:00","2015-08-31","13.77","14.33","13.5","14.21","10381400",""
"SPLS","2015-09-01T00:00:00-04:00","2015-09-01","13.9","14.17","13.61","13.69","11745100",""
"SPLS","2015-09-02T00:00:00-04:00","2015-09-02","13.91","14.14","13.83","14.13","7796100",""
"SPLS","2015-09-03T00:00:00-04:00","2015-09-03","14.12","14.24","13.75","13.8","8989400",""
"SPLS","2015-09-04T00:00:00-04:00","2015-09-04","13.71","13.8","13.48","13.6","10684300",""
"SPLS","2015-09-08T00:00:00-04:00","2015-09-08","13.9","14.24","13.79","14.19","7406100",""
"SPLS","2015-09-09T00:00:00-04:00","2015-09-09","14.29","14.4","13.95","13.98","4891000",""
"SPLS","2015-09-10T00:00:00-04:00","2015-09-10","13.93","14.07","13.8","13.86","4676300",""
"SPLS","2015-09-11T00:00:00-04:00","2015-09-11","13.79","13.95","13.62","13.86","5669200",""
"SPLS","2015-09-14T00:00:00-04:00","2015-09-14","13.78","13.87","13.69","13.73","4289500",""
"SPLS","2015-09-15T00:00:00-04:00","2015-09-15","13.74","14.11","13.6","13.7","7449400",""
"SPLS","2015-09-16T00:00:00-04:00","2015-09-16","13.73","13.98","13.72","13.91","6588400",""
"SPLS","2015-09-17T00:00:00-04:00","2015-09-17","13.93","14.13","13.77","13.83","5109700",""
"SPLS","2015-09-18T00:00:00-04:00","2015-09-18","13.66","13.85","13.44","13.51","10107200",""
"SPLS","2015-09-21T00:00:00-04:00","2015-09-21","13.54","13.89","13.51","13.54","5380000",""
"SPLS","2015-09-22T00:00:00-04:00","2015-09-22","13.18","13.27","12.43","12.75","23326800",""
"SPLS","2015-09-23T00:00:00-04:00","2015-09-23","12.67","12.84","12.39","12.4","7696900",""
"SPLS","2015-09-24T00:00:00-04:00","2015-09-24","12.33","12.94","12.28","12.69","13747300",""
"SPLS","2015-09-25T00:00:00-04:00","2015-09-25","12.62","12.72","12.23","12.37","8595700",""
"SPLS","2015-09-28T00:00:00-04:00","2015-09-28","12.29","12.48","11.87","11.9","7248600",""
"SPLS","2015-09-29T00:00:00-04:00","2015-09-29","12.18","12.29","11.76","11.83","8391600",""
"SPLS","2015-09-30T00:00:00-04:00","2015-09-30","11.95","11.97","11.69","11.73","11472600",""
"SPLS","2015-10-01T00:00:00-04:00","2015-10-01","11.82","11.96","11.61","11.94","9306700",""
"SPLS","2015-10-02T00:00:00-04:00","2015-10-02","11.8","12.16","11.65","12.15","11306100",""
"SPLS","2015-10-05T00:00:00-04:00","2015-10-05","12.26","12.41","12.19","12.36","6891000",""
"SPLS","2015-10-06T00:00:00-04:00","2015-10-06","12.29","12.49","12.25","12.37","6783500",""
"SPLS","2015-10-07T00:00:00-04:00","2015-10-07","12.48","12.78","12.39","12.64","10713600",""
